# 2Theta,Intensity
1.000000000000000000e+01,-3.577471584280417054e-03
1.001999999999999957e+01,1.780942660251130100e-02
1.003999999999999915e+01,6.080559631244980556e-02
1.006000000000000050e+01,1.610701558158288971e-01
1.008000000000000007e+01,-6.202247224652171487e-02
1.009999999999999964e+01,7.358679681753314827e-02
1.011999999999999922e+01,-7.082022534170535899e-02
1.014000000000000057e+01,1.848757962385204623e-01
1.016000000000000014e+01,5.018052132306850821e-02
1.017999999999999972e+01,-1.654227739233601058e-01
1.019999999999999929e+01,-1.891395502310900811e-01
1.022000000000000064e+01,-3.943321144559056024e-02
1.024000000000000021e+01,1.859719300079962223e-01
1.025999999999999979e+01,2.137914368180450844e-02
1.027999999999999936e+01,-5.329362355042875643e-02
1.030000000000000071e+01,-4.917161665744970191e-03
1.032000000000000028e+01,-1.029186662215628295e-01
1.033999999999999986e+01,-7.263336991999883030e-02
1.035999999999999943e+01,-1.517950720974150514e-01
1.038000000000000078e+01,1.514593693975034919e-02
1.040000000000000036e+01,-2.905891945284498276e-02
1.041999999999999993e+01,6.166818894048491095e-02
1.043999999999999950e+01,1.313265240317083027e-01
1.046000000000000085e+01,1.284855008971839130e-01
1.048000000000000043e+01,-1.469953269755545633e-01
1.050000000000000000e+01,-3.258916480126392012e-02
1.051999999999999957e+01,-1.180037400522387508e-01
1.053999999999999915e+01,4.498405969741140278e-03
1.056000000000000050e+01,-2.009565948010404168e-02
1.058000000000000007e+01,1.709307702260638717e-02
1.059999999999999964e+01,5.529309084987150263e-02
1.061999999999999922e+01,-8.247283045046781280e-02
1.064000000000000057e+01,-2.224641919365228163e-02
1.066000000000000014e+01,1.652289987776157376e-01
1.067999999999999972e+01,1.428912254455457775e-01
1.069999999999999929e+01,-5.497404803633704207e-02
1.072000000000000064e+01,-4.266407719540218045e-03
1.074000000000000021e+01,1.250026458906736970e-01
1.075999999999999979e+01,-6.858739241159753607e-03
1.077999999999999936e+01,1.206767205520425656e-01
1.080000000000000071e+01,-9.126009204276822051e-02
1.082000000000000028e+01,-3.805167670055570328e-02
1.083999999999999986e+01,-1.012737684582282610e-01
1.085999999999999943e+01,4.806049406764701520e-02
