# 2Theta,Intensity
1.000000000000000000e+01,9.147353520851182751e-02
1.001999999999999957e+01,7.912155697841800894e-02
1.003999999999999915e+01,2.527667319501937793e-01
1.006000000000000050e+01,1.192688728410610660e-01
1.008000000000000007e+01,1.312527826668313247e-01
1.009999999999999964e+01,1.679562067589669694e-02
1.011999999999999922e+01,7.919071525325740990e-02
1.014000000000000057e+01,1.638507161603529882e-01
1.016000000000000014e+01,-1.192332422800706365e-02
1.017999999999999972e+01,-2.462050870589336388e-02
1.019999999999999929e+01,9.457105507215601836e-02
1.022000000000000064e+01,8.825194930640370417e-02
1.024000000000000021e+01,2.640627273292262336e-02
1.025999999999999979e+01,4.636949461116827292e-02
1.027999999999999936e+01,4.216051534788615301e-02
1.030000000000000071e+01,1.429680687425913298e-03
1.032000000000000028e+01,-7.058514944189150930e-02
1.033999999999999986e+01,-4.108997602784101449e-02
1.035999999999999943e+01,2.622147389029969022e-01
1.038000000000000078e+01,-7.346486297876082816e-02
1.040000000000000036e+01,-1.038566589531293854e-01
1.041999999999999993e+01,3.652590840292313512e-02
1.043999999999999950e+01,2.168106116302663533e-01
1.046000000000000085e+01,8.894746657435341486e-02
1.048000000000000043e+01,-4.468698047750277458e-02
1.050000000000000000e+01,-1.143568262017740367e-01
1.051999999999999957e+01,2.211333410624891638e-01
1.053999999999999915e+01,9.571156588252499597e-02
1.056000000000000050e+01,-1.781974857451320837e-01
1.058000000000000007e+01,-1.127797472260465561e-01
1.059999999999999964e+01,6.392223332685599557e-02
1.061999999999999922e+01,-2.657235897911347511e-02
1.064000000000000057e+01,3.829226495737041158e-02
1.066000000000000014e+01,-9.802431844213575773e-02
1.067999999999999972e+01,-7.285259062349375148e-02
1.069999999999999929e+01,9.741820092420247490e-02
1.072000000000000064e+01,7.103049291812120469e-02
1.074000000000000021e+01,4.941657900599340236e-03
1.075999999999999979e+01,7.801608041637456137e-02
1.077999999999999936e+01,1.493950797874690206e-01
1.080000000000000071e+01,2.620039487362810782e-01
1.082000000000000028e+01,1.168565943714929434e-03
1.083999999999999986e+01,5.026874317266667030e-02
