2Theta,Intensity
1.000000000000000000e+01,-3.178384834432499556e-02
1.001999999999999957e+01,1.638629750396302931e-01
1.003999999999999915e+01,5.266576981603796059e-02
1.006000000000000050e+01,7.125064561347702052e-02
1.008000000000000007e+01,7.415741635760018415e-03
1.009999999999999964e+01,-1.203330493492208164e-01
1.011999999999999922e+01,4.801191232474568554e-02
1.014000000000000057e+01,1.104141716783376692e-01
1.016000000000000014e+01,-3.232297544097904873e-02
1.017999999999999972e+01,-1.234747630962655801e-01
1.019999999999999929e+01,4.673976720112970468e-02
1.022000000000000064e+01,1.790165971233537989e-01
1.024000000000000021e+01,1.301623670126632049e-01
1.025999999999999979e+01,-2.325832197853063832e-01
1.027999999999999936e+01,-1.470864756070041322e-03
1.030000000000000071e+01,1.236630800571797278e-01
1.032000000000000028e+01,1.576013146576059343e-01
1.033999999999999986e+01,2.162242173157306879e-02
1.035999999999999943e+01,-1.758727938976499192e-02
1.038000000000000078e+01,1.520172181023848046e-01
1.040000000000000036e+01,2.085283904580554071e-01
1.041999999999999993e+01,3.944606405486631578e-02
1.043999999999999950e+01,-2.202585051413039063e-01
1.046000000000000085e+01,2.372650983007399961e-01
1.048000000000000043e+01,-2.343148246176111893e-02
1.050000000000000000e+01,-9.658133894766741945e-02
1.051999999999999957e+01,4.603941088117685307e-03
1.053999999999999915e+01,3.743652647241683257e-02
1.056000000000000050e+01,2.272070989699518373e-01
1.058000000000000007e+01,1.184470798923105972e-01
1.059999999999999964e+01,-1.284469530055843030e-02
1.061999999999999922e+01,-1.550967605005993399e-01
1.064000000000000057e+01,-1.145502922227676634e-01
1.066000000000000014e+01,-4.779750228114344746e-02
1.067999999999999972e+01,-7.209197488455506599e-03
1.069999999999999929e+01,2.873399683623773654e-02
1.072000000000000064e+01,-5.314905568572497220e-03
1.074000000000000021e+01,-8.893127479321262518e-02
1.075999999999999979e+01,-5.622091158442830972e-02
1.077999999999999936e+01,4.174187948210942439e-02
1.080000000000000071e+01,1.680330575204448673e-02
1.082000000000000028e+01,-2.534175442019344013e-02
