2Theta,Intensity
1.000000000000000000e+01,8.465265395955937078e-02
1.001999999999999957e+01,1.389372170796724926e-01
1.003999999999999915e+01,2.890203637637290823e-01
1.006000000000000050e+01,-3.229978482633665687e-02
1.008000000000000007e+01,1.531622923536987702e-01
1.009999999999999964e+01,2.366546903834659543e-01
1.011999999999999922e+01,2.964427072575420152e-01
1.014000000000000057e+01,2.003296310494536714e-01
1.016000000000000014e+01,2.116735120293218586e-02
1.017999999999999972e+01,3.125579111907195173e-02
1.019999999999999929e+01,3.248558075846889048e-01
1.022000000000000064e+01,-6.112058952912682863e-02
1.024000000000000021e+01,2.755532532429382231e-01
1.025999999999999979e+01,5.436838946121390348e-02
1.027999999999999936e+01,3.382874951757891546e-01
1.030000000000000071e+01,1.562464814874342800e-01
1.032000000000000028e+01,4.395046008172462382e-01
1.033999999999999986e+01,1.458349415664826343e-01
1.035999999999999943e+01,1.273874728447985938e-01
1.038000000000000078e+01,1.176810483255456424e-01
1.040000000000000036e+01,2.374016628738008783e-01
1.041999999999999993e+01,3.031761384563165795e-01
1.043999999999999950e+01,3.320168819672905114e-01
1.046000000000000085e+01,1.501072753064800480e-01
1.048000000000000043e+01,1.806539009617813274e-01
1.050000000000000000e+01,9.849677515876541223e-02
1.051999999999999957e+01,2.408831281274693425e-01
1.053999999999999915e+01,2.520837292729398160e-01
1.056000000000000050e+01,-2.799469008744960921e-02
1.058000000000000007e+01,-6.190623699670717850e-02
1.059999999999999964e+01,7.890872098125135958e-02
1.061999999999999922e+01,-4.390618514121086280e-02
1.064000000000000057e+01,3.189456134418547917e-01
1.066000000000000014e+01,-7.862981391357207195e-02
1.067999999999999972e+01,2.339107935565595819e-01
1.069999999999999929e+01,3.022888258990372168e-01
1.072000000000000064e+01,2.204632639950093176e-01
1.074000000000000021e+01,5.684960517428934434e-02
1.075999999999999979e+01,2.561371166146161893e-01
1.077999999999999936e+01,4.845770332750331394e-02
1.080000000000000071e+01,1.317956364958979831e-01
1.082000000000000028e+01,-4.298645988519365566e-03
1.083999999999999986e+01,1.390992447458404106e-02
1.085999999999999943e+01,2.014743329425632834e-01
1.088000000000000078e+01,1.089952173760642268e-01
1.090000000000000036e+01,1.733145606044264320e-01
1.091999999999999993e+01,-5.785096503478316665e-02
1.093999999999999950e+01,6.108607044489213628e-02
1.096000000000000085e+01,-1.465957271776829711e-02
1.098000000000000043e+01,2.299162207722888762e-01
1.100000000000000000e+01,8.331785996540616579e-02
1.101999999999999957e+01,2.466415885195260838e-01
1.103999999999999915e+01,1.532659952703429029e-01
1.106000000000000050e+01,1.693847076840417076e-01
1.108000000000000007e+01,1.067440703664114809e-01
1.109999999999999964e+01,2.969116948884601426e-01
1.112000000000000099e+01,-7.533373822904761152e-02
1.114000000000000057e+01,1.232348562275273479e-01
1.116000000000000014e+01,-8.314342042077833145e-03
1.117999999999999972e+01,1.381106860942814436e-02
1.119999999999999929e+01,1.840781795899456286e-01
1.122000000000000064e+01,2.104447413860493776e-01
1.124000000000000021e+01,2.145549169971905645e-01
1.125999999999999979e+01,2.534807631245126758e-01
1.127999999999999936e+01,-1.224743661608064665e-01
1.130000000000000071e+01,2.393691668760944968e-01
1.132000000000000028e+01,1.441303453606792850e-01
1.133999999999999986e+01,2.477298043112680370e-01
1.135999999999999943e+01,2.070727350737589512e-01
1.138000000000000078e+01,-4.114327327156560438e-02
1.140000000000000036e+01,1.347343388474196713e-01
1.141999999999999993e+01,-1.367384735027055197e-03
1.143999999999999950e+01,6.859118620891713203e-02
1.146000000000000085e+01,8.012899208730850376e-02
1.148000000000000043e+01,7.795157277533920626e-02
1.150000000000000000e+01,1.765221901498780985e-02
1.151999999999999957e+01,1.000462298278087525e-01
1.153999999999999915e+01,-1.662780184980976531e-02
1.156000000000000050e+01,2.277843383319745618e-02
1.158000000000000007e+01,1.773541117049441673e-01
1.159999999999999964e+01,9.499232133176177539e-02
1.162000000000000099e+01,3.972566339578363914e-01
1.164000000000000057e+01,1.126043145711990989e-01
1.166000000000000014e+01,2.452066687331222461e-01
1.167999999999999972e+01,1.864248866453071529e-01
1.169999999999999929e+01,3.615348132232381051e-01
1.172000000000000064e+01,9.684258807127790747e-02
1.174000000000000021e+01,4.522872931296579441e-02
1.175999999999999979e+01,7.500195562629118941e-03
1.177999999999999936e+01,1.089829303314242964e-01
1.180000000000000071e+01,3.572002260433925214e-01
1.182000000000000028e+01,1.769140464025131532e-01
1.183999999999999986e+01,1.415857714048289195e-01
1.185999999999999943e+01,3.849136875670179647e-02
1.188000000000000078e+01,6.064540882547268807e-02
1.190000000000000036e+01,3.835454311630866892e-02
1.191999999999999993e+01,1.584901016356829728e-01
1.193999999999999950e+01,8.977850209144630977e-04
1.196000000000000085e+01,1.828221102146098120e-01
1.198000000000000043e+01,1.311026554781634379e-01
1.200000000000000000e+01,2.580640000306062554e-01
1.201999999999999957e+01,9.211689957094291309e-03
1.203999999999999915e+01,1.963098946379778775e-01
1.206000000000000050e+01,1.025518784057391081e-01
1.208000000000000007e+01,4.886499170094123906e-02
1.209999999999999964e+01,-3.184667161891546749e-02
1.212000000000000099e+01,2.076981819342457181e-01
1.214000000000000057e+01,5.074641084666543268e-03
1.216000000000000014e+01,8.604819769170238275e-02
1.217999999999999972e+01,5.215477942613685330e-02
1.219999999999999929e+01,4.080599086668489917e-01
1.222000000000000064e+01,-7.704927821877016747e-02
1.224000000000000021e+01,1.869050811319121208e-01
1.225999999999999979e+01,2.236580571218979019e-01
