# 2Theta,Intensity
1.000000000000000000e+01,2.003793010846973421e-01
1.001999999999999957e+01,1.293958656469177126e-01
1.003999999999999915e+01,1.860816721208786440e-01
1.006000000000000050e+01,3.030332436923219852e-01
1.008000000000000007e+01,1.656875236914807648e-01
1.009999999999999964e+01,1.110234522925422074e-01
1.011999999999999922e+01,3.451759927387368920e-01
1.014000000000000057e+01,-3.781020972513949446e-02
1.016000000000000014e+01,2.503754600673243069e-01
1.017999999999999972e+01,-1.298347310032888224e-01
1.019999999999999929e+01,-3.203446311938038665e-02
1.022000000000000064e+01,2.702161212766335807e-01
1.024000000000000021e+01,-3.068909075828583910e-02
1.025999999999999979e+01,2.686563048887586347e-01
1.027999999999999936e+01,5.009489562651745637e-02
1.030000000000000071e+01,1.660448801059032364e-01
1.032000000000000028e+01,6.302446381640655626e-02
1.033999999999999986e+01,1.362476303549389200e-01
1.035999999999999943e+01,1.141347056033664431e-01
1.038000000000000078e+01,8.372097885686015373e-02
1.040000000000000036e+01,1.179234273056755239e-01
1.041999999999999993e+01,5.060022627569193965e-02
1.043999999999999950e+01,1.224301275563123848e-01
1.046000000000000085e+01,4.859625823215896201e-02
1.048000000000000043e+01,7.571932127026655135e-02
1.050000000000000000e+01,1.718361077934805470e-01
1.051999999999999957e+01,2.963149876430497542e-01
1.053999999999999915e+01,2.043203012937322149e-01
1.056000000000000050e+01,2.357771732451014179e-01
1.058000000000000007e+01,1.991994034664490987e-01
1.059999999999999964e+01,-3.870503222090287531e-03
1.061999999999999922e+01,2.058558265468584392e-01
1.064000000000000057e+01,1.516957352834756301e-01
1.066000000000000014e+01,1.773841545533748343e-01
1.067999999999999972e+01,1.295094454114734950e-01
1.069999999999999929e+01,1.436835857486061241e-01
1.072000000000000064e+01,2.620835671057851757e-01
1.074000000000000021e+01,1.809027613644630661e-01
1.075999999999999979e+01,9.029960179913498752e-02
1.077999999999999936e+01,1.336461174144632225e-01
1.080000000000000071e+01,1.681870840875021311e-01
1.082000000000000028e+01,1.382084901662316255e-02
1.083999999999999986e+01,2.188213853289316113e-01
1.085999999999999943e+01,1.534535584102408867e-01
1.088000000000000078e+01,1.336086079759662426e-01
1.090000000000000036e+01,2.091512105268548138e-01
1.091999999999999993e+01,-6.963267160644753817e-02
1.093999999999999950e+01,7.893130966553088546e-02
1.096000000000000085e+01,4.857522764695056811e-02
1.098000000000000043e+01,3.193574401378882488e-01
1.100000000000000000e+01,2.301862074074104425e-01
1.101999999999999957e+01,1.807257518310333710e-01
1.103999999999999915e+01,3.284555059683364475e-01
1.106000000000000050e+01,-1.747572088489838041e-03
1.108000000000000007e+01,3.088129981418794717e-02
1.109999999999999964e+01,2.993011757007024154e-01
1.112000000000000099e+01,2.946881903117521406e-01
1.114000000000000057e+01,7.398902327466584661e-02
1.116000000000000014e+01,1.396304804352137274e-01
1.117999999999999972e+01,8.518733404353794059e-02
1.119999999999999929e+01,-6.868009234977164035e-02
1.122000000000000064e+01,1.774784135984108502e-01
1.124000000000000021e+01,-3.182766274905425574e-02
1.125999999999999979e+01,-6.595531719061265008e-02
1.127999999999999936e+01,1.482507203696790121e-01
1.130000000000000071e+01,1.923258623905315934e-01
1.132000000000000028e+01,4.037150206811308539e-01
1.133999999999999986e+01,1.240449095052671008e-01
1.135999999999999943e+01,4.883051947915588442e-02
1.138000000000000078e+01,-1.612792522635138615e-01
1.140000000000000036e+01,7.371453573155931083e-02
1.141999999999999993e+01,2.841364123602467262e-01
1.143999999999999950e+01,2.318781593086654547e-01
1.146000000000000085e+01,3.893429392938594358e-01
1.148000000000000043e+01,4.041457474923165760e-02
1.150000000000000000e+01,2.885953897091497744e-01
1.151999999999999957e+01,2.358282820901718702e-01
1.153999999999999915e+01,4.426368751814875324e-01
1.156000000000000050e+01,1.081038956450248029e-01
1.158000000000000007e+01,2.451956296340818964e-01
1.159999999999999964e+01,1.422352361867258719e-01
1.162000000000000099e+01,-5.195146500014762719e-02
1.164000000000000057e+01,2.560020981252004654e-02
1.166000000000000014e+01,1.596351185540296758e-01
1.167999999999999972e+01,1.153351375894092895e-01
1.169999999999999929e+01,3.155889058129902891e-02
1.172000000000000064e+01,-9.587420555335781844e-03
1.174000000000000021e+01,3.369011169270171302e-01
1.175999999999999979e+01,1.172889887533654779e-01
1.177999999999999936e+01,2.552942868363751727e-01
1.180000000000000071e+01,1.656981487937306818e-01
1.182000000000000028e+01,3.504930876894628011e-01
1.183999999999999986e+01,2.341234631640894820e-02
1.185999999999999943e+01,1.833876667402612945e-02
1.188000000000000078e+01,1.230641865530895246e-01
1.190000000000000036e+01,2.077224169023793032e-01
1.191999999999999993e+01,9.256025274149527055e-03
1.193999999999999950e+01,2.593288194182309381e-01
1.196000000000000085e+01,2.989553424349062904e-01
1.198000000000000043e+01,-5.880275217065467769e-02
1.200000000000000000e+01,2.852335698321446511e-01
1.201999999999999957e+01,1.371527951292371705e-01
1.203999999999999915e+01,4.505450410534664329e-02
1.206000000000000050e+01,1.822927361398252177e-01
1.208000000000000007e+01,1.707012750687773861e-01
1.209999999999999964e+01,8.413712850384093278e-02
1.212000000000000099e+01,1.945070150854583402e-01
1.214000000000000057e+01,1.221557565554965280e-01
1.216000000000000014e+01,7.853913799138415031e-02
1.217999999999999972e+01,-8.393206216466962688e-03
1.219999999999999929e+01,5.222796650447142364e-04
1.222000000000000064e+01,1.038600658997065052e-01
