# 2Theta,Intensity
1.000000000000000000e+01,2.047197742488731861e-02
1.001999999999999957e+01,-1.594097871862890925e-01
1.003999999999999915e+01,1.089188448590046017e-03
1.006000000000000050e+01,-8.973317634681081401e-02
1.008000000000000007e+01,-2.625326813064207676e-02
1.009999999999999964e+01,1.897896944846088063e-01
1.011999999999999922e+01,1.456571438086128045e-01
1.014000000000000057e+01,4.382301613984646016e-02
1.016000000000000014e+01,2.568854212247303481e-01
1.017999999999999972e+01,2.400156773118619913e-01
1.019999999999999929e+01,-3.207436055058598967e-02
1.022000000000000064e+01,-6.258880869876769226e-03
1.024000000000000021e+01,-1.065108000798788007e-01
1.025999999999999979e+01,-1.543445878394687498e-01
1.027999999999999936e+01,8.486282804645561839e-02
1.030000000000000071e+01,4.918627414796294950e-02
1.032000000000000028e+01,1.827846728359671935e-01
1.033999999999999986e+01,-6.429934075197180077e-02
1.035999999999999943e+01,-1.347596837086154076e-01
1.038000000000000078e+01,-1.874226411862285266e-02
1.040000000000000036e+01,1.124956141289961825e-01
1.041999999999999993e+01,2.524523589232995080e-02
1.043999999999999950e+01,1.660823506240786118e-01
1.046000000000000085e+01,4.021435501402186030e-02
1.048000000000000043e+01,3.296092066678341093e-02
1.050000000000000000e+01,-2.667170476884822214e-02
1.051999999999999957e+01,6.502703540214496702e-02
1.053999999999999915e+01,1.406195943312396092e-02
1.056000000000000050e+01,1.121186944449197864e-01
1.058000000000000007e+01,-1.355928284309083354e-01
1.059999999999999964e+01,4.831469369072034781e-02
1.061999999999999922e+01,6.030217015325320395e-02
1.064000000000000057e+01,8.760205277460558770e-02
1.066000000000000014e+01,2.445661548916834294e-01
1.067999999999999972e+01,-9.439279244079912257e-02
1.069999999999999929e+01,-2.908585757428447383e-02
1.072000000000000064e+01,-5.803403443757761820e-02
1.074000000000000021e+01,5.546835719083656469e-02
1.075999999999999979e+01,1.148050227483560642e-01
1.077999999999999936e+01,8.157343891446998396e-02
1.080000000000000071e+01,1.427054194823359767e-01
1.082000000000000028e+01,-5.784933199087248339e-03
1.083999999999999986e+01,5.255264101606679089e-02
1.085999999999999943e+01,5.075868398235936635e-02
1.088000000000000078e+01,9.892110802019171700e-02
1.090000000000000036e+01,1.300328526538928053e-01
1.091999999999999993e+01,-1.157261422730180844e-01
1.093999999999999950e+01,-1.603718589702552710e-01
1.096000000000000085e+01,2.737276512202646006e-01
1.098000000000000043e+01,-1.765363366164511214e-02
1.100000000000000000e+01,-1.600097496677501188e-02
1.101999999999999957e+01,-1.315534253993919656e-01
1.103999999999999915e+01,-1.097779404495062144e-01
1.106000000000000050e+01,2.156846942914562165e-02
1.108000000000000007e+01,1.995475438822360559e-01
1.109999999999999964e+01,1.138548068246415801e-01
1.112000000000000099e+01,1.013705452596780354e-01
1.114000000000000057e+01,6.384050705141043613e-02
1.116000000000000014e+01,-1.656918811950371800e-02
1.117999999999999972e+01,1.381927987698603755e-01
1.119999999999999929e+01,9.234371812439939875e-02
1.122000000000000064e+01,-2.047894564152593147e-02
1.124000000000000021e+01,-7.116820956576180857e-02
1.125999999999999979e+01,-3.294199446022205019e-02
1.127999999999999936e+01,9.263205434492557955e-02
1.130000000000000071e+01,1.290898150623671636e-01
1.132000000000000028e+01,-4.840935834013500999e-02
1.133999999999999986e+01,1.233886055265366738e-01
1.135999999999999943e+01,6.998039998092955849e-02
1.138000000000000078e+01,2.576091944602864059e-01
1.140000000000000036e+01,-1.005497591480849912e-01
1.141999999999999993e+01,-5.759790600483533085e-02
1.143999999999999950e+01,4.980430894735139724e-02
1.146000000000000085e+01,7.355218828380934160e-02
1.148000000000000043e+01,2.521947104026514008e-01
1.150000000000000000e+01,-1.904583166668488148e-01
1.151999999999999957e+01,2.141269720753000705e-01
1.153999999999999915e+01,-3.396799087763885394e-02
1.156000000000000050e+01,2.351891960483210725e-02
1.158000000000000007e+01,6.355973248358183503e-02
1.159999999999999964e+01,1.547616278924410782e-01
1.162000000000000099e+01,4.598208664985746486e-02
1.164000000000000057e+01,1.398999206898038916e-01
1.166000000000000014e+01,1.030085714470002078e-01
1.167999999999999972e+01,5.223644827474333008e-02
1.169999999999999929e+01,6.812120561691908938e-02
1.172000000000000064e+01,1.694567434672859252e-01
1.174000000000000021e+01,1.620425916368314900e-01
1.175999999999999979e+01,3.478759146560791299e-02
1.177999999999999936e+01,-6.158868566822627531e-03
1.180000000000000071e+01,1.633104195148096446e-02
1.182000000000000028e+01,1.057499312705331151e-01
1.183999999999999986e+01,-1.136938008712275738e-01
1.185999999999999943e+01,5.501112582017227137e-02
1.188000000000000078e+01,7.880020817289332125e-02
1.190000000000000036e+01,1.434802286474533006e-01
1.191999999999999993e+01,9.775266649799964347e-02
1.193999999999999950e+01,7.189472563959836693e-02
1.196000000000000085e+01,-3.910186206773479806e-02
1.198000000000000043e+01,3.462137705407802857e-02
1.200000000000000000e+01,3.488998995257158037e-02
1.201999999999999957e+01,2.413754781922683446e-02
1.203999999999999915e+01,4.201899928933798545e-02
1.206000000000000050e+01,1.376283656433669733e-01
1.208000000000000007e+01,-7.154091530561941525e-02
1.209999999999999964e+01,3.428772500823584757e-02
1.212000000000000099e+01,-1.459712445881230364e-02
1.214000000000000057e+01,6.135066130173540133e-02
1.216000000000000014e+01,1.234845741337340097e-01
1.217999999999999972e+01,1.093190624569403968e-02
1.219999999999999929e+01,7.243124545215905152e-02
1.222000000000000064e+01,1.176585987785471257e-02
1.224000000000000021e+01,-2.864841198636037395e-02
1.225999999999999979e+01,-1.527523150443392264e-01
1.228000000000000114e+01,-1.172698588268164671e-01
1.230000000000000071e+01,-2.470994914142796151e-02
1.232000000000000028e+01,-1.600801036371624075e-02
1.233999999999999986e+01,3.724859570574684531e-01
1.235999999999999943e+01,-1.863665239490732567e-02
1.237999999999999901e+01,-8.098439053247091790e-02
1.240000000000000036e+01,2.390335661904018916e-01
1.241999999999999993e+01,-7.578518644603937648e-02
1.243999999999999950e+01,-3.652019923762474946e-02
1.246000000000000085e+01,1.229480848986271441e-01
1.248000000000000043e+01,1.523770375372593966e-01
1.250000000000000000e+01,-6.777800862005707756e-03
1.251999999999999957e+01,3.458304057432083634e-02
1.253999999999999915e+01,9.618893391605962129e-02
1.256000000000000050e+01,-1.780257457267829871e-02
1.258000000000000007e+01,1.186076232395964491e-01
1.259999999999999964e+01,-9.556850805884389843e-02
1.262000000000000099e+01,7.441791421937971052e-02
1.264000000000000057e+01,1.819267709253921395e-01
1.266000000000000014e+01,-1.111870961512406893e-02
1.267999999999999972e+01,-2.405530881774895283e-02
1.269999999999999929e+01,2.707561093360133508e-01
1.272000000000000064e+01,-1.092604194446693405e-01
1.274000000000000021e+01,1.431862216430481172e-01
1.275999999999999979e+01,-3.624737678358204429e-02
1.278000000000000114e+01,7.893272917599697402e-02
1.280000000000000071e+01,-1.637247688972087376e-02
1.282000000000000028e+01,-2.410415156107225394e-05
1.283999999999999986e+01,-1.750292149841342904e-01
1.285999999999999943e+01,5.270600544500243095e-02
1.287999999999999901e+01,-1.014263392855256213e-01
1.290000000000000036e+01,9.323537130064858680e-02
1.291999999999999993e+01,8.969033905600518053e-02
1.293999999999999950e+01,1.520970505207107359e-01
1.296000000000000085e+01,-6.963908475829505562e-02
1.298000000000000043e+01,6.634295780464952164e-02
1.300000000000000000e+01,7.673005029765830876e-02
1.301999999999999957e+01,1.014614592141468465e-02
1.303999999999999915e+01,2.543528742262189668e-02
1.306000000000000050e+01,2.336346587566381222e-02
1.308000000000000007e+01,-9.283953474761369451e-02
1.309999999999999964e+01,-1.038569467308546879e-01
1.312000000000000099e+01,-1.797963375644380246e-01
1.314000000000000057e+01,7.457335985601365458e-02
1.316000000000000014e+01,-3.009899001256256465e-02
1.317999999999999972e+01,8.146891669470145148e-02
1.319999999999999929e+01,1.402787617284713684e-01
1.322000000000000064e+01,1.189295384482047246e-01
1.324000000000000021e+01,-1.327614826531647862e-01
1.325999999999999979e+01,1.695844011865876300e-01
1.328000000000000114e+01,1.506750796495158300e-03
1.330000000000000071e+01,1.523669553846254687e-01
1.332000000000000028e+01,5.377103876223168766e-02
1.333999999999999986e+01,-1.737650040530521467e-01
1.335999999999999943e+01,1.165030501672052882e-01
1.337999999999999901e+01,-2.552710174955993144e-02
1.340000000000000036e+01,-6.580051651433853344e-02
1.341999999999999993e+01,-2.248542764571848096e-01
1.343999999999999950e+01,-8.521906340209892128e-02
1.346000000000000085e+01,9.537889904801745422e-02
1.348000000000000043e+01,5.181292737388564808e-03
1.350000000000000000e+01,8.648245535653037441e-02
1.351999999999999957e+01,1.739017720289251778e-01
1.353999999999999915e+01,1.127483292773994311e-01
1.356000000000000050e+01,-4.805683540789351671e-02
1.358000000000000007e+01,5.175887707202998962e-03
1.359999999999999964e+01,-7.709623838187704137e-02
1.362000000000000099e+01,-6.304750309554001120e-02
1.364000000000000057e+01,4.414874349760145034e-02
1.366000000000000014e+01,5.463577108719066145e-04
1.367999999999999972e+01,2.556427960202357630e-01
1.369999999999999929e+01,5.461926558935545351e-02
1.372000000000000064e+01,8.955595561654020043e-02
1.374000000000000021e+01,-4.269354914845500254e-02
1.375999999999999979e+01,-5.084875974351404926e-02
1.378000000000000114e+01,-1.314808262766415659e-01
1.380000000000000071e+01,1.040033150585025282e-02
1.382000000000000028e+01,1.104130124896057080e-01
1.383999999999999986e+01,-2.991920851744582499e-02
1.385999999999999943e+01,1.580723421503238968e-01
1.387999999999999901e+01,1.446720894363522913e-01
1.390000000000000036e+01,-4.171128564804701955e-02
1.391999999999999993e+01,1.995842808149953795e-01
1.393999999999999950e+01,2.755954262325917628e-02
1.396000000000000085e+01,-2.122207708600949705e-02
1.398000000000000043e+01,6.256957287884426511e-02
1.400000000000000000e+01,-6.199878154206641540e-02
1.401999999999999957e+01,1.438324045885079616e-01
1.403999999999999915e+01,4.867444155495097291e-02
1.406000000000000050e+01,1.324318044647319059e-01
1.408000000000000007e+01,-3.776902447222085790e-02
1.409999999999999964e+01,1.288008785192158445e-01
1.412000000000000099e+01,7.261391490192785347e-02
1.414000000000000057e+01,1.796871840553355276e-02
1.416000000000000014e+01,1.397437964604927516e-02
1.417999999999999972e+01,1.592608120868641841e-01
1.419999999999999929e+01,2.314144125347635667e-02
1.421999999999999886e+01,-3.568430465979366417e-02
1.424000000000000021e+01,-1.479928883656995708e-01
1.425999999999999979e+01,1.420807896111391140e-02
1.428000000000000114e+01,8.092538209863361920e-02
1.430000000000000071e+01,1.020645422012453341e-01
1.432000000000000028e+01,8.864711506103836736e-02
1.433999999999999986e+01,1.453618189146502204e-01
1.435999999999999943e+01,-6.258734304341526111e-02
1.437999999999999901e+01,4.551993894804720608e-02
1.440000000000000036e+01,3.790572472571706597e-01
1.441999999999999993e+01,2.133447429258004679e-01
1.444000000000000128e+01,1.041844219252162085e-01
