# 2Theta,Intensity
1.000000000000000000e+01,-6.585088443117074510e-03
1.001999999999999957e+01,1.122809932122219717e-01
1.003999999999999915e+01,1.058774311280507169e-01
1.006000000000000050e+01,-6.090958857050803033e-02
1.008000000000000007e+01,3.990456934498318869e-02
1.009999999999999964e+01,-1.867950011683432165e-02
1.011999999999999922e+01,2.136794891448810241e-01
1.014000000000000057e+01,-1.005882717213127525e-01
1.016000000000000014e+01,1.236293298984438849e-01
1.017999999999999972e+01,5.778968551612456012e-02
1.019999999999999929e+01,3.256262679398562176e-01
1.022000000000000064e+01,8.166442833082776520e-02
1.024000000000000021e+01,-4.558166327674421231e-02
1.025999999999999979e+01,6.276472119700528263e-02
1.027999999999999936e+01,1.409719527747984869e-01
1.030000000000000071e+01,1.518547175765451451e-01
1.032000000000000028e+01,5.672409848025912471e-02
1.033999999999999986e+01,6.487209882528641169e-02
1.035999999999999943e+01,-1.202319850814325373e-02
1.038000000000000078e+01,2.943406044416354006e-01
1.040000000000000036e+01,-5.030185797285633559e-02
1.041999999999999993e+01,2.144432513217363889e-01
1.043999999999999950e+01,5.654442921432908248e-02
1.046000000000000085e+01,9.490650835972884447e-02
1.048000000000000043e+01,6.509341837436508071e-02
1.050000000000000000e+01,3.056642492259092556e-02
1.051999999999999957e+01,-8.055596015378892541e-03
1.053999999999999915e+01,-5.861655650037612963e-02
1.056000000000000050e+01,6.878763504638926718e-02
1.058000000000000007e+01,-1.683023901610103401e-01
1.059999999999999964e+01,-2.836372851093883415e-02
1.061999999999999922e+01,2.144355928524620536e-01
1.064000000000000057e+01,2.012937265055305125e-01
1.066000000000000014e+01,1.628323979013984457e-01
1.067999999999999972e+01,3.727029850520743315e-01
1.069999999999999929e+01,-1.066224000746390926e-01
1.072000000000000064e+01,1.236999067240728972e-01
1.074000000000000021e+01,-7.040184071223229423e-02
1.075999999999999979e+01,1.224565393150020692e-01
1.077999999999999936e+01,1.172315628080346506e-01
1.080000000000000071e+01,-4.319573262123975466e-02
1.082000000000000028e+01,-3.800320733364201398e-02
1.083999999999999986e+01,1.258762713142187184e-01
1.085999999999999943e+01,2.081930659219002888e-01
1.088000000000000078e+01,-2.975316302563613471e-02
1.090000000000000036e+01,-3.745238188987300761e-03
1.091999999999999993e+01,-2.181182293340620457e-02
1.093999999999999950e+01,4.948002710569885006e-03
1.096000000000000085e+01,1.691381622664065443e-01
1.098000000000000043e+01,1.118504595593376311e-01
1.100000000000000000e+01,-1.502439531582124531e-02
1.101999999999999957e+01,2.282817412868229090e-01
1.103999999999999915e+01,9.059777716507103063e-02
1.106000000000000050e+01,8.762362035567063112e-02
1.108000000000000007e+01,-6.889941740400132297e-02
1.109999999999999964e+01,5.177777373460355770e-02
1.112000000000000099e+01,-1.277423314132707932e-01
1.114000000000000057e+01,9.287700039405621943e-02
1.116000000000000014e+01,3.675899136154681807e-02
1.117999999999999972e+01,1.243281726321159436e-01
