# 2Theta,Intensity
1.000000000000000000e+01,5.062907776402386130e-03
1.001999999999999957e+01,6.443355341220614874e-02
1.003999999999999915e+01,4.964741948507390978e-02
1.006000000000000050e+01,8.891281825534742833e-02
1.008000000000000007e+01,1.018807669692036039e-01
1.009999999999999964e+01,-1.213295695498837479e-01
1.011999999999999922e+01,7.627727820130766889e-02
1.014000000000000057e+01,1.922364038015086374e-01
1.016000000000000014e+01,5.555781159608700476e-02
1.017999999999999972e+01,4.768170604036357091e-02
1.019999999999999929e+01,3.151871286649515075e-02
1.022000000000000064e+01,-1.098157467285865857e-01
1.024000000000000021e+01,8.353385634709799279e-02
1.025999999999999979e+01,5.999791615280550966e-02
1.027999999999999936e+01,5.848895567324079864e-02
1.030000000000000071e+01,-3.875628650585892510e-02
1.032000000000000028e+01,1.036229059494052362e-01
1.033999999999999986e+01,-1.724371054420185956e-02
1.035999999999999943e+01,-1.114287577504287918e-01
1.038000000000000078e+01,1.285289939938933645e-01
1.040000000000000036e+01,4.582108911071914453e-02
1.041999999999999993e+01,9.692984992098420405e-02
1.043999999999999950e+01,-1.459282754952081172e-02
1.046000000000000085e+01,-1.238555836397802201e-01
1.048000000000000043e+01,-7.029965907726044849e-02
1.050000000000000000e+01,-4.678397933420359867e-02
1.051999999999999957e+01,9.419621074874406919e-02
1.053999999999999915e+01,1.390076810321732859e-01
1.056000000000000050e+01,-1.318426057786176442e-01
1.058000000000000007e+01,1.267146444480175271e-01
1.059999999999999964e+01,-1.491867956308959575e-01
1.061999999999999922e+01,1.635713798294331500e-01
1.064000000000000057e+01,9.797439884902954532e-02
1.066000000000000014e+01,1.085997682926918423e-01
1.067999999999999972e+01,-9.293240318142501066e-02
1.069999999999999929e+01,4.659845239572352193e-02
1.072000000000000064e+01,5.338423459749667283e-02
1.074000000000000021e+01,-5.267606633767264041e-02
1.075999999999999979e+01,1.849546984031233410e-01
1.077999999999999936e+01,1.436723352096305230e-02
1.080000000000000071e+01,2.679342661324959907e-02
1.082000000000000028e+01,1.604210457103667498e-01
1.083999999999999986e+01,-4.111996788445200501e-02
1.085999999999999943e+01,-2.701329039119816991e-02
1.088000000000000078e+01,-3.961381023414622254e-02
1.090000000000000036e+01,3.059254496024096937e-02
1.091999999999999993e+01,-2.905562679679892998e-02
1.093999999999999950e+01,7.399399984903844152e-02
1.096000000000000085e+01,2.673828369845949321e-02
1.098000000000000043e+01,1.982743695225866742e-01
1.100000000000000000e+01,2.195207682655248849e-01
1.101999999999999957e+01,-4.742393852010770572e-02
1.103999999999999915e+01,1.085039510618226177e-01
1.106000000000000050e+01,8.008157227105403009e-02
1.108000000000000007e+01,2.542963424432864369e-03
1.109999999999999964e+01,8.900139292770826993e-02
1.112000000000000099e+01,2.023341148835605119e-01
1.114000000000000057e+01,2.080237604092062265e-01
1.116000000000000014e+01,1.595060533552579152e-01
1.117999999999999972e+01,1.584884146684604686e-02
1.119999999999999929e+01,1.940370109591568470e-01
1.122000000000000064e+01,9.970769540081200755e-02
1.124000000000000021e+01,2.431011748903700309e-01
1.125999999999999979e+01,2.822241591924611881e-01
1.127999999999999936e+01,4.924681335108361258e-01
1.130000000000000071e+01,1.117082598701656160e+00
1.132000000000000028e+01,3.985329902658554690e+00
1.133999999999999986e+01,1.028550851248574105e+01
1.135999999999999943e+01,1.242609534040458286e+01
1.138000000000000078e+01,8.476553388164836278e+00
1.140000000000000036e+01,3.324431684547714205e+00
1.141999999999999993e+01,1.500976623292282763e+00
1.143999999999999950e+01,4.806524221066930669e-01
1.146000000000000085e+01,2.729332628444330333e-01
1.148000000000000043e+01,3.974130937408633657e-01
1.150000000000000000e+01,3.785702706674480833e-01
1.151999999999999957e+01,2.452554745598847785e-01
1.153999999999999915e+01,1.056698743668965379e-01
1.156000000000000050e+01,9.447803620990678775e-02
1.158000000000000007e+01,-3.859948622538952184e-02
1.159999999999999964e+01,1.157933941875374240e-01
1.162000000000000099e+01,2.411064331702445634e-02
1.164000000000000057e+01,-6.653179679962181736e-02
1.166000000000000014e+01,9.897913099982365293e-02
1.167999999999999972e+01,4.180455167063314992e-01
1.169999999999999929e+01,9.993163462404539010e-02
1.172000000000000064e+01,3.090100990642154211e-02
1.174000000000000021e+01,7.596007931315981732e-02
1.175999999999999979e+01,1.458490591303255590e-01
1.177999999999999936e+01,2.322380402217745499e-01
1.180000000000000071e+01,-1.956447441195406992e-02
1.182000000000000028e+01,-1.676725838001882352e-01
1.183999999999999986e+01,-1.974486406866002297e-02
1.185999999999999943e+01,3.604264327924731892e-03
1.188000000000000078e+01,1.480247549622335235e-01
1.190000000000000036e+01,-1.277019414118729657e-02
1.191999999999999993e+01,1.641562827079474096e-01
1.193999999999999950e+01,2.477156843250988560e-01
1.196000000000000085e+01,1.578858787715149981e-01
1.198000000000000043e+01,-4.641347739602792732e-02
1.200000000000000000e+01,1.036586201169385074e-01
1.201999999999999957e+01,-4.774638246213399467e-02
1.203999999999999915e+01,1.486548885666330588e-01
