# 2Theta,Intensity
1.000000000000000000e+01,3.525780788040760311e-02
1.001999999999999957e+01,5.226734917626280758e-02
1.003999999999999915e+01,1.223264038358157398e-02
1.006000000000000050e+01,-6.283132529367682628e-02
1.008000000000000007e+01,-7.679524680590221752e-02
1.009999999999999964e+01,1.326414639578120114e-01
1.011999999999999922e+01,5.344034329655784898e-02
1.014000000000000057e+01,1.451653610345673105e-03
1.016000000000000014e+01,2.496146450494646230e-01
1.017999999999999972e+01,4.676126297173306690e-02
1.019999999999999929e+01,1.513226155425348995e-01
1.022000000000000064e+01,2.839232017556181376e-01
1.024000000000000021e+01,-7.960875074659527761e-02
1.025999999999999979e+01,-5.438914080480829888e-02
1.027999999999999936e+01,3.610917920833747047e-02
1.030000000000000071e+01,-1.703785241805563511e-01
1.032000000000000028e+01,-2.595581904237432430e-02
1.033999999999999986e+01,3.197808288683169631e-02
1.035999999999999943e+01,5.290357471486079044e-02
1.038000000000000078e+01,-4.799176177584608960e-02
1.040000000000000036e+01,1.748793965272417705e-01
1.041999999999999993e+01,5.156055915534468043e-02
1.043999999999999950e+01,1.476127846385968667e-01
1.046000000000000085e+01,9.416020219712398220e-02
1.048000000000000043e+01,1.238547795558383492e-02
1.050000000000000000e+01,1.146542787474536945e-01
1.051999999999999957e+01,1.101666101078086074e-01
1.053999999999999915e+01,1.446200326530273639e-01
1.056000000000000050e+01,1.238677760805137751e-01
1.058000000000000007e+01,4.407581155153961205e-02
1.059999999999999964e+01,4.016581490430465307e-02
1.061999999999999922e+01,-7.299001685425521302e-02
1.064000000000000057e+01,-4.488438732978985990e-02
1.066000000000000014e+01,-3.035663562210018721e-02
1.067999999999999972e+01,-1.211753519749740743e-01
1.069999999999999929e+01,1.403165428554823020e-02
1.072000000000000064e+01,-5.726649976515648527e-02
1.074000000000000021e+01,1.453479923495986093e-01
1.075999999999999979e+01,2.040078841361151613e-02
1.077999999999999936e+01,1.345689902905936389e-03
1.080000000000000071e+01,2.513211953333103765e-01
1.082000000000000028e+01,3.442316624805235453e-02
1.083999999999999986e+01,-3.879693896841526768e-02
1.085999999999999943e+01,5.044257318985721078e-02
1.088000000000000078e+01,6.987670986831903686e-02
1.090000000000000036e+01,6.162367887729452987e-02
1.091999999999999993e+01,3.015142822738851522e-02
1.093999999999999950e+01,1.776826127487568241e-01
1.096000000000000085e+01,1.076336384345394914e-01
1.098000000000000043e+01,1.939635739747122278e-01
1.100000000000000000e+01,1.511669673311302198e-01
1.101999999999999957e+01,1.614321720533575810e-01
1.103999999999999915e+01,1.518977641582577344e-02
1.106000000000000050e+01,-4.187351370850366655e-03
1.108000000000000007e+01,-6.441062348261403225e-02
1.109999999999999964e+01,1.331567920093702263e-02
1.112000000000000099e+01,1.532567832826961796e-01
1.114000000000000057e+01,-6.717930653391221418e-02
1.116000000000000014e+01,-1.060442356090454397e-01
1.117999999999999972e+01,3.291438007639338210e-03
1.119999999999999929e+01,3.812010754305424076e-02
1.122000000000000064e+01,2.550081940757340515e-01
1.124000000000000021e+01,1.943328240877429391e-01
1.125999999999999979e+01,-1.514512071860834863e-01
1.127999999999999936e+01,3.926418125444762486e-02
1.130000000000000071e+01,1.622637621802859309e-01
1.132000000000000028e+01,-4.037820324033254693e-02
1.133999999999999986e+01,-1.624013490651302349e-01
1.135999999999999943e+01,1.502978375624784424e-01
1.138000000000000078e+01,4.308331943733402503e-02
1.140000000000000036e+01,1.259510620282565940e-01
1.141999999999999993e+01,8.918183008738607420e-02
1.143999999999999950e+01,-8.188125454353950561e-02
1.146000000000000085e+01,-7.287919613453765211e-02
1.148000000000000043e+01,1.143365232877288362e-01
1.150000000000000000e+01,-6.176382825038388008e-02
1.151999999999999957e+01,5.955658891527668836e-02
1.153999999999999915e+01,4.189721405214599792e-02
1.156000000000000050e+01,6.608329954232496084e-02
1.158000000000000007e+01,-1.461479486225190916e-01
1.159999999999999964e+01,1.784252672054007782e-01
1.162000000000000099e+01,1.399971390569007823e-01
1.164000000000000057e+01,8.113172600403233126e-02
1.166000000000000014e+01,1.929770140988226468e-01
