# 2Theta,Intensity
1.000000000000000000e+01,2.665549441547176990e-02
1.001999999999999957e+01,-1.150768820484446148e-01
1.003999999999999915e+01,-1.187961523897590049e-01
1.006000000000000050e+01,1.698468788068505445e-02
1.008000000000000007e+01,9.585835415395033143e-02
1.009999999999999964e+01,1.089810762660174265e-01
1.011999999999999922e+01,-8.566314623705648112e-02
1.014000000000000057e+01,3.772760164637794372e-02
1.016000000000000014e+01,-2.934676718424429533e-03
1.017999999999999972e+01,3.003781588584795714e-01
1.019999999999999929e+01,6.256554761966605371e-03
1.022000000000000064e+01,-1.744566299527402706e-02
1.024000000000000021e+01,-7.829409529543140955e-02
1.025999999999999979e+01,-7.776139921114726128e-02
1.027999999999999936e+01,-2.107682647499479686e-02
1.030000000000000071e+01,2.594999174819839771e-01
1.032000000000000028e+01,-7.988215463349615519e-02
1.033999999999999986e+01,1.883249007079111914e-01
1.035999999999999943e+01,9.565387983642065217e-02
1.038000000000000078e+01,-5.811897962248558508e-02
1.040000000000000036e+01,-4.804401805347911780e-02
1.041999999999999993e+01,5.617786207001458643e-02
1.043999999999999950e+01,9.076156203725394001e-02
1.046000000000000085e+01,7.624052756679333687e-02
1.048000000000000043e+01,1.268334487080460815e-01
1.050000000000000000e+01,-6.423124362598410519e-02
1.051999999999999957e+01,8.039531233946911604e-02
1.053999999999999915e+01,1.154199819731929061e-01
1.056000000000000050e+01,4.610767255023606737e-02
1.058000000000000007e+01,6.397134946655270993e-02
1.059999999999999964e+01,5.814951298303437655e-02
1.061999999999999922e+01,6.683484151885639435e-02
1.064000000000000057e+01,-1.228118491349582120e-01
1.066000000000000014e+01,-2.421362855308229756e-01
1.067999999999999972e+01,1.141288346816695248e-01
1.069999999999999929e+01,-4.143789394920645991e-02
1.072000000000000064e+01,1.088999310196531178e-01
1.074000000000000021e+01,-1.177922604853120780e-01
1.075999999999999979e+01,3.106476462024652246e-02
1.077999999999999936e+01,4.846187697819411694e-03
1.080000000000000071e+01,8.556207868907041159e-02
1.082000000000000028e+01,2.185088997956819434e-01
1.083999999999999986e+01,1.452638749432167975e-01
1.085999999999999943e+01,-1.313675054829213651e-01
1.088000000000000078e+01,1.552498697842161907e-02
1.090000000000000036e+01,-4.499271515025272256e-02
1.091999999999999993e+01,5.091030977659525419e-02
1.093999999999999950e+01,-8.716779173596515828e-02
1.096000000000000085e+01,1.301072581819409379e-01
1.098000000000000043e+01,-7.554873192320911077e-03
1.100000000000000000e+01,1.129320508831432729e-01
1.101999999999999957e+01,6.398347891323885595e-02
1.103999999999999915e+01,1.666831477479900903e-01
1.106000000000000050e+01,-2.792779468343018628e-02
1.108000000000000007e+01,7.214358036488141557e-02
1.109999999999999964e+01,-1.398370484548445460e-02
1.112000000000000099e+01,1.510969858941397237e-01
1.114000000000000057e+01,1.732924006604890932e-01
1.116000000000000014e+01,-1.101673035902176190e-01
1.117999999999999972e+01,1.104414856775081805e-01
1.119999999999999929e+01,1.380496591308131432e-02
1.122000000000000064e+01,-2.627751190823978539e-02
1.124000000000000021e+01,9.835281699734285676e-02
1.125999999999999979e+01,3.390165262237453125e-02
1.127999999999999936e+01,-2.237468751754915358e-02
1.130000000000000071e+01,-1.784289370553772680e-01
1.132000000000000028e+01,-2.728485785279182504e-03
1.133999999999999986e+01,6.608817699961046233e-02
1.135999999999999943e+01,-1.080539701253040857e-01
1.138000000000000078e+01,-1.085960366188318954e-01
1.140000000000000036e+01,-8.101671823969959496e-02
1.141999999999999993e+01,1.232473947172736534e-01
1.143999999999999950e+01,-3.025804111936752222e-02
1.146000000000000085e+01,-9.636606409206145696e-02
1.148000000000000043e+01,2.981463877719527436e-02
1.150000000000000000e+01,-3.170995947335492754e-02
1.151999999999999957e+01,6.289125598818126606e-02
1.153999999999999915e+01,1.494308702537932854e-01
1.156000000000000050e+01,-1.384993861084636568e-01
1.158000000000000007e+01,2.826370049117407982e-02
1.159999999999999964e+01,-9.282842258964234261e-02
1.162000000000000099e+01,-1.184287774555182193e-01
1.164000000000000057e+01,-1.069346569582139139e-01
1.166000000000000014e+01,1.438914855915324476e-01
1.167999999999999972e+01,-1.305727242735950366e-01
1.169999999999999929e+01,6.481653314469779104e-02
1.172000000000000064e+01,2.274951950954241520e-01
1.174000000000000021e+01,5.246395853887714233e-02
1.175999999999999979e+01,-9.862258254962846804e-02
1.177999999999999936e+01,1.715652500604546993e-01
1.180000000000000071e+01,6.294898013550759286e-02
1.182000000000000028e+01,6.202822194908014924e-02
1.183999999999999986e+01,9.046574061664609118e-03
1.185999999999999943e+01,-8.902570858659464986e-03
1.188000000000000078e+01,7.784393675644045441e-02
1.190000000000000036e+01,-2.732423591748146460e-02
1.191999999999999993e+01,-1.465616478655091537e-01
1.193999999999999950e+01,2.432456882175754523e-02
1.196000000000000085e+01,-5.356857381346413760e-02
1.198000000000000043e+01,3.493814045223900266e-02
1.200000000000000000e+01,-1.537346781036749016e-02
1.201999999999999957e+01,1.203205780247186274e-01
1.203999999999999915e+01,3.185676180858956763e-02
1.206000000000000050e+01,-6.003670490103885787e-02
1.208000000000000007e+01,7.171523363035134380e-02
1.209999999999999964e+01,7.703344295105719886e-02
1.212000000000000099e+01,1.336812563003542675e-01
1.214000000000000057e+01,2.541929179159461982e-02
1.216000000000000014e+01,5.652123195414360951e-02
1.217999999999999972e+01,2.431507129564640657e-01
1.219999999999999929e+01,3.601032769048760629e-02
1.222000000000000064e+01,3.815950466530552976e-02
1.224000000000000021e+01,1.063696347922295643e-01
1.225999999999999979e+01,2.049290943695027956e-01
1.228000000000000114e+01,-1.499720976614689859e-02
1.230000000000000071e+01,-5.353917656656404650e-02
1.232000000000000028e+01,4.539983826210073486e-02
1.233999999999999986e+01,9.062249710122666224e-02
1.235999999999999943e+01,-1.279168615997932912e-01
1.237999999999999901e+01,9.695387940767297152e-02
1.240000000000000036e+01,-1.475969888235376809e-02
1.241999999999999993e+01,-1.180536968118331836e-01
1.243999999999999950e+01,1.269048765328817108e-01
1.246000000000000085e+01,1.045760646943661998e-01
1.248000000000000043e+01,5.955058549180857613e-02
1.250000000000000000e+01,1.017431511965074115e-01
1.251999999999999957e+01,-5.374540995523757053e-02
1.253999999999999915e+01,1.526873042148077786e-01
1.256000000000000050e+01,1.298488505530884796e-01
1.258000000000000007e+01,6.306354260087852770e-02
1.259999999999999964e+01,3.193224398152069016e-02
1.262000000000000099e+01,-9.888621008985885169e-03
1.264000000000000057e+01,6.193759605686856989e-02
1.266000000000000014e+01,7.329727572329154672e-02
1.267999999999999972e+01,1.766620526021427384e-01
1.269999999999999929e+01,4.001270720954056698e-02
1.272000000000000064e+01,4.981532924289400893e-02
1.274000000000000021e+01,8.366468690973076494e-02
1.275999999999999979e+01,-6.120906384794665839e-02
1.278000000000000114e+01,-6.148866968847979675e-02
1.280000000000000071e+01,4.109927808106982744e-02
1.282000000000000028e+01,-9.308507774442158211e-02
1.283999999999999986e+01,1.323466177442710057e-01
1.285999999999999943e+01,-2.733828791515772322e-02
1.287999999999999901e+01,1.170877523206886178e-02
1.290000000000000036e+01,-8.758584080293917162e-02
1.291999999999999993e+01,1.875906096130193490e-01
1.293999999999999950e+01,1.181193128958359095e-01
1.296000000000000085e+01,1.753113221672114239e-02
1.298000000000000043e+01,3.994831447163230825e-02
1.300000000000000000e+01,-4.662940512454610831e-03
1.301999999999999957e+01,6.291466086807886993e-02
1.303999999999999915e+01,2.058067671719659708e-01
1.306000000000000050e+01,1.462097342211585438e-01
1.308000000000000007e+01,-4.848466114569449648e-02
1.309999999999999964e+01,1.218374419740925474e-01
