# 2Theta,Intensity
1.000000000000000000e+01,4.721209275194859778e-01
1.001999999999999957e+01,6.478719774557151201e-01
1.003999999999999915e+01,4.029342000721235495e-01
1.006000000000000050e+01,3.610545815461035923e-01
1.008000000000000007e+01,5.353914521672574756e-01
1.009999999999999964e+01,5.722451885681377748e-01
1.011999999999999922e+01,4.721447713551187864e-01
1.014000000000000057e+01,4.431918827950665496e-01
1.016000000000000014e+01,5.052882173238807395e-01
1.017999999999999972e+01,4.807320512019444547e-01
1.019999999999999929e+01,1.867837491399480798e-01
1.022000000000000064e+01,3.426841296392084124e-01
1.024000000000000021e+01,8.114142963802387643e-01
1.025999999999999979e+01,5.615039088108118026e-01
1.027999999999999936e+01,5.553683541501059917e-01
1.030000000000000071e+01,4.352998378846572591e-01
1.032000000000000028e+01,2.503084862194632776e-01
1.033999999999999986e+01,7.397335354252245754e-01
1.035999999999999943e+01,5.517913557081149944e-01
1.038000000000000078e+01,3.734529284131983262e-01
1.040000000000000036e+01,3.409248192696014423e-01
1.041999999999999993e+01,3.549613881833104112e-01
1.043999999999999950e+01,5.672035935881670765e-01
1.046000000000000085e+01,3.701634042652480749e-01
1.048000000000000043e+01,3.610987107005000363e-01
1.050000000000000000e+01,8.500814926601257815e-01
1.051999999999999957e+01,2.212403798407330258e-01
1.053999999999999915e+01,5.010224123640983906e-01
1.056000000000000050e+01,3.553404464932914397e-01
1.058000000000000007e+01,5.550181980770413359e-01
1.059999999999999964e+01,4.116069347678599222e-01
1.061999999999999922e+01,2.795584876319824330e-01
1.064000000000000057e+01,6.574756593546520200e-01
1.066000000000000014e+01,3.723148778041450169e-01
1.067999999999999972e+01,4.658439371814915853e-01
1.069999999999999929e+01,4.598082877883633568e-01
1.072000000000000064e+01,4.992028319072071563e-01
1.074000000000000021e+01,5.227457278361092863e-01
1.075999999999999979e+01,4.311408013530917960e-01
1.077999999999999936e+01,3.827291445368385947e-01
1.080000000000000071e+01,4.555809583565700316e-01
1.082000000000000028e+01,2.789304759879174811e-01
1.083999999999999986e+01,3.356849238994400464e-01
1.085999999999999943e+01,4.590321613463934636e-01
1.088000000000000078e+01,3.146811660169329672e-01
1.090000000000000036e+01,5.402070472093416509e-01
1.091999999999999993e+01,3.746328914611668504e-01
1.093999999999999950e+01,5.198089985413928416e-01
1.096000000000000085e+01,4.814608644044672259e-01
1.098000000000000043e+01,7.592649891873677337e-01
1.100000000000000000e+01,5.551441552086213704e-01
1.101999999999999957e+01,3.505879224702632135e-01
1.103999999999999915e+01,4.486839777181377831e-01
1.106000000000000050e+01,3.626016669702079587e-01
1.108000000000000007e+01,3.997356404531977603e-01
1.109999999999999964e+01,3.398303753835395513e-01
1.112000000000000099e+01,4.676853271816112101e-01
1.114000000000000057e+01,4.394830790401044740e-01
1.116000000000000014e+01,5.274681599218370431e-01
1.117999999999999972e+01,3.284469065069884897e-01
1.119999999999999929e+01,1.860177050941055898e-01
1.122000000000000064e+01,2.383361267142917739e-01
1.124000000000000021e+01,5.587207515840291183e-01
1.125999999999999979e+01,4.093314989736762111e-01
1.127999999999999936e+01,5.362208226153025725e-01
1.130000000000000071e+01,7.145547567984600335e-01
1.132000000000000028e+01,5.605111867981964480e-01
1.133999999999999986e+01,3.403921846074752233e-01
1.135999999999999943e+01,8.119292862469019711e-01
1.138000000000000078e+01,5.457403840248867821e-01
1.140000000000000036e+01,6.193060064270361487e-01
1.141999999999999993e+01,2.442871184441194610e-01
1.143999999999999950e+01,5.317318444784754350e-01
1.146000000000000085e+01,3.631801635290545227e-01
1.148000000000000043e+01,3.819669710197806101e-01
1.150000000000000000e+01,6.011558794585306620e-01
1.151999999999999957e+01,6.632013695758185445e-01
1.153999999999999915e+01,4.708505202131062495e-01
1.156000000000000050e+01,5.711686057775416936e-01
1.158000000000000007e+01,3.622512894540612649e-01
1.159999999999999964e+01,7.035929105380778203e-01
1.162000000000000099e+01,6.792408025160826535e-01
1.164000000000000057e+01,2.219531984335525732e-01
1.166000000000000014e+01,3.617105287594476470e-01
1.167999999999999972e+01,4.392199952052928125e-01
1.169999999999999929e+01,3.766219480102248607e-01
1.172000000000000064e+01,7.985427310085363439e-02
1.174000000000000021e+01,2.135425234404803030e-01
1.175999999999999979e+01,6.017219939159972331e-01
1.177999999999999936e+01,3.358595136217161214e-01
1.180000000000000071e+01,4.894496665393531787e-01
1.182000000000000028e+01,3.029248820686789023e-01
1.183999999999999986e+01,1.809042437242026069e-01
1.185999999999999943e+01,3.088266942950212424e-01
1.188000000000000078e+01,2.734443038665601011e-01
1.190000000000000036e+01,5.578239946788154935e-01
1.191999999999999993e+01,3.382063602687833126e-01
1.193999999999999950e+01,4.252043016162930233e-01
1.196000000000000085e+01,2.808745693730236859e-01
1.198000000000000043e+01,5.095132468272797199e-01
1.200000000000000000e+01,3.423193920305810378e-01
1.201999999999999957e+01,4.482885971988105900e-01
1.203999999999999915e+01,6.427965950754043201e-01
1.206000000000000050e+01,4.420755423303704967e-01
1.208000000000000007e+01,4.249978249434102628e-01
1.209999999999999964e+01,6.143777113539173884e-01
1.212000000000000099e+01,7.326301712469943661e-01
1.214000000000000057e+01,5.804847017306874468e-01
1.216000000000000014e+01,6.339677405018192546e-01
1.217999999999999972e+01,6.170243980134269002e-01
1.219999999999999929e+01,3.671388272180247658e-01
1.222000000000000064e+01,4.899919889014893726e-01
1.224000000000000021e+01,6.743754216237527466e-01
1.225999999999999979e+01,4.649542810616655863e-01
1.228000000000000114e+01,4.855135232658729927e-01
1.230000000000000071e+01,2.858639441737848563e-01
1.232000000000000028e+01,4.880419238392564862e-01
1.233999999999999986e+01,3.596637731626555201e-01
1.235999999999999943e+01,2.821497905282751018e-01
1.237999999999999901e+01,2.731513263067795183e-01
1.240000000000000036e+01,4.096562833263184822e-01
1.241999999999999993e+01,3.392682262213456146e-01
1.243999999999999950e+01,4.511646678628315477e-01
1.246000000000000085e+01,7.302296929483279575e-01
1.248000000000000043e+01,2.200703254021770805e-01
1.250000000000000000e+01,5.640326851971660949e-01
1.251999999999999957e+01,5.000380371806709690e-01
1.253999999999999915e+01,6.059995456466152897e-01
1.256000000000000050e+01,4.551907550249706946e-01
1.258000000000000007e+01,6.123524833714432125e-01
1.259999999999999964e+01,5.158842919804833560e-01
1.262000000000000099e+01,3.777948331507424706e-01
1.264000000000000057e+01,5.878710613470130575e-01
1.266000000000000014e+01,4.155519977200778370e-01
1.267999999999999972e+01,4.277323147829124594e-01
1.269999999999999929e+01,3.831962135847852280e-01
1.272000000000000064e+01,3.020897840189991634e-01
1.274000000000000021e+01,4.135299106364258570e-01
1.275999999999999979e+01,4.431163116281632286e-01
1.278000000000000114e+01,2.627073606199386013e-01
1.280000000000000071e+01,3.930202566214867632e-01
1.282000000000000028e+01,4.419971967290738935e-01
1.283999999999999986e+01,5.626999468631010970e-01
1.285999999999999943e+01,1.603373147692606915e-01
1.287999999999999901e+01,7.628221766648244362e-01
1.290000000000000036e+01,4.417741054936045741e-01
1.291999999999999993e+01,3.291150457358297809e-01
1.293999999999999950e+01,3.973151351781548657e-01
1.296000000000000085e+01,4.299792750604829461e-01
1.298000000000000043e+01,6.136641411214830422e-01
1.300000000000000000e+01,6.547987590960286930e-01
1.301999999999999957e+01,3.295891645680891768e-01
1.303999999999999915e+01,4.460685200352707686e-02
1.306000000000000050e+01,3.282224804888098646e-01
1.308000000000000007e+01,2.505279563574058233e-01
1.309999999999999964e+01,2.992959621073666976e-01
1.312000000000000099e+01,3.099062814418406253e-01
1.314000000000000057e+01,5.100671697692920059e-01
1.316000000000000014e+01,6.734831450172191758e-01
1.317999999999999972e+01,3.455376198911762620e-01
1.319999999999999929e+01,5.264746311829717751e-01
1.322000000000000064e+01,5.573566206917875965e-01
1.324000000000000021e+01,3.152949689282259493e-01
1.325999999999999979e+01,4.295723572146046276e-01
1.328000000000000114e+01,5.740006711629114244e-01
1.330000000000000071e+01,5.243845201210464158e-01
1.332000000000000028e+01,7.097863336034717641e-01
1.333999999999999986e+01,6.157543049728556595e-01
1.335999999999999943e+01,5.035085287073514104e-01
1.337999999999999901e+01,5.043887848512469407e-01
1.340000000000000036e+01,2.725699863737085504e-01
1.341999999999999993e+01,4.404349024681366576e-01
1.343999999999999950e+01,5.529137239622959887e-01
1.346000000000000085e+01,6.219047625043790939e-01
1.348000000000000043e+01,5.762940035000345684e-01
1.350000000000000000e+01,5.201090786857667236e-01
1.351999999999999957e+01,3.990302614610650722e-01
1.353999999999999915e+01,7.630221199667019949e-01
1.356000000000000050e+01,5.288908076591359864e-01
1.358000000000000007e+01,5.378495944689807295e-01
1.359999999999999964e+01,2.898013162413266008e-01
1.362000000000000099e+01,5.302350994975398857e-01
1.364000000000000057e+01,8.559867326720369540e-01
1.366000000000000014e+01,3.214841096814572419e-01
1.367999999999999972e+01,6.024030368305878236e-01
1.369999999999999929e+01,6.596537910476155675e-01
1.372000000000000064e+01,4.241646860628156546e-01
1.374000000000000021e+01,5.974760072259679422e-01
1.375999999999999979e+01,4.751505688533519955e-01
1.378000000000000114e+01,6.169622466940773986e-01
1.380000000000000071e+01,6.075440598542245496e-01
1.382000000000000028e+01,5.374366264476243549e-01
1.383999999999999986e+01,4.009857203590809771e-01
1.385999999999999943e+01,6.791555517122995766e-01
1.387999999999999901e+01,4.904912292720379208e-01
1.390000000000000036e+01,5.762031859561937974e-01
1.391999999999999993e+01,7.248288676300029820e-01
1.393999999999999950e+01,5.388556169826687059e-01
1.396000000000000085e+01,7.769231552947588604e-01
1.398000000000000043e+01,2.411167775144082148e-01
1.400000000000000000e+01,4.394355500834146722e-01
1.401999999999999957e+01,6.493334977311544520e-01
1.403999999999999915e+01,3.873220240963594074e-01
1.406000000000000050e+01,7.812976387877786921e-01
1.408000000000000007e+01,5.529515542459638722e-01
1.409999999999999964e+01,6.149042446123117456e-01
1.412000000000000099e+01,4.710884236617390863e-01
1.414000000000000057e+01,7.470719398810041767e-01
1.416000000000000014e+01,8.815491384557625487e-01
1.417999999999999972e+01,3.193680192145966767e-01
1.419999999999999929e+01,3.155443063191178399e-01
1.421999999999999886e+01,6.390401887054883989e-01
1.424000000000000021e+01,7.260168713759969084e-01
1.425999999999999979e+01,7.062327800914041109e-01
1.428000000000000114e+01,5.351349519443551195e-01
1.430000000000000071e+01,7.177191596930899697e-01
1.432000000000000028e+01,1.277666678381421228e+00
1.433999999999999986e+01,1.058486945172873783e+00
1.435999999999999943e+01,1.298252451887921266e+00
1.437999999999999901e+01,1.404305372863921209e+00
1.440000000000000036e+01,1.593634136956645353e+00
1.441999999999999993e+01,2.015771698119838362e+00
1.444000000000000128e+01,2.491511593641809519e+00
1.446000000000000085e+01,4.037833531896066752e+00
1.448000000000000043e+01,1.013900723921440061e+01
1.450000000000000000e+01,2.959469774155586919e+01
1.451999999999999957e+01,7.141566176712322545e+01
