# 2Theta,Intensity
1.000000000000000000e+01,4.907122255087253970e-01
1.001999999999999957e+01,6.081529481158645112e-01
1.003999999999999915e+01,4.770602396049744565e-01
1.006000000000000050e+01,3.576891577373909059e-01
1.008000000000000007e+01,3.297759409592916913e-01
1.009999999999999964e+01,4.233886080682784381e-01
1.011999999999999922e+01,2.331451806119668735e-01
1.014000000000000057e+01,4.047276697299644899e-01
1.016000000000000014e+01,4.820441679692934467e-01
1.017999999999999972e+01,2.885935236614395882e-01
1.019999999999999929e+01,2.861404735686325917e-01
1.022000000000000064e+01,5.327945077910301030e-01
1.024000000000000021e+01,5.697944687930484031e-01
1.025999999999999979e+01,6.264129943108945886e-01
1.027999999999999936e+01,3.156638262215478719e-01
1.030000000000000071e+01,3.516499584930601885e-01
1.032000000000000028e+01,3.233836986404860503e-01
1.033999999999999986e+01,4.562369437898535218e-01
1.035999999999999943e+01,6.967660591170203865e-01
1.038000000000000078e+01,2.189512883888722339e-01
1.040000000000000036e+01,7.662696093087864035e-01
1.041999999999999993e+01,5.691234253271418853e-01
1.043999999999999950e+01,2.152173661418370909e-01
1.046000000000000085e+01,5.410532796093860952e-01
1.048000000000000043e+01,2.194217757861759155e-01
1.050000000000000000e+01,5.359846005653297052e-01
1.051999999999999957e+01,6.713262412269045409e-01
1.053999999999999915e+01,4.752967096057924001e-01
1.056000000000000050e+01,4.686043620255209152e-01
1.058000000000000007e+01,4.981280841475363430e-01
1.059999999999999964e+01,3.263019802425362603e-01
1.061999999999999922e+01,4.961582705305981333e-01
1.064000000000000057e+01,4.482727910442765307e-01
1.066000000000000014e+01,3.609997217757509036e-01
1.067999999999999972e+01,6.380690987157070504e-01
1.069999999999999929e+01,4.762548078896101655e-01
1.072000000000000064e+01,3.794766775933365310e-01
1.074000000000000021e+01,4.956147749184744988e-01
1.075999999999999979e+01,3.601315748922502835e-01
1.077999999999999936e+01,4.524999378846762954e-01
1.080000000000000071e+01,2.472484307194871278e-01
1.082000000000000028e+01,4.867827705888159717e-01
1.083999999999999986e+01,5.996677548542290737e-01
1.085999999999999943e+01,2.945837448340982156e-01
1.088000000000000078e+01,4.456814018582671566e-01
1.090000000000000036e+01,4.964010593253168624e-01
1.091999999999999993e+01,4.954223009675769451e-01
1.093999999999999950e+01,4.570914595506091471e-01
1.096000000000000085e+01,4.844303615692053255e-01
1.098000000000000043e+01,6.651659771590449077e-01
1.100000000000000000e+01,3.232201201038998883e-01
1.101999999999999957e+01,4.017019543831740203e-02
1.103999999999999915e+01,4.433253428417603947e-01
1.106000000000000050e+01,4.129748345528082010e-01
1.108000000000000007e+01,5.245768549000838776e-01
1.109999999999999964e+01,2.861546542428133333e-01
1.112000000000000099e+01,3.351688881276300158e-01
1.114000000000000057e+01,7.388674239797400345e-01
1.116000000000000014e+01,3.383719532431107568e-01
1.117999999999999972e+01,3.739540267138286578e-01
1.119999999999999929e+01,3.965719898638641050e-01
1.122000000000000064e+01,7.750954244462271436e-01
1.124000000000000021e+01,5.537620574619938063e-01
1.125999999999999979e+01,5.715487818026517841e-01
1.127999999999999936e+01,6.156186146977579154e-01
1.130000000000000071e+01,4.462237512177782972e-01
1.132000000000000028e+01,4.917908330090846603e-01
1.133999999999999986e+01,3.009461056951957536e-01
1.135999999999999943e+01,5.010248947747936166e-01
1.138000000000000078e+01,5.201186296828497202e-01
1.140000000000000036e+01,3.589106769452919954e-01
1.141999999999999993e+01,3.448205311726993405e-01
1.143999999999999950e+01,4.244309292503567477e-01
1.146000000000000085e+01,3.005755298585636726e-01
1.148000000000000043e+01,3.424567475883165124e-01
1.150000000000000000e+01,4.883587488872404569e-01
1.151999999999999957e+01,3.999907747171031480e-01
1.153999999999999915e+01,6.747843713704755331e-01
1.156000000000000050e+01,5.884447229321119188e-01
1.158000000000000007e+01,5.131299037769727622e-01
1.159999999999999964e+01,2.823283354822371249e-01
1.162000000000000099e+01,3.490290392173502343e-01
1.164000000000000057e+01,5.586242551571072301e-01
1.166000000000000014e+01,2.564936544049893352e-01
1.167999999999999972e+01,3.210229755894932757e-01
1.169999999999999929e+01,4.587203531581855454e-01
1.172000000000000064e+01,4.820097180363051570e-01
1.174000000000000021e+01,2.801428414568742919e-01
1.175999999999999979e+01,2.312151145517434281e-01
1.177999999999999936e+01,3.901717306628126880e-01
1.180000000000000071e+01,2.558912661527054655e-01
1.182000000000000028e+01,6.720633609307193890e-01
1.183999999999999986e+01,4.186716825446791801e-01
1.185999999999999943e+01,6.890410086965427228e-01
1.188000000000000078e+01,4.629466028673980271e-01
