# 2Theta,Intensity
1.000000000000000000e+01,1.910978234229760431e-01
1.001999999999999957e+01,1.499078926203001594e-01
1.003999999999999915e+01,1.818819845623840040e-02
1.006000000000000050e+01,-1.660026724010230104e-01
1.008000000000000007e+01,-6.695317393187723287e-02
1.009999999999999964e+01,9.484492885521729477e-02
1.011999999999999922e+01,1.771911986078245349e-01
1.014000000000000057e+01,4.090887033961164432e-02
1.016000000000000014e+01,5.873715173339901646e-02
1.017999999999999972e+01,8.326147652908021113e-02
1.019999999999999929e+01,1.756287423479631904e-01
1.022000000000000064e+01,1.716667098251094814e-01
1.024000000000000021e+01,-2.046350995698927033e-01
1.025999999999999979e+01,8.185197986234997447e-02
1.027999999999999936e+01,2.286721785508850080e-01
1.030000000000000071e+01,1.519282535518553523e-01
1.032000000000000028e+01,1.774651758676529592e-02
1.033999999999999986e+01,1.792427824462927421e-01
1.035999999999999943e+01,6.040449813906942529e-03
1.038000000000000078e+01,1.660369428796208413e-01
1.040000000000000036e+01,7.080050042898478058e-02
1.041999999999999993e+01,-3.464312181078851860e-02
1.043999999999999950e+01,2.844476090058705164e-01
1.046000000000000085e+01,-6.924129709638571217e-02
1.048000000000000043e+01,2.164635678578489264e-01
1.050000000000000000e+01,1.189835039277631068e-01
1.051999999999999957e+01,1.149360829911620918e-01
1.053999999999999915e+01,4.030531690109373684e-03
1.056000000000000050e+01,-4.969168739703260645e-02
1.058000000000000007e+01,1.991393194105195788e-02
1.059999999999999964e+01,2.578102981487180936e-02
1.061999999999999922e+01,2.586406863551715674e-01
1.064000000000000057e+01,6.669500633241406962e-02
1.066000000000000014e+01,8.334219401213278922e-02
1.067999999999999972e+01,1.273607742634016993e-01
1.069999999999999929e+01,1.598527163099771886e-01
1.072000000000000064e+01,1.376634381242643757e-01
1.074000000000000021e+01,5.703803078916253738e-02
1.075999999999999979e+01,1.370123187189522529e-01
1.077999999999999936e+01,1.475924409625957168e-01
1.080000000000000071e+01,1.832621487204538491e-01
1.082000000000000028e+01,1.100444775156612653e-01
1.083999999999999986e+01,7.439917703758935907e-02
1.085999999999999943e+01,4.108799111190757775e-02
1.088000000000000078e+01,9.529824522559225686e-02
1.090000000000000036e+01,2.930187284221339589e-02
1.091999999999999993e+01,4.487370359840067713e-02
1.093999999999999950e+01,1.149786276890362724e-01
1.096000000000000085e+01,2.829359250574126627e-01
1.098000000000000043e+01,3.106606622467497081e-01
1.100000000000000000e+01,1.169791481537244271e-01
1.101999999999999957e+01,5.854004101996258119e-02
1.103999999999999915e+01,1.421240202516458051e-01
1.106000000000000050e+01,1.849042363540183698e-01
1.108000000000000007e+01,7.774520399950059224e-02
1.109999999999999964e+01,4.745170637068395897e-02
1.112000000000000099e+01,8.825315036674227787e-02
1.114000000000000057e+01,-1.173142595721532871e-01
1.116000000000000014e+01,1.640244964385920504e-02
1.117999999999999972e+01,8.367620008360363709e-03
1.119999999999999929e+01,-2.159615525952103265e-01
1.122000000000000064e+01,1.198737351962957977e-02
1.124000000000000021e+01,1.820846685152177069e-01
1.125999999999999979e+01,5.459130241562951819e-02
1.127999999999999936e+01,7.320011577913580758e-02
1.130000000000000071e+01,4.850394982230275473e-04
1.132000000000000028e+01,1.419133447905102097e-01
1.133999999999999986e+01,5.300325319747160868e-02
1.135999999999999943e+01,-6.481857454646686167e-02
1.138000000000000078e+01,1.632355042425625846e-01
1.140000000000000036e+01,3.333664432879522854e-01
1.141999999999999993e+01,4.142253817199366417e-02
1.143999999999999950e+01,2.066928005069115087e-02
1.146000000000000085e+01,1.757759966918810701e-01
1.148000000000000043e+01,8.316442798845383177e-02
1.150000000000000000e+01,1.168259491537248923e-01
1.151999999999999957e+01,-6.158663302914335093e-03
1.153999999999999915e+01,1.369442548373789037e-01
1.156000000000000050e+01,1.515839288228417459e-01
1.158000000000000007e+01,-8.609843457636158492e-02
1.159999999999999964e+01,3.416151830834040538e-03
1.162000000000000099e+01,7.738491663637035722e-02
1.164000000000000057e+01,7.748834370790821935e-02
1.166000000000000014e+01,4.250966834238113085e-02
1.167999999999999972e+01,1.241006159482579002e-01
1.169999999999999929e+01,1.754160465046648298e-01
1.172000000000000064e+01,2.997217672191507254e-01
1.174000000000000021e+01,1.611382582643471062e-01
1.175999999999999979e+01,2.098374501795145439e-03
1.177999999999999936e+01,5.341822975234113841e-02
1.180000000000000071e+01,2.712002714154655991e-01
1.182000000000000028e+01,2.251926143139038050e-01
1.183999999999999986e+01,1.101340777654342962e-01
1.185999999999999943e+01,1.020582784746878885e-01
1.188000000000000078e+01,8.753662600511762093e-02
1.190000000000000036e+01,6.254286670109687751e-02
1.191999999999999993e+01,-3.665043450778508044e-03
1.193999999999999950e+01,-6.245535305067551057e-02
1.196000000000000085e+01,4.887823817116303954e-02
1.198000000000000043e+01,8.647714434922867954e-02
1.200000000000000000e+01,1.543332484041461672e-01
1.201999999999999957e+01,2.065105103910021556e-01
1.203999999999999915e+01,2.135246071591770656e-01
1.206000000000000050e+01,1.693711451092080600e-01
1.208000000000000007e+01,2.975071575010843072e-01
1.209999999999999964e+01,9.117819723920518593e-02
1.212000000000000099e+01,4.937123765713136159e-02
1.214000000000000057e+01,9.463327851919197189e-03
1.216000000000000014e+01,-1.262550333252477897e-01
1.217999999999999972e+01,1.263819635281778764e-01
1.219999999999999929e+01,-4.401053370012346366e-02
1.222000000000000064e+01,-2.984420589149909542e-02
1.224000000000000021e+01,-1.093691093276517173e-02
1.225999999999999979e+01,1.130530134934893960e-01
1.228000000000000114e+01,1.631242855491830956e-02
1.230000000000000071e+01,-6.513975925819247281e-02
1.232000000000000028e+01,1.374911957402164542e-01
1.233999999999999986e+01,2.140001329437768718e-01
1.235999999999999943e+01,2.585658844335303463e-01
1.237999999999999901e+01,1.676498895870188743e-01
1.240000000000000036e+01,1.863600590937345564e-02
1.241999999999999993e+01,8.813413611192720543e-03
1.243999999999999950e+01,3.624137006012113221e-02
1.246000000000000085e+01,1.470327210555560371e-01
1.248000000000000043e+01,2.151985467752230985e-01
1.250000000000000000e+01,1.986945405458143132e-01
1.251999999999999957e+01,4.250013713231207135e-02
1.253999999999999915e+01,2.662442389052109837e-01
1.256000000000000050e+01,2.316483316493211375e-01
1.258000000000000007e+01,2.376275025609766722e-01
1.259999999999999964e+01,-2.703308581621694569e-03
1.262000000000000099e+01,1.707751093617086990e-01
1.264000000000000057e+01,2.099273102815200562e-02
1.266000000000000014e+01,1.477997461393748546e-01
1.267999999999999972e+01,1.321826415655582010e-01
1.269999999999999929e+01,-1.516653651825547178e-01
1.272000000000000064e+01,-1.451148190760972838e-02
1.274000000000000021e+01,3.686460709306477873e-02
1.275999999999999979e+01,6.838738135943078778e-02
1.278000000000000114e+01,-7.678750142015258739e-02
1.280000000000000071e+01,3.758303887883978484e-02
1.282000000000000028e+01,3.547462001782140245e-02
1.283999999999999986e+01,1.388325643585834046e-01
