# 2Theta,Intensity
1.000000000000000000e+01,1.126285243880927739e-01
1.001999999999999957e+01,2.202101941379919492e-01
1.003999999999999915e+01,1.696123612705464356e-01
1.006000000000000050e+01,1.374692475038546968e-01
1.008000000000000007e+01,2.870124295685372307e-01
1.009999999999999964e+01,2.791139102865075605e-01
1.011999999999999922e+01,3.768122031317490128e-01
1.014000000000000057e+01,3.687591106387806406e-01
1.016000000000000014e+01,3.615680415615015186e-01
1.017999999999999972e+01,1.016453611856572153e-01
1.019999999999999929e+01,2.400523733893031864e-01
1.022000000000000064e+01,3.409564376144910147e-01
1.024000000000000021e+01,4.073317084917600361e-01
1.025999999999999979e+01,2.609024541890758719e-01
1.027999999999999936e+01,2.835822558253147108e-01
1.030000000000000071e+01,4.261732486288410393e-01
1.032000000000000028e+01,1.574677968774438608e-01
1.033999999999999986e+01,1.548973964463279673e-01
1.035999999999999943e+01,3.903098007047070550e-01
1.038000000000000078e+01,1.454003794301497454e-01
1.040000000000000036e+01,2.383492034339397270e-01
1.041999999999999993e+01,2.991399801849060069e-01
1.043999999999999950e+01,3.662435592974945808e-01
1.046000000000000085e+01,2.959209971601062805e-01
1.048000000000000043e+01,2.769959235306682643e-01
1.050000000000000000e+01,8.222608627856292651e-02
1.051999999999999957e+01,8.301489127953895486e-02
1.053999999999999915e+01,2.598197962732486377e-01
1.056000000000000050e+01,1.475432248575503924e-01
1.058000000000000007e+01,1.650531011487264832e-01
1.059999999999999964e+01,1.038424200468254649e-01
1.061999999999999922e+01,3.186335810602836105e-01
1.064000000000000057e+01,2.921308250356541292e-01
1.066000000000000014e+01,1.770693186461279323e-01
1.067999999999999972e+01,2.457522445544773060e-01
1.069999999999999929e+01,1.615408074541901662e-01
1.072000000000000064e+01,2.129199982801956992e-01
1.074000000000000021e+01,3.063410438872860575e-01
1.075999999999999979e+01,3.258188798293272792e-01
1.077999999999999936e+01,8.711732450010772899e-02
1.080000000000000071e+01,6.021705687944996221e-02
1.082000000000000028e+01,1.788737742679496479e-01
1.083999999999999986e+01,2.728139247219880659e-01
1.085999999999999943e+01,5.029376923489352613e-01
1.088000000000000078e+01,3.654717975360973203e-01
1.090000000000000036e+01,2.678346266614001769e-01
1.091999999999999993e+01,2.003071547684130149e-01
1.093999999999999950e+01,2.698347961073185308e-01
1.096000000000000085e+01,1.680280241717546086e-01
1.098000000000000043e+01,2.380920447846047172e-01
1.100000000000000000e+01,3.752289239574116975e-01
1.101999999999999957e+01,3.107504464165107283e-01
1.103999999999999915e+01,2.246102918603748444e-01
1.106000000000000050e+01,4.837995841072376818e-02
1.108000000000000007e+01,1.603017281733944421e-01
1.109999999999999964e+01,2.023805133018987401e-01
1.112000000000000099e+01,1.377341896103999042e-01
1.114000000000000057e+01,2.526188257617592581e-01
1.116000000000000014e+01,1.987292192002218238e-01
1.117999999999999972e+01,2.499886577437917534e-01
1.119999999999999929e+01,3.083882028102349349e-01
1.122000000000000064e+01,1.980271207845987758e-01
1.124000000000000021e+01,2.516931559447283528e-01
1.125999999999999979e+01,1.081313410392831520e-01
1.127999999999999936e+01,3.260462473805638139e-01
1.130000000000000071e+01,2.478472695177193486e-01
1.132000000000000028e+01,4.072842228153199517e-01
1.133999999999999986e+01,2.348640410156773439e-01
1.135999999999999943e+01,1.752437359471802070e-01
1.138000000000000078e+01,2.463942529290552574e-01
1.140000000000000036e+01,2.332921187540409058e-01
1.141999999999999993e+01,4.181080181818944697e-01
1.143999999999999950e+01,3.977004207774259559e-02
1.146000000000000085e+01,3.533838950199760243e-01
1.148000000000000043e+01,4.629353834095382147e-01
1.150000000000000000e+01,1.904149390044296286e-01
1.151999999999999957e+01,2.371272613005570573e-01
1.153999999999999915e+01,2.366141248472473368e-01
1.156000000000000050e+01,2.263124671884322592e-01
1.158000000000000007e+01,3.414378574230005903e-01
1.159999999999999964e+01,3.985642270427717376e-02
1.162000000000000099e+01,3.410069330839290980e-01
1.164000000000000057e+01,2.258904254972113612e-01
1.166000000000000014e+01,5.784774581061626758e-02
