# 2Theta,Intensity
1.000000000000000000e+01,-6.581953395835611620e-02
1.001999999999999957e+01,4.842449678065304797e-01
1.003999999999999915e+01,2.218899843781197423e-01
1.006000000000000050e+01,1.915527257677177853e-01
1.008000000000000007e+01,4.299668408975273470e-01
1.009999999999999964e+01,1.722927224981120331e-02
1.011999999999999922e+01,8.168787591635336132e-02
1.014000000000000057e+01,3.577446406247520444e-02
1.016000000000000014e+01,1.229369208530128599e-01
1.017999999999999972e+01,2.035874335955494274e-01
1.019999999999999929e+01,1.543182831549139156e-01
1.022000000000000064e+01,1.612186762615983870e-01
1.024000000000000021e+01,1.559580184065081365e-01
1.025999999999999979e+01,2.216297563798714232e-01
1.027999999999999936e+01,3.790268923557804093e-01
1.030000000000000071e+01,3.961175916148913512e-01
1.032000000000000028e+01,3.297244127257655810e-01
1.033999999999999986e+01,1.901600125829375210e-01
1.035999999999999943e+01,2.449843645725967300e-01
1.038000000000000078e+01,2.531236039969608775e-01
1.040000000000000036e+01,1.523873682294649423e-01
1.041999999999999993e+01,3.310156965554735820e-01
1.043999999999999950e+01,1.870273187820468974e-01
1.046000000000000085e+01,3.574870835778869993e-01
1.048000000000000043e+01,5.019599006725577323e-02
1.050000000000000000e+01,1.293198924532306671e-01
1.051999999999999957e+01,4.020638812697056585e-01
1.053999999999999915e+01,2.528070003718840830e-01
1.056000000000000050e+01,3.179151889785186147e-01
1.058000000000000007e+01,1.381057255505139247e-01
1.059999999999999964e+01,3.870089805756540824e-01
1.061999999999999922e+01,2.695403291422352465e-01
1.064000000000000057e+01,2.855043231782082302e-01
1.066000000000000014e+01,4.027715777387105289e-01
1.067999999999999972e+01,1.009113456195540326e-01
1.069999999999999929e+01,3.663798597792660705e-01
1.072000000000000064e+01,2.839358200340391658e-01
1.074000000000000021e+01,1.616443395947217976e-01
1.075999999999999979e+01,3.355790992396576189e-01
1.077999999999999936e+01,3.457327941879480560e-01
1.080000000000000071e+01,4.717809493345829219e-01
1.082000000000000028e+01,3.111171809260871446e-01
1.083999999999999986e+01,1.403037711144978494e-01
1.085999999999999943e+01,2.365839933115713445e-01
1.088000000000000078e+01,2.661547802677380337e-01
1.090000000000000036e+01,1.395826006046390622e-01
1.091999999999999993e+01,2.547695959016045841e-01
1.093999999999999950e+01,2.294550804937035560e-01
1.096000000000000085e+01,2.235063492910998595e-01
1.098000000000000043e+01,-1.458948753548225744e-02
1.100000000000000000e+01,2.649663511788640236e-01
1.101999999999999957e+01,3.638400824064229599e-01
1.103999999999999915e+01,2.904073715495325558e-01
1.106000000000000050e+01,2.585642354065801896e-01
