# 2Theta,Intensity
1.000000000000000000e+01,3.467659433628533794e-01
1.001999999999999957e+01,2.944970727810153344e-01
1.003999999999999915e+01,1.958624197856824803e-02
1.006000000000000050e+01,-2.249234177905829191e-01
1.008000000000000007e+01,1.984683971166010252e-01
1.009999999999999964e+01,6.285045105279878086e-02
1.011999999999999922e+01,-8.871311528657442602e-02
1.014000000000000057e+01,7.809544287507501348e-02
1.016000000000000014e+01,2.954412872014114400e-01
1.017999999999999972e+01,1.876122809626929178e-01
1.019999999999999929e+01,2.783773023661781712e-02
1.022000000000000064e+01,1.047057829248839583e-01
1.024000000000000021e+01,2.059426630477941278e-01
1.025999999999999979e+01,1.250349214845547785e-01
1.027999999999999936e+01,1.143154534900407415e-01
1.030000000000000071e+01,1.426090660675037869e-01
1.032000000000000028e+01,1.595494594475683758e-01
1.033999999999999986e+01,9.005184940809244157e-03
1.035999999999999943e+01,6.413272809019458787e-02
1.038000000000000078e+01,1.971519984096151423e-01
1.040000000000000036e+01,1.846902755164336885e-01
1.041999999999999993e+01,1.046170721259172681e-01
1.043999999999999950e+01,1.059746261801796513e-01
1.046000000000000085e+01,8.806215947207453321e-02
1.048000000000000043e+01,1.950093391100057305e-01
1.050000000000000000e+01,1.535830759856459705e-02
1.051999999999999957e+01,8.156306540335059307e-02
1.053999999999999915e+01,1.653482461327573649e-01
1.056000000000000050e+01,1.604450237857343309e-01
1.058000000000000007e+01,-9.878400330845419491e-03
1.059999999999999964e+01,2.474149195052836037e-01
1.061999999999999922e+01,3.690322946947031946e-02
1.064000000000000057e+01,2.563704853285149743e-01
1.066000000000000014e+01,6.575867864934273332e-02
1.067999999999999972e+01,1.431833211133221873e-01
1.069999999999999929e+01,2.584512650864602135e-01
1.072000000000000064e+01,2.804515114205117232e-01
1.074000000000000021e+01,7.766102624640046359e-02
1.075999999999999979e+01,2.839901851882097317e-01
1.077999999999999936e+01,4.588968089642209147e-02
1.080000000000000071e+01,4.539818332382619115e-01
1.082000000000000028e+01,9.733181320836707673e-02
1.083999999999999986e+01,1.260840108783496671e-01
1.085999999999999943e+01,2.098141972418939294e-01
1.088000000000000078e+01,1.610812340155400868e-01
1.090000000000000036e+01,1.348633060755274338e-01
1.091999999999999993e+01,2.173511343982612379e-02
1.093999999999999950e+01,3.503043820475530978e-01
1.096000000000000085e+01,3.191872777023176400e-01
1.098000000000000043e+01,3.301118166664507997e-02
1.100000000000000000e+01,2.200374834482474173e-01
1.101999999999999957e+01,2.607648273100889869e-01
1.103999999999999915e+01,1.263372073626553571e-01
1.106000000000000050e+01,3.244441499919556438e-01
1.108000000000000007e+01,4.369329136242142697e-01
1.109999999999999964e+01,5.519229013321400590e-01
1.112000000000000099e+01,7.303480262402106682e-01
1.114000000000000057e+01,9.921959581159711661e-01
1.116000000000000014e+01,2.181198345432587615e+00
1.117999999999999972e+01,8.425279510921438231e+00
1.119999999999999929e+01,2.200579190682180553e+01
1.122000000000000064e+01,3.192615818674804373e+01
1.124000000000000021e+01,2.436375785934586347e+01
1.125999999999999979e+01,1.127150858523920007e+01
1.127999999999999936e+01,3.792567959016349910e+00
1.130000000000000071e+01,1.542368451033587329e+00
1.132000000000000028e+01,7.176179841949187344e-01
1.133999999999999986e+01,4.187307854608050550e-01
1.135999999999999943e+01,1.620600460653890407e-01
1.138000000000000078e+01,3.676314195417537123e-01
1.140000000000000036e+01,3.124515697938724523e-01
1.141999999999999993e+01,2.652399106395778583e-01
1.143999999999999950e+01,2.185541309460361792e-01
1.146000000000000085e+01,2.507145316238925115e-01
1.148000000000000043e+01,2.291678363766260773e-01
1.150000000000000000e+01,1.306126542681686209e-01
1.151999999999999957e+01,3.666049351067374729e-01
1.153999999999999915e+01,2.115936213722049430e-01
1.156000000000000050e+01,2.838130281877579431e-01
1.158000000000000007e+01,1.360741544203516729e-01
1.159999999999999964e+01,2.170747321577166933e-01
1.162000000000000099e+01,1.658578226041428350e-01
1.164000000000000057e+01,1.090659471959800064e-01
1.166000000000000014e+01,2.309143826155533180e-02
1.167999999999999972e+01,1.114871658496155299e-01
1.169999999999999929e+01,-1.115336390784252805e-02
1.172000000000000064e+01,2.877830224637090151e-01
1.174000000000000021e+01,2.587157583133728456e-01
1.175999999999999979e+01,7.502986105001924200e-02
1.177999999999999936e+01,-3.798940986930387370e-02
