# 2Theta,Intensity
1.000000000000000000e+01,1.302312926279349581e+00
1.001999999999999957e+01,1.394627504858895417e+00
1.003999999999999915e+01,1.413218541228336678e+00
1.006000000000000050e+01,1.376660726525461342e+00
1.008000000000000007e+01,1.071303367940815265e+00
1.009999999999999964e+01,1.348322676617210059e+00
1.011999999999999922e+01,1.083014250286426838e+00
1.014000000000000057e+01,1.062065260317740290e+00
1.016000000000000014e+01,1.168442974731133788e+00
1.017999999999999972e+01,1.193284711364985595e+00
1.019999999999999929e+01,1.234543398134898773e+00
1.022000000000000064e+01,1.577000987357220163e+00
1.024000000000000021e+01,1.379224918371369180e+00
1.025999999999999979e+01,8.690590262817574629e-01
1.027999999999999936e+01,1.383474972072077813e+00
1.030000000000000071e+01,7.897031463684875963e-01
1.032000000000000028e+01,1.091831168209899783e+00
1.033999999999999986e+01,1.463372230782013839e+00
1.035999999999999943e+01,1.473381073448889911e+00
1.038000000000000078e+01,1.194282693697527709e+00
1.040000000000000036e+01,9.310934453970234337e-01
1.041999999999999993e+01,1.467190768161195757e+00
1.043999999999999950e+01,1.218022121838644001e+00
1.046000000000000085e+01,1.089158235929311269e+00
1.048000000000000043e+01,1.399610450675192297e+00
1.050000000000000000e+01,1.525527187172499355e+00
1.051999999999999957e+01,1.300610259674335412e+00
1.053999999999999915e+01,1.095647656810239789e+00
1.056000000000000050e+01,1.273002578688001707e+00
1.058000000000000007e+01,1.418013591102354809e+00
1.059999999999999964e+01,1.351293750440552444e+00
1.061999999999999922e+01,6.906324333438710328e-01
1.064000000000000057e+01,1.075638235300754530e+00
1.066000000000000014e+01,1.477156571658631234e+00
1.067999999999999972e+01,1.223796871855185708e+00
1.069999999999999929e+01,1.319788022391061633e+00
1.072000000000000064e+01,1.386861067451226281e+00
1.074000000000000021e+01,1.405733624725074904e+00
1.075999999999999979e+01,1.127138415774328273e+00
1.077999999999999936e+01,1.265524919978164409e+00
1.080000000000000071e+01,1.424577824777580659e+00
1.082000000000000028e+01,1.508496442163846707e+00
1.083999999999999986e+01,1.632829866854114131e+00
1.085999999999999943e+01,1.019094471570550997e+00
1.088000000000000078e+01,1.213812410065558289e+00
1.090000000000000036e+01,1.087840380924884665e+00
1.091999999999999993e+01,1.047533618990917681e+00
1.093999999999999950e+01,1.172169254524354498e+00
1.096000000000000085e+01,1.344963786803544226e+00
1.098000000000000043e+01,1.266374654320956861e+00
1.100000000000000000e+01,1.071111325285487137e+00
1.101999999999999957e+01,1.700694120485468197e+00
1.103999999999999915e+01,9.586321052084654237e-01
1.106000000000000050e+01,1.319479257576956721e+00
1.108000000000000007e+01,1.162222703213636965e+00
1.109999999999999964e+01,1.388241201291002813e+00
1.112000000000000099e+01,9.906756241921715889e-01
1.114000000000000057e+01,1.267174351884061689e+00
1.116000000000000014e+01,1.127998666453278620e+00
