# 2Theta,Intensity
1.000000000000000000e+01,1.083732797885343269e+00
1.001999999999999957e+01,1.071767294172860430e+00
1.003999999999999915e+01,9.435760447176873011e-01
1.006000000000000050e+01,1.203354724561021882e+00
1.008000000000000007e+01,1.035879879714805885e+00
1.009999999999999964e+01,1.125957539281668751e+00
1.011999999999999922e+01,1.167165477453629530e+00
1.014000000000000057e+01,1.229241119911540503e+00
1.016000000000000014e+01,9.282795541826082131e-01
1.017999999999999972e+01,1.242307685520335658e+00
1.019999999999999929e+01,1.096250800255763824e+00
1.022000000000000064e+01,1.488620744965558407e+00
1.024000000000000021e+01,2.543931625656325135e+00
1.025999999999999979e+01,2.397825184844920798e+00
1.027999999999999936e+01,1.868877121663971019e+00
1.030000000000000071e+01,1.356075191570549787e+00
1.032000000000000028e+01,1.253662156642108449e+00
1.033999999999999986e+01,1.175130720503995363e+00
1.035999999999999943e+01,1.123748657851108224e+00
1.038000000000000078e+01,1.260438841506906993e+00
1.040000000000000036e+01,1.177211015406464112e+00
1.041999999999999993e+01,1.040237354012500059e+00
1.043999999999999950e+01,1.055821616061049850e+00
1.046000000000000085e+01,1.460938441890964556e+00
1.048000000000000043e+01,1.442828981164921975e+00
1.050000000000000000e+01,1.324092724753662242e+00
1.051999999999999957e+01,1.188621098708855017e+00
1.053999999999999915e+01,1.051751744793663956e+00
1.056000000000000050e+01,1.388950445894899355e+00
1.058000000000000007e+01,1.101413092944565353e+00
1.059999999999999964e+01,9.556945191657620908e-01
1.061999999999999922e+01,9.460520752737101580e-01
1.064000000000000057e+01,1.215422129507895077e+00
1.066000000000000014e+01,1.224749088719188972e+00
1.067999999999999972e+01,1.045049101594426322e+00
1.069999999999999929e+01,1.041062095502469642e+00
1.072000000000000064e+01,9.142156275045510982e-01
1.074000000000000021e+01,1.491117597119842042e+00
1.075999999999999979e+01,8.935982975781912030e-01
1.077999999999999936e+01,1.067012793647500679e+00
1.080000000000000071e+01,1.307682102169491323e+00
1.082000000000000028e+01,1.347425046156538020e+00
1.083999999999999986e+01,1.177424377905508912e+00
1.085999999999999943e+01,9.392059250176026941e-01
1.088000000000000078e+01,8.484424650383884936e-01
1.090000000000000036e+01,1.031832334224947800e+00
1.091999999999999993e+01,1.128324180291359058e+00
1.093999999999999950e+01,1.482307672819222377e+00
1.096000000000000085e+01,7.528092511773494255e-01
1.098000000000000043e+01,1.176461674068226548e+00
1.100000000000000000e+01,6.079914098365515329e-01
1.101999999999999957e+01,1.205567182980810559e+00
1.103999999999999915e+01,1.208331729274699784e+00
1.106000000000000050e+01,1.266927889189523260e+00
1.108000000000000007e+01,9.637134765604448150e-01
1.109999999999999964e+01,1.135529216635797534e+00
1.112000000000000099e+01,8.052475112614695396e-01
1.114000000000000057e+01,1.542334418903717586e+00
1.116000000000000014e+01,9.101688676344430462e-01
1.117999999999999972e+01,1.087386868777839632e+00
1.119999999999999929e+01,8.288057887460559270e-01
1.122000000000000064e+01,1.264911150551980334e+00
1.124000000000000021e+01,1.082078243136862072e+00
1.125999999999999979e+01,1.272054650457085767e+00
1.127999999999999936e+01,1.534755076725303313e+00
1.130000000000000071e+01,7.426652506604138892e-01
1.132000000000000028e+01,1.011412321565928751e+00
1.133999999999999986e+01,1.228046733052279516e+00
1.135999999999999943e+01,1.388624090394096955e+00
1.138000000000000078e+01,1.109976366932680314e+00
1.140000000000000036e+01,1.060544717433535622e+00
1.141999999999999993e+01,1.200912434680365015e+00
1.143999999999999950e+01,1.199248647491355735e+00
1.146000000000000085e+01,1.420515295396225230e+00
1.148000000000000043e+01,1.028221113215553650e+00
1.150000000000000000e+01,1.117413165041670098e+00
1.151999999999999957e+01,1.025975538887645921e+00
1.153999999999999915e+01,9.412751581578449045e-01
1.156000000000000050e+01,1.262102251951874532e+00
1.158000000000000007e+01,1.133158557546368517e+00
1.159999999999999964e+01,9.286318804049746856e-01
1.162000000000000099e+01,1.501843905581852656e+00
1.164000000000000057e+01,1.277310845970580422e+00
1.166000000000000014e+01,1.034712377576237463e+00
1.167999999999999972e+01,1.194473231177361594e+00
1.169999999999999929e+01,1.063562953455744031e+00
1.172000000000000064e+01,1.586567640280829306e+00
1.174000000000000021e+01,1.347436089339971277e+00
1.175999999999999979e+01,1.108969843037464376e+00
1.177999999999999936e+01,1.027641345206844248e+00
1.180000000000000071e+01,1.104220336573895844e+00
1.182000000000000028e+01,9.058510633096794606e-01
1.183999999999999986e+01,7.595629642044453567e-01
1.185999999999999943e+01,1.246616795460647298e+00
1.188000000000000078e+01,9.918014661257185116e-01
1.190000000000000036e+01,9.959273058161034475e-01
1.191999999999999993e+01,1.169931679137669933e+00
1.193999999999999950e+01,1.344727044869267418e+00
1.196000000000000085e+01,8.355752766643459450e-01
