# 2Theta,Intensity
1.000000000000000000e+01,2.867645214245846397e-01
1.001999999999999957e+01,2.064459422786044385e-01
1.003999999999999915e+01,2.279203486002708279e-01
1.006000000000000050e+01,3.277843662856998463e-01
1.008000000000000007e+01,2.514088336342449811e-02
1.009999999999999964e+01,1.946179585914412646e-01
1.011999999999999922e+01,3.242879371455437143e-01
1.014000000000000057e+01,3.979707565303091665e-01
1.016000000000000014e+01,2.708294584510121950e-01
1.017999999999999972e+01,1.523595649993672030e-01
1.019999999999999929e+01,1.098261824835154443e-01
1.022000000000000064e+01,3.076768822916408075e-01
1.024000000000000021e+01,2.110836865214910651e-01
1.025999999999999979e+01,1.949240526075193547e-01
1.027999999999999936e+01,4.841241471339426394e-01
1.030000000000000071e+01,3.509672959866949049e-01
1.032000000000000028e+01,2.147172010117998908e-01
1.033999999999999986e+01,1.575889945602619302e-01
1.035999999999999943e+01,1.903359440922215984e-01
1.038000000000000078e+01,2.336641819934696940e-01
1.040000000000000036e+01,1.998075309882577644e-01
1.041999999999999993e+01,2.403564410080717972e-01
1.043999999999999950e+01,3.833142307444720176e-01
1.046000000000000085e+01,2.835746201797061383e-01
1.048000000000000043e+01,2.845880917984848768e-01
1.050000000000000000e+01,1.008915635903599728e-01
1.051999999999999957e+01,2.565650428506977554e-01
1.053999999999999915e+01,2.347636224126310178e-01
1.056000000000000050e+01,1.496946141979609846e-01
1.058000000000000007e+01,2.397852366783739531e-01
1.059999999999999964e+01,4.672633265615850906e-01
1.061999999999999922e+01,4.109156930206112612e-01
1.064000000000000057e+01,2.439855083255791091e-01
1.066000000000000014e+01,3.040647169985407072e-01
1.067999999999999972e+01,4.030923393230708140e-01
1.069999999999999929e+01,1.322828594750860287e-01
1.072000000000000064e+01,3.944139643288337438e-01
1.074000000000000021e+01,2.976545750009690350e-01
1.075999999999999979e+01,4.439486427044913586e-01
1.077999999999999936e+01,3.119076428396099776e-01
1.080000000000000071e+01,2.453563494116744181e-01
1.082000000000000028e+01,2.281160995093080845e-01
1.083999999999999986e+01,1.220782982752725010e-01
1.085999999999999943e+01,1.919582235620904132e-01
1.088000000000000078e+01,3.657806659167354701e-01
1.090000000000000036e+01,1.552078887288220188e-01
1.091999999999999993e+01,1.256522234282327066e-01
1.093999999999999950e+01,4.958900251417881488e-01
1.096000000000000085e+01,3.020615966474453629e-01
1.098000000000000043e+01,2.349212349350422169e-01
1.100000000000000000e+01,2.381200010692743063e-01
1.101999999999999957e+01,2.045094665617844532e-01
1.103999999999999915e+01,8.152047219205472983e-02
1.106000000000000050e+01,2.386182401820372556e-01
1.108000000000000007e+01,4.266896273490765057e-01
1.109999999999999964e+01,2.002546574789761946e-01
1.112000000000000099e+01,1.689806174304901432e-01
1.114000000000000057e+01,2.475026694798776183e-01
1.116000000000000014e+01,4.049901694093699933e-01
1.117999999999999972e+01,3.142306686688202677e-01
1.119999999999999929e+01,-6.246310265167957787e-02
1.122000000000000064e+01,9.996904257758142121e-02
1.124000000000000021e+01,1.810927471268626299e-01
1.125999999999999979e+01,1.776185457177726912e-01
1.127999999999999936e+01,2.391568656561175732e-01
1.130000000000000071e+01,3.898467651371526066e-01
1.132000000000000028e+01,4.233997699273677195e-01
1.133999999999999986e+01,1.925345040893372550e-01
1.135999999999999943e+01,3.150989207188425456e-01
1.138000000000000078e+01,2.067454793045366557e-01
1.140000000000000036e+01,2.582885635987036688e-01
1.141999999999999993e+01,3.338466748174099274e-01
1.143999999999999950e+01,2.243396145472948411e-01
1.146000000000000085e+01,1.480559225658738542e-01
1.148000000000000043e+01,3.193751434067941819e-01
1.150000000000000000e+01,1.528348344133567405e-01
1.151999999999999957e+01,3.989023074074132813e-01
1.153999999999999915e+01,3.138899259750258519e-01
1.156000000000000050e+01,2.377693685506745425e-01
1.158000000000000007e+01,4.386800814130210613e-01
1.159999999999999964e+01,1.500637829513064014e-01
1.162000000000000099e+01,1.806030888292943781e-01
1.164000000000000057e+01,3.505369500835294611e-02
1.166000000000000014e+01,4.861790048391687602e-01
1.167999999999999972e+01,2.925005306004681560e-01
1.169999999999999929e+01,3.233942856617025297e-01
1.172000000000000064e+01,3.249456293743602231e-01
1.174000000000000021e+01,3.126820638557473164e-01
1.175999999999999979e+01,2.898507425538207616e-01
1.177999999999999936e+01,-1.400522414353058513e-02
1.180000000000000071e+01,1.399578708460225140e-01
1.182000000000000028e+01,2.562133383798114727e-01
1.183999999999999986e+01,3.840129335379044995e-01
1.185999999999999943e+01,2.401799953360018169e-01
1.188000000000000078e+01,2.869592140956512827e-01
1.190000000000000036e+01,1.481251058440390123e-01
