# 2Theta,Intensity
1.000000000000000000e+01,-1.057829163009389034e-02
1.001999999999999957e+01,6.106221186620216373e-02
1.003999999999999915e+01,8.833981248025170319e-02
1.006000000000000050e+01,1.406440994351922102e-01
1.008000000000000007e+01,1.838487395550469083e-01
1.009999999999999964e+01,1.547044214347112479e-01
1.011999999999999922e+01,7.154182338358341942e-02
1.014000000000000057e+01,3.340727830171488222e-01
1.016000000000000014e+01,3.207905919563207309e-02
1.017999999999999972e+01,1.889410788344741410e-01
1.019999999999999929e+01,1.132462905239901146e-01
1.022000000000000064e+01,-2.965032227355644118e-02
1.024000000000000021e+01,-7.909453868228823181e-02
1.025999999999999979e+01,-5.851584709205721879e-03
1.027999999999999936e+01,2.755195671303989347e-01
1.030000000000000071e+01,7.070989769106808542e-02
1.032000000000000028e+01,-3.331281190683220428e-02
1.033999999999999986e+01,-3.875764515443568675e-02
1.035999999999999943e+01,-4.584877153775385183e-02
1.038000000000000078e+01,-3.839779493108345237e-02
1.040000000000000036e+01,1.372465949405131391e-01
1.041999999999999993e+01,1.352143503331039165e-01
1.043999999999999950e+01,3.698003627358226880e-02
1.046000000000000085e+01,1.177089562283244739e-01
1.048000000000000043e+01,1.833153286485331712e-01
1.050000000000000000e+01,1.536403973471741624e-01
1.051999999999999957e+01,2.166906403269369952e-01
1.053999999999999915e+01,-2.187811114882016322e-02
1.056000000000000050e+01,2.612136815678783308e-01
1.058000000000000007e+01,1.149393726042798464e-01
1.059999999999999964e+01,1.306842490430572268e-01
1.061999999999999922e+01,1.084137597288438587e-01
1.064000000000000057e+01,-1.001290854960492360e-01
1.066000000000000014e+01,2.260515316677111919e-01
1.067999999999999972e+01,2.731564143905949593e-01
1.069999999999999929e+01,9.345812999876862426e-02
1.072000000000000064e+01,2.085238764277848583e-03
1.074000000000000021e+01,-1.343874401544577490e-01
1.075999999999999979e+01,1.368831884896380968e-01
1.077999999999999936e+01,3.396973101403834294e-02
1.080000000000000071e+01,1.723265723045034059e-01
1.082000000000000028e+01,9.640187594235977153e-02
1.083999999999999986e+01,-9.722583093833278567e-02
1.085999999999999943e+01,3.821218799407047340e-01
1.088000000000000078e+01,7.668330933721534404e-02
1.090000000000000036e+01,2.493536673653767854e-01
1.091999999999999993e+01,2.657042174294871328e-01
1.093999999999999950e+01,1.259115502144421139e-01
1.096000000000000085e+01,-1.252230983320737900e-01
1.098000000000000043e+01,2.315092871953192410e-01
1.100000000000000000e+01,2.253362044146712748e-02
1.101999999999999957e+01,6.745082684291561770e-02
1.103999999999999915e+01,8.202532736432992244e-02
1.106000000000000050e+01,2.294087119436641342e-01
1.108000000000000007e+01,1.454473866465892384e-01
1.109999999999999964e+01,1.852125122119718803e-01
1.112000000000000099e+01,2.932270454793265424e-01
1.114000000000000057e+01,1.111792999882936089e-01
1.116000000000000014e+01,3.068546261979669676e-02
1.117999999999999972e+01,-5.691186297527821292e-02
1.119999999999999929e+01,-1.252725243493023610e-01
1.122000000000000064e+01,2.960224200268433969e-02
1.124000000000000021e+01,3.527279226691005798e-01
1.125999999999999979e+01,1.423972863993311910e-01
1.127999999999999936e+01,1.897056339062513641e-01
1.130000000000000071e+01,9.933283418367742923e-02
1.132000000000000028e+01,2.698395175598987117e-01
1.133999999999999986e+01,5.074697302545424366e-02
1.135999999999999943e+01,-5.506423632325418462e-03
1.138000000000000078e+01,1.427024045142055719e-01
1.140000000000000036e+01,5.786832654827767791e-02
1.141999999999999993e+01,4.911144400168630797e-02
1.143999999999999950e+01,3.171243899911290187e-01
1.146000000000000085e+01,-2.023533526540494815e-02
1.148000000000000043e+01,1.168112738251849830e-01
1.150000000000000000e+01,1.116268443366104784e-01
1.151999999999999957e+01,2.256644218706096994e-01
1.153999999999999915e+01,5.403948819398363135e-02
1.156000000000000050e+01,-6.769617755115860114e-02
1.158000000000000007e+01,1.364743492941823677e-01
1.159999999999999964e+01,2.162152401032734449e-03
1.162000000000000099e+01,1.492393080312172104e-01
1.164000000000000057e+01,1.554702407802075132e-03
1.166000000000000014e+01,4.870025037884079255e-02
1.167999999999999972e+01,1.067951936884716929e-01
1.169999999999999929e+01,2.586123643557168839e-01
1.172000000000000064e+01,4.139323728531314750e-02
1.174000000000000021e+01,3.117431889711276827e-01
1.175999999999999979e+01,2.122420407602445547e-01
1.177999999999999936e+01,2.382116719150957074e-01
1.180000000000000071e+01,2.356515483343749884e-01
1.182000000000000028e+01,1.083800723772601442e-02
1.183999999999999986e+01,1.514578752991528332e-01
1.185999999999999943e+01,6.352452969742625188e-02
1.188000000000000078e+01,2.152139599373798298e-02
1.190000000000000036e+01,2.516611308157592486e-01
1.191999999999999993e+01,-3.467781855427219673e-02
1.193999999999999950e+01,3.993952667339622370e-02
1.196000000000000085e+01,7.472361256050606693e-02
1.198000000000000043e+01,1.901440747771261375e-01
1.200000000000000000e+01,-1.111693366944192241e-01
1.201999999999999957e+01,3.364300990672573488e-01
1.203999999999999915e+01,1.308363025727018458e-01
1.206000000000000050e+01,1.967695675547467549e-01
1.208000000000000007e+01,5.362163468340564766e-03
1.209999999999999964e+01,-1.389527390660004295e-02
1.212000000000000099e+01,1.223934038919351555e-02
1.214000000000000057e+01,2.398736977467484932e-01
1.216000000000000014e+01,9.990711954897012193e-02
1.217999999999999972e+01,1.574883260605108026e-01
1.219999999999999929e+01,-8.383104953653815195e-02
1.222000000000000064e+01,9.895833761400148199e-02
1.224000000000000021e+01,9.056370755518103333e-02
1.225999999999999979e+01,3.924974888746129986e-02
1.228000000000000114e+01,-7.059179889704709707e-03
1.230000000000000071e+01,9.915648082843438182e-02
1.232000000000000028e+01,1.041757113900608767e-01
1.233999999999999986e+01,1.725375708088954241e-01
1.235999999999999943e+01,1.289721481875467091e-01
1.237999999999999901e+01,2.397013824801615955e-01
1.240000000000000036e+01,-1.009768335561830738e-01
1.241999999999999993e+01,8.522887659115251091e-02
1.243999999999999950e+01,-1.905712361560398319e-02
1.246000000000000085e+01,6.323625722443622366e-02
1.248000000000000043e+01,7.255033788340078948e-02
1.250000000000000000e+01,1.103003707597256522e-01
1.251999999999999957e+01,8.206758750668667612e-02
1.253999999999999915e+01,-1.659914198401453433e-02
1.256000000000000050e+01,-7.239572619012848986e-02
1.258000000000000007e+01,1.083473285747209303e-01
1.259999999999999964e+01,2.255463872123047164e-01
1.262000000000000099e+01,2.102125915509520451e-02
1.264000000000000057e+01,2.982006805126926827e-02
1.266000000000000014e+01,-3.489883128756966768e-02
1.267999999999999972e+01,5.247932079853900172e-02
1.269999999999999929e+01,-6.815639941820490766e-02
1.272000000000000064e+01,8.957884696575917072e-02
1.274000000000000021e+01,5.729623895821987778e-02
1.275999999999999979e+01,1.181746636991729271e-01
1.278000000000000114e+01,1.612750303746085800e-01
1.280000000000000071e+01,9.570194455484912210e-02
1.282000000000000028e+01,1.354884020938108558e-01
1.283999999999999986e+01,2.901898032902320290e-01
1.285999999999999943e+01,2.131187998111757076e-01
1.287999999999999901e+01,1.326904432640208797e-01
1.290000000000000036e+01,-1.509134459304856991e-02
1.291999999999999993e+01,2.148861926297963298e-01
1.293999999999999950e+01,1.164728796653304171e-01
1.296000000000000085e+01,7.929557320925074981e-02
1.298000000000000043e+01,-8.283054854013453816e-02
1.300000000000000000e+01,3.182323030143274778e-01
