# 2Theta,Intensity
1.000000000000000000e+01,1.822505092978513319e-01
1.001999999999999957e+01,1.974732578497594704e-01
1.003999999999999915e+01,1.799485264723571509e-01
1.006000000000000050e+01,2.597057505948106026e-01
1.008000000000000007e+01,2.523804183620916852e-01
1.009999999999999964e+01,1.475287651026377933e-01
1.011999999999999922e+01,3.315663485250290865e-01
1.014000000000000057e+01,2.267393544900860591e-01
1.016000000000000014e+01,1.845792755175136024e-01
1.017999999999999972e+01,4.106688974484228316e-01
1.019999999999999929e+01,3.108536337604090316e-01
1.022000000000000064e+01,3.521159444685371120e-01
1.024000000000000021e+01,1.200023233341171031e-01
1.025999999999999979e+01,2.347930580719539140e-01
1.027999999999999936e+01,2.080357502327659647e-01
1.030000000000000071e+01,1.112039504575340898e-01
1.032000000000000028e+01,2.937464713815373663e-01
1.033999999999999986e+01,1.826005992398941902e-01
1.035999999999999943e+01,1.915561978858368875e-01
1.038000000000000078e+01,4.259118715758723472e-01
1.040000000000000036e+01,2.855525508699386372e-01
1.041999999999999993e+01,3.407383618000782155e-01
1.043999999999999950e+01,3.365284309426639364e-01
1.046000000000000085e+01,1.770945523808788169e-01
1.048000000000000043e+01,3.121615746332166430e-01
1.050000000000000000e+01,2.834304457185022885e-01
1.051999999999999957e+01,1.689787377793564582e-01
1.053999999999999915e+01,8.257619202938915048e-02
1.056000000000000050e+01,2.365269951645506408e-01
1.058000000000000007e+01,2.332735528089681654e-01
1.059999999999999964e+01,4.194470558739791799e-01
1.061999999999999922e+01,2.742512476742307026e-01
1.064000000000000057e+01,2.012572423131752664e-01
1.066000000000000014e+01,3.038078488860460613e-01
1.067999999999999972e+01,4.675234826558156698e-01
1.069999999999999929e+01,2.722506766797023192e-01
1.072000000000000064e+01,2.345911203042188864e-01
1.074000000000000021e+01,9.875365480423355102e-02
1.075999999999999979e+01,3.126027021149023755e-01
1.077999999999999936e+01,2.577117619860075370e-01
1.080000000000000071e+01,2.291954970301780803e-01
1.082000000000000028e+01,4.380864357000289755e-01
1.083999999999999986e+01,2.061293673004155613e-01
1.085999999999999943e+01,2.206663170400392227e-01
1.088000000000000078e+01,1.581655573832002337e-01
1.090000000000000036e+01,3.062382245126212266e-01
1.091999999999999993e+01,4.199395871797298452e-01
1.093999999999999950e+01,9.678953093669025176e-02
1.096000000000000085e+01,3.731768077439829301e-01
1.098000000000000043e+01,4.561617593097192502e-01
1.100000000000000000e+01,1.552332895657812795e-01
1.101999999999999957e+01,4.088179521736688415e-01
1.103999999999999915e+01,1.812340253725525652e-01
1.106000000000000050e+01,1.468618405769090418e-01
1.108000000000000007e+01,-2.259022551722561153e-02
1.109999999999999964e+01,2.888246358287738791e-01
1.112000000000000099e+01,1.440632936486422599e-01
1.114000000000000057e+01,2.614714818224023185e-01
1.116000000000000014e+01,2.185985283772518550e-01
1.117999999999999972e+01,3.055369553579324049e-01
1.119999999999999929e+01,2.241276110702432045e-01
1.122000000000000064e+01,2.569099427507735012e-01
1.124000000000000021e+01,2.239694496594937523e-01
1.125999999999999979e+01,7.307284333810776245e-02
1.127999999999999936e+01,1.916663164743453163e-01
1.130000000000000071e+01,7.106242432345344362e-02
1.132000000000000028e+01,3.169658408446405229e-01
1.133999999999999986e+01,4.274892958345453964e-02
1.135999999999999943e+01,3.533500209017569338e-01
1.138000000000000078e+01,4.560267012334955905e-01
1.140000000000000036e+01,1.262250441322019523e-01
1.141999999999999993e+01,1.466596145536509521e-01
1.143999999999999950e+01,6.967502444350448521e-02
1.146000000000000085e+01,6.091302799619167097e-01
1.148000000000000043e+01,1.468386763375802151e-01
1.150000000000000000e+01,3.397449101771816138e-01
1.151999999999999957e+01,2.316961831397102434e-01
1.153999999999999915e+01,4.535943199621997324e-01
1.156000000000000050e+01,1.305207005422300837e-01
1.158000000000000007e+01,1.966598618212224425e-01
1.159999999999999964e+01,2.275333013517474579e-01
1.162000000000000099e+01,3.046906972263209723e-01
1.164000000000000057e+01,3.489536841787943544e-01
1.166000000000000014e+01,2.730902135685246979e-01
1.167999999999999972e+01,3.215989689237970239e-01
1.169999999999999929e+01,1.428761624878928937e-01
1.172000000000000064e+01,3.581171606701830656e-01
1.174000000000000021e+01,2.366429999055481015e-01
1.175999999999999979e+01,2.184663879522325824e-01
1.177999999999999936e+01,3.243198648165342424e-01
1.180000000000000071e+01,1.648343288438748888e-01
1.182000000000000028e+01,4.316802174993422114e-01
1.183999999999999986e+01,3.750745398544801379e-01
1.185999999999999943e+01,-2.870950790825531687e-02
1.188000000000000078e+01,4.184264924558315224e-01
1.190000000000000036e+01,1.202531012230735052e-01
1.191999999999999993e+01,4.315200380576251771e-01
1.193999999999999950e+01,4.603441834426577062e-01
1.196000000000000085e+01,9.951169788468611221e-02
1.198000000000000043e+01,2.340282846872146494e-01
1.200000000000000000e+01,4.503056623484277265e-01
1.201999999999999957e+01,-4.634725343701038246e-03
1.203999999999999915e+01,2.321250219617764510e-01
1.206000000000000050e+01,1.379241530929243009e-01
1.208000000000000007e+01,2.796019826690346877e-01
1.209999999999999964e+01,3.653755074173791750e-01
1.212000000000000099e+01,1.369419625733381551e-01
1.214000000000000057e+01,4.919615742743744802e-01
1.216000000000000014e+01,5.013186424743463210e-01
1.217999999999999972e+01,2.502894768695442251e-01
1.219999999999999929e+01,2.484856314527338350e-01
1.222000000000000064e+01,2.421451737940157056e-01
1.224000000000000021e+01,2.447780065904655022e-01
1.225999999999999979e+01,2.830417559808849348e-01
1.228000000000000114e+01,3.011920311508771708e-01
1.230000000000000071e+01,3.124151418254789703e-01
1.232000000000000028e+01,2.768821987032499266e-01
1.233999999999999986e+01,1.040113064803623311e-01
1.235999999999999943e+01,1.375295567736767588e-01
1.237999999999999901e+01,1.559283035305620013e-01
1.240000000000000036e+01,5.488881018210637341e-01
1.241999999999999993e+01,-4.237652597758473361e-02
1.243999999999999950e+01,1.993117344221170539e-01
1.246000000000000085e+01,2.770293766527739399e-01
1.248000000000000043e+01,3.850909115003649519e-01
1.250000000000000000e+01,8.093962369946633428e-02
1.251999999999999957e+01,4.947769756138551550e-02
1.253999999999999915e+01,4.616069387831298054e-01
1.256000000000000050e+01,4.342351606200840486e-01
1.258000000000000007e+01,3.112394086889374023e-01
1.259999999999999964e+01,2.602736038970321908e-01
1.262000000000000099e+01,1.872864755489910271e-01
1.264000000000000057e+01,3.322892718768439835e-01
1.266000000000000014e+01,1.700053690875462375e-01
1.267999999999999972e+01,2.969224788744460053e-01
1.269999999999999929e+01,4.088852167304153351e-01
1.272000000000000064e+01,2.941473532512933753e-01
1.274000000000000021e+01,1.816222955293478047e-01
1.275999999999999979e+01,4.579012530321380781e-01
1.278000000000000114e+01,2.136311593795894859e-01
1.280000000000000071e+01,2.186244178977959085e-01
1.282000000000000028e+01,-2.328455926965059333e-02
1.283999999999999986e+01,9.379747447365503754e-02
1.285999999999999943e+01,1.673216848201761475e-01
1.287999999999999901e+01,2.303809173326721860e-01
1.290000000000000036e+01,1.706264633905935357e-01
1.291999999999999993e+01,3.199519519031420733e-01
1.293999999999999950e+01,2.727725973079346278e-01
1.296000000000000085e+01,3.037036241511809620e-01
1.298000000000000043e+01,4.102727760718240524e-01
1.300000000000000000e+01,1.360820752888912133e-01
1.301999999999999957e+01,2.302512524768842717e-01
1.303999999999999915e+01,3.074164499807268136e-01
1.306000000000000050e+01,3.000294548217331547e-01
1.308000000000000007e+01,2.733292747993115168e-01
1.309999999999999964e+01,3.171324749209448735e-01
1.312000000000000099e+01,5.447390816918836753e-01
1.314000000000000057e+01,4.830222946993589783e-01
1.316000000000000014e+01,3.339497648381860029e-01
1.317999999999999972e+01,3.498283333770912940e-01
1.319999999999999929e+01,5.703065997744376503e-01
1.322000000000000064e+01,5.529814743583872927e-01
1.324000000000000021e+01,1.214034257979492049e+00
1.325999999999999979e+01,2.113924136947789023e+00
1.328000000000000114e+01,5.807430746841270697e+00
1.330000000000000071e+01,1.166211356028438928e+01
1.332000000000000028e+01,1.231241640254494207e+01
1.333999999999999986e+01,7.778824892551555514e+00
1.335999999999999943e+01,3.098257634173778197e+00
1.337999999999999901e+01,1.069352430421398159e+00
1.340000000000000036e+01,5.003802243832701224e-01
1.341999999999999993e+01,3.441612382031126738e-01
1.343999999999999950e+01,5.746626999339092823e-01
1.346000000000000085e+01,3.465075043748317429e-01
1.348000000000000043e+01,5.322055209689624533e-01
1.350000000000000000e+01,3.808092898572488227e-01
1.351999999999999957e+01,3.722882891403214156e-01
1.353999999999999915e+01,4.080961184475904169e-01
1.356000000000000050e+01,2.595333229704656075e-01
1.358000000000000007e+01,2.984745461389018972e-01
1.359999999999999964e+01,4.451093518781892300e-01
1.362000000000000099e+01,8.665520318068370420e-02
1.364000000000000057e+01,5.469641940041440886e-01
1.366000000000000014e+01,3.442626318292393850e-01
1.367999999999999972e+01,2.870038350115603487e-01
1.369999999999999929e+01,1.273292908293726100e-01
1.372000000000000064e+01,9.713192136866581616e-02
1.374000000000000021e+01,3.235385940172061381e-01
1.375999999999999979e+01,4.632375159571646139e-01
1.378000000000000114e+01,3.884478071826809598e-01
1.380000000000000071e+01,2.722365760073163776e-01
1.382000000000000028e+01,2.085550426150485914e-01
1.383999999999999986e+01,2.051786879319853485e-01
1.385999999999999943e+01,-2.447385148922687215e-02
1.387999999999999901e+01,4.026123125199969066e-01
1.390000000000000036e+01,1.550634703069838360e-01
1.391999999999999993e+01,7.574346836370295100e-02
1.393999999999999950e+01,4.027546860114513128e-01
1.396000000000000085e+01,1.536298912398395833e-01
1.398000000000000043e+01,9.860703988228387840e-02
1.400000000000000000e+01,8.160855279942133556e-02
1.401999999999999957e+01,6.275312383387503246e-02
1.403999999999999915e+01,2.669931188959975832e-01
1.406000000000000050e+01,3.544554781335119142e-01
1.408000000000000007e+01,3.046787620901310611e-01
1.409999999999999964e+01,1.229952111887264304e-01
1.412000000000000099e+01,2.813742298805691489e-01
1.414000000000000057e+01,5.133772452981710810e-01
1.416000000000000014e+01,2.298668818115654766e-01
1.417999999999999972e+01,4.295591808555387914e-01
1.419999999999999929e+01,2.171916631806101727e-01
1.421999999999999886e+01,4.438128876676158963e-01
1.424000000000000021e+01,2.528755545879813327e-01
1.425999999999999979e+01,3.036572415280739401e-01
1.428000000000000114e+01,1.640670765128068309e-01
1.430000000000000071e+01,3.182809378700938718e-01
1.432000000000000028e+01,2.603275182120510234e-01
1.433999999999999986e+01,1.798142402191564848e-01
1.435999999999999943e+01,2.435510322878636225e-01
1.437999999999999901e+01,3.767605940947202914e-01
1.440000000000000036e+01,2.664006738676165664e-01
1.441999999999999993e+01,4.175877466999778909e-01
1.444000000000000128e+01,9.786297979891354915e-02
1.446000000000000085e+01,9.656678447260390319e-02
1.448000000000000043e+01,1.314156575416836614e-01
1.450000000000000000e+01,3.310440173526820185e-01
1.451999999999999957e+01,-4.615848754503923401e-02
1.453999999999999915e+01,1.197594733305276937e-01
1.456000000000000050e+01,1.144248656352684079e-01
1.458000000000000007e+01,1.894419907201836395e-01
1.460000000000000142e+01,2.882258085914968238e-01
1.462000000000000099e+01,5.791245177437059910e-01
1.464000000000000057e+01,2.630742810319303127e-01
1.466000000000000014e+01,2.303322563165389192e-01
1.467999999999999972e+01,4.248225423247119492e-01
1.469999999999999929e+01,2.820453750999097897e-01
1.471999999999999886e+01,2.142861422681551498e-01
1.474000000000000021e+01,2.385098010675038571e-01
1.475999999999999979e+01,3.218770532636723303e-01
1.478000000000000114e+01,2.361865468542767854e-01
1.480000000000000071e+01,2.573575619688756033e-01
1.482000000000000028e+01,1.090204587217794147e-01
1.483999999999999986e+01,3.385012518792082648e-01
1.485999999999999943e+01,4.302142453802558775e-01
1.487999999999999901e+01,2.108019575912602750e-01
1.490000000000000036e+01,4.161697398736738940e-01
1.491999999999999993e+01,3.642651870839239692e-01
1.494000000000000128e+01,3.326947709478355053e-01
1.496000000000000085e+01,3.398797079865144566e-01
1.498000000000000043e+01,4.420093201543391914e-01
1.500000000000000000e+01,5.761359152346888779e-01
1.501999999999999957e+01,6.213878595218274015e-01
1.503999999999999915e+01,6.606218305532123303e-01
1.506000000000000050e+01,9.382035105462424029e-01
1.508000000000000007e+01,2.525429216502858676e+00
1.510000000000000142e+01,6.915516460972527923e+00
1.512000000000000099e+01,1.164174803032895866e+01
1.514000000000000057e+01,1.182039443694645442e+01
1.516000000000000014e+01,6.529488725200060628e+00
1.517999999999999972e+01,1.846631587260793683e+00
1.519999999999999929e+01,1.101868106096931754e+00
1.521999999999999886e+01,5.278022230186607544e-01
1.524000000000000021e+01,7.726383642683066766e-01
1.525999999999999979e+01,2.999891586371365992e-01
1.528000000000000114e+01,3.385441201019891988e-01
1.530000000000000071e+01,3.261894470546316538e-01
1.532000000000000028e+01,2.987652636784545734e-01
1.533999999999999986e+01,2.591012116850229252e-01
