# 2Theta,Intensity
1.000000000000000000e+01,4.472820578536880198e-01
1.001999999999999957e+01,1.556831391679402432e-01
1.003999999999999915e+01,2.618878630823026632e-01
1.006000000000000050e+01,3.739570630122197037e-01
1.008000000000000007e+01,6.924677400974582619e-02
1.009999999999999964e+01,2.591076928573088911e-01
1.011999999999999922e+01,2.709580879476387039e-01
1.014000000000000057e+01,2.537342902372836106e-01
1.016000000000000014e+01,4.581046740851371646e-01
1.017999999999999972e+01,5.441560842054402602e-01
1.019999999999999929e+01,4.219897512073813028e-01
1.022000000000000064e+01,4.122186791040273746e-01
1.024000000000000021e+01,1.345696189778282370e-01
1.025999999999999979e+01,2.865127983823393398e-01
1.027999999999999936e+01,3.009614953976866847e-01
1.030000000000000071e+01,3.308199068443431479e-01
1.032000000000000028e+01,1.873882795431676684e-01
1.033999999999999986e+01,5.234667318400662017e-01
1.035999999999999943e+01,3.978533538581148776e-01
1.038000000000000078e+01,2.921173980737298281e-01
1.040000000000000036e+01,3.063171183052634250e-01
1.041999999999999993e+01,3.743597711330479694e-01
1.043999999999999950e+01,7.461161034608267129e-02
1.046000000000000085e+01,3.404622195196289058e-01
1.048000000000000043e+01,2.071825291339499941e-01
1.050000000000000000e+01,3.079194125757122591e-01
1.051999999999999957e+01,3.231088565328609219e-01
1.053999999999999915e+01,2.465727198716059221e-01
1.056000000000000050e+01,3.645654591042805093e-01
1.058000000000000007e+01,2.000383048440151634e-01
1.059999999999999964e+01,2.233346056202344110e-01
1.061999999999999922e+01,1.850534703207777909e-01
1.064000000000000057e+01,3.716036739838335934e-01
1.066000000000000014e+01,3.092067914662517403e-01
1.067999999999999972e+01,2.552299054647335641e-01
1.069999999999999929e+01,2.350264667365015714e-01
1.072000000000000064e+01,4.044083263413033036e-01
1.074000000000000021e+01,4.098081077093059243e-01
1.075999999999999979e+01,1.931472189910136139e-01
1.077999999999999936e+01,3.299655530629760913e-01
1.080000000000000071e+01,3.352372704752525356e-01
1.082000000000000028e+01,5.402496774734815155e-01
1.083999999999999986e+01,2.761030263436488608e-01
1.085999999999999943e+01,2.176347683901528607e-01
1.088000000000000078e+01,3.513801453025660604e-01
1.090000000000000036e+01,3.217363918841762427e-01
1.091999999999999993e+01,-1.727314785110920653e-02
1.093999999999999950e+01,5.681620600719099468e-01
1.096000000000000085e+01,6.933688662119530388e-02
