# 2Theta,Intensity
1.000000000000000000e+01,2.108890474298691919e-01
1.001999999999999957e+01,-3.549794495066466854e-02
1.003999999999999915e+01,1.444724797865320209e-01
1.006000000000000050e+01,2.286324969601382373e-01
1.008000000000000007e+01,1.355850565796031248e-01
1.009999999999999964e+01,5.147909432887629727e-02
1.011999999999999922e+01,1.823082706387144369e-01
1.014000000000000057e+01,3.327143326317364563e-02
1.016000000000000014e+01,6.383282147938751372e-02
1.017999999999999972e+01,8.088487206087451031e-02
1.019999999999999929e+01,6.949809001857758239e-02
1.022000000000000064e+01,4.598221594600716833e-02
1.024000000000000021e+01,8.811891334863071468e-02
1.025999999999999979e+01,3.319063436600777628e-01
1.027999999999999936e+01,2.053883611450399715e-01
1.030000000000000071e+01,2.234119774593782970e-01
1.032000000000000028e+01,2.540821051220321647e-01
1.033999999999999986e+01,2.304505847701247279e-01
1.035999999999999943e+01,1.520828341117345106e-01
1.038000000000000078e+01,1.657643217844114586e-02
1.040000000000000036e+01,1.555134457846855944e-01
1.041999999999999993e+01,4.312155079115501805e-02
1.043999999999999950e+01,-1.388719325076347433e-01
1.046000000000000085e+01,2.308527824374353721e-01
1.048000000000000043e+01,1.638820393967276717e-02
1.050000000000000000e+01,7.264114182434523725e-02
1.051999999999999957e+01,1.128993709561074837e-01
1.053999999999999915e+01,9.425077151799861330e-02
1.056000000000000050e+01,2.421008091660397654e-01
1.058000000000000007e+01,2.797320240395914093e-01
1.059999999999999964e+01,2.423754222912483380e-01
1.061999999999999922e+01,1.296417102096953655e-01
1.064000000000000057e+01,3.596096848456734607e-01
1.066000000000000014e+01,1.093356673386929045e-01
1.067999999999999972e+01,-1.047274750867148579e-01
1.069999999999999929e+01,-4.401557234541673275e-02
1.072000000000000064e+01,2.679585177444146482e-01
1.074000000000000021e+01,-8.811629690423436467e-02
1.075999999999999979e+01,4.560991574069245269e-02
1.077999999999999936e+01,1.212198638305776593e-01
1.080000000000000071e+01,-3.304546804595929338e-02
1.082000000000000028e+01,2.112860932942617065e-01
1.083999999999999986e+01,1.200288539076237448e-01
1.085999999999999943e+01,1.245929785954602576e-01
1.088000000000000078e+01,6.620778220985273910e-02
1.090000000000000036e+01,1.281027893602509904e-01
1.091999999999999993e+01,1.733057989521598619e-01
1.093999999999999950e+01,-8.137984594087215029e-02
1.096000000000000085e+01,-8.854738073549563160e-02
1.098000000000000043e+01,2.763043580830870094e-01
1.100000000000000000e+01,8.467216156448693909e-02
1.101999999999999957e+01,4.202404315383149319e-02
1.103999999999999915e+01,-9.964169368251545034e-02
1.106000000000000050e+01,1.230007727988915861e-01
1.108000000000000007e+01,1.157050235257646165e-01
1.109999999999999964e+01,3.959836008200865592e-02
1.112000000000000099e+01,2.315687095561053399e-01
1.114000000000000057e+01,1.414456730263526085e-01
1.116000000000000014e+01,-9.340243344460423536e-04
1.117999999999999972e+01,1.142432617977653525e-01
1.119999999999999929e+01,6.775930926083915951e-02
1.122000000000000064e+01,2.851669618431780240e-01
1.124000000000000021e+01,2.206256043477517748e-01
1.125999999999999979e+01,1.417803868595593486e-01
1.127999999999999936e+01,1.439594182638410103e-01
1.130000000000000071e+01,4.675278885681008467e-02
1.132000000000000028e+01,2.156394965369844707e-01
1.133999999999999986e+01,6.121252996237962207e-02
1.135999999999999943e+01,6.328817844887674182e-02
1.138000000000000078e+01,1.456960868855682045e-01
1.140000000000000036e+01,6.131094593343096311e-02
1.141999999999999993e+01,2.706865128570277168e-01
1.143999999999999950e+01,8.996523755544243162e-02
1.146000000000000085e+01,6.265453237428618427e-02
1.148000000000000043e+01,1.613576801733637711e-01
1.150000000000000000e+01,1.031312245954049134e-01
1.151999999999999957e+01,3.085631503659339633e-03
1.153999999999999915e+01,1.690605398661931824e-01
1.156000000000000050e+01,1.163775039512248699e-01
1.158000000000000007e+01,2.376952394190363915e-01
1.159999999999999964e+01,3.048647543002018512e-02
1.162000000000000099e+01,1.771558300352610027e-01
1.164000000000000057e+01,-9.212155033784380498e-02
1.166000000000000014e+01,1.269091347472729725e-01
1.167999999999999972e+01,-2.183609953829262693e-02
1.169999999999999929e+01,2.546257861196452033e-02
1.172000000000000064e+01,-1.759363999454513841e-03
1.174000000000000021e+01,7.486336594839022862e-02
1.175999999999999979e+01,2.174493823706470652e-01
1.177999999999999936e+01,7.716385467258386754e-02
1.180000000000000071e+01,-3.465113222508312690e-02
