# 2Theta,Intensity
1.000000000000000000e+01,9.489377436306715985e-02
1.001999999999999957e+01,1.500085717132646213e-01
1.003999999999999915e+01,1.694307118168300041e-01
1.006000000000000050e+01,1.058274481952783536e-01
1.008000000000000007e+01,2.447367930712543993e-01
1.009999999999999964e+01,1.157954096161023239e-01
1.011999999999999922e+01,4.499914385613375950e-02
1.014000000000000057e+01,1.979310437787123456e-01
1.016000000000000014e+01,2.627557952497643345e-01
1.017999999999999972e+01,1.405056947349566376e-01
1.019999999999999929e+01,-1.009605682788853286e-02
1.022000000000000064e+01,2.057575158378163183e-01
1.024000000000000021e+01,2.039839975106893522e-01
1.025999999999999979e+01,4.539860420573296751e-02
1.027999999999999936e+01,-1.863581231892241438e-02
1.030000000000000071e+01,2.460997934466178233e-02
1.032000000000000028e+01,1.238535060936763188e-01
1.033999999999999986e+01,1.843875650894627738e-01
1.035999999999999943e+01,-6.705564749370404587e-02
1.038000000000000078e+01,5.060412627550157222e-02
1.040000000000000036e+01,2.977795607015329415e-01
1.041999999999999993e+01,2.215825112867903512e-01
1.043999999999999950e+01,7.223210665973082978e-02
1.046000000000000085e+01,1.598414739193968204e-01
1.048000000000000043e+01,2.838011146937866602e-01
1.050000000000000000e+01,-1.870575373432099495e-02
1.051999999999999957e+01,1.002991782376887603e-01
1.053999999999999915e+01,7.414578576991551206e-02
1.056000000000000050e+01,6.542714787881147298e-02
1.058000000000000007e+01,-5.850277960620295370e-02
1.059999999999999964e+01,9.247224359107812652e-02
1.061999999999999922e+01,2.900696949539433717e-02
1.064000000000000057e+01,3.236089383011452741e-02
1.066000000000000014e+01,9.880009105232787081e-02
1.067999999999999972e+01,-1.904968646071519139e-02
1.069999999999999929e+01,6.174315252770842116e-02
1.072000000000000064e+01,-2.043882877719121333e-02
1.074000000000000021e+01,1.799691682083047473e-01
1.075999999999999979e+01,1.569109599826420398e-01
1.077999999999999936e+01,1.623017858269567015e-01
1.080000000000000071e+01,8.302918489082551645e-02
1.082000000000000028e+01,3.518902160799208118e-02
1.083999999999999986e+01,2.664726066734356968e-01
1.085999999999999943e+01,2.298884711112514634e-01
1.088000000000000078e+01,1.938954014733149933e-01
1.090000000000000036e+01,1.448699019994513781e-01
1.091999999999999993e+01,-4.431173274136630119e-03
1.093999999999999950e+01,1.787585126081964182e-01
1.096000000000000085e+01,1.070712907263053071e-01
1.098000000000000043e+01,1.312864044156398201e-02
1.100000000000000000e+01,2.586784940940607402e-01
1.101999999999999957e+01,9.072893556294550632e-03
1.103999999999999915e+01,-1.059891811631596403e-01
1.106000000000000050e+01,1.604397297531904854e-01
1.108000000000000007e+01,-6.935599285308739759e-02
1.109999999999999964e+01,1.947404580894518678e-01
1.112000000000000099e+01,2.582270412895129041e-01
1.114000000000000057e+01,1.195516702634184941e-01
1.116000000000000014e+01,2.571017762370608195e-01
1.117999999999999972e+01,2.686237865830121141e-01
1.119999999999999929e+01,2.052346187640055053e-01
1.122000000000000064e+01,1.595078393048590393e-01
1.124000000000000021e+01,3.782974164083343638e-01
1.125999999999999979e+01,2.966471950790733336e-01
1.127999999999999936e+01,2.462585453733436014e-01
1.130000000000000071e+01,1.240323543678631124e-01
1.132000000000000028e+01,4.679147361088715346e-02
1.133999999999999986e+01,2.142925670452934528e-02
1.135999999999999943e+01,1.000244601805442002e-01
1.138000000000000078e+01,2.637238880158262466e-01
1.140000000000000036e+01,-5.234662285899974871e-02
1.141999999999999993e+01,7.763558217484962942e-02
1.143999999999999950e+01,3.037178254314256698e-01
1.146000000000000085e+01,1.455190517315536197e-03
1.148000000000000043e+01,5.182169959396892844e-02
1.150000000000000000e+01,1.186413500298550971e-01
1.151999999999999957e+01,1.167409517216494719e-01
1.153999999999999915e+01,-2.156324079265043575e-02
1.156000000000000050e+01,5.759820636468456628e-02
1.158000000000000007e+01,8.375168573114898096e-02
1.159999999999999964e+01,-5.834981855521188115e-03
1.162000000000000099e+01,1.561029533131749747e-01
1.164000000000000057e+01,1.523760627947223500e-01
1.166000000000000014e+01,2.331726359232594141e-04
1.167999999999999972e+01,8.925555115158426145e-02
1.169999999999999929e+01,2.291341749029400798e-01
1.172000000000000064e+01,1.508686149743413696e-01
1.174000000000000021e+01,1.543570781716717411e-01
1.175999999999999979e+01,-4.287977567241101073e-02
1.177999999999999936e+01,1.273350147693721839e-02
1.180000000000000071e+01,1.038656709459458011e-01
1.182000000000000028e+01,2.298255993054117152e-01
1.183999999999999986e+01,4.454158974987967173e-02
1.185999999999999943e+01,1.283096859316924521e-01
1.188000000000000078e+01,7.993782073993824233e-02
1.190000000000000036e+01,-4.967646679997392636e-03
1.191999999999999993e+01,1.289123176945784210e-01
1.193999999999999950e+01,4.882927532526274567e-02
1.196000000000000085e+01,5.938192579089141693e-02
1.198000000000000043e+01,1.694649162601332415e-01
1.200000000000000000e+01,2.760423172841345307e-01
1.201999999999999957e+01,1.792619168371812066e-01
1.203999999999999915e+01,1.481092690314701477e-01
1.206000000000000050e+01,1.301986182617423209e-02
1.208000000000000007e+01,1.577427034541848128e-01
1.209999999999999964e+01,1.092741706460103740e-01
1.212000000000000099e+01,2.168530909859161526e-01
1.214000000000000057e+01,8.603329698920163249e-02
1.216000000000000014e+01,8.894873186925711384e-02
1.217999999999999972e+01,1.144601648983741837e-01
1.219999999999999929e+01,7.399559076828760018e-02
1.222000000000000064e+01,1.691448772194466543e-01
1.224000000000000021e+01,3.107291674460123665e-01
1.225999999999999979e+01,-3.977594937085979221e-02
1.228000000000000114e+01,1.252545554222255220e-01
1.230000000000000071e+01,1.313209605438591110e-01
1.232000000000000028e+01,2.005760627571532562e-01
1.233999999999999986e+01,1.567092505738039709e-01
1.235999999999999943e+01,-8.910328762857122609e-02
1.237999999999999901e+01,2.201719772837835709e-01
1.240000000000000036e+01,4.443461648051651169e-02
1.241999999999999993e+01,1.458272846607406581e-01
1.243999999999999950e+01,-3.930467280254605622e-02
1.246000000000000085e+01,1.301405198373742911e-01
1.248000000000000043e+01,1.148002951758140405e-01
1.250000000000000000e+01,1.960015405130231259e-01
1.251999999999999957e+01,1.789663226265535145e-01
1.253999999999999915e+01,8.383596351528273261e-02
1.256000000000000050e+01,-2.786548765270668512e-02
1.258000000000000007e+01,9.165582973576430481e-02
1.259999999999999964e+01,2.635894043696438982e-01
1.262000000000000099e+01,2.205198504930361569e-01
1.264000000000000057e+01,1.689272313589181007e-02
1.266000000000000014e+01,1.838716707036495424e-01
1.267999999999999972e+01,1.314775199038497600e-01
1.269999999999999929e+01,1.065317991721883573e-01
1.272000000000000064e+01,6.622315999668741682e-02
1.274000000000000021e+01,1.027983180236784755e-01
1.275999999999999979e+01,7.565024928908017920e-02
1.278000000000000114e+01,2.171608540463440817e-01
1.280000000000000071e+01,1.410873003121960179e-01
1.282000000000000028e+01,5.663079552329291361e-02
1.283999999999999986e+01,2.407714214939984387e-01
1.285999999999999943e+01,2.268844308471417159e-01
1.287999999999999901e+01,9.549435842281871201e-02
1.290000000000000036e+01,3.719348922293565507e-01
1.291999999999999993e+01,1.963115628937855128e-01
1.293999999999999950e+01,1.709500563043609700e-01
1.296000000000000085e+01,3.316095227799150530e-02
1.298000000000000043e+01,-2.449395270656962165e-02
1.300000000000000000e+01,1.682203868059325425e-01
1.301999999999999957e+01,8.802062107754894671e-02
1.303999999999999915e+01,1.672446536799884753e-01
1.306000000000000050e+01,1.823448613017151776e-01
1.308000000000000007e+01,2.106078355065785779e-01
1.309999999999999964e+01,4.632403936763344887e-02
1.312000000000000099e+01,-1.737531643954148483e-02
1.314000000000000057e+01,3.181833030309458733e-03
1.316000000000000014e+01,1.822029156744127965e-01
1.317999999999999972e+01,1.445644780598003276e-01
1.319999999999999929e+01,1.697201967267996658e-01
1.322000000000000064e+01,7.223030326127019562e-03
1.324000000000000021e+01,-2.454142162495739563e-02
1.325999999999999979e+01,8.005305343770134641e-02
1.328000000000000114e+01,9.416304337863883045e-02
1.330000000000000071e+01,-2.218649902586178162e-03
1.332000000000000028e+01,3.483881305166414144e-01
1.333999999999999986e+01,5.558704177569729482e-02
1.335999999999999943e+01,1.552224678024873294e-01
1.337999999999999901e+01,1.687951585519239378e-02
1.340000000000000036e+01,3.561001761544448918e-01
1.341999999999999993e+01,2.199574234547943818e-01
1.343999999999999950e+01,1.186219264329003709e-01
1.346000000000000085e+01,1.378005966500748247e-01
1.348000000000000043e+01,6.208902953679518166e-02
1.350000000000000000e+01,7.241227881618912676e-02
1.351999999999999957e+01,4.921688206681357203e-02
1.353999999999999915e+01,-5.978853557705791910e-02
1.356000000000000050e+01,1.262734894711139977e-01
1.358000000000000007e+01,2.204968797331398334e-01
1.359999999999999964e+01,8.420966151758375873e-02
1.362000000000000099e+01,-7.294784472676689446e-02
1.364000000000000057e+01,1.953564454097685421e-01
1.366000000000000014e+01,6.119560302130470225e-02
1.367999999999999972e+01,1.467451092400163803e-01
1.369999999999999929e+01,2.190204359791117217e-01
1.372000000000000064e+01,-4.267930976507978980e-02
1.374000000000000021e+01,-1.584563574814050815e-02
1.375999999999999979e+01,1.753010738461786844e-01
1.378000000000000114e+01,-1.945673178411707477e-02
1.380000000000000071e+01,1.531928135046512207e-01
1.382000000000000028e+01,2.538248796080579406e-01
1.383999999999999986e+01,2.468091741384935769e-02
1.385999999999999943e+01,1.736217136101819991e-01
1.387999999999999901e+01,2.356757893869525500e-01
1.390000000000000036e+01,2.304143267980010013e-01
1.391999999999999993e+01,1.032856940886896085e-01
1.393999999999999950e+01,2.634914302149318766e-01
1.396000000000000085e+01,3.564998442969065651e-01
1.398000000000000043e+01,-2.269350133844310821e-02
1.400000000000000000e+01,8.243750157086308927e-02
1.401999999999999957e+01,3.038509667568927153e-01
1.403999999999999915e+01,2.174340644912971798e-01
1.406000000000000050e+01,1.378617047551612962e-01
1.408000000000000007e+01,1.576861378333436758e-01
1.409999999999999964e+01,1.762519126751065923e-01
1.412000000000000099e+01,6.265223103244806080e-02
1.414000000000000057e+01,1.391701182498812361e-01
1.416000000000000014e+01,1.438996121611167966e-01
1.417999999999999972e+01,1.498633748241601227e-01
1.419999999999999929e+01,1.963271255117071956e-01
1.421999999999999886e+01,7.676962710196215400e-02
1.424000000000000021e+01,1.311338335658698839e-01
1.425999999999999979e+01,3.161941202072077739e-01
1.428000000000000114e+01,-4.527965057914457719e-02
1.430000000000000071e+01,-5.351923341134233458e-02
1.432000000000000028e+01,7.203778029694769304e-03
1.433999999999999986e+01,8.379420974166430086e-03
1.435999999999999943e+01,-6.849045639182670120e-02
1.437999999999999901e+01,-2.828455323541015365e-02
1.440000000000000036e+01,-4.318192707683136261e-02
1.441999999999999993e+01,3.528326612948663038e-02
1.444000000000000128e+01,2.929212211011140155e-01
1.446000000000000085e+01,-5.490359140106107483e-03
1.448000000000000043e+01,1.485271292398917808e-01
1.450000000000000000e+01,1.323502331533485399e-01
1.451999999999999957e+01,-5.624965162349309994e-04
1.453999999999999915e+01,2.733293444054728516e-01
1.456000000000000050e+01,-1.166756878993497476e-01
1.458000000000000007e+01,-7.556419599361742512e-02
1.460000000000000142e+01,2.353327171850825433e-02
1.462000000000000099e+01,1.972281697947590451e-01
1.464000000000000057e+01,9.811390606831221772e-02
1.466000000000000014e+01,-5.651337692723881756e-02
1.467999999999999972e+01,3.431192697435916927e-02
1.469999999999999929e+01,1.799142829052894910e-01
1.471999999999999886e+01,3.097664676015257634e-01
1.474000000000000021e+01,1.524423832986330218e-01
1.475999999999999979e+01,2.010778384944370278e-01
1.478000000000000114e+01,2.087655549725282167e-01
1.480000000000000071e+01,8.484669869641814355e-02
1.482000000000000028e+01,4.077362118518149808e-02
1.483999999999999986e+01,1.962551486086492047e-01
1.485999999999999943e+01,2.028695495783492120e-01
1.487999999999999901e+01,1.553648715080473142e-01
