# 2Theta,Intensity
1.000000000000000000e+01,1.265551958577031399e+00
1.001999999999999957e+01,1.299257908372758452e+00
1.003999999999999915e+01,1.350980877162191618e+00
1.006000000000000050e+01,1.773010301868025884e+00
1.008000000000000007e+01,1.532091449946446859e+00
1.009999999999999964e+01,1.249035814246628462e+00
1.011999999999999922e+01,1.414890097147299297e+00
1.014000000000000057e+01,1.518674255124310202e+00
1.016000000000000014e+01,1.366276409112373358e+00
1.017999999999999972e+01,1.607317000172345578e+00
1.019999999999999929e+01,1.447931560504458259e+00
1.022000000000000064e+01,1.619247964627874570e+00
1.024000000000000021e+01,1.218859859284677549e+00
1.025999999999999979e+01,1.198553024948930457e+00
1.027999999999999936e+01,1.326137393552499821e+00
1.030000000000000071e+01,1.133951316343308369e+00
1.032000000000000028e+01,1.630118537297438053e+00
1.033999999999999986e+01,1.509268240841333819e+00
1.035999999999999943e+01,1.692794822764476237e+00
1.038000000000000078e+01,1.450983443160778430e+00
1.040000000000000036e+01,1.324827843795820748e+00
1.041999999999999993e+01,1.044399996672563002e+00
1.043999999999999950e+01,1.252445985877243428e+00
1.046000000000000085e+01,1.510202186927414258e+00
1.048000000000000043e+01,1.173209855227624887e+00
1.050000000000000000e+01,1.505462843126854633e+00
1.051999999999999957e+01,1.261855678903626377e+00
1.053999999999999915e+01,1.150067989907495924e+00
1.056000000000000050e+01,1.327665764060430797e+00
1.058000000000000007e+01,1.363646272784984292e+00
1.059999999999999964e+01,1.290119011892059353e+00
1.061999999999999922e+01,1.204151527512443476e+00
1.064000000000000057e+01,1.265768053653974823e+00
1.066000000000000014e+01,1.397608979943489871e+00
1.067999999999999972e+01,1.592176380874608554e+00
1.069999999999999929e+01,1.530877234572943557e+00
1.072000000000000064e+01,1.683615336527550799e+00
1.074000000000000021e+01,1.506040017483540439e+00
1.075999999999999979e+01,1.409874569910120945e+00
1.077999999999999936e+01,1.533811153884450107e+00
1.080000000000000071e+01,1.294019624099907340e+00
1.082000000000000028e+01,1.356516497480482197e+00
1.083999999999999986e+01,1.048064084567523313e+00
1.085999999999999943e+01,1.054583030809985944e+00
1.088000000000000078e+01,1.603083560892845982e+00
1.090000000000000036e+01,1.152617774589874688e+00
1.091999999999999993e+01,1.600988421941145656e+00
1.093999999999999950e+01,1.464287106121925808e+00
1.096000000000000085e+01,1.350508817765222913e+00
1.098000000000000043e+01,1.516525638111235974e+00
1.100000000000000000e+01,1.530910568165083196e+00
1.101999999999999957e+01,1.204663374760652772e+00
1.103999999999999915e+01,1.476284255033446291e+00
1.106000000000000050e+01,1.771935002350357502e+00
1.108000000000000007e+01,1.510399332315778942e+00
1.109999999999999964e+01,1.465148470815128112e+00
1.112000000000000099e+01,1.682015017567260351e+00
1.114000000000000057e+01,1.224561504441502580e+00
1.116000000000000014e+01,1.357240723542328498e+00
1.117999999999999972e+01,1.326868711679555002e+00
1.119999999999999929e+01,1.559325379577801707e+00
1.122000000000000064e+01,1.629691550575473435e+00
1.124000000000000021e+01,1.476931694318157628e+00
1.125999999999999979e+01,1.548696554127220848e+00
1.127999999999999936e+01,1.242359930054849571e+00
1.130000000000000071e+01,1.513706930399768780e+00
1.132000000000000028e+01,1.324172374380661266e+00
1.133999999999999986e+01,1.104826057364294734e+00
1.135999999999999943e+01,1.366517223743562992e+00
1.138000000000000078e+01,1.612854178459620647e+00
1.140000000000000036e+01,1.692432968070846755e+00
1.141999999999999993e+01,1.138496152161641906e+00
1.143999999999999950e+01,1.507284643983254124e+00
1.146000000000000085e+01,1.556575293086839729e+00
1.148000000000000043e+01,1.011400964973348859e+00
1.150000000000000000e+01,1.173796893551356524e+00
1.151999999999999957e+01,8.370102810138431160e-01
1.153999999999999915e+01,1.175820160841299922e+00
1.156000000000000050e+01,1.405122348996613146e+00
1.158000000000000007e+01,9.705764115668604752e-01
1.159999999999999964e+01,1.386564588757003502e+00
1.162000000000000099e+01,1.338964381718252383e+00
1.164000000000000057e+01,1.363783805761558110e+00
1.166000000000000014e+01,1.534160876530948459e+00
1.167999999999999972e+01,1.380638034824411164e+00
1.169999999999999929e+01,1.212233053475670008e+00
1.172000000000000064e+01,1.383219432020187378e+00
1.174000000000000021e+01,1.116903424924390542e+00
1.175999999999999979e+01,1.573226400256410695e+00
1.177999999999999936e+01,1.036828516336825157e+00
1.180000000000000071e+01,1.332496353332756733e+00
1.182000000000000028e+01,1.239424139051624740e+00
1.183999999999999986e+01,6.133118259546501694e-01
1.185999999999999943e+01,1.371243259253152935e+00
1.188000000000000078e+01,1.275660066945094373e+00
1.190000000000000036e+01,1.837947885408637294e+00
1.191999999999999993e+01,1.134478654930868302e+00
1.193999999999999950e+01,1.766290405152913801e+00
1.196000000000000085e+01,1.759164621558578112e+00
1.198000000000000043e+01,1.620670510974503875e+00
1.200000000000000000e+01,1.321376341278452715e+00
1.201999999999999957e+01,1.658870973179839226e+00
1.203999999999999915e+01,1.457885805059322415e+00
1.206000000000000050e+01,1.179307093327085498e+00
1.208000000000000007e+01,1.306840693742925774e+00
1.209999999999999964e+01,1.032107847121001010e+00
1.212000000000000099e+01,1.319543552380098905e+00
1.214000000000000057e+01,1.557744979619108294e+00
1.216000000000000014e+01,1.622382557493722288e+00
1.217999999999999972e+01,1.539396726335429566e+00
1.219999999999999929e+01,1.479247334611761167e+00
1.222000000000000064e+01,1.120411492291097710e+00
1.224000000000000021e+01,1.472318570611014898e+00
1.225999999999999979e+01,1.186192432076264014e+00
1.228000000000000114e+01,1.410279604746875970e+00
1.230000000000000071e+01,1.367739563365138133e+00
1.232000000000000028e+01,1.478304284215566700e+00
1.233999999999999986e+01,1.204437325316423113e+00
1.235999999999999943e+01,1.147024535974723758e+00
1.237999999999999901e+01,1.267721599499197715e+00
1.240000000000000036e+01,1.526343614706787255e+00
1.241999999999999993e+01,1.549846262624233084e+00
1.243999999999999950e+01,1.093764359018663868e+00
1.246000000000000085e+01,1.176806919849808786e+00
1.248000000000000043e+01,1.418292374499783737e+00
1.250000000000000000e+01,1.244131709369300509e+00
1.251999999999999957e+01,1.329469536356346904e+00
1.253999999999999915e+01,1.167386429579621909e+00
1.256000000000000050e+01,1.497082542110467651e+00
1.258000000000000007e+01,1.378402756200230339e+00
1.259999999999999964e+01,1.753771635294134379e+00
1.262000000000000099e+01,1.626191659430411773e+00
1.264000000000000057e+01,1.251560898771816754e+00
1.266000000000000014e+01,1.358063561528664698e+00
1.267999999999999972e+01,1.098234839612066249e+00
1.269999999999999929e+01,1.196016772679179496e+00
1.272000000000000064e+01,1.071635822121328019e+00
1.274000000000000021e+01,1.261620768205607757e+00
1.275999999999999979e+01,8.912646672157673589e-01
1.278000000000000114e+01,1.398629461431297516e+00
1.280000000000000071e+01,1.783932490321619380e+00
1.282000000000000028e+01,1.135030303589783074e+00
1.283999999999999986e+01,1.077351659367846048e+00
1.285999999999999943e+01,1.328117223578567874e+00
1.287999999999999901e+01,1.306986916739758087e+00
1.290000000000000036e+01,1.471984154352266261e+00
1.291999999999999993e+01,1.233312297352535003e+00
1.293999999999999950e+01,1.311132116722388385e+00
1.296000000000000085e+01,1.938490149778139937e+00
1.298000000000000043e+01,1.479236296441645448e+00
1.300000000000000000e+01,1.450427537766617592e+00
1.301999999999999957e+01,1.331288676884560651e+00
1.303999999999999915e+01,1.609462761568373645e+00
1.306000000000000050e+01,1.291604564493449736e+00
1.308000000000000007e+01,1.029548319084718999e+00
1.309999999999999964e+01,1.384678354537341560e+00
1.312000000000000099e+01,1.105424542231654428e+00
1.314000000000000057e+01,1.213206279196725745e+00
1.316000000000000014e+01,9.272353770289167851e-01
1.317999999999999972e+01,1.537091009787265428e+00
1.319999999999999929e+01,1.369519906968266421e+00
1.322000000000000064e+01,1.355569561165379078e+00
1.324000000000000021e+01,1.155364883219519578e+00
1.325999999999999979e+01,1.623782867921330197e+00
1.328000000000000114e+01,1.130808440347731869e+00
1.330000000000000071e+01,1.241583051629242096e+00
1.332000000000000028e+01,1.305412218921148781e+00
1.333999999999999986e+01,1.216736366834769267e+00
1.335999999999999943e+01,1.486725838187302751e+00
1.337999999999999901e+01,1.046221429028385552e+00
1.340000000000000036e+01,1.729645659294245075e+00
1.341999999999999993e+01,1.536789534477639885e+00
1.343999999999999950e+01,1.328878468836609095e+00
1.346000000000000085e+01,1.491377183205620405e+00
1.348000000000000043e+01,1.431409667913527972e+00
1.350000000000000000e+01,1.084216825267615203e+00
1.351999999999999957e+01,1.499775451888813338e+00
1.353999999999999915e+01,1.748684164753006032e+00
1.356000000000000050e+01,1.272252042437463038e+00
1.358000000000000007e+01,1.393127360148167959e+00
1.359999999999999964e+01,1.166638257389855937e+00
1.362000000000000099e+01,1.499688223928221431e+00
1.364000000000000057e+01,1.190779788814626983e+00
1.366000000000000014e+01,1.691756071422796603e+00
1.367999999999999972e+01,1.309433024505551657e+00
1.369999999999999929e+01,9.953777148335458680e-01
1.372000000000000064e+01,1.599006201294451701e+00
1.374000000000000021e+01,1.554351082190503330e+00
1.375999999999999979e+01,1.654310315787731911e+00
1.378000000000000114e+01,1.536570287428246528e+00
1.380000000000000071e+01,1.553000388542606913e+00
1.382000000000000028e+01,1.206029176265732916e+00
1.383999999999999986e+01,1.535497874572846255e+00
1.385999999999999943e+01,1.413731980650351661e+00
1.387999999999999901e+01,1.197563192041127600e+00
1.390000000000000036e+01,1.632878880240562047e+00
1.391999999999999993e+01,1.551587724966762671e+00
1.393999999999999950e+01,1.642054318099908317e+00
1.396000000000000085e+01,1.014883215642011782e+00
1.398000000000000043e+01,1.270959669413058268e+00
1.400000000000000000e+01,1.560616979630064627e+00
1.401999999999999957e+01,1.009254195043673752e+00
1.403999999999999915e+01,1.386042166007747767e+00
1.406000000000000050e+01,1.259292159435154046e+00
1.408000000000000007e+01,1.286369647003392735e+00
1.409999999999999964e+01,1.662666167799752959e+00
1.412000000000000099e+01,1.323756344833342924e+00
1.414000000000000057e+01,1.523886286924200695e+00
1.416000000000000014e+01,1.439728033134557217e+00
1.417999999999999972e+01,1.535249106856747980e+00
1.419999999999999929e+01,1.704818771191551230e+00
1.421999999999999886e+01,1.065249511653543868e+00
1.424000000000000021e+01,1.498999905191066073e+00
1.425999999999999979e+01,1.473548945525622322e+00
1.428000000000000114e+01,1.706441086084083514e+00
1.430000000000000071e+01,1.225496145858399721e+00
1.432000000000000028e+01,1.254234373642697964e+00
1.433999999999999986e+01,1.239305977845863938e+00
1.435999999999999943e+01,1.602793230645653599e+00
1.437999999999999901e+01,1.623024429196211482e+00
1.440000000000000036e+01,1.333675461076697433e+00
1.441999999999999993e+01,1.104790889012619903e+00
1.444000000000000128e+01,1.202043800669203799e+00
1.446000000000000085e+01,1.140007478960973986e+00
1.448000000000000043e+01,1.229973387823439568e+00
1.450000000000000000e+01,1.131147528570032534e+00
1.451999999999999957e+01,1.304004444988074773e+00
1.453999999999999915e+01,1.669511981210448859e+00
1.456000000000000050e+01,8.690004628295706635e-01
1.458000000000000007e+01,1.301306053153198361e+00
1.460000000000000142e+01,1.018015096333958480e+00
1.462000000000000099e+01,1.236444672634711139e+00
1.464000000000000057e+01,1.141351008172287740e+00
1.466000000000000014e+01,1.619983385173201063e+00
1.467999999999999972e+01,1.367788818475407231e+00
1.469999999999999929e+01,1.340773397212653872e+00
1.471999999999999886e+01,1.306665411157073686e+00
1.474000000000000021e+01,1.157051963193493238e+00
1.475999999999999979e+01,1.465347538151836382e+00
1.478000000000000114e+01,9.928897790025614789e-01
1.480000000000000071e+01,1.192765548134015363e+00
1.482000000000000028e+01,1.648160040734937937e+00
1.483999999999999986e+01,1.323754218971498364e+00
1.485999999999999943e+01,1.216844822948418781e+00
1.487999999999999901e+01,1.102607609527359811e+00
1.490000000000000036e+01,1.349444174659448770e+00
1.491999999999999993e+01,1.333902850291222242e+00
1.494000000000000128e+01,1.245782895100792542e+00
1.496000000000000085e+01,1.187931924228833758e+00
1.498000000000000043e+01,1.524765200087023986e+00
1.500000000000000000e+01,1.582602866883780601e+00
1.501999999999999957e+01,1.057373967418002714e+00
1.503999999999999915e+01,1.477386201554558021e+00
1.506000000000000050e+01,1.134213978224906549e+00
1.508000000000000007e+01,1.531930766598529337e+00
1.510000000000000142e+01,1.740895133409286366e+00
1.512000000000000099e+01,1.529557718572275515e+00
1.514000000000000057e+01,1.203864336055346484e+00
1.516000000000000014e+01,1.029443231635167377e+00
1.517999999999999972e+01,1.395315072983217553e+00
1.519999999999999929e+01,1.315854062555018800e+00
1.521999999999999886e+01,1.566484942012514869e+00
1.524000000000000021e+01,1.382632539814056649e+00
1.525999999999999979e+01,1.459975046043636704e+00
1.528000000000000114e+01,1.436298744975948116e+00
1.530000000000000071e+01,1.302723089976812743e+00
1.532000000000000028e+01,1.617712476029626201e+00
1.533999999999999986e+01,1.773080806325396441e+00
1.535999999999999943e+01,1.458687945543788000e+00
1.537999999999999901e+01,1.131192100020154356e+00
1.540000000000000036e+01,1.440995892474771001e+00
1.541999999999999993e+01,1.652542583934642817e+00
1.544000000000000128e+01,1.217001311642503580e+00
1.546000000000000085e+01,1.612237156286199680e+00
1.548000000000000043e+01,1.346458467542343440e+00
1.550000000000000000e+01,1.308031033465102855e+00
1.551999999999999957e+01,1.466108158705393016e+00
1.553999999999999915e+01,1.403357660262940509e+00
1.556000000000000050e+01,1.322978208686807378e+00
1.558000000000000007e+01,1.436392561910377230e+00
1.560000000000000142e+01,1.287668134392810027e+00
1.562000000000000099e+01,1.405345826315588909e+00
1.564000000000000057e+01,1.361340250288790577e+00
1.566000000000000014e+01,1.284624585752600856e+00
1.567999999999999972e+01,1.124025562827458913e+00
1.569999999999999929e+01,1.649556983746243821e+00
1.571999999999999886e+01,1.815954229747527071e+00
1.574000000000000021e+01,1.231968342222505397e+00
1.575999999999999979e+01,1.144931828135222540e+00
1.578000000000000114e+01,1.349329591377040893e+00
1.580000000000000071e+01,1.428971981287304960e+00
1.582000000000000028e+01,1.371375479026171407e+00
1.583999999999999986e+01,1.680300681261348128e+00
1.585999999999999943e+01,1.178752672672523261e+00
1.587999999999999901e+01,1.327324593822189591e+00
1.590000000000000036e+01,1.271366144112183294e+00
1.591999999999999993e+01,1.238814522554277486e+00
1.594000000000000128e+01,1.445893251717019767e+00
1.596000000000000085e+01,1.379084251493225777e+00
1.598000000000000043e+01,1.219809089252039014e+00
1.600000000000000000e+01,1.902695546465992704e+00
1.601999999999999957e+01,1.871918675298017254e+00
1.603999999999999915e+01,1.245608190744028398e+00
1.606000000000000227e+01,1.342527577416990248e+00
1.607999999999999829e+01,1.417714457092367653e+00
1.610000000000000142e+01,1.605493245504159505e+00
1.612000000000000099e+01,1.508567013002314772e+00
1.614000000000000057e+01,1.652259289660078512e+00
1.616000000000000014e+01,1.270929325079678707e+00
1.617999999999999972e+01,1.399555481409664903e+00
1.619999999999999929e+01,1.500570517024081951e+00
1.621999999999999886e+01,1.037764773883241842e+00
1.624000000000000199e+01,1.126722338980548743e+00
1.625999999999999801e+01,1.362303383528789880e+00
1.628000000000000114e+01,1.183460624593876132e+00
1.630000000000000071e+01,1.176644783598181476e+00
1.632000000000000028e+01,1.275722050348354397e+00
1.633999999999999986e+01,1.262704603740720133e+00
1.635999999999999943e+01,1.349186561724723399e+00
1.637999999999999901e+01,1.282283538055237093e+00
1.639999999999999858e+01,1.148201909471856519e+00
1.642000000000000171e+01,1.601348239303803211e+00
1.644000000000000128e+01,1.449471843564628770e+00
1.646000000000000085e+01,1.442752080094497735e+00
1.648000000000000043e+01,1.565249546644587042e+00
1.650000000000000000e+01,1.994002343198004068e+00
1.651999999999999957e+01,1.401393265896031970e+00
1.653999999999999915e+01,1.074093890642634053e+00
1.656000000000000227e+01,1.593548708489151533e+00
1.657999999999999829e+01,1.546635356628087044e+00
1.660000000000000142e+01,1.175914151384958695e+00
1.662000000000000099e+01,1.287056085805942329e+00
1.664000000000000057e+01,1.207930691023813896e+00
1.666000000000000014e+01,1.221261426413686069e+00
1.667999999999999972e+01,1.243140884898730869e+00
1.669999999999999929e+01,1.593725322002234934e+00
1.671999999999999886e+01,1.261389594036463446e+00
1.674000000000000199e+01,1.565125189276782347e+00
1.675999999999999801e+01,1.500538369172395914e+00
1.678000000000000114e+01,1.530401448850942536e+00
1.680000000000000071e+01,1.343080307018859498e+00
1.682000000000000028e+01,1.287577610194646116e+00
1.683999999999999986e+01,1.255688394018315668e+00
1.685999999999999943e+01,1.048147651075045372e+00
1.687999999999999901e+01,1.310328500722374612e+00
1.689999999999999858e+01,1.408279890280472291e+00
1.692000000000000171e+01,1.223321240029768830e+00
1.694000000000000128e+01,1.639361746657045815e+00
1.696000000000000085e+01,1.396315341875975946e+00
1.698000000000000043e+01,1.339214954875333818e+00
1.700000000000000000e+01,1.425674327487838733e+00
1.701999999999999957e+01,1.218414770115179513e+00
1.703999999999999915e+01,1.579155563183822331e+00
1.706000000000000227e+01,1.372663782476736927e+00
1.707999999999999829e+01,1.516271173548483508e+00
1.710000000000000142e+01,1.501856278310195414e+00
1.712000000000000099e+01,1.065980114299088344e+00
1.714000000000000057e+01,1.727453212030557683e+00
1.716000000000000014e+01,1.134854033086446279e+00
1.717999999999999972e+01,1.095977826607652084e+00
1.719999999999999929e+01,1.331057518656474148e+00
1.721999999999999886e+01,1.460502031898324837e+00
1.724000000000000199e+01,1.304279320738210401e+00
1.725999999999999801e+01,1.407300361317543880e+00
1.728000000000000114e+01,1.623759934647830860e+00
1.730000000000000071e+01,1.073485660383047824e+00
1.732000000000000028e+01,1.447324279150777659e+00
1.733999999999999986e+01,1.307934567903562773e+00
1.735999999999999943e+01,1.456053877218066228e+00
1.737999999999999901e+01,1.130798310234342408e+00
1.739999999999999858e+01,1.234594352306575216e+00
1.742000000000000171e+01,1.540430973500003686e+00
1.744000000000000128e+01,1.187096794926305598e+00
1.746000000000000085e+01,1.028315466609725393e+00
1.748000000000000043e+01,1.187359465195189534e+00
1.750000000000000000e+01,1.395705944892037920e+00
1.751999999999999957e+01,1.561916125430439894e+00
1.753999999999999915e+01,1.421110802777894033e+00
1.756000000000000227e+01,1.179338518218684184e+00
1.757999999999999829e+01,1.595717221609434189e+00
1.760000000000000142e+01,1.652891910139846932e+00
1.762000000000000099e+01,1.537174466146372209e+00
1.764000000000000057e+01,1.625039398215395448e+00
1.766000000000000014e+01,1.314777325868702995e+00
1.767999999999999972e+01,1.418843124973354630e+00
1.769999999999999929e+01,1.592751068661971470e+00
1.771999999999999886e+01,1.431706745277219639e+00
1.774000000000000199e+01,1.463979190437341149e+00
1.775999999999999801e+01,1.633021179679198021e+00
1.778000000000000114e+01,1.376059992539250043e+00
1.780000000000000071e+01,1.493651549004781032e+00
1.782000000000000028e+01,1.347034853250637543e+00
1.783999999999999986e+01,1.307071447412316623e+00
1.785999999999999943e+01,1.772450092640878605e+00
1.787999999999999901e+01,1.271628780416481863e+00
1.789999999999999858e+01,1.547062708002886700e+00
1.792000000000000171e+01,1.434279029259524219e+00
1.794000000000000128e+01,1.643508807673685457e+00
1.796000000000000085e+01,1.305293520703115107e+00
1.798000000000000043e+01,1.524081695591581465e+00
1.800000000000000000e+01,8.747191562179826851e-01
1.801999999999999957e+01,1.378121727776792316e+00
1.803999999999999915e+01,1.609079576268227285e+00
1.806000000000000227e+01,1.284482860709327046e+00
1.807999999999999829e+01,1.208999807721347297e+00
1.810000000000000142e+01,1.282076968980345066e+00
1.812000000000000099e+01,1.337794805679992205e+00
1.814000000000000057e+01,1.109746874640131997e+00
1.816000000000000014e+01,1.696271126873413415e+00
1.817999999999999972e+01,1.507735368163511280e+00
1.819999999999999929e+01,1.474387117447286455e+00
1.821999999999999886e+01,1.439718578200808841e+00
1.824000000000000199e+01,1.353680368109124288e+00
1.825999999999999801e+01,1.403562667404506525e+00
1.828000000000000114e+01,1.134648413556543334e+00
1.830000000000000071e+01,1.167798751582189709e+00
1.832000000000000028e+01,1.188443278365128641e+00
1.833999999999999986e+01,1.386236524989493679e+00
1.835999999999999943e+01,1.439381434596309850e+00
1.838000000000000256e+01,1.483022897672606977e+00
1.839999999999999858e+01,9.972353531903042079e-01
1.842000000000000171e+01,1.154444892723653915e+00
1.843999999999999773e+01,1.375136561559964665e+00
1.846000000000000085e+01,1.736159982956034131e+00
1.848000000000000043e+01,1.486454653659559089e+00
1.850000000000000000e+01,1.329548195593602822e+00
1.851999999999999957e+01,1.510469997924151375e+00
1.853999999999999915e+01,1.387510404451708590e+00
1.856000000000000227e+01,1.442003418116087232e+00
1.857999999999999829e+01,1.483092593121230651e+00
1.860000000000000142e+01,1.275201882461767910e+00
1.862000000000000099e+01,1.376727096507662118e+00
1.864000000000000057e+01,1.080087536541971316e+00
1.866000000000000014e+01,1.369332864779433834e+00
1.867999999999999972e+01,1.666551575039863176e+00
1.870000000000000284e+01,1.391888056114195082e+00
1.871999999999999886e+01,1.437358990288745586e+00
1.874000000000000199e+01,1.465995423154633270e+00
1.875999999999999801e+01,1.646826351013510381e+00
1.878000000000000114e+01,1.183842340085647482e+00
1.880000000000000071e+01,1.585602274270250689e+00
1.882000000000000028e+01,1.465791035394703012e+00
1.883999999999999986e+01,1.269943125812303730e+00
1.885999999999999943e+01,9.976850659095544138e-01
1.888000000000000256e+01,1.140458059709289262e+00
1.889999999999999858e+01,1.302309740096561974e+00
1.892000000000000171e+01,1.453721748981717798e+00
1.893999999999999773e+01,1.362897829782705905e+00
1.896000000000000085e+01,1.222513721376571105e+00
1.898000000000000043e+01,9.138290289322812399e-01
1.900000000000000000e+01,1.003956473125065862e+00
1.901999999999999957e+01,1.518775991848051898e+00
1.903999999999999915e+01,1.390320985383242336e+00
1.906000000000000227e+01,1.006009329413974029e+00
1.907999999999999829e+01,1.518538852891947455e+00
1.910000000000000142e+01,1.157012334631594141e+00
1.912000000000000099e+01,1.039258849373248861e+00
1.914000000000000057e+01,1.312698961605227366e+00
1.916000000000000014e+01,1.154449327945188841e+00
1.917999999999999972e+01,9.491047808513727313e-01
1.920000000000000284e+01,1.656761511135104836e+00
1.921999999999999886e+01,1.230499320139087027e+00
1.924000000000000199e+01,1.382478079807490046e+00
1.925999999999999801e+01,1.466204246131168398e+00
1.928000000000000114e+01,1.475914176167990588e+00
1.930000000000000071e+01,1.433908768726013916e+00
1.932000000000000028e+01,1.268230555089387979e+00
1.933999999999999986e+01,1.240135817157223430e+00
1.935999999999999943e+01,1.167085940654063458e+00
1.938000000000000256e+01,1.020705900156685608e+00
1.939999999999999858e+01,1.394042057027411241e+00
1.942000000000000171e+01,1.418955900488585442e+00
1.943999999999999773e+01,1.428865496440099081e+00
1.946000000000000085e+01,1.241018453271098387e+00
1.948000000000000043e+01,1.411482201441918605e+00
1.950000000000000000e+01,1.401068590001801395e+00
1.951999999999999957e+01,1.429763955451913482e+00
1.953999999999999915e+01,1.293110787877006507e+00
1.956000000000000227e+01,1.270516449890938926e+00
1.957999999999999829e+01,1.158697123543339202e+00
1.960000000000000142e+01,1.672583801190778319e+00
1.962000000000000099e+01,1.296145299393778982e+00
1.964000000000000057e+01,1.202631202309996095e+00
1.966000000000000014e+01,1.478833291131984806e+00
1.967999999999999972e+01,1.697063354406169733e+00
1.970000000000000284e+01,1.534980178779423277e+00
1.971999999999999886e+01,1.427027337904447135e+00
1.974000000000000199e+01,1.353170990263845797e+00
1.975999999999999801e+01,1.388229196209836092e+00
1.978000000000000114e+01,1.162064088346452806e+00
1.980000000000000071e+01,8.974200291069212021e-01
1.982000000000000028e+01,1.427958175403522434e+00
1.983999999999999986e+01,1.214049604486192813e+00
1.985999999999999943e+01,1.172835366573867777e+00
1.988000000000000256e+01,1.111428085499249319e+00
1.989999999999999858e+01,1.514649029634725252e+00
1.992000000000000171e+01,1.299648758349382094e+00
1.993999999999999773e+01,1.514657087917714584e+00
1.996000000000000085e+01,1.620902292105740994e+00
1.998000000000000043e+01,1.407379141631164732e+00
2.000000000000000000e+01,1.518620710963357601e+00
2.001999999999999957e+01,1.738017597659283986e+00
2.003999999999999915e+01,1.464812302681731238e+00
2.006000000000000227e+01,1.392375630236321493e+00
2.007999999999999829e+01,1.110946623094482222e+00
2.010000000000000142e+01,1.562819498314800937e+00
2.012000000000000099e+01,1.298190168589210325e+00
2.014000000000000057e+01,1.560633891474982882e+00
2.016000000000000014e+01,1.340029841325032667e+00
2.017999999999999972e+01,1.365293658593732973e+00
2.020000000000000284e+01,1.283946324902158098e+00
2.021999999999999886e+01,1.385636405819929307e+00
2.024000000000000199e+01,1.138949014053748376e+00
2.025999999999999801e+01,1.586021899564266091e+00
2.028000000000000114e+01,1.524132246470507823e+00
2.030000000000000071e+01,1.163679804863611889e+00
2.032000000000000028e+01,1.313279915029980538e+00
2.033999999999999986e+01,1.640522982412371489e+00
2.035999999999999943e+01,1.262844298757772377e+00
2.038000000000000256e+01,1.250450791373687753e+00
2.039999999999999858e+01,1.498846740675189970e+00
2.042000000000000171e+01,1.322394724155046442e+00
2.043999999999999773e+01,1.306274393784987886e+00
2.046000000000000085e+01,1.711015642151187288e+00
2.048000000000000043e+01,9.837595432840606779e-01
2.050000000000000000e+01,1.410542502590764746e+00
2.051999999999999957e+01,1.108831823417518292e+00
2.053999999999999915e+01,1.524831835845082972e+00
2.056000000000000227e+01,1.229745064067249816e+00
2.057999999999999829e+01,1.317012317709846947e+00
2.060000000000000142e+01,1.333530450695115555e+00
2.062000000000000099e+01,8.783640307078005582e-01
2.064000000000000057e+01,1.024109512963966573e+00
