# 2Theta,Intensity
1.000000000000000000e+01,-8.909939067097572690e-03
1.001999999999999957e+01,-3.133378827531807520e-02
1.003999999999999915e+01,1.671047705283017215e-01
1.006000000000000050e+01,8.032798025242725293e-02
1.008000000000000007e+01,-3.233440189652540125e-02
1.009999999999999964e+01,2.663154419681015295e-01
1.011999999999999922e+01,4.680247076042869277e-03
1.014000000000000057e+01,2.213893380869596042e-02
1.016000000000000014e+01,1.577717116924662877e-01
1.017999999999999972e+01,2.036883069868890006e-01
1.019999999999999929e+01,-1.705033572925119135e-03
1.022000000000000064e+01,5.605468334903526695e-02
1.024000000000000021e+01,1.030815728002648368e-01
1.025999999999999979e+01,7.452157444851767454e-02
1.027999999999999936e+01,8.109619056972414142e-02
1.030000000000000071e+01,1.218330417626603893e-02
1.032000000000000028e+01,2.464657442530974463e-01
1.033999999999999986e+01,6.850353735143077660e-02
1.035999999999999943e+01,4.752243421257019290e-02
1.038000000000000078e+01,6.870099433317113091e-02
1.040000000000000036e+01,1.533148796123660618e-01
1.041999999999999993e+01,-5.462729397465754949e-02
1.043999999999999950e+01,9.159695627804283202e-02
1.046000000000000085e+01,1.443419817435186991e-01
1.048000000000000043e+01,9.970057778807682458e-02
1.050000000000000000e+01,1.371844862199687043e-01
1.051999999999999957e+01,8.716737252363795929e-02
1.053999999999999915e+01,7.838162509998342076e-02
1.056000000000000050e+01,-2.389512182407738661e-01
1.058000000000000007e+01,1.453048979451256328e-01
1.059999999999999964e+01,5.271351353988987937e-02
1.061999999999999922e+01,8.368856936166678417e-02
1.064000000000000057e+01,2.507733940399649031e-01
1.066000000000000014e+01,6.829782239173180780e-02
1.067999999999999972e+01,-5.694858212537675518e-02
1.069999999999999929e+01,-1.061387746995046469e-02
1.072000000000000064e+01,3.246944978823879243e-04
1.074000000000000021e+01,7.731466979281023666e-02
1.075999999999999979e+01,2.146323440993242737e-01
1.077999999999999936e+01,-1.261014198861213353e-01
1.080000000000000071e+01,1.054163588158621989e-01
1.082000000000000028e+01,7.711483045297852501e-02
1.083999999999999986e+01,-1.296226253478147683e-01
1.085999999999999943e+01,7.099618765848429193e-03
1.088000000000000078e+01,1.018472232643059389e-01
1.090000000000000036e+01,-1.519678642443608452e-01
1.091999999999999993e+01,5.270644963655861381e-02
1.093999999999999950e+01,-9.203455409851499236e-02
1.096000000000000085e+01,-8.550129288265803651e-02
1.098000000000000043e+01,1.446332579478947222e-01
1.100000000000000000e+01,1.402097550295544337e-01
1.101999999999999957e+01,2.171330063946139144e-02
1.103999999999999915e+01,4.979169604303031182e-02
1.106000000000000050e+01,1.215223491465491218e-01
1.108000000000000007e+01,9.490789315002044757e-02
1.109999999999999964e+01,-1.859111824209014330e-01
1.112000000000000099e+01,7.528376100475489552e-02
1.114000000000000057e+01,2.026403417402125040e-01
1.116000000000000014e+01,-3.956345893269103825e-02
1.117999999999999972e+01,8.013960826675413374e-02
1.119999999999999929e+01,7.459690731676776876e-02
1.122000000000000064e+01,1.238881501112614747e-01
1.124000000000000021e+01,6.042245360860029613e-02
1.125999999999999979e+01,-1.200114420119783032e-01
1.127999999999999936e+01,-6.712476001913351975e-02
1.130000000000000071e+01,-5.105709635244648492e-02
1.132000000000000028e+01,1.197920424215382501e-01
1.133999999999999986e+01,-5.450614189108859975e-03
1.135999999999999943e+01,2.372864163729498099e-01
1.138000000000000078e+01,9.848979404762227274e-02
1.140000000000000036e+01,2.967362811962880320e-01
