# 2Theta,Intensity
1.000000000000000000e+01,-1.467581617759366186e-01
1.001999999999999957e+01,1.195489186591412734e-01
1.003999999999999915e+01,5.898839610996001181e-02
1.006000000000000050e+01,-1.084933990968956971e-02
1.008000000000000007e+01,1.621915938042831073e-01
1.009999999999999964e+01,3.228950480680400914e-02
1.011999999999999922e+01,-6.541703442253220258e-02
1.014000000000000057e+01,1.623304026856304538e-01
1.016000000000000014e+01,-1.419595376212782201e-01
1.017999999999999972e+01,2.096195295476815934e-02
1.019999999999999929e+01,3.415420972791756438e-02
1.022000000000000064e+01,3.684221419052728652e-02
1.024000000000000021e+01,1.265486696757529284e-01
1.025999999999999979e+01,1.729459744058999549e-01
1.027999999999999936e+01,3.292739602362032558e-02
1.030000000000000071e+01,5.932237368533038735e-02
1.032000000000000028e+01,9.463218055963429354e-02
1.033999999999999986e+01,-4.585456909471046644e-02
1.035999999999999943e+01,-8.366608212137621736e-02
1.038000000000000078e+01,-1.490805718009104441e-01
1.040000000000000036e+01,5.861327186397057715e-02
1.041999999999999993e+01,9.628783720977919514e-02
1.043999999999999950e+01,1.406528239984813355e-01
1.046000000000000085e+01,1.837128968015275254e-01
1.048000000000000043e+01,1.511160306697448275e-01
1.050000000000000000e+01,1.614766754754037859e-01
1.051999999999999957e+01,-4.454935192714185727e-02
1.053999999999999915e+01,4.327661835077524499e-02
1.056000000000000050e+01,-3.642420701025454038e-02
1.058000000000000007e+01,-5.920635600891214351e-02
1.059999999999999964e+01,7.779627013403289659e-02
1.061999999999999922e+01,6.105417362330700648e-02
1.064000000000000057e+01,-1.050108361625321785e-01
1.066000000000000014e+01,-4.267484674383143634e-02
1.067999999999999972e+01,1.303575247453037933e-01
1.069999999999999929e+01,7.053401927582132747e-02
1.072000000000000064e+01,8.052089173610676998e-02
1.074000000000000021e+01,4.629345994363792682e-02
1.075999999999999979e+01,3.930787997470247541e-02
1.077999999999999936e+01,4.248945996396055746e-02
1.080000000000000071e+01,8.207374398174380192e-02
1.082000000000000028e+01,1.426939986244928626e-01
1.083999999999999986e+01,1.139972950550486308e-01
1.085999999999999943e+01,2.200762061264567304e-01
1.088000000000000078e+01,1.078807510010269533e-01
1.090000000000000036e+01,6.845696249914726139e-02
1.091999999999999993e+01,9.588268505852799717e-02
1.093999999999999950e+01,-3.986674087571787095e-02
1.096000000000000085e+01,1.134264474170074838e-01
1.098000000000000043e+01,1.215873582872307596e-01
1.100000000000000000e+01,2.816273597774710674e-02
1.101999999999999957e+01,-6.206359460273211393e-02
1.103999999999999915e+01,1.381292015803111950e-01
1.106000000000000050e+01,-1.695764465974028690e-01
1.108000000000000007e+01,7.045459236762520450e-02
1.109999999999999964e+01,1.098877156115720399e-01
1.112000000000000099e+01,9.473348540335790879e-02
1.114000000000000057e+01,7.068244019291615443e-02
1.116000000000000014e+01,3.855026423447990847e-02
1.117999999999999972e+01,3.843550212073441885e-02
1.119999999999999929e+01,2.087224628665096393e-01
1.122000000000000064e+01,1.037191951927944888e-01
1.124000000000000021e+01,7.117274447869945120e-02
1.125999999999999979e+01,7.487415582034127881e-02
1.127999999999999936e+01,-3.989174256629193088e-02
1.130000000000000071e+01,8.667375614425303770e-03
1.132000000000000028e+01,1.400443363266666574e-01
1.133999999999999986e+01,1.123301382615266852e-01
1.135999999999999943e+01,1.912781085153548721e-01
1.138000000000000078e+01,4.407090710012662865e-02
1.140000000000000036e+01,-1.267665868873226187e-01
1.141999999999999993e+01,1.022652275077642718e-02
1.143999999999999950e+01,-1.083443279008110827e-01
1.146000000000000085e+01,1.074377880900850429e-01
1.148000000000000043e+01,-4.960170102482226728e-02
1.150000000000000000e+01,1.756047251371771756e-01
1.151999999999999957e+01,7.339524728969660074e-04
1.153999999999999915e+01,9.491104018586875302e-02
1.156000000000000050e+01,1.492602177590095225e-01
1.158000000000000007e+01,-1.064105061418650355e-01
1.159999999999999964e+01,1.540155772522492084e-01
1.162000000000000099e+01,8.306888789559541131e-02
1.164000000000000057e+01,-4.314251330324898881e-02
1.166000000000000014e+01,1.366078042295713613e-01
1.167999999999999972e+01,-9.255684039932646212e-02
1.169999999999999929e+01,1.565289474424765293e-01
1.172000000000000064e+01,1.098920606141583906e-01
1.174000000000000021e+01,1.164726259273174969e-01
1.175999999999999979e+01,9.456542622573547996e-02
1.177999999999999936e+01,-1.286348900001970698e-02
1.180000000000000071e+01,-7.428176242390062411e-02
1.182000000000000028e+01,-7.245180166353208662e-02
1.183999999999999986e+01,-7.540967532280742902e-02
1.185999999999999943e+01,8.298656584129069508e-03
1.188000000000000078e+01,-3.691109098257809584e-02
1.190000000000000036e+01,4.106106711078839899e-02
1.191999999999999993e+01,1.713272109667506593e-01
1.193999999999999950e+01,2.853861672139679784e-01
1.196000000000000085e+01,3.989010365330020180e-02
1.198000000000000043e+01,-1.295980321115645650e-01
1.200000000000000000e+01,9.903678274668471782e-02
1.201999999999999957e+01,4.131791914014869282e-02
1.203999999999999915e+01,-1.291763356476702262e-01
1.206000000000000050e+01,-1.954703899521440247e-01
1.208000000000000007e+01,-2.379376518879925198e-02
1.209999999999999964e+01,8.466305505342575088e-02
1.212000000000000099e+01,-1.359288919877811863e-01
1.214000000000000057e+01,2.028265680326802288e-03
1.216000000000000014e+01,-1.843225911249876670e-01
1.217999999999999972e+01,-1.416408203030043722e-01
1.219999999999999929e+01,2.071680427784311218e-01
1.222000000000000064e+01,1.612947460675600853e-01
1.224000000000000021e+01,4.780144252238327507e-02
1.225999999999999979e+01,-3.836536339911477550e-02
1.228000000000000114e+01,1.770999541049945170e-01
1.230000000000000071e+01,-5.565335833362857615e-02
1.232000000000000028e+01,-7.676771990262706846e-02
1.233999999999999986e+01,3.214122176979011120e-02
1.235999999999999943e+01,1.390868190573062990e-01
1.237999999999999901e+01,2.377104536721217354e-01
1.240000000000000036e+01,4.445453086652127565e-03
1.241999999999999993e+01,1.285319416163336059e-01
1.243999999999999950e+01,1.354355528866271752e-02
1.246000000000000085e+01,-7.112978153198863673e-02
1.248000000000000043e+01,-4.894293986074184366e-02
1.250000000000000000e+01,1.072655778458073694e-01
1.251999999999999957e+01,5.606750966546739101e-04
1.253999999999999915e+01,2.479088494099069839e-01
1.256000000000000050e+01,-3.515878395842825938e-02
1.258000000000000007e+01,1.205079018489502163e-01
1.259999999999999964e+01,2.092203623738767559e-01
1.262000000000000099e+01,-1.521713880315005984e-01
1.264000000000000057e+01,1.346542803630106921e-01
1.266000000000000014e+01,1.020368067199501350e-01
1.267999999999999972e+01,-1.256277217193784400e-02
1.269999999999999929e+01,1.980622957217735292e-01
1.272000000000000064e+01,1.238371874996367361e-01
1.274000000000000021e+01,1.903299899459572897e-01
1.275999999999999979e+01,-1.467921818215477681e-01
1.278000000000000114e+01,-6.105783473529431682e-02
1.280000000000000071e+01,1.019882347251117316e-01
1.282000000000000028e+01,1.188859139919070940e-01
1.283999999999999986e+01,3.787954156795822480e-01
1.285999999999999943e+01,7.864737099882486426e-02
1.287999999999999901e+01,1.034064044753005701e-01
1.290000000000000036e+01,4.989731497839586943e-02
1.291999999999999993e+01,4.836854928345332705e-02
1.293999999999999950e+01,-1.375465645284662253e-01
1.296000000000000085e+01,3.008319877187222435e-02
1.298000000000000043e+01,-6.767433801013797608e-03
1.300000000000000000e+01,3.321701781562316075e-02
1.301999999999999957e+01,8.904903671603033033e-02
1.303999999999999915e+01,-2.191415586956807840e-02
1.306000000000000050e+01,9.122523520163039468e-02
1.308000000000000007e+01,9.816475268404791302e-03
1.309999999999999964e+01,1.589666878626861124e-01
1.312000000000000099e+01,6.008178449946841720e-02
1.314000000000000057e+01,6.436607251836701238e-02
1.316000000000000014e+01,2.739268018434785207e-02
1.317999999999999972e+01,-5.324689359132599165e-02
1.319999999999999929e+01,1.581558637147962576e-01
1.322000000000000064e+01,-2.215495043078064691e-02
1.324000000000000021e+01,1.540362204047188432e-01
1.325999999999999979e+01,-4.194904191875603594e-02
1.328000000000000114e+01,2.155191309343347239e-01
1.330000000000000071e+01,1.405187438462292826e-01
1.332000000000000028e+01,2.913963560687502646e-02
1.333999999999999986e+01,6.134767057256700074e-02
1.335999999999999943e+01,2.662355163379797815e-02
1.337999999999999901e+01,5.219986407303325859e-02
1.340000000000000036e+01,-6.770203775933805734e-02
1.341999999999999993e+01,3.114441508437705911e-02
1.343999999999999950e+01,1.243350430169021803e-01
1.346000000000000085e+01,1.172629413729962961e-01
1.348000000000000043e+01,1.484341573905886003e-01
1.350000000000000000e+01,-3.352411304994479258e-02
1.351999999999999957e+01,-2.686689074291721824e-02
1.353999999999999915e+01,1.968378239803292851e-01
1.356000000000000050e+01,-1.757734796660039012e-02
1.358000000000000007e+01,8.998677621804866689e-02
1.359999999999999964e+01,1.340042973796906900e-01
1.362000000000000099e+01,5.898192262499193234e-02
1.364000000000000057e+01,1.705866300994195450e-01
1.366000000000000014e+01,1.195012681734183985e-01
1.367999999999999972e+01,9.091487058414978242e-03
1.369999999999999929e+01,4.876072773386816439e-02
1.372000000000000064e+01,-2.350125546588584594e-02
1.374000000000000021e+01,-2.734195409958571285e-02
1.375999999999999979e+01,7.869356030991636608e-02
1.378000000000000114e+01,-8.442692682192144693e-02
1.380000000000000071e+01,-4.656724744483579231e-02
1.382000000000000028e+01,1.663004560555166322e-01
1.383999999999999986e+01,1.315702656345171806e-01
1.385999999999999943e+01,2.277372257194849869e-01
1.387999999999999901e+01,3.135914730918831772e-01
1.390000000000000036e+01,7.133774611368519673e-04
1.391999999999999993e+01,2.334670001161020525e-01
1.393999999999999950e+01,8.467916307301306955e-02
1.396000000000000085e+01,4.358606000815890003e-02
1.398000000000000043e+01,1.421212536650339753e-01
