# 2Theta,Intensity
1.000000000000000000e+01,6.422253801027530407e-02
1.001999999999999957e+01,1.227089824034843374e-01
1.003999999999999915e+01,1.232574990880279664e-01
1.006000000000000050e+01,1.273589065397168762e-01
1.008000000000000007e+01,1.102248619131883656e-01
1.009999999999999964e+01,3.456963187705127116e-01
1.011999999999999922e+01,1.842735942636934410e-01
1.014000000000000057e+01,7.571716535321439123e-02
1.016000000000000014e+01,8.421956990352257033e-02
1.017999999999999972e+01,1.814031429183851629e-01
1.019999999999999929e+01,2.222179072021354118e-01
1.022000000000000064e+01,2.736656607267120567e-01
1.024000000000000021e+01,1.392420062515979384e-01
1.025999999999999979e+01,5.013797108693977822e-02
1.027999999999999936e+01,1.522620254650603466e-01
1.030000000000000071e+01,1.525688208012289104e-01
1.032000000000000028e+01,1.998191095637675552e-01
1.033999999999999986e+01,2.792418621188520467e-01
1.035999999999999943e+01,1.242926179676345083e-01
1.038000000000000078e+01,3.827781575621704291e-01
1.040000000000000036e+01,2.347797855628823982e-01
1.041999999999999993e+01,3.888063955621793438e-02
1.043999999999999950e+01,2.219853357624760326e-01
1.046000000000000085e+01,1.326340136765562228e-01
1.048000000000000043e+01,1.347161827405746930e-03
1.050000000000000000e+01,9.361898296383720786e-02
1.051999999999999957e+01,2.765966506930871982e-01
1.053999999999999915e+01,3.943534259014069288e-01
1.056000000000000050e+01,3.113749817682334720e-01
1.058000000000000007e+01,3.469788387207359270e-01
1.059999999999999964e+01,2.689890782984345474e-01
1.061999999999999922e+01,1.955748259982645343e-01
1.064000000000000057e+01,3.545804250794513668e-01
1.066000000000000014e+01,1.058285365776850812e-01
1.067999999999999972e+01,2.035257519469246545e-01
1.069999999999999929e+01,2.037593719687086358e-01
1.072000000000000064e+01,3.356740731463936922e-01
1.074000000000000021e+01,1.363191469804087563e-01
1.075999999999999979e+01,8.915113141147115727e-02
1.077999999999999936e+01,1.882621666953011030e-01
1.080000000000000071e+01,-7.249714323117261230e-03
1.082000000000000028e+01,1.962238214337571340e-01
1.083999999999999986e+01,2.107739616676407302e-01
1.085999999999999943e+01,3.939186533872115481e-01
1.088000000000000078e+01,1.855848609865464460e-01
1.090000000000000036e+01,1.677549606570739593e-01
1.091999999999999993e+01,-1.278369402021012000e-02
1.093999999999999950e+01,2.867617491332458135e-01
1.096000000000000085e+01,5.684384195083983654e-02
1.098000000000000043e+01,5.664204689603556664e-02
1.100000000000000000e+01,1.097920695738277413e-01
1.101999999999999957e+01,1.741033808846058351e-01
1.103999999999999915e+01,1.132025894023744456e-01
1.106000000000000050e+01,2.922310653611853715e-01
1.108000000000000007e+01,1.771399882791493963e-01
1.109999999999999964e+01,2.162034845561619234e-01
1.112000000000000099e+01,2.272825055345857603e-01
1.114000000000000057e+01,3.393640533438001539e-01
1.116000000000000014e+01,1.616374671351299142e-01
1.117999999999999972e+01,1.669931872124862660e-01
1.119999999999999929e+01,9.446163734204399143e-02
1.122000000000000064e+01,2.947154826908036235e-02
1.124000000000000021e+01,4.604001410325375132e-01
1.125999999999999979e+01,3.675594793101934904e-02
1.127999999999999936e+01,7.266263959747924772e-02
1.130000000000000071e+01,4.889778157839670958e-01
1.132000000000000028e+01,2.238737102466712703e-01
1.133999999999999986e+01,2.371245302238401409e-01
1.135999999999999943e+01,5.040227984398913952e-01
1.138000000000000078e+01,9.541628435944325692e-02
1.140000000000000036e+01,2.266207478987384560e-01
1.141999999999999993e+01,1.557117214118231840e-01
1.143999999999999950e+01,2.525946573427522712e-01
1.146000000000000085e+01,2.662853685174612628e-01
1.148000000000000043e+01,1.952336692379457589e-02
1.150000000000000000e+01,4.935342590858909362e-01
1.151999999999999957e+01,3.971531887633622526e-01
1.153999999999999915e+01,2.667263617885103355e-01
1.156000000000000050e+01,4.876104727460770505e-01
1.158000000000000007e+01,1.996000726957583571e-01
1.159999999999999964e+01,1.389131802949995220e-01
1.162000000000000099e+01,6.852609695033580195e-01
1.164000000000000057e+01,3.797651038609358154e-01
1.166000000000000014e+01,3.418568521907364710e-01
1.167999999999999972e+01,4.333119101820338548e-01
1.169999999999999929e+01,3.792141477485129197e-01
1.172000000000000064e+01,6.745317764234955993e-01
1.174000000000000021e+01,5.877971532736235849e-01
1.175999999999999979e+01,8.869120233098002348e-01
1.177999999999999936e+01,8.990730371995023784e-01
1.180000000000000071e+01,1.352256194003797596e+00
1.182000000000000028e+01,2.556112409303989530e+00
1.183999999999999986e+01,7.946573933269444723e+00
1.185999999999999943e+01,2.274711081480301189e+01
1.188000000000000078e+01,4.969260202539548743e+01
1.190000000000000036e+01,5.787127490245352135e+01
1.191999999999999993e+01,3.575478387965513605e+01
1.193999999999999950e+01,1.412579957258523677e+01
1.196000000000000085e+01,4.283399239155028404e+00
1.198000000000000043e+01,1.984975957035475025e+00
1.200000000000000000e+01,1.225325887308559514e+00
1.201999999999999957e+01,8.915181169885662005e-01
1.203999999999999915e+01,7.548262946598297551e-01
1.206000000000000050e+01,8.072815981495267135e-01
1.208000000000000007e+01,5.885977878447424816e-01
1.209999999999999964e+01,8.574629562472291244e-01
1.212000000000000099e+01,5.676475978525817867e-01
1.214000000000000057e+01,4.432692773439517731e-01
1.216000000000000014e+01,2.967564600399645869e-01
1.217999999999999972e+01,4.287308228501109375e-01
1.219999999999999929e+01,2.408240736351381084e-01
1.222000000000000064e+01,2.386042711904038105e-01
1.224000000000000021e+01,3.122617037475920454e-01
1.225999999999999979e+01,1.188252020370360457e-01
1.228000000000000114e+01,2.162250155275504404e-01
1.230000000000000071e+01,2.901060137133805172e-01
1.232000000000000028e+01,4.619459280677911672e-01
1.233999999999999986e+01,3.586078891567787835e-02
1.235999999999999943e+01,1.640450369848068246e-01
1.237999999999999901e+01,1.654002802281528128e-01
1.240000000000000036e+01,3.398543783436976384e-01
1.241999999999999993e+01,1.997466908245916217e-01
1.243999999999999950e+01,2.707118760126163703e-01
1.246000000000000085e+01,1.841138702549306450e-01
1.248000000000000043e+01,2.609629691165417653e-01
1.250000000000000000e+01,7.821411532644635678e-02
1.251999999999999957e+01,6.684167417446548742e-02
