# 2Theta,Intensity
1.000000000000000000e+01,4.290528620457495501e-01
1.001999999999999957e+01,3.833998464196118616e-02
1.003999999999999915e+01,2.147542197547849807e-01
1.006000000000000050e+01,5.112010240198407857e-02
1.008000000000000007e+01,2.601798936804273210e-01
1.009999999999999964e+01,2.673314005815765615e-01
1.011999999999999922e+01,9.897741421791400596e-02
1.014000000000000057e+01,3.143853483774587954e-01
1.016000000000000014e+01,1.870840663718341401e-01
1.017999999999999972e+01,9.162158056343608359e-02
1.019999999999999929e+01,4.552349217520203217e-02
1.022000000000000064e+01,2.096776005486103711e-01
1.024000000000000021e+01,2.295214910924746610e-01
1.025999999999999979e+01,4.018422441160262037e-01
1.027999999999999936e+01,5.313332783781125196e-02
1.030000000000000071e+01,1.557535387113885839e-01
1.032000000000000028e+01,2.725022997012589987e-01
1.033999999999999986e+01,2.024044054021020000e-01
1.035999999999999943e+01,1.013667971675406843e-01
1.038000000000000078e+01,1.599491827725822157e-01
1.040000000000000036e+01,1.416311400179888769e-01
1.041999999999999993e+01,9.876746086175840211e-02
1.043999999999999950e+01,1.261474689685060935e-01
1.046000000000000085e+01,2.122714703236508460e-01
1.048000000000000043e+01,3.828156226113269001e-01
1.050000000000000000e+01,1.604814927444814521e-01
1.051999999999999957e+01,2.285368272087927588e-01
1.053999999999999915e+01,1.131897398221736184e-01
1.056000000000000050e+01,8.408015190502463043e-02
1.058000000000000007e+01,2.480866725810170759e-01
1.059999999999999964e+01,5.008130218123578725e-01
1.061999999999999922e+01,3.057800358698715693e-01
1.064000000000000057e+01,1.459026725403136104e-01
1.066000000000000014e+01,6.186932146781737307e-02
1.067999999999999972e+01,1.585523046296052341e-01
1.069999999999999929e+01,1.191334775559285686e-01
1.072000000000000064e+01,2.641637544400233795e-01
1.074000000000000021e+01,2.874953534341803119e-01
1.075999999999999979e+01,1.801471965447065948e-01
1.077999999999999936e+01,3.882542385496011716e-01
1.080000000000000071e+01,1.811449574505259452e-01
1.082000000000000028e+01,3.450300891014643212e-01
1.083999999999999986e+01,3.346822275051953427e-02
1.085999999999999943e+01,1.919182269496995941e-01
1.088000000000000078e+01,4.089775572053102048e-01
1.090000000000000036e+01,2.008604544263329350e-01
1.091999999999999993e+01,4.211747589027879379e-01
1.093999999999999950e+01,2.790696988696404479e-01
1.096000000000000085e+01,4.075222000350388341e-02
1.098000000000000043e+01,1.892635681793324587e-01
1.100000000000000000e+01,2.608151840636100949e-01
1.101999999999999957e+01,9.198929606606143228e-02
1.103999999999999915e+01,2.477077407817309673e-01
1.106000000000000050e+01,2.850619178751206406e-01
1.108000000000000007e+01,2.811023939100855684e-01
1.109999999999999964e+01,3.795387441931110106e-01
1.112000000000000099e+01,2.639640049241789299e-01
1.114000000000000057e+01,2.317412205692706006e-01
1.116000000000000014e+01,1.928114346589071271e-01
1.117999999999999972e+01,1.276093300993620394e-01
1.119999999999999929e+01,2.282964094538737776e-01
1.122000000000000064e+01,9.310510131249280508e-02
1.124000000000000021e+01,1.611016807349970881e-01
1.125999999999999979e+01,3.278615718792872724e-01
