# 2Theta,Intensity
1.000000000000000000e+01,-3.204737056888600638e-02
1.001999999999999957e+01,-5.591220745035907144e-03
1.003999999999999915e+01,2.507734238619057088e-01
1.006000000000000050e+01,6.785855623519970736e-02
1.008000000000000007e+01,3.438716757432310756e-01
1.009999999999999964e+01,4.196960566272686655e-02
1.011999999999999922e+01,4.186251615667500037e-01
1.014000000000000057e+01,1.900808739230174516e-01
1.016000000000000014e+01,1.199975478541182028e-02
1.017999999999999972e+01,2.292439042167475627e-01
1.019999999999999929e+01,1.827852530305526801e-01
1.022000000000000064e+01,2.005910579926180048e-01
1.024000000000000021e+01,2.407607182189587525e-01
1.025999999999999979e+01,-1.442596897453717573e-02
1.027999999999999936e+01,8.681078813344737799e-02
1.030000000000000071e+01,3.122256372066989361e-01
1.032000000000000028e+01,2.757695823904779409e-01
1.033999999999999986e+01,3.329383612478086785e-01
1.035999999999999943e+01,1.203580872350953346e-01
1.038000000000000078e+01,1.041304315216957377e-01
1.040000000000000036e+01,2.566259049294902228e-01
1.041999999999999993e+01,2.791090552114277035e-01
1.043999999999999950e+01,2.228622532800138278e-01
1.046000000000000085e+01,1.392686786108612018e-01
1.048000000000000043e+01,-3.695779304045103408e-02
1.050000000000000000e+01,2.291695740808171733e-01
1.051999999999999957e+01,2.447831451932284130e-01
1.053999999999999915e+01,1.967116734310806192e-01
1.056000000000000050e+01,4.214786007766874870e-02
1.058000000000000007e+01,-8.922335032176147152e-03
1.059999999999999964e+01,1.439438214810301042e-01
1.061999999999999922e+01,2.223082564698307118e-01
1.064000000000000057e+01,5.995428344510146668e-02
1.066000000000000014e+01,2.165680037382141654e-01
1.067999999999999972e+01,3.327577714830633471e-01
1.069999999999999929e+01,4.741973402702264785e-03
1.072000000000000064e+01,1.293752827152309590e-02
1.074000000000000021e+01,9.351666054683073492e-02
1.075999999999999979e+01,-2.098411835880612530e-01
1.077999999999999936e+01,1.366460272653610974e-01
1.080000000000000071e+01,2.597604039196709652e-02
1.082000000000000028e+01,1.589529914167647218e-01
1.083999999999999986e+01,1.051209990491469709e-01
1.085999999999999943e+01,2.370053220740799826e-01
1.088000000000000078e+01,3.241442287612120721e-01
1.090000000000000036e+01,1.682667188035845973e-01
1.091999999999999993e+01,1.273050238399166811e-01
1.093999999999999950e+01,6.667903864117943891e-02
1.096000000000000085e+01,2.041182023589467598e-01
1.098000000000000043e+01,2.913900433131632051e-01
1.100000000000000000e+01,-1.968902164614804579e-02
1.101999999999999957e+01,3.875043204920421425e-01
1.103999999999999915e+01,1.184768357876429534e-01
1.106000000000000050e+01,1.824373932749048244e-01
1.108000000000000007e+01,3.875706956985799229e-02
1.109999999999999964e+01,1.518758480499413921e-01
1.112000000000000099e+01,2.475071839594097101e-01
1.114000000000000057e+01,5.940938615385384092e-02
1.116000000000000014e+01,1.342088231636314466e-01
1.117999999999999972e+01,9.154304105533657421e-02
1.119999999999999929e+01,4.339998199687128411e-02
1.122000000000000064e+01,2.033313393901974020e-01
1.124000000000000021e+01,2.179040883649897009e-01
1.125999999999999979e+01,8.560636543620064876e-02
1.127999999999999936e+01,5.061322829299935017e-02
1.130000000000000071e+01,9.366200280873465678e-02
1.132000000000000028e+01,2.128313956023226983e-01
1.133999999999999986e+01,2.173832201565313940e-02
1.135999999999999943e+01,1.969975164722950201e-01
1.138000000000000078e+01,1.551962842786437924e-01
1.140000000000000036e+01,1.137395471087522536e-01
1.141999999999999993e+01,1.917085429443529665e-01
1.143999999999999950e+01,2.495331021318785980e-01
1.146000000000000085e+01,6.935134953213464848e-02
1.148000000000000043e+01,6.350790223616262775e-01
1.150000000000000000e+01,3.246918792326158321e-01
1.151999999999999957e+01,1.064192067647551088e-01
1.153999999999999915e+01,4.356439071786907813e-02
1.156000000000000050e+01,5.923186001336747109e-02
1.158000000000000007e+01,3.280437622612465409e-01
1.159999999999999964e+01,3.016378070160343761e-01
1.162000000000000099e+01,-1.001975722908031025e-01
1.164000000000000057e+01,2.670971962091119867e-01
1.166000000000000014e+01,2.557381658584628736e-01
1.167999999999999972e+01,2.171819970530493860e-01
1.169999999999999929e+01,1.891398535384430923e-01
1.172000000000000064e+01,4.706101210085985448e-02
1.174000000000000021e+01,2.485029886712312175e-01
1.175999999999999979e+01,2.193684963023057877e-01
1.177999999999999936e+01,2.179415036651001780e-01
1.180000000000000071e+01,9.659527309474083556e-02
1.182000000000000028e+01,3.745357401546708931e-01
1.183999999999999986e+01,2.121604468205597060e-01
1.185999999999999943e+01,3.094973016278605438e-01
1.188000000000000078e+01,-3.207918564191525324e-02
1.190000000000000036e+01,9.380295292071796909e-02
1.191999999999999993e+01,3.856280085120735238e-03
1.193999999999999950e+01,-3.815672376841664631e-02
1.196000000000000085e+01,1.431735281658155223e-01
1.198000000000000043e+01,2.492856761683461854e-03
1.200000000000000000e+01,5.342854730776884498e-02
1.201999999999999957e+01,-6.971535990332773658e-02
1.203999999999999915e+01,-5.190400388068773518e-02
1.206000000000000050e+01,3.551788647322489615e-03
1.208000000000000007e+01,1.353828394408813363e-01
1.209999999999999964e+01,7.540058266393430408e-02
1.212000000000000099e+01,1.725723100708033975e-01
1.214000000000000057e+01,2.177807161921982704e-01
1.216000000000000014e+01,2.888599261633437165e-01
1.217999999999999972e+01,1.175905029827106242e-02
1.219999999999999929e+01,3.110508999807927721e-01
1.222000000000000064e+01,2.992275794396506705e-01
1.224000000000000021e+01,1.613780761132482255e-01
1.225999999999999979e+01,3.856910889827530609e-01
1.228000000000000114e+01,2.471581511031538669e-01
1.230000000000000071e+01,1.513585849421809904e-01
1.232000000000000028e+01,2.403162840522838628e-01
1.233999999999999986e+01,1.871616034398110306e-01
1.235999999999999943e+01,-1.170297608737976697e-01
1.237999999999999901e+01,3.268865321526148171e-01
1.240000000000000036e+01,7.793315238516246996e-03
1.241999999999999993e+01,-4.921592288781801230e-03
1.243999999999999950e+01,2.131397100831305680e-01
1.246000000000000085e+01,2.379214594671082428e-01
1.248000000000000043e+01,2.980857451829110327e-01
1.250000000000000000e+01,1.726159251192438127e-01
1.251999999999999957e+01,-3.527538678056931984e-03
1.253999999999999915e+01,-2.020990515432365478e-02
1.256000000000000050e+01,2.313579097295123121e-01
1.258000000000000007e+01,-6.921971384792006813e-05
1.259999999999999964e+01,1.678130508086990436e-01
1.262000000000000099e+01,2.393979781598975232e-01
1.264000000000000057e+01,1.139775302543436647e-01
1.266000000000000014e+01,3.188142403094681998e-02
1.267999999999999972e+01,3.656440377049868240e-01
1.269999999999999929e+01,1.023951115728774786e-01
1.272000000000000064e+01,1.954803986401401628e-01
1.274000000000000021e+01,2.269570470867692258e-01
1.275999999999999979e+01,4.981731751790492713e-02
1.278000000000000114e+01,1.580164285772807653e-01
1.280000000000000071e+01,8.963546402317688899e-02
1.282000000000000028e+01,-7.950552141331584943e-02
1.283999999999999986e+01,5.461153982215922326e-02
1.285999999999999943e+01,4.480868960117268540e-01
1.287999999999999901e+01,1.798431983645848165e-01
1.290000000000000036e+01,1.649149183379279016e-01
1.291999999999999993e+01,2.517061085370792539e-01
1.293999999999999950e+01,9.604202720843159347e-02
1.296000000000000085e+01,2.807092686779158464e-01
1.298000000000000043e+01,1.226749944780490265e-01
1.300000000000000000e+01,1.285279933443394529e-01
1.301999999999999957e+01,3.502054536745905639e-02
1.303999999999999915e+01,3.525383865702079733e-01
1.306000000000000050e+01,2.133500788182052244e-01
1.308000000000000007e+01,5.765805815815764485e-03
1.309999999999999964e+01,1.605277993986812535e-01
1.312000000000000099e+01,2.636191333476810561e-01
1.314000000000000057e+01,8.667573872906722543e-02
1.316000000000000014e+01,4.903538556247848818e-02
1.317999999999999972e+01,-8.070837563832615122e-03
1.319999999999999929e+01,1.065719683793294459e-01
1.322000000000000064e+01,-1.001072998050693552e-01
1.324000000000000021e+01,1.068372988880817859e-01
1.325999999999999979e+01,5.733522691110224528e-02
1.328000000000000114e+01,3.261138138122778307e-01
