# 2Theta,Intensity
1.000000000000000000e+01,2.729768660409946923e-01
1.001999999999999957e+01,-5.360523385839394833e-02
1.003999999999999915e+01,1.628722573686072483e-01
1.006000000000000050e+01,2.177257165131881722e-01
1.008000000000000007e+01,1.722755487467195479e-01
1.009999999999999964e+01,-6.366122542060093092e-02
1.011999999999999922e+01,4.413693567345879087e-02
1.014000000000000057e+01,-3.187305817514354822e-02
1.016000000000000014e+01,-9.478679911082155130e-02
1.017999999999999972e+01,1.359815964866332716e-01
1.019999999999999929e+01,2.200150260810106728e-01
1.022000000000000064e+01,-3.067376061973225987e-02
1.024000000000000021e+01,9.930870637810508550e-02
1.025999999999999979e+01,-1.596427699072104980e-02
1.027999999999999936e+01,2.632137217516343219e-01
1.030000000000000071e+01,-2.037325620780103957e-03
1.032000000000000028e+01,1.552573293501439966e-01
1.033999999999999986e+01,1.460021930020688474e-01
1.035999999999999943e+01,2.610787590194153518e-01
1.038000000000000078e+01,1.368007163822351213e-01
1.040000000000000036e+01,8.558681058174440193e-02
1.041999999999999993e+01,-3.069092379321280983e-02
1.043999999999999950e+01,-3.530679358072555396e-02
1.046000000000000085e+01,8.448542934240095559e-02
1.048000000000000043e+01,5.529916235973984101e-02
1.050000000000000000e+01,2.548410325738249479e-02
1.051999999999999957e+01,1.775577757014659419e-01
1.053999999999999915e+01,1.506348946306428072e-01
1.056000000000000050e+01,1.576644105357417197e-02
1.058000000000000007e+01,1.131724914957505518e-01
1.059999999999999964e+01,1.704775831951201581e-01
1.061999999999999922e+01,-7.188530401406427461e-02
1.064000000000000057e+01,9.984977049698179341e-02
1.066000000000000014e+01,7.695772486774478394e-02
1.067999999999999972e+01,1.066077982338859004e-01
1.069999999999999929e+01,8.243510747403123839e-02
1.072000000000000064e+01,-2.415416856143889207e-02
1.074000000000000021e+01,4.195889257602493372e-02
1.075999999999999979e+01,2.413303753256783590e-01
1.077999999999999936e+01,-7.834450232618946422e-03
1.080000000000000071e+01,4.903784708276881510e-02
1.082000000000000028e+01,-1.512684893802686836e-01
1.083999999999999986e+01,1.117635518343116502e-01
1.085999999999999943e+01,2.030249224246707673e-01
1.088000000000000078e+01,8.852327639779787594e-02
1.090000000000000036e+01,4.401381143696301429e-02
1.091999999999999993e+01,9.863379952160329645e-02
1.093999999999999950e+01,2.323130316392019445e-01
1.096000000000000085e+01,2.639510122462935485e-03
1.098000000000000043e+01,2.119879670187194975e-01
1.100000000000000000e+01,4.882993914289659315e-02
1.101999999999999957e+01,1.549483256235728856e-01
1.103999999999999915e+01,1.475542886011354804e-01
1.106000000000000050e+01,-1.423872554783583728e-03
1.108000000000000007e+01,8.652345912679444695e-02
1.109999999999999964e+01,5.630895269730226693e-02
1.112000000000000099e+01,-1.847696166792421255e-02
1.114000000000000057e+01,1.305286552818498425e-01
1.116000000000000014e+01,1.014221200203218286e-02
1.117999999999999972e+01,1.948152212126639804e-01
1.119999999999999929e+01,1.575901742468181210e-01
1.122000000000000064e+01,1.171151350768506461e-01
1.124000000000000021e+01,2.630485726262343227e-01
1.125999999999999979e+01,-8.203908851195455473e-03
1.127999999999999936e+01,1.385462655491685388e-02
1.130000000000000071e+01,-1.676195677587928590e-02
1.132000000000000028e+01,1.027629405004287927e-01
1.133999999999999986e+01,9.626803211307154162e-02
1.135999999999999943e+01,1.253411462779470131e-01
1.138000000000000078e+01,-4.966873464753220752e-02
1.140000000000000036e+01,7.583482428315115043e-02
1.141999999999999993e+01,1.938864205933651108e-01
1.143999999999999950e+01,1.783906155900480406e-01
1.146000000000000085e+01,-1.401656849572019969e-01
1.148000000000000043e+01,9.369847278157911186e-02
1.150000000000000000e+01,2.189391986132685833e-02
1.151999999999999957e+01,4.781442557541974031e-02
1.153999999999999915e+01,-1.902528118659696857e-02
1.156000000000000050e+01,1.564299193793565745e-01
1.158000000000000007e+01,6.942038099367621451e-02
1.159999999999999964e+01,7.204686684346914283e-02
1.162000000000000099e+01,1.330015404263386047e-01
1.164000000000000057e+01,-1.244539449581140711e-01
1.166000000000000014e+01,1.367948417614535742e-02
1.167999999999999972e+01,-1.407481356580417634e-02
1.169999999999999929e+01,2.302056023733109469e-01
1.172000000000000064e+01,9.516179902710242278e-02
1.174000000000000021e+01,1.766960829345810280e-01
1.175999999999999979e+01,6.439313247174197063e-02
1.177999999999999936e+01,3.254234295261848597e-02
1.180000000000000071e+01,4.238100663744515800e-02
1.182000000000000028e+01,-2.342548057498566871e-02
1.183999999999999986e+01,-5.418656819391226565e-02
1.185999999999999943e+01,1.736183465591963626e-01
1.188000000000000078e+01,9.264570544716900502e-02
1.190000000000000036e+01,2.972426294811035541e-02
1.191999999999999993e+01,-6.602158837578124551e-02
1.193999999999999950e+01,1.288004630924471927e-01
1.196000000000000085e+01,1.549985626435959607e-01
1.198000000000000043e+01,-1.199291572010509205e-01
1.200000000000000000e+01,-8.121915002561607561e-03
1.201999999999999957e+01,-4.552054607872040720e-02
1.203999999999999915e+01,-2.081334851316397200e-02
1.206000000000000050e+01,5.229599818643812514e-02
1.208000000000000007e+01,4.847822832291762835e-02
1.209999999999999964e+01,5.666572085661700925e-02
1.212000000000000099e+01,3.101988499003963812e-02
1.214000000000000057e+01,5.747312535719494714e-02
1.216000000000000014e+01,1.137804492649299726e-01
1.217999999999999972e+01,4.674339839016553033e-02
1.219999999999999929e+01,2.066698645467837103e-01
1.222000000000000064e+01,3.800807751938359291e-02
1.224000000000000021e+01,7.737304639180710153e-02
1.225999999999999979e+01,2.052772422974785405e-01
1.228000000000000114e+01,7.008038803947985729e-02
1.230000000000000071e+01,1.977105449202456733e-01
1.232000000000000028e+01,-7.791324331752747315e-03
1.233999999999999986e+01,2.365261970966429650e-01
1.235999999999999943e+01,1.493878321084312066e-01
1.237999999999999901e+01,4.358510966686063998e-03
1.240000000000000036e+01,1.314504815237052260e-01
1.241999999999999993e+01,1.246435442555032247e-01
1.243999999999999950e+01,7.107458484414140576e-02
1.246000000000000085e+01,1.924883659350658249e-02
1.248000000000000043e+01,-9.437667847874375848e-02
1.250000000000000000e+01,8.867724991201898777e-02
1.251999999999999957e+01,2.619232591323631537e-02
1.253999999999999915e+01,6.884142347960943431e-02
1.256000000000000050e+01,1.186083199472593719e-01
1.258000000000000007e+01,1.571686921660701841e-01
1.259999999999999964e+01,-2.691952853836697759e-02
1.262000000000000099e+01,2.912759823250348767e-01
1.264000000000000057e+01,4.852536901198181707e-02
1.266000000000000014e+01,3.674893525124796334e-02
1.267999999999999972e+01,3.801119153931210859e-02
1.269999999999999929e+01,1.728474543198251223e-01
1.272000000000000064e+01,-8.693837163271744481e-03
1.274000000000000021e+01,1.927066600854341616e-01
1.275999999999999979e+01,2.904573955897357673e-02
1.278000000000000114e+01,1.282287448731292134e-01
1.280000000000000071e+01,6.338126889334005920e-02
1.282000000000000028e+01,-3.260085434161012069e-02
1.283999999999999986e+01,-8.760477307932494628e-02
1.285999999999999943e+01,-3.931542515091220741e-02
1.287999999999999901e+01,-5.508544422556450881e-02
1.290000000000000036e+01,3.506434021421457325e-01
1.291999999999999993e+01,1.066332421383557050e-01
1.293999999999999950e+01,3.628777616090885227e-01
1.296000000000000085e+01,1.260759516019634430e-01
1.298000000000000043e+01,1.376216236764784551e-01
1.300000000000000000e+01,1.787147603294508003e-01
1.301999999999999957e+01,1.810238139340923091e-01
1.303999999999999915e+01,-5.220272336829282107e-03
1.306000000000000050e+01,-7.483117116953943992e-02
1.308000000000000007e+01,1.287480873271822923e-01
1.309999999999999964e+01,-2.650280444522510031e-03
1.312000000000000099e+01,1.209708701703102462e-01
1.314000000000000057e+01,1.553916275729652352e-01
1.316000000000000014e+01,3.572098736040583630e-03
1.317999999999999972e+01,9.901506248713796976e-02
1.319999999999999929e+01,2.233282961337940409e-01
1.322000000000000064e+01,2.046913314206236512e-01
1.324000000000000021e+01,1.971471294542851416e-01
1.325999999999999979e+01,2.152798441859858983e-02
1.328000000000000114e+01,1.504379701073317588e-01
1.330000000000000071e+01,-2.873165055072613924e-02
1.332000000000000028e+01,1.045007735820042416e-01
1.333999999999999986e+01,2.141307198637039388e-02
1.335999999999999943e+01,1.390651380819683536e-01
1.337999999999999901e+01,2.054935595539922055e-01
1.340000000000000036e+01,-6.775614043605224235e-02
1.341999999999999993e+01,2.875802242759926131e-01
1.343999999999999950e+01,1.523342420390310092e-01
1.346000000000000085e+01,2.735930821839133165e-01
1.348000000000000043e+01,1.069334554303224272e-01
1.350000000000000000e+01,6.929338869212398055e-02
1.351999999999999957e+01,9.570168533443364212e-02
1.353999999999999915e+01,1.681983047373132312e-01
1.356000000000000050e+01,-9.409336136313070642e-02
1.358000000000000007e+01,1.967553346373029227e-02
1.359999999999999964e+01,-2.649921121116456668e-02
1.362000000000000099e+01,2.047436294690459235e-01
1.364000000000000057e+01,1.638171389510278408e-01
1.366000000000000014e+01,1.549447277068340401e-01
1.367999999999999972e+01,1.432399371846727054e-01
1.369999999999999929e+01,3.935129184651159906e-01
1.372000000000000064e+01,1.697905392724912699e-01
1.374000000000000021e+01,9.336498139634823168e-02
1.375999999999999979e+01,1.138984910795684119e-01
1.378000000000000114e+01,-9.624136937577791595e-02
1.380000000000000071e+01,-6.692874403191545474e-02
1.382000000000000028e+01,2.121955950082953790e-01
1.383999999999999986e+01,1.160066872591586362e-01
1.385999999999999943e+01,1.357965533997448904e-01
1.387999999999999901e+01,4.899935076937924142e-03
1.390000000000000036e+01,2.043134158378229759e-01
1.391999999999999993e+01,7.258331291440107969e-02
1.393999999999999950e+01,1.764239084248594991e-02
1.396000000000000085e+01,4.796873342696655190e-02
1.398000000000000043e+01,-6.933949268735875582e-02
1.400000000000000000e+01,-1.729931549829239190e-01
1.401999999999999957e+01,2.380787286853072726e-01
1.403999999999999915e+01,5.265368424924260493e-02
1.406000000000000050e+01,-1.436957195145787403e-01
1.408000000000000007e+01,1.730063166272578501e-01
1.409999999999999964e+01,-9.974526020918590696e-02
1.412000000000000099e+01,1.129284192780022761e-01
1.414000000000000057e+01,1.867748432806231040e-01
1.416000000000000014e+01,1.187709742319754402e-01
1.417999999999999972e+01,1.657192656048535329e-01
1.419999999999999929e+01,1.988498911328313579e-01
1.421999999999999886e+01,1.151371752579067598e-01
1.424000000000000021e+01,3.240745509996846296e-01
1.425999999999999979e+01,3.058846765600187201e-02
1.428000000000000114e+01,-1.644170175682240220e-01
1.430000000000000071e+01,1.558932678550491169e-01
1.432000000000000028e+01,1.025317773417497302e-02
1.433999999999999986e+01,8.015825496021422580e-02
1.435999999999999943e+01,1.004716995700820487e-01
1.437999999999999901e+01,-4.800201996306539820e-02
1.440000000000000036e+01,1.112676057267035154e-02
1.441999999999999993e+01,2.289504104865493495e-01
1.444000000000000128e+01,-3.490478497506322580e-02
1.446000000000000085e+01,1.155713316162480520e-01
1.448000000000000043e+01,1.858614343156722234e-02
1.450000000000000000e+01,1.524555320720657747e-01
1.451999999999999957e+01,2.176770432343982375e-01
1.453999999999999915e+01,-2.329763565685167431e-02
1.456000000000000050e+01,2.760978271093993963e-01
1.458000000000000007e+01,6.185808631934255897e-02
1.460000000000000142e+01,1.646077346508519612e-01
1.462000000000000099e+01,1.939548073094746888e-02
1.464000000000000057e+01,3.573972664518134876e-03
1.466000000000000014e+01,1.647621540292930342e-01
1.467999999999999972e+01,-7.371550758519667150e-04
1.469999999999999929e+01,3.033779280621767271e-01
1.471999999999999886e+01,-2.184527725823389582e-03
1.474000000000000021e+01,-6.882883371583378707e-02
1.475999999999999979e+01,-4.873518420055365091e-02
1.478000000000000114e+01,-5.873337753147436086e-02
1.480000000000000071e+01,1.876255604352177753e-01
1.482000000000000028e+01,5.289084339289813058e-02
1.483999999999999986e+01,1.723869605296013408e-01
1.485999999999999943e+01,9.139032584144562640e-03
1.487999999999999901e+01,8.982148166770553832e-02
1.490000000000000036e+01,1.409575873820723690e-01
1.491999999999999993e+01,6.845267491807043025e-02
1.494000000000000128e+01,-3.024742710420572772e-02
1.496000000000000085e+01,7.173773727477018858e-02
1.498000000000000043e+01,1.553016644094280252e-01
1.500000000000000000e+01,2.710981561167652432e-01
1.501999999999999957e+01,2.444330833269644510e-01
1.503999999999999915e+01,1.148482363890827307e-01
1.506000000000000050e+01,2.745154348571034880e-02
1.508000000000000007e+01,6.064686473897228786e-02
1.510000000000000142e+01,1.342691693051555057e-01
1.512000000000000099e+01,1.400505033199462568e-01
1.514000000000000057e+01,2.149923840295853428e-01
1.516000000000000014e+01,1.402195401495693883e-01
1.517999999999999972e+01,1.142699410021536105e-01
1.519999999999999929e+01,1.108818132606913393e-01
1.521999999999999886e+01,9.200490588112125723e-02
1.524000000000000021e+01,-3.706993201924923403e-02
1.525999999999999979e+01,-7.657555190901694543e-03
1.528000000000000114e+01,1.863774900324937089e-01
1.530000000000000071e+01,-5.747712278158503482e-03
1.532000000000000028e+01,8.220297725604172601e-02
1.533999999999999986e+01,9.458990965357608194e-02
1.535999999999999943e+01,1.427808110195681879e-01
1.537999999999999901e+01,2.297914400772024801e-02
1.540000000000000036e+01,1.411024650645535117e-01
1.541999999999999993e+01,1.236240291540071090e-01
1.544000000000000128e+01,1.546594909043400023e-01
1.546000000000000085e+01,5.899269801600050961e-02
1.548000000000000043e+01,2.942522216344878316e-02
1.550000000000000000e+01,7.125607404169988224e-02
1.551999999999999957e+01,1.131951607071701449e-01
1.553999999999999915e+01,7.603410135129590186e-02
1.556000000000000050e+01,7.442527524981665255e-02
1.558000000000000007e+01,7.329202182389440989e-02
1.560000000000000142e+01,5.577122466380752402e-02
1.562000000000000099e+01,-9.161941442577553607e-02
1.564000000000000057e+01,1.669692478581741857e-01
1.566000000000000014e+01,5.353395243899250477e-02
1.567999999999999972e+01,8.615089308020126152e-03
1.569999999999999929e+01,1.428542687933948285e-01
1.571999999999999886e+01,1.758429518469956376e-01
1.574000000000000021e+01,7.275643491890049219e-02
1.575999999999999979e+01,7.968851115078670611e-02
1.578000000000000114e+01,1.375252528164491728e-01
1.580000000000000071e+01,2.088622134368744998e-01
1.582000000000000028e+01,-6.868565224298930905e-02
1.583999999999999986e+01,3.667412861445285867e-03
1.585999999999999943e+01,-1.144773588674639631e-01
1.587999999999999901e+01,-4.654305767998259680e-02
1.590000000000000036e+01,4.307326059611496505e-02
1.591999999999999993e+01,1.240940460459931949e-01
1.594000000000000128e+01,6.431309879336044588e-02
1.596000000000000085e+01,1.326300962345538237e-01
1.598000000000000043e+01,1.251128995141002065e-01
1.600000000000000000e+01,3.156096639450302055e-01
1.601999999999999957e+01,1.000821522121577295e-01
1.603999999999999915e+01,-5.235962412570586977e-02
1.606000000000000227e+01,1.909649667250831739e-01
1.607999999999999829e+01,3.759473947185314469e-01
1.610000000000000142e+01,-4.023627030631636570e-02
1.612000000000000099e+01,1.049015691381813553e-01
1.614000000000000057e+01,2.413161300089518846e-01
1.616000000000000014e+01,1.332525626756627390e-01
1.617999999999999972e+01,2.213577259326513780e-01
1.619999999999999929e+01,-6.198889925135859374e-02
1.621999999999999886e+01,2.661842862071233662e-01
1.624000000000000199e+01,1.840058016768272853e-01
1.625999999999999801e+01,7.238471521957764131e-03
1.628000000000000114e+01,-1.738457849910818587e-01
1.630000000000000071e+01,9.743868090402378612e-02
1.632000000000000028e+01,1.177208926893710955e-01
1.633999999999999986e+01,1.573312029368580944e-01
1.635999999999999943e+01,1.573854090339518730e-01
1.637999999999999901e+01,-3.057879108806744670e-02
1.639999999999999858e+01,2.348019177830334980e-01
1.642000000000000171e+01,8.983159921574190854e-02
1.644000000000000128e+01,7.699461119016456911e-02
1.646000000000000085e+01,-3.051232488497820222e-02
1.648000000000000043e+01,-2.259354227044994279e-01
1.650000000000000000e+01,1.914999513668368125e-01
1.651999999999999957e+01,1.295659437971205807e-01
1.653999999999999915e+01,-5.991327811785443491e-02
1.656000000000000227e+01,5.517292097805054363e-02
1.657999999999999829e+01,2.976740014560438213e-02
1.660000000000000142e+01,-1.015878118644166460e-02
1.662000000000000099e+01,8.804477921547490538e-02
1.664000000000000057e+01,1.274653754781066572e-01
1.666000000000000014e+01,1.789253884362143054e-01
1.667999999999999972e+01,-6.830682590730316472e-02
1.669999999999999929e+01,-2.199795134403834951e-01
1.671999999999999886e+01,2.125602119068105145e-01
1.674000000000000199e+01,1.862207631525532314e-01
1.675999999999999801e+01,1.400436973602455781e-01
1.678000000000000114e+01,8.706877363722466401e-02
1.680000000000000071e+01,9.860504129074457169e-02
1.682000000000000028e+01,1.730638255530080050e-01
1.683999999999999986e+01,1.293262181137460609e-01
1.685999999999999943e+01,-3.373266745899773655e-02
1.687999999999999901e+01,2.016545664070324151e-01
1.689999999999999858e+01,3.353716478769494524e-02
1.692000000000000171e+01,-8.942735873961636184e-04
1.694000000000000128e+01,-2.490763326383334531e-01
1.696000000000000085e+01,-5.097082952834412761e-02
1.698000000000000043e+01,6.485666959180820534e-02
1.700000000000000000e+01,2.802901316360076334e-01
1.701999999999999957e+01,8.151232940734175897e-03
1.703999999999999915e+01,2.034618121702124194e-01
1.706000000000000227e+01,1.370101527228812510e-01
1.707999999999999829e+01,8.912193176358491897e-02
1.710000000000000142e+01,1.716901880199231956e-01
1.712000000000000099e+01,-6.544104000176662744e-03
1.714000000000000057e+01,2.488591629329290067e-01
1.716000000000000014e+01,1.311475538690669296e-01
1.717999999999999972e+01,4.403127444287568276e-02
1.719999999999999929e+01,2.078126108272152495e-01
1.721999999999999886e+01,6.049556133397347019e-02
1.724000000000000199e+01,1.096007891310253057e-01
1.725999999999999801e+01,2.924288459321747538e-02
1.728000000000000114e+01,1.105260146123973608e-01
1.730000000000000071e+01,2.235894854151923225e-02
1.732000000000000028e+01,3.272823109505415551e-02
1.733999999999999986e+01,1.564155636054019305e-01
1.735999999999999943e+01,-1.809762182841129566e-02
1.737999999999999901e+01,-1.341809246554076518e-02
1.739999999999999858e+01,2.090892568244602512e-01
1.742000000000000171e+01,5.166463832690116470e-02
1.744000000000000128e+01,2.056552895668003478e-01
1.746000000000000085e+01,-5.402045334367550078e-02
1.748000000000000043e+01,3.416370800104909233e-02
1.750000000000000000e+01,1.005077443108895324e-01
1.751999999999999957e+01,2.214749277359862600e-01
1.753999999999999915e+01,-5.416687390673003560e-02
1.756000000000000227e+01,3.653004065662382449e-02
1.757999999999999829e+01,-6.312157291419802363e-02
1.760000000000000142e+01,7.702122362090882413e-02
1.762000000000000099e+01,-1.085832301078206719e-01
1.764000000000000057e+01,1.100519433539975528e-01
1.766000000000000014e+01,1.307434220306233630e-01
1.767999999999999972e+01,-9.666007593720762903e-02
1.769999999999999929e+01,-1.410300648210539298e-01
1.771999999999999886e+01,1.437281245221717074e-01
1.774000000000000199e+01,3.270369930329919406e-01
1.775999999999999801e+01,9.331951675909516686e-02
1.778000000000000114e+01,8.902218835271567821e-02
1.780000000000000071e+01,2.052396302059598110e-01
1.782000000000000028e+01,5.108376998996001783e-02
1.783999999999999986e+01,2.394522835981140740e-01
1.785999999999999943e+01,-1.714798942717073171e-01
1.787999999999999901e+01,2.141538779080776611e-01
1.789999999999999858e+01,-7.023179382463889953e-02
1.792000000000000171e+01,1.903886345301071190e-02
1.794000000000000128e+01,4.264800738869330837e-02
1.796000000000000085e+01,6.997131445598488153e-02
1.798000000000000043e+01,4.394417920858428167e-02
1.800000000000000000e+01,-6.229938084921483876e-02
1.801999999999999957e+01,-8.067779547999794076e-02
1.803999999999999915e+01,7.592429262427774495e-02
1.806000000000000227e+01,1.305721020020862155e-01
1.807999999999999829e+01,1.829661781325412906e-01
1.810000000000000142e+01,1.256375461543381422e-01
1.812000000000000099e+01,1.023252237233088502e-01
1.814000000000000057e+01,2.520982732049742991e-01
1.816000000000000014e+01,1.430450942997091301e-01
1.817999999999999972e+01,1.263828637269604205e-01
1.819999999999999929e+01,-6.020693795375360591e-02
1.821999999999999886e+01,1.427110204494158319e-01
1.824000000000000199e+01,1.224792554131844680e-01
1.825999999999999801e+01,1.307303107405459186e-01
1.828000000000000114e+01,-6.764239895212398324e-02
1.830000000000000071e+01,-4.787799436193716091e-02
1.832000000000000028e+01,3.954730761702857783e-02
1.833999999999999986e+01,-9.287956713341159742e-02
1.835999999999999943e+01,8.980885685581727063e-02
1.838000000000000256e+01,-2.462385682490774927e-02
1.839999999999999858e+01,7.127801296895482086e-02
1.842000000000000171e+01,1.637047799818439897e-01
1.843999999999999773e+01,1.295523364872792071e-01
1.846000000000000085e+01,5.167139184285034215e-02
1.848000000000000043e+01,-2.840636965573664630e-02
1.850000000000000000e+01,1.076761876745793017e-01
1.851999999999999957e+01,1.404706571102598001e-01
1.853999999999999915e+01,-7.385955661789541174e-03
1.856000000000000227e+01,1.845798682280245517e-01
1.857999999999999829e+01,3.783822303736079917e-02
1.860000000000000142e+01,-5.813672682813644105e-02
1.862000000000000099e+01,2.167305230974247987e-01
1.864000000000000057e+01,1.258219038224761832e-01
1.866000000000000014e+01,-1.297423569174105222e-02
1.867999999999999972e+01,1.017360120371482296e-01
1.870000000000000284e+01,7.282688382860606768e-02
1.871999999999999886e+01,5.691744393426251096e-03
1.874000000000000199e+01,-4.513014281798769650e-02
1.875999999999999801e+01,9.250932788420478114e-03
1.878000000000000114e+01,1.700693551004970050e-01
1.880000000000000071e+01,1.921358068017281762e-01
1.882000000000000028e+01,4.670835034983150669e-01
1.883999999999999986e+01,7.463337791942725730e-02
1.885999999999999943e+01,2.444051781704559279e-01
1.888000000000000256e+01,3.366916520986518169e-01
1.889999999999999858e+01,1.900731758500401047e-01
1.892000000000000171e+01,3.046144845071675489e-01
1.893999999999999773e+01,-6.036861920814119709e-02
1.896000000000000085e+01,-6.798455723745229495e-02
1.898000000000000043e+01,-7.035752712194781600e-02
1.900000000000000000e+01,-5.180591403381350039e-03
1.901999999999999957e+01,-6.653901587204934243e-03
1.903999999999999915e+01,5.696861799217570188e-02
1.906000000000000227e+01,1.550424380025886284e-01
1.907999999999999829e+01,9.528765393211433010e-02
1.910000000000000142e+01,1.107950015434226304e-01
1.912000000000000099e+01,3.945560100899733746e-02
1.914000000000000057e+01,-7.891691141639223250e-02
