# 2Theta,Intensity
1.000000000000000000e+01,1.380144297347954963e-01
1.001999999999999957e+01,1.636973673663114637e-01
1.003999999999999915e+01,-2.973877186148504842e-05
1.006000000000000050e+01,2.258825937273443163e-01
1.008000000000000007e+01,-9.107273935872201021e-02
1.009999999999999964e+01,4.718811679580842827e-02
1.011999999999999922e+01,-1.854037001905900206e-01
1.014000000000000057e+01,4.213239866055869254e-02
1.016000000000000014e+01,-2.856819460409364825e-02
1.017999999999999972e+01,9.940450694498063899e-02
1.019999999999999929e+01,-1.790298936409633612e-01
1.022000000000000064e+01,1.538396667243420966e-02
1.024000000000000021e+01,2.153039349082743470e-01
1.025999999999999979e+01,2.540285089798887674e-01
1.027999999999999936e+01,8.695320968779547688e-02
1.030000000000000071e+01,-3.306776849348144059e-02
1.032000000000000028e+01,1.558009122203841412e-01
1.033999999999999986e+01,1.048658660972826839e-01
1.035999999999999943e+01,3.666714550713085982e-03
1.038000000000000078e+01,1.920345007631947543e-01
1.040000000000000036e+01,3.762754654690235456e-02
1.041999999999999993e+01,3.384495781134350123e-01
1.043999999999999950e+01,-6.008114373632709310e-02
1.046000000000000085e+01,1.079326789052614949e-01
1.048000000000000043e+01,2.022203449772623507e-01
1.050000000000000000e+01,1.887861165751233417e-01
1.051999999999999957e+01,6.459127137357532911e-02
1.053999999999999915e+01,1.572089311267472478e-01
1.056000000000000050e+01,1.164980942679118281e-02
1.058000000000000007e+01,7.833535639978217446e-02
1.059999999999999964e+01,1.375691941034659083e-01
1.061999999999999922e+01,1.997454726837724626e-01
1.064000000000000057e+01,3.037179974172860356e-02
1.066000000000000014e+01,1.567097373049618214e-01
1.067999999999999972e+01,6.004054550936128998e-02
1.069999999999999929e+01,9.840547184852552198e-02
1.072000000000000064e+01,7.707931896841083153e-02
1.074000000000000021e+01,-4.939106160554348340e-02
1.075999999999999979e+01,2.358247050828939789e-02
1.077999999999999936e+01,2.987048812888145125e-02
1.080000000000000071e+01,1.712132002845220546e-01
1.082000000000000028e+01,3.136988261305971495e-03
1.083999999999999986e+01,-5.481908209065586984e-02
1.085999999999999943e+01,3.200729468953754653e-01
1.088000000000000078e+01,9.314541868207319719e-02
1.090000000000000036e+01,3.905643112065901312e-02
1.091999999999999993e+01,8.168564569441973122e-02
1.093999999999999950e+01,8.450044340330609138e-02
1.096000000000000085e+01,2.343885558260699886e-01
1.098000000000000043e+01,-1.290184354199276906e-01
1.100000000000000000e+01,1.115520233777568815e-01
1.101999999999999957e+01,-1.321728355929872312e-01
1.103999999999999915e+01,8.968873386010553506e-02
1.106000000000000050e+01,-7.077292747589340738e-02
1.108000000000000007e+01,2.555340644734022375e-03
1.109999999999999964e+01,1.391765263888623816e-01
1.112000000000000099e+01,8.365680791548840700e-03
1.114000000000000057e+01,-2.092711550227299017e-02
1.116000000000000014e+01,-1.135225520330473553e-01
1.117999999999999972e+01,1.827705559962791437e-01
1.119999999999999929e+01,-1.612404570139209375e-02
1.122000000000000064e+01,-2.118880188928889408e-01
1.124000000000000021e+01,-9.092256537232476510e-02
1.125999999999999979e+01,7.626878884725889207e-02
1.127999999999999936e+01,-2.872562370735918733e-02
1.130000000000000071e+01,1.222852550970644769e-01
1.132000000000000028e+01,8.363124784217489116e-02
1.133999999999999986e+01,4.004423236097306993e-02
1.135999999999999943e+01,1.718681549826296673e-01
1.138000000000000078e+01,5.388916189018983643e-02
1.140000000000000036e+01,-7.670694043928044659e-02
1.141999999999999993e+01,2.027362009424090450e-01
1.143999999999999950e+01,3.756356596476205425e-03
1.146000000000000085e+01,1.220821570762107844e-01
1.148000000000000043e+01,-1.156689459992512603e-01
1.150000000000000000e+01,5.372605672814299849e-02
1.151999999999999957e+01,7.401264756850353677e-02
1.153999999999999915e+01,-4.513949020030430526e-02
1.156000000000000050e+01,-1.860318359962699342e-01
1.158000000000000007e+01,1.381738685638026209e-01
1.159999999999999964e+01,1.212780918803714192e-01
1.162000000000000099e+01,-1.091281076623377283e-01
1.164000000000000057e+01,5.796360223919641563e-02
1.166000000000000014e+01,-9.249130657616447260e-02
1.167999999999999972e+01,-1.217242292729846798e-01
1.169999999999999929e+01,-1.307353845920640745e-01
1.172000000000000064e+01,-3.573862645945008465e-02
1.174000000000000021e+01,8.328122412026781052e-02
1.175999999999999979e+01,-1.248531120711465076e-01
1.177999999999999936e+01,1.989845198110556587e-02
1.180000000000000071e+01,1.921816116063640445e-01
1.182000000000000028e+01,-2.000158735869602897e-02
1.183999999999999986e+01,-4.904544537229078849e-02
1.185999999999999943e+01,-2.088334820631566457e-03
1.188000000000000078e+01,1.480097584800377786e-01
1.190000000000000036e+01,7.695310428619671350e-02
1.191999999999999993e+01,-9.576277172519653824e-02
1.193999999999999950e+01,-3.673121059226983672e-03
1.196000000000000085e+01,2.061173611086646040e-01
1.198000000000000043e+01,2.192464295623920700e-01
1.200000000000000000e+01,-2.663343238992486525e-02
1.201999999999999957e+01,2.773133247558355607e-02
1.203999999999999915e+01,1.894684779434090971e-01
1.206000000000000050e+01,8.445347328788900543e-02
1.208000000000000007e+01,2.087831167748080696e-01
1.209999999999999964e+01,1.464422178813319375e-01
1.212000000000000099e+01,1.064128751735524646e-02
1.214000000000000057e+01,-5.269622358192904005e-02
1.216000000000000014e+01,8.338138949548479228e-02
1.217999999999999972e+01,9.650625733516042526e-02
1.219999999999999929e+01,1.336262464786193149e-01
1.222000000000000064e+01,-4.829314750477573664e-02
1.224000000000000021e+01,-7.060677779351560990e-02
1.225999999999999979e+01,1.017439526813276596e-01
1.228000000000000114e+01,2.157829106485600335e-01
1.230000000000000071e+01,-7.893808226942559958e-02
1.232000000000000028e+01,6.829332055044100291e-02
1.233999999999999986e+01,4.752221397424229860e-02
1.235999999999999943e+01,2.758976750442407866e-01
1.237999999999999901e+01,2.607770827443183226e-01
1.240000000000000036e+01,-1.108055194552972633e-01
1.241999999999999993e+01,6.988098586111503308e-02
1.243999999999999950e+01,1.346436977614321462e-01
1.246000000000000085e+01,1.345281939496349999e-01
1.248000000000000043e+01,1.158790316857551128e-01
1.250000000000000000e+01,-6.307241464887830551e-02
1.251999999999999957e+01,4.789936898491886641e-02
1.253999999999999915e+01,1.368543244801613823e-01
1.256000000000000050e+01,8.134890355790669325e-02
1.258000000000000007e+01,-4.583230936842247472e-02
1.259999999999999964e+01,1.725736549306898793e-01
1.262000000000000099e+01,7.336922152594195501e-02
1.264000000000000057e+01,2.089802223477520149e-02
1.266000000000000014e+01,1.140963860453922049e-02
1.267999999999999972e+01,-5.380154104979445462e-02
1.269999999999999929e+01,2.439821211210815022e-01
1.272000000000000064e+01,-1.242895253087128666e-03
1.274000000000000021e+01,2.908761995380358401e-01
1.275999999999999979e+01,-7.661147470486623368e-02
1.278000000000000114e+01,3.240045278363859471e-02
1.280000000000000071e+01,4.607318814404711554e-02
1.282000000000000028e+01,5.745019425982575423e-02
