# 2Theta,Intensity
1.000000000000000000e+01,2.289848120133580744e-03
1.001999999999999957e+01,2.071940153043658750e-01
1.003999999999999915e+01,2.058136430943038608e-01
1.006000000000000050e+01,7.286438301519741756e-02
1.008000000000000007e+01,1.355923371683836753e-01
1.009999999999999964e+01,2.027096125957573158e-01
1.011999999999999922e+01,2.019403434897738825e-01
1.014000000000000057e+01,9.026179623956545606e-02
1.016000000000000014e+01,2.269503634246798629e-01
1.017999999999999972e+01,-1.648401489539229881e-01
1.019999999999999929e+01,2.284662729337533747e-03
1.022000000000000064e+01,3.604278643631443346e-01
1.024000000000000021e+01,1.171709506245390831e-01
1.025999999999999979e+01,-8.942249387449849318e-02
1.027999999999999936e+01,1.273661793231656014e-01
1.030000000000000071e+01,2.204215618473105986e-01
1.032000000000000028e+01,1.601016109336385329e-01
1.033999999999999986e+01,6.951814872637437741e-03
1.035999999999999943e+01,9.020341890910273108e-02
1.038000000000000078e+01,1.540788349001737945e-01
1.040000000000000036e+01,1.614357018069911553e-01
1.041999999999999993e+01,1.590615001251363403e-01
1.043999999999999950e+01,4.958596664301160861e-01
1.046000000000000085e+01,1.444226148701414913e-01
1.048000000000000043e+01,4.403274583398819053e-01
1.050000000000000000e+01,1.009046532836297000e-01
1.051999999999999957e+01,5.751817391276751318e-02
1.053999999999999915e+01,-7.939349770007422813e-02
1.056000000000000050e+01,7.435742982912206533e-02
1.058000000000000007e+01,1.001690912298098951e-01
1.059999999999999964e+01,8.300551696429155080e-02
1.061999999999999922e+01,2.084833323616148981e-01
1.064000000000000057e+01,-6.825142645724673052e-02
1.066000000000000014e+01,9.098507178043616084e-02
1.067999999999999972e+01,-1.066828275316973329e-01
1.069999999999999929e+01,5.889540937897020517e-02
1.072000000000000064e+01,1.538554540507837964e-01
1.074000000000000021e+01,2.528033015776848802e-01
1.075999999999999979e+01,8.921725160140039912e-02
1.077999999999999936e+01,9.600196973204830342e-02
1.080000000000000071e+01,-1.064449974868243443e-01
1.082000000000000028e+01,1.348246768264765028e-01
1.083999999999999986e+01,9.534511722886970797e-02
1.085999999999999943e+01,2.502520479822398225e-01
1.088000000000000078e+01,2.667353431817218734e-01
1.090000000000000036e+01,1.315647453520906451e-01
1.091999999999999993e+01,2.344808578291517898e-01
1.093999999999999950e+01,3.563876401726098764e-01
1.096000000000000085e+01,1.807295401881654495e-01
1.098000000000000043e+01,2.449324592894010499e-01
1.100000000000000000e+01,2.243649733483145114e-01
1.101999999999999957e+01,2.531432700393181356e-01
1.103999999999999915e+01,2.426282421167572645e-01
1.106000000000000050e+01,3.300392818359308977e-01
1.108000000000000007e+01,2.335965659622987467e-01
1.109999999999999964e+01,5.691697664172971211e-02
1.112000000000000099e+01,1.666872484250208897e-01
1.114000000000000057e+01,8.932767409736379338e-02
1.116000000000000014e+01,5.142209642187334229e-02
1.117999999999999972e+01,2.708821958805258112e-01
1.119999999999999929e+01,1.050384742189001824e-01
1.122000000000000064e+01,3.059964828761393973e-01
1.124000000000000021e+01,-7.200605564120751700e-02
1.125999999999999979e+01,1.773950129323131342e-01
1.127999999999999936e+01,1.656892711966909681e-01
1.130000000000000071e+01,1.024269166163333106e-01
1.132000000000000028e+01,8.824914360734123497e-02
1.133999999999999986e+01,-4.135810316205157378e-02
1.135999999999999943e+01,1.462331255037302991e-01
1.138000000000000078e+01,3.897655442190750552e-01
1.140000000000000036e+01,1.133318345602941785e-01
1.141999999999999993e+01,5.958143100349443111e-02
1.143999999999999950e+01,5.994200758025191450e-02
1.146000000000000085e+01,1.250023634001894146e-01
1.148000000000000043e+01,2.699189215106693740e-01
1.150000000000000000e+01,1.067650144489736413e-01
1.151999999999999957e+01,3.176874727052300673e-01
1.153999999999999915e+01,9.914329315075492977e-02
1.156000000000000050e+01,3.714503647478838155e-02
1.158000000000000007e+01,1.813206445267751543e-01
1.159999999999999964e+01,-3.296331208811410091e-02
1.162000000000000099e+01,1.917576112973667923e-01
1.164000000000000057e+01,1.109625687125516819e-01
1.166000000000000014e+01,2.453597750412949696e-01
1.167999999999999972e+01,1.779829301668444941e-01
1.169999999999999929e+01,2.296115115230704801e-03
1.172000000000000064e+01,1.839296921223880499e-01
1.174000000000000021e+01,1.718162181971700231e-01
1.175999999999999979e+01,1.579811714999616173e-02
1.177999999999999936e+01,1.720025886999609344e-01
1.180000000000000071e+01,2.784106581765880550e-01
1.182000000000000028e+01,5.356249947407634542e-03
1.183999999999999986e+01,2.372212175531210610e-01
1.185999999999999943e+01,6.747807281867872209e-02
1.188000000000000078e+01,1.839530524103274167e-01
1.190000000000000036e+01,1.012920774572221572e-01
1.191999999999999993e+01,2.758221254326007066e-01
1.193999999999999950e+01,2.392398759993511759e-01
1.196000000000000085e+01,-5.935265300664473859e-02
1.198000000000000043e+01,1.936819348968358834e-01
