# 2Theta,Intensity
1.000000000000000000e+01,-1.198803616835929786e-01
1.001999999999999957e+01,-1.508250144192489761e-01
1.003999999999999915e+01,-5.440419941090316293e-04
1.006000000000000050e+01,8.263955342155929196e-02
1.008000000000000007e+01,7.601992368863758065e-02
1.009999999999999964e+01,8.877704694475876956e-02
1.011999999999999922e+01,-1.553534505177651265e-02
1.014000000000000057e+01,3.738364725346280532e-02
1.016000000000000014e+01,5.750823881920835712e-02
1.017999999999999972e+01,1.299559239008576950e-01
1.019999999999999929e+01,2.373599704150634038e-01
1.022000000000000064e+01,-6.481634066822140883e-02
1.024000000000000021e+01,1.438559169513160818e-01
1.025999999999999979e+01,6.018885501609839289e-02
1.027999999999999936e+01,5.004548432128000379e-02
1.030000000000000071e+01,-1.014857833784426344e-01
1.032000000000000028e+01,1.048081692720659042e-01
1.033999999999999986e+01,1.288637192327140440e-02
1.035999999999999943e+01,5.439638248626193356e-02
1.038000000000000078e+01,9.750011607469570574e-02
1.040000000000000036e+01,-2.804812994083129285e-02
1.041999999999999993e+01,1.329520956250887231e-01
1.043999999999999950e+01,-1.011625862458258827e-02
1.046000000000000085e+01,1.177273054669866238e-02
1.048000000000000043e+01,3.318720280782343213e-02
1.050000000000000000e+01,-1.110871285875170665e-02
1.051999999999999957e+01,-9.237119175563314466e-02
1.053999999999999915e+01,-9.557848365763427223e-02
1.056000000000000050e+01,3.704337029947427778e-02
1.058000000000000007e+01,2.662515718685012217e-02
1.059999999999999964e+01,-2.214882267095636542e-02
1.061999999999999922e+01,7.240827360763299470e-02
1.064000000000000057e+01,-5.677566409542586512e-02
1.066000000000000014e+01,1.509624899827804179e-01
1.067999999999999972e+01,1.586497170634013354e-01
1.069999999999999929e+01,1.102627376376551574e-03
1.072000000000000064e+01,1.609793394997493243e-01
1.074000000000000021e+01,-1.352879791168772328e-01
1.075999999999999979e+01,5.968428964559498173e-02
1.077999999999999936e+01,1.063601918897447707e-01
1.080000000000000071e+01,-9.918301241545052216e-02
1.082000000000000028e+01,8.283337514541450064e-02
1.083999999999999986e+01,-3.931382149719475638e-02
