# 2Theta,Intensity
1.000000000000000000e+01,3.191943550145781572e-01
1.001999999999999957e+01,3.428218355838377751e-01
1.003999999999999915e+01,2.583213537597608966e-01
1.006000000000000050e+01,1.224058935112893043e-01
1.008000000000000007e+01,1.136616664028815005e-01
1.009999999999999964e+01,-2.384499341207776263e-02
1.011999999999999922e+01,2.987365428576481130e-01
1.014000000000000057e+01,3.047506070101920761e-01
1.016000000000000014e+01,1.701462322188266596e-01
1.017999999999999972e+01,2.813728152587423037e-01
1.019999999999999929e+01,3.148641260267168729e-01
1.022000000000000064e+01,6.520345527440349342e-02
1.024000000000000021e+01,2.929833413273920661e-01
1.025999999999999979e+01,2.951333285009505314e-01
1.027999999999999936e+01,8.738202919294114912e-02
1.030000000000000071e+01,1.395206402578123284e-01
1.032000000000000028e+01,2.488568709765839049e-01
1.033999999999999986e+01,2.062976239332565132e-01
1.035999999999999943e+01,5.117255015573143190e-02
1.038000000000000078e+01,2.645060097765564722e-01
1.040000000000000036e+01,-9.988074316980509459e-02
1.041999999999999993e+01,2.480853549673955050e-01
1.043999999999999950e+01,3.523488469034904425e-01
1.046000000000000085e+01,1.017566881435344184e-01
1.048000000000000043e+01,1.866636496734834227e-01
1.050000000000000000e+01,2.688425198926613358e-01
1.051999999999999957e+01,2.535328564692848619e-01
1.053999999999999915e+01,1.506652468971715966e-02
1.056000000000000050e+01,1.806482133209610375e-01
1.058000000000000007e+01,3.212667890788974967e-01
1.059999999999999964e+01,2.734166633701495264e-01
1.061999999999999922e+01,7.115418727709962865e-02
1.064000000000000057e+01,1.433885561738457437e-01
1.066000000000000014e+01,1.973047599812259231e-02
1.067999999999999972e+01,1.853763378533076003e-02
1.069999999999999929e+01,1.133768884139200323e-01
1.072000000000000064e+01,6.346088983208894585e-02
1.074000000000000021e+01,1.241693498348298182e-02
1.075999999999999979e+01,5.421553471306862076e-02
1.077999999999999936e+01,-5.209414657619623051e-02
1.080000000000000071e+01,4.471315794902029628e-02
1.082000000000000028e+01,-8.655501091162847577e-03
1.083999999999999986e+01,6.892106547425123908e-02
1.085999999999999943e+01,8.275567808167122452e-02
1.088000000000000078e+01,6.957489137064822027e-02
1.090000000000000036e+01,2.210425995035311675e-01
1.091999999999999993e+01,1.373678958499620351e-01
1.093999999999999950e+01,-1.486273764822430843e-01
1.096000000000000085e+01,2.474730810573731454e-01
1.098000000000000043e+01,2.250260457693699923e-01
1.100000000000000000e+01,1.498418237730742564e-01
1.101999999999999957e+01,2.137308917523552121e-01
1.103999999999999915e+01,1.898671227345718193e-01
1.106000000000000050e+01,-1.288253088452877559e-01
1.108000000000000007e+01,1.499266007113353172e-01
1.109999999999999964e+01,1.181404271988421156e-01
1.112000000000000099e+01,1.657301356204582965e-01
1.114000000000000057e+01,1.970695909261113710e-01
1.116000000000000014e+01,1.727282163428307815e-01
1.117999999999999972e+01,-6.042542222754207493e-02
1.119999999999999929e+01,2.526908171183435067e-02
1.122000000000000064e+01,-2.160469620584108338e-02
1.124000000000000021e+01,1.188141775705268410e-01
1.125999999999999979e+01,1.729978859301815886e-01
1.127999999999999936e+01,1.297325952780138680e-02
1.130000000000000071e+01,1.574696144035557244e-01
1.132000000000000028e+01,7.630381536678512711e-02
1.133999999999999986e+01,2.572104930590518590e-01
1.135999999999999943e+01,1.624738313219571406e-01
