# 2Theta,Intensity
1.000000000000000000e+01,-2.091609369812491223e-02
1.001999999999999957e+01,8.753759415086996565e-02
1.003999999999999915e+01,2.370825679552272525e-01
1.006000000000000050e+01,1.697846962941182772e-02
1.008000000000000007e+01,-1.471615724316175933e-01
1.009999999999999964e+01,1.864958243030975793e-01
1.011999999999999922e+01,9.275561441901385151e-02
1.014000000000000057e+01,1.526234714259278591e-01
1.016000000000000014e+01,-1.647336823208743473e-02
1.017999999999999972e+01,-7.892556688360147232e-02
1.019999999999999929e+01,-7.871187509059164589e-03
1.022000000000000064e+01,1.110635680487425808e-01
1.024000000000000021e+01,1.110857096625863794e-01
1.025999999999999979e+01,1.150675290187644362e-01
1.027999999999999936e+01,1.473894646710419698e-01
1.030000000000000071e+01,5.780308442796290580e-02
1.032000000000000028e+01,6.532094794189054199e-02
1.033999999999999986e+01,8.303030476970542362e-02
1.035999999999999943e+01,-2.525157256365774538e-02
1.038000000000000078e+01,-8.349837206046151206e-02
1.040000000000000036e+01,2.210872395852892525e-01
1.041999999999999993e+01,6.758698349449704379e-02
1.043999999999999950e+01,-2.239031037168932176e-02
1.046000000000000085e+01,8.038228888349294166e-02
1.048000000000000043e+01,-3.493172976406206526e-02
1.050000000000000000e+01,4.754112767815620727e-02
1.051999999999999957e+01,8.946075910731667025e-02
1.053999999999999915e+01,7.351261651845870937e-02
1.056000000000000050e+01,-4.376013996740392258e-03
1.058000000000000007e+01,1.955205379323027570e-01
1.059999999999999964e+01,1.869504414525563138e-02
1.061999999999999922e+01,4.293523814104021480e-02
1.064000000000000057e+01,6.602976076593133903e-02
1.066000000000000014e+01,1.532367336611819009e-01
1.067999999999999972e+01,6.973920691047362334e-03
1.069999999999999929e+01,8.738063636882531515e-02
1.072000000000000064e+01,1.183423139771408450e-01
1.074000000000000021e+01,4.211289938612522432e-02
1.075999999999999979e+01,-6.061014710231424352e-02
1.077999999999999936e+01,8.909595317725077512e-02
1.080000000000000071e+01,1.238035448192644911e-01
1.082000000000000028e+01,1.063380015521644822e-01
1.083999999999999986e+01,-5.928209043351446300e-02
1.085999999999999943e+01,-9.282957523922099816e-03
1.088000000000000078e+01,1.420659632546346640e-01
1.090000000000000036e+01,8.793142423332479807e-02
1.091999999999999993e+01,9.424816046787974633e-02
1.093999999999999950e+01,-1.768027341205607728e-01
1.096000000000000085e+01,3.081139317691873325e-01
1.098000000000000043e+01,2.594725064189254415e-01
1.100000000000000000e+01,3.255933195871339031e-02
1.101999999999999957e+01,1.760081383376441433e-01
1.103999999999999915e+01,1.497538838325664090e-01
1.106000000000000050e+01,-1.307663193964388459e-01
1.108000000000000007e+01,1.834913781549918910e-01
1.109999999999999964e+01,4.133757382937128244e-02
1.112000000000000099e+01,-8.985048044892758601e-02
1.114000000000000057e+01,1.540565149393269828e-01
1.116000000000000014e+01,-1.720459984093115346e-01
1.117999999999999972e+01,-5.234546497125383557e-02
1.119999999999999929e+01,1.555019420239920347e-01
1.122000000000000064e+01,-1.786101131680184820e-02
1.124000000000000021e+01,1.483063719498805243e-02
1.125999999999999979e+01,-2.820962683337333021e-02
1.127999999999999936e+01,9.511448716721161711e-02
1.130000000000000071e+01,1.122757562090189176e-01
1.132000000000000028e+01,1.920723173584615306e-01
1.133999999999999986e+01,3.437318076573668557e-02
1.135999999999999943e+01,1.800832788482109037e-01
1.138000000000000078e+01,-1.279353315899214860e-01
1.140000000000000036e+01,8.105837135342373878e-02
1.141999999999999993e+01,1.891058281848115655e-02
1.143999999999999950e+01,1.083748791126333127e-01
1.146000000000000085e+01,7.113189570698291719e-02
1.148000000000000043e+01,1.073082570353348086e-01
1.150000000000000000e+01,1.499439368541652662e-01
1.151999999999999957e+01,6.680687365708053160e-02
1.153999999999999915e+01,1.828246310244998618e-01
1.156000000000000050e+01,-9.574561440983107852e-02
1.158000000000000007e+01,1.303624420932841810e-01
1.159999999999999964e+01,2.898338668744749880e-01
1.162000000000000099e+01,1.223905836827914456e-01
1.164000000000000057e+01,1.853650041609379920e-02
1.166000000000000014e+01,-2.483074444414676285e-02
1.167999999999999972e+01,1.674281958910001644e-01
1.169999999999999929e+01,1.081454110097677807e-01
1.172000000000000064e+01,-4.155020563134436545e-02
1.174000000000000021e+01,8.101607960982543100e-02
1.175999999999999979e+01,2.577836741830367151e-01
1.177999999999999936e+01,-1.988750561521078486e-01
1.180000000000000071e+01,2.029062823091106471e-01
1.182000000000000028e+01,8.847656394600819652e-02
1.183999999999999986e+01,-1.097381177213221926e-02
1.185999999999999943e+01,1.212563585025134977e-01
1.188000000000000078e+01,2.480436365675450783e-02
1.190000000000000036e+01,-6.581173228886487425e-02
1.191999999999999993e+01,1.305102990858423018e-01
1.193999999999999950e+01,2.984156274451506968e-02
1.196000000000000085e+01,2.182078566409233755e-01
1.198000000000000043e+01,1.350162858523782927e-01
1.200000000000000000e+01,2.695506532308721351e-02
1.201999999999999957e+01,1.860507636839308643e-01
1.203999999999999915e+01,1.213838812030381825e-01
1.206000000000000050e+01,9.672830104842244925e-02
1.208000000000000007e+01,1.550512848887262152e-01
1.209999999999999964e+01,2.672756939508296251e-02
1.212000000000000099e+01,2.310398953147607126e-01
1.214000000000000057e+01,9.002370560550979062e-02
1.216000000000000014e+01,1.783397574454766025e-03
1.217999999999999972e+01,-9.067134763826890931e-02
1.219999999999999929e+01,2.953924089707547496e-01
1.222000000000000064e+01,1.862811960352429852e-01
1.224000000000000021e+01,-4.561833978404911116e-02
1.225999999999999979e+01,6.590099318912528981e-02
1.228000000000000114e+01,4.034960383043324772e-02
1.230000000000000071e+01,9.731079376154251614e-02
1.232000000000000028e+01,1.706566847018427813e-01
1.233999999999999986e+01,-5.497159369436149107e-02
1.235999999999999943e+01,1.266007002624348621e-01
1.237999999999999901e+01,1.304739400839738106e-01
1.240000000000000036e+01,8.255395202237347796e-02
1.241999999999999993e+01,7.347692484040642402e-02
1.243999999999999950e+01,3.994026713750120638e-02
1.246000000000000085e+01,2.410580188719528560e-01
1.248000000000000043e+01,1.159418463559529072e-01
1.250000000000000000e+01,-3.611850956849422395e-02
1.251999999999999957e+01,7.314116731547767869e-02
1.253999999999999915e+01,8.365362956899889679e-02
1.256000000000000050e+01,-1.541765283580792505e-02
1.258000000000000007e+01,2.889183826490358820e-02
1.259999999999999964e+01,1.945686318654334113e-01
1.262000000000000099e+01,4.167931898667075891e-02
1.264000000000000057e+01,-5.794700885407310688e-03
1.266000000000000014e+01,7.970639215877805064e-03
1.267999999999999972e+01,1.239162449914015113e-01
