# 2Theta,Intensity
1.000000000000000000e+01,4.894669206348802315e-01
1.001999999999999957e+01,3.750169353482761259e-01
1.003999999999999915e+01,4.819528621553855197e-01
1.006000000000000050e+01,3.098128898863570235e-01
1.008000000000000007e+01,3.462368630590483276e-01
1.009999999999999964e+01,4.197982285686562287e-01
1.011999999999999922e+01,3.910933044284872762e-01
1.014000000000000057e+01,4.547049660470479648e-01
1.016000000000000014e+01,5.079315947546436671e-01
1.017999999999999972e+01,3.279527824287104543e-01
1.019999999999999929e+01,1.260262339121096253e-01
1.022000000000000064e+01,2.762765254689512201e-02
1.024000000000000021e+01,3.819184479252499820e-01
1.025999999999999979e+01,4.808441669140623431e-01
1.027999999999999936e+01,1.915070699059274184e-01
1.030000000000000071e+01,4.577874992127680120e-01
1.032000000000000028e+01,1.084556249749238782e-01
1.033999999999999986e+01,3.344312560041096116e-01
1.035999999999999943e+01,7.102398550766540752e-02
1.038000000000000078e+01,3.157674039017124845e-01
1.040000000000000036e+01,2.114727012609689261e-01
1.041999999999999993e+01,4.240373826475267727e-01
1.043999999999999950e+01,3.068567708947342321e-01
1.046000000000000085e+01,3.134872237767389880e-01
1.048000000000000043e+01,3.216775446080288314e-01
1.050000000000000000e+01,4.798132944272644473e-01
1.051999999999999957e+01,3.441596819979800825e-01
1.053999999999999915e+01,1.292801386281956511e-01
1.056000000000000050e+01,3.357776337805317146e-01
1.058000000000000007e+01,3.010788755423895457e-01
1.059999999999999964e+01,3.784205311682171669e-01
1.061999999999999922e+01,4.739106152316144849e-01
1.064000000000000057e+01,2.147303997330141379e-01
1.066000000000000014e+01,2.084885140347940702e-01
1.067999999999999972e+01,1.479716455184120205e-01
1.069999999999999929e+01,3.595485199738612248e-01
1.072000000000000064e+01,1.363484976939912385e-01
1.074000000000000021e+01,2.472675895959644821e-01
1.075999999999999979e+01,2.585912586719223416e-01
1.077999999999999936e+01,7.831979585679674227e-02
1.080000000000000071e+01,3.331008307959847925e-01
1.082000000000000028e+01,3.274404546984542863e-01
1.083999999999999986e+01,6.668228205482406024e-01
1.085999999999999943e+01,2.591484184777008704e-01
1.088000000000000078e+01,4.760711319371642158e-01
1.090000000000000036e+01,6.015244861494511985e-02
1.091999999999999993e+01,1.721536204181070007e-01
1.093999999999999950e+01,3.053655908009246245e-01
1.096000000000000085e+01,4.270420666981014080e-01
1.098000000000000043e+01,3.767261734025277309e-01
1.100000000000000000e+01,4.310504674847648876e-01
1.101999999999999957e+01,1.734747337112442223e-01
1.103999999999999915e+01,3.442196468062334591e-01
1.106000000000000050e+01,4.322758419455625667e-01
1.108000000000000007e+01,2.918941989735802101e-01
1.109999999999999964e+01,3.793156630616785763e-01
1.112000000000000099e+01,6.304003392674480954e-01
1.114000000000000057e+01,1.995194074928418049e-01
1.116000000000000014e+01,2.723134841670183937e-01
1.117999999999999972e+01,3.043618344890860472e-01
1.119999999999999929e+01,4.783238305193641682e-01
1.122000000000000064e+01,1.611330758209616187e-01
1.124000000000000021e+01,2.921257941480266962e-01
1.125999999999999979e+01,4.837680759758689608e-01
1.127999999999999936e+01,4.419434037785729963e-01
1.130000000000000071e+01,5.309662121130513945e-01
1.132000000000000028e+01,3.965317005968612141e-01
1.133999999999999986e+01,5.203372190425761268e-01
1.135999999999999943e+01,5.269584863834075872e-01
1.138000000000000078e+01,5.731375548397130704e-01
1.140000000000000036e+01,3.412935529869925988e-01
1.141999999999999993e+01,3.308370153515355350e-01
1.143999999999999950e+01,2.887406010655645394e-01
1.146000000000000085e+01,4.196213535905930492e-01
1.148000000000000043e+01,3.866294778101556640e-01
1.150000000000000000e+01,4.255142145422449174e-01
1.151999999999999957e+01,2.572650861137252276e-01
1.153999999999999915e+01,3.550510800705722891e-01
1.156000000000000050e+01,4.828935787821457826e-01
1.158000000000000007e+01,2.378277763550213642e-01
1.159999999999999964e+01,4.235741047639745571e-01
1.162000000000000099e+01,3.533321424771818653e-01
1.164000000000000057e+01,4.353662744375405569e-01
1.166000000000000014e+01,5.047753023267025352e-01
1.167999999999999972e+01,3.804969672226786725e-01
1.169999999999999929e+01,5.012213195441151958e-01
1.172000000000000064e+01,3.911839515649231935e-01
1.174000000000000021e+01,4.463910783668276760e-01
1.175999999999999979e+01,5.035691082744165881e-01
1.177999999999999936e+01,4.816530885364273540e-01
1.180000000000000071e+01,5.005942405151819763e-01
1.182000000000000028e+01,4.685477438607154599e-01
1.183999999999999986e+01,6.233449732338447458e-01
1.185999999999999943e+01,3.102872606760000984e-01
1.188000000000000078e+01,4.550550275474155026e-01
1.190000000000000036e+01,2.368943831404988765e-01
1.191999999999999993e+01,2.448701602701066626e-01
1.193999999999999950e+01,2.943671347074032218e-01
1.196000000000000085e+01,2.287683540167466389e-01
1.198000000000000043e+01,3.256743604503498646e-01
1.200000000000000000e+01,1.698592421729727686e-01
1.201999999999999957e+01,5.901538725931328999e-01
1.203999999999999915e+01,4.358148965304869948e-01
1.206000000000000050e+01,5.601170468208909181e-01
1.208000000000000007e+01,2.549239295656759441e-01
1.209999999999999964e+01,3.298747582805448553e-01
1.212000000000000099e+01,4.974872878249975150e-01
1.214000000000000057e+01,3.042860985619683656e-01
1.216000000000000014e+01,3.291266788826830991e-01
1.217999999999999972e+01,3.413495484228166732e-01
1.219999999999999929e+01,5.211807597988308283e-01
1.222000000000000064e+01,-4.063950993708893150e-03
1.224000000000000021e+01,2.938564383305588557e-01
1.225999999999999979e+01,3.488321657050719171e-01
1.228000000000000114e+01,4.328401595566849225e-01
1.230000000000000071e+01,4.371470545339548597e-01
1.232000000000000028e+01,6.444940841105036011e-02
1.233999999999999986e+01,1.707156331962809970e-01
1.235999999999999943e+01,3.047445825604770397e-01
1.237999999999999901e+01,1.962250789865248868e-01
1.240000000000000036e+01,2.876584522493132456e-01
1.241999999999999993e+01,5.560534663958310864e-01
1.243999999999999950e+01,4.471486622642320552e-01
1.246000000000000085e+01,1.147537446207439887e-01
1.248000000000000043e+01,2.816535817745989823e-01
