# 2Theta,Intensity
1.000000000000000000e+01,4.098937491601660488e-02
1.001999999999999957e+01,1.060065582484599200e-01
1.003999999999999915e+01,1.754523965939535080e-01
1.006000000000000050e+01,-1.280662525036505295e-01
1.008000000000000007e+01,2.164505310831242313e-01
1.009999999999999964e+01,1.323014676471268580e-01
1.011999999999999922e+01,1.434760992336491237e-01
1.014000000000000057e+01,4.870781610293675734e-02
1.016000000000000014e+01,8.229150134250559634e-02
1.017999999999999972e+01,7.464622852388398677e-02
1.019999999999999929e+01,1.311814766616472561e-01
1.022000000000000064e+01,2.961245941232575063e-02
1.024000000000000021e+01,2.395277792797564087e-01
1.025999999999999979e+01,3.793904885007046840e-02
1.027999999999999936e+01,1.068436460445556929e-01
1.030000000000000071e+01,-1.246262500289751773e-01
1.032000000000000028e+01,2.383930511859648771e-01
1.033999999999999986e+01,2.055621386429389019e-01
1.035999999999999943e+01,7.361563613327538613e-01
1.038000000000000078e+01,1.189484119691612829e+00
1.040000000000000036e+01,1.347952525277585245e+00
1.041999999999999993e+01,1.237513671371496482e+00
1.043999999999999950e+01,6.012555172044256047e-01
1.046000000000000085e+01,6.782777887457795973e-01
1.048000000000000043e+01,8.575206887384005661e-02
1.050000000000000000e+01,2.636211385986128933e-02
1.051999999999999957e+01,9.498577789969518681e-02
1.053999999999999915e+01,2.184679789572002984e-01
1.056000000000000050e+01,1.021428372847779931e-01
1.058000000000000007e+01,1.326797473462831833e-01
1.059999999999999964e+01,9.664922880503212799e-02
1.061999999999999922e+01,1.240994041966051314e-01
1.064000000000000057e+01,2.524133424969272621e-01
1.066000000000000014e+01,-1.167699089365749482e-01
1.067999999999999972e+01,1.228113975417471082e-01
1.069999999999999929e+01,-2.063315519380400365e-01
1.072000000000000064e+01,6.189809530473052573e-02
1.074000000000000021e+01,2.462998438442932231e-02
1.075999999999999979e+01,1.245480824303044215e-01
1.077999999999999936e+01,-1.446499295191606416e-01
1.080000000000000071e+01,3.666417964549577996e-02
1.082000000000000028e+01,-6.877164809113402166e-02
1.083999999999999986e+01,2.253080342749888554e-01
1.085999999999999943e+01,4.014771528911326853e-02
1.088000000000000078e+01,-2.364859549569172659e-01
1.090000000000000036e+01,-1.883268491964145419e-01
1.091999999999999993e+01,1.376646357571675305e-01
1.093999999999999950e+01,2.401841572998563712e-01
1.096000000000000085e+01,6.108522845466714257e-02
1.098000000000000043e+01,3.848429423526029264e-02
1.100000000000000000e+01,9.696332910618062073e-02
1.101999999999999957e+01,4.216132479881122552e-02
1.103999999999999915e+01,7.187814140484032055e-02
1.106000000000000050e+01,1.849367046362560552e-01
1.108000000000000007e+01,6.106775131636892756e-02
1.109999999999999964e+01,1.291568826979964425e-02
1.112000000000000099e+01,-3.915434016531366829e-02
1.114000000000000057e+01,2.148801599309413390e-01
1.116000000000000014e+01,1.099212956101609101e-01
1.117999999999999972e+01,-1.091371194349015639e-01
1.119999999999999929e+01,-2.745953415212055992e-02
1.122000000000000064e+01,8.827193346041509181e-02
1.124000000000000021e+01,3.841597540699209778e-01
1.125999999999999979e+01,-7.514506023667055085e-03
1.127999999999999936e+01,8.713659427571847360e-02
1.130000000000000071e+01,2.031230172719317717e-01
1.132000000000000028e+01,2.459740185015236447e-01
1.133999999999999986e+01,1.527780308094705553e-01
1.135999999999999943e+01,-7.619107614528465577e-02
1.138000000000000078e+01,8.215960955145956701e-02
1.140000000000000036e+01,-4.386889182743166499e-02
1.141999999999999993e+01,9.306094708283986494e-02
1.143999999999999950e+01,-4.092872615728525981e-02
1.146000000000000085e+01,1.293135167004506036e-01
1.148000000000000043e+01,-1.948215335227816425e-01
1.150000000000000000e+01,7.415877558031615246e-02
1.151999999999999957e+01,4.231186971830012272e-02
1.153999999999999915e+01,1.629095885218284634e-01
1.156000000000000050e+01,1.963235778390786668e-01
1.158000000000000007e+01,-3.121601782323201943e-02
1.159999999999999964e+01,-2.344024540033225711e-03
1.162000000000000099e+01,2.298919227638395457e-01
1.164000000000000057e+01,-6.938130471735985683e-02
1.166000000000000014e+01,2.488609924669942797e-01
1.167999999999999972e+01,1.222160254315998312e-01
1.169999999999999929e+01,5.332092633209070676e-02
1.172000000000000064e+01,2.090113707564559276e-01
1.174000000000000021e+01,-5.774276832991741271e-02
1.175999999999999979e+01,9.917720206465184540e-02
1.177999999999999936e+01,1.742248880515307463e-01
1.180000000000000071e+01,5.411863395301626939e-02
1.182000000000000028e+01,9.361053118339152102e-02
1.183999999999999986e+01,-4.053562586049663796e-02
1.185999999999999943e+01,1.896022943557460760e-01
1.188000000000000078e+01,2.344614460857397387e-01
1.190000000000000036e+01,1.481362941411765999e-01
1.191999999999999993e+01,1.345490760172595723e-01
1.193999999999999950e+01,1.232735383030690857e-01
1.196000000000000085e+01,2.120904811392872458e-01
1.198000000000000043e+01,2.343350579088309960e-01
1.200000000000000000e+01,6.032979185267603461e-02
1.201999999999999957e+01,1.146760633358522297e-01
1.203999999999999915e+01,8.097596895224327962e-02
1.206000000000000050e+01,8.598615742005241702e-02
1.208000000000000007e+01,2.037051281956274440e-01
1.209999999999999964e+01,2.171148565091280125e-01
1.212000000000000099e+01,-3.689092231092137159e-02
1.214000000000000057e+01,3.714457998321827881e-01
1.216000000000000014e+01,1.685107174553929221e-01
1.217999999999999972e+01,-4.097472556186431553e-02
1.219999999999999929e+01,-1.561033500057535939e-01
1.222000000000000064e+01,-7.317007551382292627e-03
1.224000000000000021e+01,2.566759591139683438e-01
1.225999999999999979e+01,1.478244137401225206e-02
1.228000000000000114e+01,-3.501379320039009480e-02
1.230000000000000071e+01,1.270309528551260281e-01
1.232000000000000028e+01,1.670432654404726824e-01
1.233999999999999986e+01,2.116085967860458217e-01
1.235999999999999943e+01,2.965891682498088544e-01
1.237999999999999901e+01,-5.174833542860368847e-03
1.240000000000000036e+01,-5.506346241018325594e-02
1.241999999999999993e+01,8.809582318288311509e-02
1.243999999999999950e+01,7.136461471164892711e-02
1.246000000000000085e+01,3.411706042142897272e-02
1.248000000000000043e+01,2.441361158072101814e-02
1.250000000000000000e+01,1.331589603127850407e-01
1.251999999999999957e+01,2.382463898583908335e-01
1.253999999999999915e+01,1.232528112672642978e-01
1.256000000000000050e+01,1.733915951415643808e-01
1.258000000000000007e+01,1.254256287392101210e-01
1.259999999999999964e+01,8.448569035557140783e-02
1.262000000000000099e+01,1.498176328115530809e-01
1.264000000000000057e+01,1.379129952015601401e-01
1.266000000000000014e+01,7.556826771804948939e-02
1.267999999999999972e+01,1.666223355857201216e-01
1.269999999999999929e+01,1.738636255753590876e-01
1.272000000000000064e+01,1.997976343319489978e-01
1.274000000000000021e+01,1.077612856138381037e-02
1.275999999999999979e+01,3.224603189024340816e-02
