# 2Theta,Intensity
1.000000000000000000e+01,9.199866603002833376e-02
1.001999999999999957e+01,4.081801966896719813e-02
1.003999999999999915e+01,-1.401106038160221667e-01
1.006000000000000050e+01,1.696343929250042903e-01
1.008000000000000007e+01,1.539133911462044479e-01
1.009999999999999964e+01,2.577615923934893361e-01
1.011999999999999922e+01,1.296031506310748038e-01
1.014000000000000057e+01,7.317683638644907618e-02
1.016000000000000014e+01,2.446038320836483038e-01
1.017999999999999972e+01,8.393166270952462371e-02
1.019999999999999929e+01,1.531545102345154528e-03
1.022000000000000064e+01,5.754901483854545086e-02
1.024000000000000021e+01,-6.942883983448265052e-03
1.025999999999999979e+01,-1.673382800825993014e-02
1.027999999999999936e+01,-1.281949289340169884e-01
1.030000000000000071e+01,1.306486731960573577e-01
1.032000000000000028e+01,-1.415883706172226149e-02
1.033999999999999986e+01,7.088361188856411033e-02
1.035999999999999943e+01,-1.459911499959685478e-02
1.038000000000000078e+01,-2.904650999590899577e-02
1.040000000000000036e+01,8.953023258883311547e-03
1.041999999999999993e+01,-4.995507322533710576e-02
1.043999999999999950e+01,1.844985150317299816e-01
1.046000000000000085e+01,-1.155022283036343661e-01
1.048000000000000043e+01,-1.250371565453218398e-02
1.050000000000000000e+01,-1.183199532373519214e-01
1.051999999999999957e+01,1.670203898781873197e-02
1.053999999999999915e+01,2.155663876639342669e-01
1.056000000000000050e+01,-4.367422557882872508e-02
1.058000000000000007e+01,5.381757124515914974e-03
1.059999999999999964e+01,4.234275999603633045e-02
1.061999999999999922e+01,8.252073372971642506e-02
1.064000000000000057e+01,5.482655855733842287e-02
1.066000000000000014e+01,-1.221100642729115032e-01
1.067999999999999972e+01,1.069331467290767501e-01
1.069999999999999929e+01,3.242263112161998528e-02
1.072000000000000064e+01,-8.861632969883184718e-02
1.074000000000000021e+01,1.071928909581464362e-01
1.075999999999999979e+01,-1.820741089316353992e-02
1.077999999999999936e+01,1.468015039837068103e-01
1.080000000000000071e+01,3.173398836430081638e-02
1.082000000000000028e+01,-4.870351493279896291e-03
1.083999999999999986e+01,5.197840874490981117e-02
1.085999999999999943e+01,2.486859263643174597e-02
1.088000000000000078e+01,1.451618759536903724e-01
1.090000000000000036e+01,-2.395927081866951192e-02
1.091999999999999993e+01,-2.589809001004921007e-02
1.093999999999999950e+01,1.368509964327901396e-01
1.096000000000000085e+01,2.216995467529039865e-02
1.098000000000000043e+01,1.246642650871132713e-01
1.100000000000000000e+01,1.732127360059415588e-02
1.101999999999999957e+01,-8.194256902521390717e-02
1.103999999999999915e+01,1.744394834482297929e-01
1.106000000000000050e+01,2.423583537929407117e-01
1.108000000000000007e+01,1.403648049721796000e-02
1.109999999999999964e+01,2.759382698503514697e-01
1.112000000000000099e+01,1.545124140449174455e-01
