# 2Theta,Intensity
1.000000000000000000e+01,3.955908337757286369e-02
1.001999999999999957e+01,2.808198948075630794e-02
1.003999999999999915e+01,4.006927578416732971e-02
1.006000000000000050e+01,1.863311256774799474e-01
1.008000000000000007e+01,1.145835027340552092e-01
1.009999999999999964e+01,-2.356435434885897212e-02
1.011999999999999922e+01,-9.104829544140774153e-03
1.014000000000000057e+01,1.020885641805627762e-02
1.016000000000000014e+01,5.220799878443282971e-02
1.017999999999999972e+01,-7.875450026008037896e-02
1.019999999999999929e+01,-1.122539703374018233e-01
1.022000000000000064e+01,7.404765898605626673e-02
1.024000000000000021e+01,7.165839560219529336e-02
1.025999999999999979e+01,6.576702405026747800e-02
1.027999999999999936e+01,1.824294979108453604e-02
1.030000000000000071e+01,-1.693596401429927345e-01
1.032000000000000028e+01,8.136093022580143108e-02
1.033999999999999986e+01,1.348713653318328320e-01
1.035999999999999943e+01,1.594176190435211415e-01
1.038000000000000078e+01,8.097496705225709634e-02
1.040000000000000036e+01,1.968615454252952909e-02
1.041999999999999993e+01,6.229926253044071327e-02
1.043999999999999950e+01,1.684921113585511332e-01
1.046000000000000085e+01,4.694104401340398747e-02
1.048000000000000043e+01,1.082730964535697643e-01
1.050000000000000000e+01,1.578342384713384006e-01
1.051999999999999957e+01,-2.079873726543060228e-02
1.053999999999999915e+01,7.205502289285067863e-02
1.056000000000000050e+01,-5.253989100677526614e-02
1.058000000000000007e+01,-7.261372069222068494e-03
1.059999999999999964e+01,-1.428120915710980564e-02
1.061999999999999922e+01,1.182448741403049376e-02
1.064000000000000057e+01,-8.151513492950561435e-02
1.066000000000000014e+01,1.703165176484429943e-01
1.067999999999999972e+01,6.524355887699896661e-02
1.069999999999999929e+01,-7.684409618793898444e-02
1.072000000000000064e+01,1.087851768367649741e-01
1.074000000000000021e+01,-2.288126988818874139e-03
1.075999999999999979e+01,1.177645145556466127e-01
1.077999999999999936e+01,1.131479837113850556e-01
1.080000000000000071e+01,1.301660516282511781e-01
1.082000000000000028e+01,-3.518130330803084793e-02
1.083999999999999986e+01,1.899116848367465860e-01
1.085999999999999943e+01,1.998281264757195974e-01
1.088000000000000078e+01,1.886518140553937115e-02
1.090000000000000036e+01,1.238611409545984851e-02
1.091999999999999993e+01,-7.159181470086058152e-02
1.093999999999999950e+01,-6.426341726624511252e-02
1.096000000000000085e+01,-5.687909942919299605e-02
1.098000000000000043e+01,1.196802600086864649e-01
1.100000000000000000e+01,-3.076491926344267561e-02
1.101999999999999957e+01,1.346570900810968030e-01
1.103999999999999915e+01,-7.684972477244512989e-02
1.106000000000000050e+01,-2.893479974248367587e-02
1.108000000000000007e+01,3.602316971039751931e-02
1.109999999999999964e+01,-2.377687546131617216e-02
1.112000000000000099e+01,-8.702185370819636584e-03
1.114000000000000057e+01,-3.537047752517070293e-02
1.116000000000000014e+01,3.219490230623024696e-02
1.117999999999999972e+01,5.887073107626274171e-02
1.119999999999999929e+01,-2.392328256173726839e-02
1.122000000000000064e+01,-8.450492452498152562e-02
1.124000000000000021e+01,-1.106818305856329954e-01
1.125999999999999979e+01,3.468094420814154394e-02
1.127999999999999936e+01,1.880614544786872455e-01
1.130000000000000071e+01,4.784828102476478690e-02
1.132000000000000028e+01,2.863275840930273874e-01
1.133999999999999986e+01,-5.760834686124555876e-02
