# 2Theta,Intensity
1.000000000000000000e+01,1.272322987245247117e-01
1.001999999999999957e+01,7.146111533565167873e-02
1.003999999999999915e+01,1.497826502155481243e-01
1.006000000000000050e+01,9.756519121973276920e-02
1.008000000000000007e+01,-1.307956859917332182e-01
1.009999999999999964e+01,-5.947880931309416745e-03
1.011999999999999922e+01,-8.733710492936339054e-02
1.014000000000000057e+01,-1.571164668126434627e-01
1.016000000000000014e+01,-1.836792671431438373e-01
1.017999999999999972e+01,-3.163098667522636770e-02
1.019999999999999929e+01,2.120952758057992882e-01
1.022000000000000064e+01,-8.879120067950621586e-03
1.024000000000000021e+01,5.871161416612184769e-02
1.025999999999999979e+01,-9.559338922379562176e-03
1.027999999999999936e+01,3.751371034612391298e-02
1.030000000000000071e+01,-1.503021736726242175e-01
1.032000000000000028e+01,4.758308639108544541e-02
1.033999999999999986e+01,-9.597018204836443855e-02
1.035999999999999943e+01,-1.986853886967778621e-02
1.038000000000000078e+01,8.367649960292777855e-02
1.040000000000000036e+01,1.276425254489074734e-01
1.041999999999999993e+01,1.923623131911815151e-02
1.043999999999999950e+01,6.226463861759561069e-03
1.046000000000000085e+01,-2.522201029273353837e-02
1.048000000000000043e+01,5.437048687672176722e-02
1.050000000000000000e+01,1.534822185465968269e-01
1.051999999999999957e+01,1.310006178009618938e-01
1.053999999999999915e+01,-4.568917921027239315e-02
1.056000000000000050e+01,-2.176292949585884387e-02
1.058000000000000007e+01,-5.284789077748847791e-02
1.059999999999999964e+01,-3.412337472225627361e-02
1.061999999999999922e+01,3.602706737340708029e-04
1.064000000000000057e+01,-4.644886956553778701e-02
1.066000000000000014e+01,5.167949585023742798e-02
1.067999999999999972e+01,-4.116281125597675422e-02
1.069999999999999929e+01,4.792476228868236543e-02
1.072000000000000064e+01,-1.077421493213608639e-01
1.074000000000000021e+01,5.214571556002886576e-02
1.075999999999999979e+01,1.498397626587840148e-01
1.077999999999999936e+01,-1.719321602566040857e-02
1.080000000000000071e+01,-3.871913764702073629e-03
1.082000000000000028e+01,-2.447879357401823441e-01
1.083999999999999986e+01,-2.043460962350389376e-01
1.085999999999999943e+01,3.892599762560217808e-02
1.088000000000000078e+01,-8.117211621459888282e-02
1.090000000000000036e+01,7.826098677389788094e-02
1.091999999999999993e+01,-1.078805959584101387e-01
1.093999999999999950e+01,-2.215109867535232022e-02
1.096000000000000085e+01,-1.000465389082235285e-01
1.098000000000000043e+01,-1.935875138145350463e-02
1.100000000000000000e+01,1.609558178729435518e-01
1.101999999999999957e+01,8.639374346953218597e-02
1.103999999999999915e+01,3.761492677295527783e-03
1.106000000000000050e+01,-7.357653510234606065e-02
1.108000000000000007e+01,5.175293936494868713e-02
1.109999999999999964e+01,1.497263605238078055e-01
1.112000000000000099e+01,8.800050604774141416e-02
1.114000000000000057e+01,3.335217178924675813e-02
1.116000000000000014e+01,2.196266604724049151e-02
1.117999999999999972e+01,8.719996663196699638e-02
1.119999999999999929e+01,9.465758324822565184e-02
1.122000000000000064e+01,1.781928717268264906e-01
1.124000000000000021e+01,-6.783669596065558527e-02
1.125999999999999979e+01,1.439093515993332406e-01
1.127999999999999936e+01,1.167547839498605522e-01
