2theta,intensity
1.001999999999999957e+01,2.413118287231792891e+00
1.003999999999999915e+01,7.373663360341344841e-01
1.006000000000000050e+01,1.749199967032315506e+00
1.008000000000000007e+01,1.271853604967171147e+00
1.009999999999999964e+01,1.376649236983137126e+00
1.011999999999999922e+01,1.415142720857830438e+00
1.014000000000000057e+01,1.655682815256506180e+00
1.016000000000000014e+01,1.763465617199714064e+00
1.017999999999999972e+01,1.866747413480352114e+00
1.019999999999999929e+01,1.590416259721726178e+00
1.022000000000000064e+01,1.353328635976116967e+00
1.024000000000000021e+01,1.323696679519695829e+00
1.025999999999999979e+01,1.153128911110870902e+00
1.027999999999999936e+01,1.361232438338629835e+00
1.030000000000000071e+01,1.773036115932731249e+00
1.032000000000000028e+01,1.782597145124432680e+00
1.033999999999999986e+01,1.162328629989444417e+00
1.035999999999999943e+01,9.665332442047783745e-01
1.038000000000000078e+01,1.538373532640868513e+00
1.040000000000000036e+01,1.871144681181526215e+00
1.041999999999999993e+01,1.242878580559647839e+00
1.043999999999999950e+01,1.304643324478128141e+00
1.046000000000000085e+01,1.776727990714541683e+00
1.048000000000000043e+01,1.663579002124192741e+00
1.050000000000000000e+01,1.408086720119435142e+00
1.051999999999999957e+01,1.532484455815821045e+00
1.053999999999999915e+01,1.636433765723914524e+00
1.056000000000000050e+01,9.832803907026267387e-01
1.058000000000000007e+01,8.603768541137752912e-01
1.059999999999999964e+01,1.206433111260640123e+00
1.061999999999999922e+01,1.426465408030902049e+00
1.064000000000000057e+01,1.324379360547424556e+00
1.066000000000000014e+01,1.066093366889088623e+00
1.067999999999999972e+01,9.917594304710701802e-01
1.069999999999999929e+01,1.283031659506101763e+00
1.072000000000000064e+01,1.953028556285312689e+00
1.074000000000000021e+01,2.162315985844177391e+00
1.075999999999999979e+01,1.386048020748810616e+00
1.077999999999999936e+01,1.745096186476511324e+00
1.080000000000000071e+01,1.718050787385829947e+00
1.082000000000000028e+01,9.755907263000245244e-01
1.083999999999999986e+01,1.196040670173854181e+00
1.085999999999999943e+01,1.079350718460887704e+00
1.088000000000000078e+01,1.248386000098185011e+00
1.090000000000000036e+01,1.002807542747395031e+00
1.091999999999999993e+01,8.875937861374911808e-01
1.093999999999999950e+01,9.974379300610505261e-01
1.096000000000000085e+01,1.207381739622920724e+00
1.098000000000000043e+01,1.168440415975141367e+00
1.100000000000000000e+01,9.678541337048037763e-01
1.101999999999999957e+01,1.548825789986868706e+00
1.103999999999999915e+01,1.432986834714450985e+00
1.106000000000000050e+01,1.217841712270381960e+00
1.108000000000000007e+01,1.207174204977051968e+00
1.109999999999999964e+01,1.197068602057933306e+00
1.111999999999999922e+01,1.740531036134320697e+00
1.114000000000000057e+01,1.293386418632202384e+00
1.116000000000000014e+01,1.421088333779203516e+00
1.117999999999999972e+01,1.610240464678714289e+00
1.119999999999999929e+01,8.869076950044271213e-01
1.122000000000000064e+01,1.053754527662819740e+00
1.124000000000000021e+01,1.631779550365981324e+00
1.125999999999999979e+01,9.744265330300376782e-01
1.127999999999999936e+01,7.660114678428797674e-01
1.130000000000000071e+01,1.289287291234251898e+00
1.132000000000000028e+01,9.974619107526658812e-01
1.133999999999999986e+01,8.385382613472093238e-01
1.135999999999999943e+01,1.316856406969861393e+00
1.138000000000000078e+01,1.444250508224399931e+00
1.140000000000000036e+01,1.184417003333447571e+00
1.141999999999999993e+01,1.331314070466989907e+00
1.143999999999999950e+01,1.321564884255024941e+00
1.146000000000000085e+01,1.113716843392556610e+00
1.148000000000000043e+01,1.522870469511966141e+00
1.150000000000000000e+01,1.577951777535404165e+00
1.151999999999999957e+01,1.409209698861605853e+00
1.153999999999999915e+01,1.357424752159059000e+00
1.156000000000000050e+01,5.719902117416807430e-01
1.158000000000000007e+01,9.866613629143455855e-01
1.159999999999999964e+01,1.483115171763684348e+00
1.161999999999999922e+01,1.690773287970240180e+00
1.164000000000000057e+01,1.645059429352428992e+00
1.166000000000000014e+01,8.879849408460812610e-01
1.167999999999999972e+01,8.693628177759182840e-01
1.169999999999999929e+01,1.234966463970132544e+00
