# 2Theta,Intensity
1.000000000000000000e+01,2.310503897153645403e-01
1.001999999999999957e+01,3.319887027004317925e-01
1.003999999999999915e+01,1.573266607964076136e-01
1.006000000000000050e+01,1.437048640616760409e-01
1.008000000000000007e+01,2.024420838505090747e-01
1.009999999999999964e+01,1.894385270053268733e-01
1.011999999999999922e+01,1.993377887200148968e-01
1.014000000000000057e+01,1.665254391940734491e-01
1.016000000000000014e+01,3.919277573509536428e-01
1.017999999999999972e+01,3.605735660232318729e-01
1.019999999999999929e+01,1.269423432859467238e-01
1.022000000000000064e+01,7.974016145069648398e-02
1.024000000000000021e+01,5.368651982879607543e-01
1.025999999999999979e+01,4.684717791891357952e-01
1.027999999999999936e+01,3.180230103661487173e-01
1.030000000000000071e+01,5.304695744267894364e-01
1.032000000000000028e+01,2.659267964749005286e-01
1.033999999999999986e+01,3.557561247510038771e-01
1.035999999999999943e+01,2.230562909392496407e-01
1.038000000000000078e+01,2.330002470717749408e-01
1.040000000000000036e+01,2.179959978319703784e-01
1.041999999999999993e+01,1.931607047237357266e-01
1.043999999999999950e+01,8.092879384386339470e-02
1.046000000000000085e+01,2.359837288308185843e-01
1.048000000000000043e+01,1.900857481089820722e-01
1.050000000000000000e+01,2.060245874389795007e-01
1.051999999999999957e+01,3.933570071671017021e-01
1.053999999999999915e+01,3.757879642815402654e-01
1.056000000000000050e+01,2.961781562915525856e-01
1.058000000000000007e+01,2.994229934287179207e-01
1.059999999999999964e+01,2.070363908533033870e-01
1.061999999999999922e+01,2.813744568120745138e-01
1.064000000000000057e+01,-3.089409944152208057e-02
1.066000000000000014e+01,1.175490585992752107e-01
1.067999999999999972e+01,2.525995199744860975e-01
1.069999999999999929e+01,3.009235767648147375e-01
1.072000000000000064e+01,2.456820879796021428e-01
1.074000000000000021e+01,2.407574002691580950e-01
1.075999999999999979e+01,2.952317958504296347e-01
1.077999999999999936e+01,3.249779826069041921e-01
1.080000000000000071e+01,7.745229902432003433e-02
1.082000000000000028e+01,1.628685913843562483e-01
1.083999999999999986e+01,2.587711958020425529e-01
1.085999999999999943e+01,3.362833041086485397e-01
1.088000000000000078e+01,1.354381286245159854e-01
1.090000000000000036e+01,2.785311192928408008e-01
1.091999999999999993e+01,3.234567330496106452e-01
1.093999999999999950e+01,3.588657063132851821e-01
1.096000000000000085e+01,1.887860489828214194e-01
1.098000000000000043e+01,4.481768763116136811e-01
1.100000000000000000e+01,2.679129316080642864e-01
1.101999999999999957e+01,1.605273704574183558e-01
1.103999999999999915e+01,2.507849316536809869e-01
1.106000000000000050e+01,2.426595022224383447e-01
1.108000000000000007e+01,1.992871016776566473e-01
1.109999999999999964e+01,2.042003392605693246e-01
1.112000000000000099e+01,4.603000093597277992e-02
1.114000000000000057e+01,1.987049229213420087e-01
1.116000000000000014e+01,1.603640325781259257e-01
1.117999999999999972e+01,3.239441643877648547e-01
1.119999999999999929e+01,2.390275826650106183e-01
1.122000000000000064e+01,2.040781161753052464e-01
1.124000000000000021e+01,5.539314969957020995e-01
1.125999999999999979e+01,1.076642149475477428e-01
1.127999999999999936e+01,3.391616904637377861e-01
1.130000000000000071e+01,1.431625295464891978e-01
1.132000000000000028e+01,5.340395856066557784e-02
1.133999999999999986e+01,3.033500208714152713e-01
1.135999999999999943e+01,2.661958398994225261e-01
1.138000000000000078e+01,3.442318402687665757e-01
1.140000000000000036e+01,9.620424115630363260e-02
1.141999999999999993e+01,2.966403420205337982e-01
1.143999999999999950e+01,3.455943018036064518e-01
1.146000000000000085e+01,2.113154069683471636e-01
1.148000000000000043e+01,3.965140574292423392e-01
1.150000000000000000e+01,3.326911936376005241e-01
1.151999999999999957e+01,3.557369585951142832e-01
1.153999999999999915e+01,3.409161124817672861e-01
1.156000000000000050e+01,1.058542372762052708e-01
