# 2Theta,Intensity
1.000000000000000000e+01,2.087528964112989605e-01
1.001999999999999957e+01,3.809786390331449946e-01
1.003999999999999915e+01,3.010013674698712727e-01
1.006000000000000050e+01,1.494386933339671153e-01
1.008000000000000007e+01,2.277432842649380063e-01
1.009999999999999964e+01,-1.304417245251465567e-02
1.011999999999999922e+01,2.900472796747055604e-01
1.014000000000000057e+01,2.000160414958391253e-01
1.016000000000000014e+01,1.336796629139711257e-01
1.017999999999999972e+01,3.432085303783162789e-01
1.019999999999999929e+01,3.614518828348929902e-01
1.022000000000000064e+01,1.769055979996116412e-01
1.024000000000000021e+01,2.847957013560109552e-01
1.025999999999999979e+01,1.410484338521652836e-01
1.027999999999999936e+01,2.736018232568657726e-01
1.030000000000000071e+01,2.529381663639406197e-01
1.032000000000000028e+01,1.111645763015519928e-01
1.033999999999999986e+01,1.006018823341401081e-01
1.035999999999999943e+01,1.821008973278467336e-01
1.038000000000000078e+01,2.892404497731869695e-01
1.040000000000000036e+01,-1.529080471437164190e-01
1.041999999999999993e+01,1.322808203786806081e-01
1.043999999999999950e+01,3.443767746859698886e-01
1.046000000000000085e+01,3.054523161971470779e-01
1.048000000000000043e+01,3.815359748263009720e-01
1.050000000000000000e+01,5.387338751856338703e-01
1.051999999999999957e+01,5.873404282002208099e-01
1.053999999999999915e+01,1.573727440252195464e+00
1.056000000000000050e+01,4.480736975305659620e+00
1.058000000000000007e+01,7.962308792287155157e+00
1.059999999999999964e+01,8.635947567515698253e+00
1.061999999999999922e+01,5.193753041897262612e+00
1.064000000000000057e+01,2.101956305264620628e+00
1.066000000000000014e+01,7.821505762962419617e-01
1.067999999999999972e+01,2.605048473732088921e-01
1.069999999999999929e+01,3.906965128085747030e-01
1.072000000000000064e+01,2.673564475247121597e-01
1.074000000000000021e+01,-5.536561501022134457e-02
1.075999999999999979e+01,4.119677540636386692e-01
1.077999999999999936e+01,2.750210644347707012e-01
1.080000000000000071e+01,2.284462440780864745e-01
1.082000000000000028e+01,1.667399273269583038e-01
1.083999999999999986e+01,3.632759859926142365e-01
1.085999999999999943e+01,1.943088109535379415e-01
1.088000000000000078e+01,2.135575380905703480e-01
1.090000000000000036e+01,3.484256678268750074e-01
1.091999999999999993e+01,8.398340107546829747e-02
1.093999999999999950e+01,1.602399702427106942e-01
1.096000000000000085e+01,4.770522201327441758e-01
1.098000000000000043e+01,3.890865614373494319e-01
1.100000000000000000e+01,2.621490023484175924e-01
1.101999999999999957e+01,1.532023412273234020e-01
1.103999999999999915e+01,9.713247008842770813e-02
1.106000000000000050e+01,9.987693800722532989e-02
1.108000000000000007e+01,3.131446200387570933e-01
1.109999999999999964e+01,3.417776934006034328e-01
1.112000000000000099e+01,2.145820771211563449e-01
1.114000000000000057e+01,3.183255733790344988e-01
1.116000000000000014e+01,3.028746813336007926e-01
1.117999999999999972e+01,2.592262112105766514e-01
1.119999999999999929e+01,4.155389878262101822e-01
1.122000000000000064e+01,3.241126217715126212e-01
1.124000000000000021e+01,2.647254340461526745e-01
1.125999999999999979e+01,7.835082189657341378e-02
1.127999999999999936e+01,2.826898583355308414e-01
1.130000000000000071e+01,3.331200733134921377e-01
1.132000000000000028e+01,2.759125952623602274e-01
1.133999999999999986e+01,9.700481307441025103e-02
1.135999999999999943e+01,2.317170183617205947e-01
1.138000000000000078e+01,2.060785643419620894e-01
1.140000000000000036e+01,1.699561897795961729e-01
1.141999999999999993e+01,2.351283674944730229e-01
1.143999999999999950e+01,2.949881237955638835e-01
1.146000000000000085e+01,3.878286002420062162e-01
1.148000000000000043e+01,2.327250646069812523e-01
1.150000000000000000e+01,1.782042917067033494e-01
1.151999999999999957e+01,4.719506662586999135e-01
1.153999999999999915e+01,8.141912364839933025e-02
1.156000000000000050e+01,2.461078024111315043e-01
1.158000000000000007e+01,2.141934934929924927e-01
1.159999999999999964e+01,2.249719233105101912e-01
1.162000000000000099e+01,7.581946821192320218e-02
1.164000000000000057e+01,2.516866280782620313e-01
1.166000000000000014e+01,3.238438477802519366e-01
1.167999999999999972e+01,-2.604940141842810534e-03
1.169999999999999929e+01,1.363923422486742476e-01
1.172000000000000064e+01,2.585690958908339887e-01
1.174000000000000021e+01,3.949111154179953398e-01
1.175999999999999979e+01,2.789233919900794278e-01
1.177999999999999936e+01,8.193877440877715690e-02
1.180000000000000071e+01,3.864415007728812523e-01
1.182000000000000028e+01,2.012627540270578164e-01
1.183999999999999986e+01,1.951082394989645530e-01
1.185999999999999943e+01,3.299783651323335287e-01
1.188000000000000078e+01,3.085817104989447279e-01
1.190000000000000036e+01,3.148435434503068509e-01
1.191999999999999993e+01,1.928359459283566502e-01
1.193999999999999950e+01,1.671343992676818935e-01
1.196000000000000085e+01,3.574758955181694953e-01
