# 2Theta,Intensity
1.000000000000000000e+01,1.789008730910767730e-01
1.001999999999999957e+01,8.993613717706311350e-02
1.003999999999999915e+01,1.259179507583756963e-01
1.006000000000000050e+01,3.759105557754475191e-01
1.008000000000000007e+01,2.113209592796949088e-01
1.009999999999999964e+01,1.063594694826165976e-01
1.011999999999999922e+01,2.092425420043673157e-01
1.014000000000000057e+01,1.429186954530055342e-02
1.016000000000000014e+01,4.706143325990403553e-02
1.017999999999999972e+01,1.385231728234586346e-01
1.019999999999999929e+01,-3.400522458543716459e-02
1.022000000000000064e+01,2.585099607925961940e-01
1.024000000000000021e+01,1.781603321703030263e-01
1.025999999999999979e+01,2.441221337590597784e-01
1.027999999999999936e+01,-2.154190389123024352e-02
1.030000000000000071e+01,1.325173105126522533e-01
1.032000000000000028e+01,1.871190769620520444e-01
1.033999999999999986e+01,1.755166457564234506e-01
1.035999999999999943e+01,3.091466247757966856e-01
1.038000000000000078e+01,1.053233928868560765e-01
1.040000000000000036e+01,9.622496467219346372e-02
1.041999999999999993e+01,1.944347848421599245e-01
1.043999999999999950e+01,2.216315004003722999e-01
1.046000000000000085e+01,2.226570580541827604e-01
1.048000000000000043e+01,1.464249362834613155e-01
1.050000000000000000e+01,2.995740317591056301e-01
1.051999999999999957e+01,4.253391935301957224e-04
1.053999999999999915e+01,2.086281083947835735e-02
1.056000000000000050e+01,1.691333395321744371e-01
1.058000000000000007e+01,8.036840103559634782e-03
1.059999999999999964e+01,3.970398481127253298e-02
1.061999999999999922e+01,2.897189571807357589e-01
1.064000000000000057e+01,1.556918122249972836e-01
1.066000000000000014e+01,1.293490118174192016e-01
1.067999999999999972e+01,1.808187693522873840e-01
1.069999999999999929e+01,2.861413801319389050e-01
1.072000000000000064e+01,8.485744151064721075e-02
1.074000000000000021e+01,1.766528731816859044e-01
1.075999999999999979e+01,1.792274381294907057e-02
1.077999999999999936e+01,1.834815858322484672e-01
1.080000000000000071e+01,3.887564139530864105e-01
1.082000000000000028e+01,3.038914278246908074e-01
1.083999999999999986e+01,7.001453390390527387e-02
1.085999999999999943e+01,3.639342073201072836e-01
1.088000000000000078e+01,3.878442771390115673e-02
1.090000000000000036e+01,1.674929079045889002e-01
1.091999999999999993e+01,1.187678100163980094e-01
1.093999999999999950e+01,1.367234129450891900e-01
1.096000000000000085e+01,2.136394721114467932e-01
1.098000000000000043e+01,1.171015107155015667e-01
1.100000000000000000e+01,6.285180051849270644e-02
1.101999999999999957e+01,2.571185506018665579e-01
1.103999999999999915e+01,1.105940563373611352e-01
1.106000000000000050e+01,2.772223059116579735e-01
1.108000000000000007e+01,1.022686827638421003e-01
1.109999999999999964e+01,2.315190839286403873e-02
1.112000000000000099e+01,2.149922069531322311e-01
1.114000000000000057e+01,7.169895422348356029e-02
1.116000000000000014e+01,1.502172486163882714e-01
1.117999999999999972e+01,2.329859530838884751e-01
1.119999999999999929e+01,1.215408027861736157e-01
1.122000000000000064e+01,4.386864262697250105e-03
1.124000000000000021e+01,-7.437642815142114783e-02
1.125999999999999979e+01,7.119086123323019322e-02
1.127999999999999936e+01,1.535774408486395293e-01
1.130000000000000071e+01,4.360326630170561768e-01
1.132000000000000028e+01,1.354574459129036235e-01
1.133999999999999986e+01,1.184705324425378153e-01
1.135999999999999943e+01,2.171835829767739257e-01
1.138000000000000078e+01,-2.947319058082762538e-02
1.140000000000000036e+01,-2.030638462566531910e-01
1.141999999999999993e+01,1.266318212373706564e-01
1.143999999999999950e+01,3.240170204500946727e-01
1.146000000000000085e+01,8.078433014903682596e-02
1.148000000000000043e+01,1.748542959649233008e-01
1.150000000000000000e+01,5.182633673235063909e-02
1.151999999999999957e+01,2.039546635167448774e-01
1.153999999999999915e+01,-6.827052251205409372e-02
1.156000000000000050e+01,1.582480798410299538e-01
1.158000000000000007e+01,1.053377616315485238e-01
1.159999999999999964e+01,1.202139568048303103e-01
1.162000000000000099e+01,-6.390643575846977065e-02
1.164000000000000057e+01,3.043646957470315106e-01
1.166000000000000014e+01,8.228685321017181753e-02
1.167999999999999972e+01,4.672360870476423116e-03
1.169999999999999929e+01,1.675291231498391431e-01
1.172000000000000064e+01,1.898093947695558836e-01
1.174000000000000021e+01,2.030308908044890226e-01
1.175999999999999979e+01,1.514982483991478279e-01
1.177999999999999936e+01,-5.547349888502092763e-02
1.180000000000000071e+01,2.076457821832050077e-01
1.182000000000000028e+01,2.545497930637475870e-01
1.183999999999999986e+01,1.536079009083740898e-01
1.185999999999999943e+01,1.436428767150474961e-01
1.188000000000000078e+01,1.173816140909305500e-01
1.190000000000000036e+01,2.625670262882733863e-01
1.191999999999999993e+01,3.052214443551749465e-02
1.193999999999999950e+01,1.552832670713784335e-01
1.196000000000000085e+01,6.458611323055854503e-02
1.198000000000000043e+01,-7.985891975510411855e-02
1.200000000000000000e+01,1.564108902262385803e-01
1.201999999999999957e+01,1.216174509906205875e-02
1.203999999999999915e+01,3.590776679575820585e-01
1.206000000000000050e+01,1.694588328790169185e-01
1.208000000000000007e+01,1.242500538758278122e-01
