# 2Theta,Intensity
1.000000000000000000e+01,5.370734164136674593e-01
1.001999999999999957e+01,3.236843363845406385e-01
1.003999999999999915e+01,3.006505032275067490e-01
1.006000000000000050e+01,1.497949646715269478e-01
1.008000000000000007e+01,1.571007256691732690e-01
1.009999999999999964e+01,3.186232519206696479e-01
1.011999999999999922e+01,1.830851818702485811e-01
1.014000000000000057e+01,2.916096731667774944e-01
1.016000000000000014e+01,-2.630356214172386783e-02
1.017999999999999972e+01,2.188662560140142710e-01
1.019999999999999929e+01,2.116919811960418230e-01
1.022000000000000064e+01,3.314601490348621504e-01
1.024000000000000021e+01,2.459241634999755066e-01
1.025999999999999979e+01,2.427505538685953423e-01
1.027999999999999936e+01,3.343414492545119243e-01
1.030000000000000071e+01,1.956010686663176568e-01
1.032000000000000028e+01,2.063616283304552934e-01
1.033999999999999986e+01,2.072431878550407003e-01
1.035999999999999943e+01,4.149389710534984732e-01
1.038000000000000078e+01,2.586248759191450142e-01
1.040000000000000036e+01,3.671031634845042801e-01
1.041999999999999993e+01,3.086474532580498198e-01
1.043999999999999950e+01,1.590245607768247527e-01
1.046000000000000085e+01,1.944313021921340590e-01
1.048000000000000043e+01,6.270178320872347999e-02
1.050000000000000000e+01,2.551918165791914328e-01
1.051999999999999957e+01,1.350970366143442736e-01
1.053999999999999915e+01,3.870720448663950153e-01
1.056000000000000050e+01,3.993630537393112467e-01
1.058000000000000007e+01,2.002743250013803433e-01
1.059999999999999964e+01,3.051733889871811045e-01
1.061999999999999922e+01,1.451182069930394003e-01
1.064000000000000057e+01,3.251767715771742284e-01
1.066000000000000014e+01,2.968795420095404203e-01
1.067999999999999972e+01,4.717545772359744705e-01
1.069999999999999929e+01,5.788620526341450301e-01
1.072000000000000064e+01,1.612689811969185150e-01
1.074000000000000021e+01,1.855442315793136565e-01
1.075999999999999979e+01,4.164788847046201337e-01
1.077999999999999936e+01,2.971119065000971671e-01
1.080000000000000071e+01,2.285295645073264492e-01
1.082000000000000028e+01,9.733858283771834596e-02
1.083999999999999986e+01,2.455962255323231591e-01
1.085999999999999943e+01,2.253404999384706620e-01
1.088000000000000078e+01,6.766713128610318817e-01
1.090000000000000036e+01,2.837512369844966686e-01
1.091999999999999993e+01,1.664300873433367800e-01
1.093999999999999950e+01,2.985808429280282783e-01
1.096000000000000085e+01,4.724458657094908753e-01
1.098000000000000043e+01,2.478509825580493264e-01
1.100000000000000000e+01,3.900983609265105123e-01
1.101999999999999957e+01,1.751260568541966323e-01
1.103999999999999915e+01,8.599278924043705918e-02
1.106000000000000050e+01,1.586492705564722383e-01
1.108000000000000007e+01,4.058705000147679876e-01
1.109999999999999964e+01,3.700658322428553859e-01
1.112000000000000099e+01,1.955157899027542556e-01
1.114000000000000057e+01,2.203112429023395824e-01
1.116000000000000014e+01,1.812460625053722574e-01
1.117999999999999972e+01,4.714688276631401886e-01
1.119999999999999929e+01,2.839827159022761394e-01
1.122000000000000064e+01,1.309030067410737741e-01
1.124000000000000021e+01,4.091200836874969160e-01
1.125999999999999979e+01,4.498742996252437232e-01
1.127999999999999936e+01,3.514737128678588340e-01
1.130000000000000071e+01,2.999558318635463516e-01
1.132000000000000028e+01,5.368591458506460912e-01
1.133999999999999986e+01,3.584057310640270666e-01
1.135999999999999943e+01,2.136524603517332699e-01
1.138000000000000078e+01,4.498621835506950717e-01
1.140000000000000036e+01,3.643876380445170704e-01
1.141999999999999993e+01,3.611966737942033934e-01
1.143999999999999950e+01,8.402226586686128984e-02
1.146000000000000085e+01,3.049864562414414948e-01
1.148000000000000043e+01,4.174572141563908656e-01
1.150000000000000000e+01,1.978140757410908057e-01
1.151999999999999957e+01,2.912235284994821871e-01
1.153999999999999915e+01,3.944703522263566242e-01
1.156000000000000050e+01,1.305736740486536929e-01
1.158000000000000007e+01,4.115704103848311646e-01
1.159999999999999964e+01,3.343519848053300159e-01
1.162000000000000099e+01,2.308962781173408418e-01
1.164000000000000057e+01,2.935067910806611891e-01
1.166000000000000014e+01,1.508118689641136656e-01
1.167999999999999972e+01,4.476448095819153816e-01
1.169999999999999929e+01,2.477836067510033879e-01
1.172000000000000064e+01,3.716645062433220348e-01
1.174000000000000021e+01,3.508476143619566612e-01
1.175999999999999979e+01,4.505935091003531179e-01
1.177999999999999936e+01,4.126529702775479369e-01
1.180000000000000071e+01,3.962786367688163058e-01
1.182000000000000028e+01,3.145126490008704478e-01
1.183999999999999986e+01,1.535785309873676785e-01
1.185999999999999943e+01,4.493642381698339516e-01
1.188000000000000078e+01,3.296209529166228003e-01
1.190000000000000036e+01,4.276954083087266545e-01
1.191999999999999993e+01,1.739711368444857853e-01
1.193999999999999950e+01,1.796073406518219617e-01
1.196000000000000085e+01,4.123290266991313513e-01
1.198000000000000043e+01,1.311544641127044275e-01
1.200000000000000000e+01,3.466462647707428957e-01
1.201999999999999957e+01,3.209209859898895512e-01
1.203999999999999915e+01,1.432830227937627599e-01
1.206000000000000050e+01,6.011735721779759567e-01
1.208000000000000007e+01,2.836859481418981810e-01
1.209999999999999964e+01,3.502353877482109468e-01
1.212000000000000099e+01,5.041883236361005549e-01
1.214000000000000057e+01,2.746582257763839907e-01
1.216000000000000014e+01,3.122481270738273196e-01
1.217999999999999972e+01,4.542577194538575114e-01
1.219999999999999929e+01,4.036123772063244242e-01
1.222000000000000064e+01,1.940767125590904807e-01
1.224000000000000021e+01,3.290312237475595536e-01
1.225999999999999979e+01,1.048198790594562640e-01
1.228000000000000114e+01,1.978828921597949597e-01
1.230000000000000071e+01,2.238548862142194784e-01
1.232000000000000028e+01,2.784882206006225602e-01
1.233999999999999986e+01,3.558873342344782698e-01
1.235999999999999943e+01,1.552788187368229211e-01
1.237999999999999901e+01,5.911727333283112173e-02
1.240000000000000036e+01,4.206789828591230851e-01
1.241999999999999993e+01,1.759396517129570570e-01
1.243999999999999950e+01,3.944665317087067691e-01
1.246000000000000085e+01,3.322479311446127070e-01
1.248000000000000043e+01,3.971785435863728342e-01
1.250000000000000000e+01,1.919519934110620052e-01
1.251999999999999957e+01,3.987358483961246924e-01
1.253999999999999915e+01,3.742892834120796763e-01
1.256000000000000050e+01,1.609808898577316238e-01
1.258000000000000007e+01,5.411071489248601152e-01
1.259999999999999964e+01,2.830043405994865924e-01
1.262000000000000099e+01,4.119882062784247512e-01
1.264000000000000057e+01,4.530754595403523877e-01
1.266000000000000014e+01,1.104635982884962092e-01
1.267999999999999972e+01,2.707016614964709578e-01
1.269999999999999929e+01,3.582444804655315895e-01
1.272000000000000064e+01,3.993399585698508836e-01
1.274000000000000021e+01,3.003643315263430646e-01
1.275999999999999979e+01,2.693865525627994195e-01
1.278000000000000114e+01,4.277721125932075763e-01
1.280000000000000071e+01,2.450217384301524304e-01
1.282000000000000028e+01,2.558191639577796495e-01
1.283999999999999986e+01,1.291327999285174499e-01
1.285999999999999943e+01,2.289417825489687697e-01
1.287999999999999901e+01,4.088183050892432169e-01
1.290000000000000036e+01,2.977862610514575570e-01
1.291999999999999993e+01,2.658625003168321732e-01
1.293999999999999950e+01,1.935367416673484942e-01
1.296000000000000085e+01,3.051771461379857997e-01
1.298000000000000043e+01,3.380434309730198650e-01
1.300000000000000000e+01,2.882728802052236250e-01
1.301999999999999957e+01,3.988943789793179540e-01
1.303999999999999915e+01,3.520100754021519562e-01
1.306000000000000050e+01,2.087536309098981246e-01
1.308000000000000007e+01,1.273917630456170569e-01
1.309999999999999964e+01,3.059349026077066713e-01
1.312000000000000099e+01,1.829169608342924580e-01
1.314000000000000057e+01,3.080451032005296907e-01
1.316000000000000014e+01,4.661874030988250039e-01
1.317999999999999972e+01,2.843367101073465686e-01
