# 2Theta,Intensity
1.000000000000000000e+01,7.901006255965041525e-02
1.001999999999999957e+01,1.994402720629395165e-01
1.003999999999999915e+01,2.804957140769997470e-01
1.006000000000000050e+01,4.042517125591471028e-01
1.008000000000000007e+01,1.056166245345353943e-01
1.009999999999999964e+01,4.253321177836024564e-02
1.011999999999999922e+01,3.169205722061965158e-01
1.014000000000000057e+01,-3.606292766523995497e-02
1.016000000000000014e+01,4.027399132305152230e-01
1.017999999999999972e+01,1.795875296227708584e-01
1.019999999999999929e+01,3.384820692937485359e-02
1.022000000000000064e+01,1.101354590834012909e-01
1.024000000000000021e+01,5.964697956673410406e-01
1.025999999999999979e+01,2.535459135525692798e-01
1.027999999999999936e+01,9.249704961869610609e-02
1.030000000000000071e+01,1.474117560070050126e-01
1.032000000000000028e+01,1.838792987101596221e-01
1.033999999999999986e+01,2.678218686864247688e-01
1.035999999999999943e+01,1.350022080851345230e-01
1.038000000000000078e+01,2.267205568804278870e-01
1.040000000000000036e+01,2.227722265681373603e-01
1.041999999999999993e+01,2.295219555064131611e-01
1.043999999999999950e+01,1.716000424391156964e-01
1.046000000000000085e+01,2.422669510456436914e-01
1.048000000000000043e+01,6.242926558600531139e-02
1.050000000000000000e+01,1.418355818661474199e-01
1.051999999999999957e+01,1.893202224151654678e-01
1.053999999999999915e+01,5.126048088043690942e-01
1.056000000000000050e+01,3.245456920326340589e-01
1.058000000000000007e+01,1.083904468871702692e-01
1.059999999999999964e+01,1.452721603831222119e-01
1.061999999999999922e+01,2.808813235536773978e-01
1.064000000000000057e+01,3.235119259782360812e-01
1.066000000000000014e+01,3.492339347716080233e-01
1.067999999999999972e+01,2.664654644011006934e-01
1.069999999999999929e+01,2.889534085398629548e-01
1.072000000000000064e+01,1.985683899968340160e-01
1.074000000000000021e+01,3.968297670367095797e-01
1.075999999999999979e+01,3.091837857146474411e-01
1.077999999999999936e+01,2.565356966587071241e-01
1.080000000000000071e+01,4.401605361442448294e-01
1.082000000000000028e+01,1.736550955802514118e-01
1.083999999999999986e+01,2.908296647929853318e-01
1.085999999999999943e+01,2.694137348830282219e-01
1.088000000000000078e+01,1.559394945263885002e-01
1.090000000000000036e+01,1.665092484475107770e-01
1.091999999999999993e+01,3.604426879376643189e-01
1.093999999999999950e+01,1.509393953016249790e-01
1.096000000000000085e+01,5.503763741114241492e-01
1.098000000000000043e+01,4.238131080667547068e-01
1.100000000000000000e+01,1.453691524689394721e-01
1.101999999999999957e+01,2.406229521787952574e-01
1.103999999999999915e+01,3.913317119814510026e-01
1.106000000000000050e+01,1.648618623592328913e-01
1.108000000000000007e+01,9.067303563763647392e-03
1.109999999999999964e+01,3.359555457390125399e-01
1.112000000000000099e+01,3.716572541861244972e-01
1.114000000000000057e+01,3.122085890546785758e-01
1.116000000000000014e+01,2.640339349277532888e-01
1.117999999999999972e+01,2.744484273549937514e-01
1.119999999999999929e+01,1.067990442024709108e-01
1.122000000000000064e+01,2.607966334059181324e-01
1.124000000000000021e+01,4.075726083475378347e-01
1.125999999999999979e+01,4.146454010474560636e-01
1.127999999999999936e+01,2.989842023406623084e-01
1.130000000000000071e+01,3.140006296555258869e-01
1.132000000000000028e+01,4.333685678734848223e-01
1.133999999999999986e+01,2.739522283357699317e-01
1.135999999999999943e+01,2.292661319337582493e-01
1.138000000000000078e+01,3.507899034022614049e-01
1.140000000000000036e+01,1.425856873338791631e-01
1.141999999999999993e+01,4.827709973304334379e-01
1.143999999999999950e+01,1.702603642820514074e-01
1.146000000000000085e+01,7.688585677013706765e-02
1.148000000000000043e+01,3.031422842098532300e-01
1.150000000000000000e+01,2.200542735939179650e-01
1.151999999999999957e+01,2.938172216210099830e-01
1.153999999999999915e+01,1.077340604309864058e-01
1.156000000000000050e+01,3.005689053328055027e-01
1.158000000000000007e+01,8.131644876078794604e-02
1.159999999999999964e+01,2.276105848677432708e-01
1.162000000000000099e+01,2.350885875576554096e-01
1.164000000000000057e+01,1.537507073577379091e-01
1.166000000000000014e+01,2.138694418547464615e-01
1.167999999999999972e+01,1.062973947882742132e-01
1.169999999999999929e+01,4.083467153252757775e-01
1.172000000000000064e+01,2.516809743930633614e-01
1.174000000000000021e+01,3.354288050251909015e-01
1.175999999999999979e+01,-1.137557956136340219e-02
1.177999999999999936e+01,2.005449653568791013e-01
1.180000000000000071e+01,3.064573840588453169e-01
1.182000000000000028e+01,2.325794142386067853e-01
1.183999999999999986e+01,1.279942642803963138e-01
1.185999999999999943e+01,4.465598982208772161e-01
1.188000000000000078e+01,2.073277510219974085e-01
1.190000000000000036e+01,2.565688774783326798e-01
1.191999999999999993e+01,9.048229102678818220e-03
1.193999999999999950e+01,1.584914217332553388e-01
1.196000000000000085e+01,2.016109912978945040e-01
1.198000000000000043e+01,1.487553492677685107e-01
1.200000000000000000e+01,3.293262151500667700e-01
1.201999999999999957e+01,9.752371426307568369e-02
1.203999999999999915e+01,1.719550366308253420e-01
1.206000000000000050e+01,3.147981558067410313e-01
1.208000000000000007e+01,2.520904632697172354e-01
1.209999999999999964e+01,2.847521315341611930e-02
1.212000000000000099e+01,1.175730526674926973e-01
1.214000000000000057e+01,1.533023687397848389e-01
1.216000000000000014e+01,1.292148432075378717e-01
1.217999999999999972e+01,2.392637790976320511e-01
1.219999999999999929e+01,2.411703606931664967e-01
1.222000000000000064e+01,2.222873598477964341e-01
1.224000000000000021e+01,2.064858896486616302e-01
1.225999999999999979e+01,2.064207993237444361e-01
1.228000000000000114e+01,3.520238832448271959e-01
1.230000000000000071e+01,2.648456948943616607e-01
1.232000000000000028e+01,3.324057826338657762e-01
1.233999999999999986e+01,1.618031356080038008e-01
1.235999999999999943e+01,2.084786918974744219e-01
1.237999999999999901e+01,2.437815866794199593e-01
1.240000000000000036e+01,2.796973536139490402e-01
1.241999999999999993e+01,2.463405308181555453e-01
1.243999999999999950e+01,3.185288033723504553e-01
1.246000000000000085e+01,5.979799995429411208e-01
1.248000000000000043e+01,9.018499405714945627e-02
1.250000000000000000e+01,2.109120848426652983e-01
1.251999999999999957e+01,3.416355587520822357e-01
1.253999999999999915e+01,2.328219374436942823e-01
1.256000000000000050e+01,3.495223741785490890e-01
1.258000000000000007e+01,3.948738543111668942e-01
1.259999999999999964e+01,3.361796292530158659e-01
1.262000000000000099e+01,1.842346717012245116e-01
1.264000000000000057e+01,3.429976851714592323e-01
1.266000000000000014e+01,4.299141287365150221e-01
1.267999999999999972e+01,1.397515715205560061e-01
1.269999999999999929e+01,1.648737721968535352e-01
1.272000000000000064e+01,4.145168396909904573e-01
1.274000000000000021e+01,4.621001564954550500e-01
1.275999999999999979e+01,3.744785047982778226e-01
1.278000000000000114e+01,4.877647788912953808e-01
1.280000000000000071e+01,3.392542229817385180e-01
1.282000000000000028e+01,2.935662902099518967e-01
1.283999999999999986e+01,9.294544352156705602e-02
1.285999999999999943e+01,2.639737619934158230e-01
1.287999999999999901e+01,3.249517035272190268e-01
1.290000000000000036e+01,1.686992321678409401e-01
1.291999999999999993e+01,3.467495604898397366e-01
1.293999999999999950e+01,3.493637185729797090e-01
1.296000000000000085e+01,4.883083084076436653e-01
1.298000000000000043e+01,3.085214430013061837e-01
1.300000000000000000e+01,4.227657477060076663e-01
1.301999999999999957e+01,4.055285545185819962e-01
1.303999999999999915e+01,2.331342271774706210e-01
1.306000000000000050e+01,1.385840241634958836e-01
1.308000000000000007e+01,3.500421079847954031e-01
1.309999999999999964e+01,2.880834912715072860e-01
1.312000000000000099e+01,3.673648898665091700e-01
1.314000000000000057e+01,2.664044373942560662e-01
1.316000000000000014e+01,1.260395446725918467e-01
1.317999999999999972e+01,3.776299044988401521e-01
1.319999999999999929e+01,5.130112628003463682e-01
1.322000000000000064e+01,2.108435233092224859e-01
1.324000000000000021e+01,3.239261238502655349e-01
1.325999999999999979e+01,4.378587727664282059e-01
1.328000000000000114e+01,2.986232367388585995e-01
1.330000000000000071e+01,4.029788517970078754e-01
1.332000000000000028e+01,3.196344340913810367e-01
1.333999999999999986e+01,1.683469124027721087e-01
1.335999999999999943e+01,2.517203151963749996e-01
1.337999999999999901e+01,1.713141201180790885e-01
1.340000000000000036e+01,3.508897723712741668e-01
1.341999999999999993e+01,1.642717015821499038e-01
1.343999999999999950e+01,2.668738802287198286e-01
1.346000000000000085e+01,5.319639611090599685e-01
1.348000000000000043e+01,3.132851644713491868e-01
1.350000000000000000e+01,8.519917335997597915e-03
1.351999999999999957e+01,1.508089943161843860e-01
1.353999999999999915e+01,4.622824338816154399e-01
1.356000000000000050e+01,3.108463160688701432e-01
1.358000000000000007e+01,3.899392869185118737e-01
1.359999999999999964e+01,3.594982671004416375e-01
1.362000000000000099e+01,2.497475328987723286e-01
1.364000000000000057e+01,1.838265844853469444e-01
1.366000000000000014e+01,2.187019760510340582e-01
1.367999999999999972e+01,5.781566280254063495e-02
1.369999999999999929e+01,3.380050521720607826e-01
1.372000000000000064e+01,1.776789027605455984e-01
1.374000000000000021e+01,3.783337970603600220e-01
1.375999999999999979e+01,1.918668729250313232e-01
1.378000000000000114e+01,2.590805913044089137e-01
1.380000000000000071e+01,1.849302053520169575e-01
1.382000000000000028e+01,2.265988824877755436e-01
1.383999999999999986e+01,1.679560801395382497e-01
1.385999999999999943e+01,2.507538007409564340e-01
1.387999999999999901e+01,4.395945727250857860e-01
1.390000000000000036e+01,2.458316462072421549e-01
1.391999999999999993e+01,1.208261387811181420e-01
1.393999999999999950e+01,4.075685172464009742e-01
