# 2Theta,Intensity
1.000000000000000000e+01,8.268143038514529086e-02
1.001999999999999957e+01,3.358290967022801166e-01
1.003999999999999915e+01,2.753220696428456682e-01
1.006000000000000050e+01,2.832821994557261913e-01
1.008000000000000007e+01,9.005202697527231459e-02
1.009999999999999964e+01,2.180996437294748791e-01
1.011999999999999922e+01,1.215184898696144711e-01
1.014000000000000057e+01,2.525680928335609088e-01
1.016000000000000014e+01,2.171834691277305385e-01
1.017999999999999972e+01,1.401567998080793243e-01
1.019999999999999929e+01,3.368441089530682109e-01
1.022000000000000064e+01,2.023104836983777299e-01
1.024000000000000021e+01,4.143205185733194740e-01
1.025999999999999979e+01,4.294073211902444953e-01
1.027999999999999936e+01,2.538687180260073006e-01
1.030000000000000071e+01,2.064092955488740222e-01
1.032000000000000028e+01,2.235735510466325959e-01
1.033999999999999986e+01,2.090450134745591715e-01
1.035999999999999943e+01,2.270842983003406590e-01
1.038000000000000078e+01,2.114633741998508398e-01
1.040000000000000036e+01,3.327661478995139199e-01
1.041999999999999993e+01,2.041437585478652339e-01
1.043999999999999950e+01,3.204381147136873831e-01
1.046000000000000085e+01,4.094171677520343500e-01
1.048000000000000043e+01,8.001067469241077146e-02
1.050000000000000000e+01,3.950616950590689069e-01
1.051999999999999957e+01,2.276937935136517099e-01
1.053999999999999915e+01,2.604247829512901791e-01
1.056000000000000050e+01,5.026465373929029923e-01
1.058000000000000007e+01,3.139994187667207171e-01
1.059999999999999964e+01,2.788604477466202769e-01
1.061999999999999922e+01,2.740281014744898602e-01
1.064000000000000057e+01,4.353921584397061340e-01
1.066000000000000014e+01,-1.453546241536002870e-01
1.067999999999999972e+01,3.494525610910352298e-01
1.069999999999999929e+01,3.206972179500436337e-01
1.072000000000000064e+01,3.299105675074824329e-01
1.074000000000000021e+01,5.136283124396028299e-01
1.075999999999999979e+01,2.940749655667267981e-01
1.077999999999999936e+01,2.613650853064266033e-01
1.080000000000000071e+01,2.580683051501906911e-01
1.082000000000000028e+01,5.120265668325340025e-01
1.083999999999999986e+01,3.034169259531158680e-01
1.085999999999999943e+01,1.784700954186518862e-01
1.088000000000000078e+01,4.351942469720734667e-03
1.090000000000000036e+01,1.430358125845077599e-01
1.091999999999999993e+01,1.118652922404548555e-01
1.093999999999999950e+01,2.707692979524294052e-02
1.096000000000000085e+01,2.216639874044407099e-01
1.098000000000000043e+01,3.537756495279565372e-01
1.100000000000000000e+01,2.773752914520215551e-01
1.101999999999999957e+01,-2.997081963080397427e-02
1.103999999999999915e+01,1.406757957403301784e-01
1.106000000000000050e+01,2.918908298830949488e-01
1.108000000000000007e+01,1.819665334867086037e-01
1.109999999999999964e+01,1.126466206090445954e-01
1.112000000000000099e+01,3.695870699819452376e-01
1.114000000000000057e+01,3.294188656838494822e-01
1.116000000000000014e+01,3.490460720890856683e-01
1.117999999999999972e+01,2.189068730980661126e-01
1.119999999999999929e+01,1.877007110430727599e-01
1.122000000000000064e+01,9.535784006254248435e-02
1.124000000000000021e+01,2.423807580678007112e-01
