# 2Theta,Intensity
1.000000000000000000e+01,-3.689541843815631605e-02
1.001999999999999957e+01,1.414471353015369359e-01
1.003999999999999915e+01,1.088214221489327838e-01
1.006000000000000050e+01,2.008865863315081185e-03
1.008000000000000007e+01,1.072136227715758498e-02
1.009999999999999964e+01,1.654335230971197002e-01
1.011999999999999922e+01,2.974498023613741590e-02
1.014000000000000057e+01,-1.449949322664291218e-01
1.016000000000000014e+01,5.045508845717570912e-02
1.017999999999999972e+01,2.853898647828293292e-02
1.019999999999999929e+01,1.116703310457974607e-01
1.022000000000000064e+01,6.010991336787204625e-02
1.024000000000000021e+01,1.004428461422708467e-02
1.025999999999999979e+01,2.538434944840023966e-01
1.027999999999999936e+01,4.600166567766672543e-02
1.030000000000000071e+01,4.766811594314386558e-02
1.032000000000000028e+01,1.611100480547091388e-02
1.033999999999999986e+01,2.449574480657585110e-02
1.035999999999999943e+01,8.689732380545521495e-02
1.038000000000000078e+01,-3.953821106140596037e-02
1.040000000000000036e+01,1.193608035382794363e-01
1.041999999999999993e+01,-1.383065894571085530e-01
1.043999999999999950e+01,-1.160813462325796935e-01
1.046000000000000085e+01,-6.453551961207854015e-02
1.048000000000000043e+01,1.066270054744759693e-01
1.050000000000000000e+01,8.932705459173842510e-02
1.051999999999999957e+01,8.205357842747920682e-02
1.053999999999999915e+01,3.002807552762884469e-02
1.056000000000000050e+01,8.415605561777451948e-02
1.058000000000000007e+01,1.085407119967600614e-01
1.059999999999999964e+01,5.484964471201695529e-02
1.061999999999999922e+01,-1.908697514508716220e-01
1.064000000000000057e+01,-4.595307554567090030e-02
1.066000000000000014e+01,-7.580920174680523538e-02
1.067999999999999972e+01,1.650181040174073244e-01
1.069999999999999929e+01,6.479257977488829881e-03
1.072000000000000064e+01,-1.244111585364970074e-01
1.074000000000000021e+01,-2.127673468647971744e-01
1.075999999999999979e+01,3.822164809213692699e-02
1.077999999999999936e+01,8.086163517985542337e-02
1.080000000000000071e+01,1.604802599054206552e-02
1.082000000000000028e+01,-1.040936545530805335e-01
1.083999999999999986e+01,-4.769164959170359153e-02
1.085999999999999943e+01,1.906980055607038205e-02
1.088000000000000078e+01,-1.096186268581267678e-02
1.090000000000000036e+01,1.505809927311382024e-01
1.091999999999999993e+01,1.373398092792523784e-01
1.093999999999999950e+01,1.237698874292886692e-01
1.096000000000000085e+01,5.124254026819358154e-02
1.098000000000000043e+01,4.722076195006710830e-03
1.100000000000000000e+01,7.729903124927373081e-02
1.101999999999999957e+01,3.675942498064285746e-02
1.103999999999999915e+01,5.099707983645196396e-02
1.106000000000000050e+01,1.186914258536973521e-01
1.108000000000000007e+01,-5.583577890842463670e-02
1.109999999999999964e+01,1.439159827750986498e-01
1.112000000000000099e+01,-1.017892065530738299e-01
1.114000000000000057e+01,9.525091824771038385e-02
1.116000000000000014e+01,-3.933359756564860921e-02
1.117999999999999972e+01,9.805901725354056186e-02
1.119999999999999929e+01,1.262203698646305883e-01
1.122000000000000064e+01,1.468655579474687223e-01
1.124000000000000021e+01,1.397024376390079980e-01
1.125999999999999979e+01,4.729509858610589368e-02
1.127999999999999936e+01,-9.299386438040224689e-02
1.130000000000000071e+01,4.848028462901141783e-02
1.132000000000000028e+01,-4.823699438518988525e-02
1.133999999999999986e+01,2.990775953508669968e-02
1.135999999999999943e+01,-2.241748265184132644e-02
1.138000000000000078e+01,1.295462201055882778e-01
1.140000000000000036e+01,-2.390368251124730392e-01
1.141999999999999993e+01,-2.219609583729648394e-01
1.143999999999999950e+01,8.856472841006660102e-02
1.146000000000000085e+01,-7.006775733665034089e-02
1.148000000000000043e+01,8.812984457804928784e-02
1.150000000000000000e+01,-1.530287346066823385e-03
1.151999999999999957e+01,7.319024592404699270e-02
1.153999999999999915e+01,9.290797548752603718e-02
1.156000000000000050e+01,1.501444809474664910e-01
1.158000000000000007e+01,1.958446581509238615e-01
1.159999999999999964e+01,1.011572800780822096e-01
1.162000000000000099e+01,9.528641150077629685e-02
1.164000000000000057e+01,1.672736300400185783e-01
1.166000000000000014e+01,1.530757800452864636e-01
1.167999999999999972e+01,9.491218701516243583e-02
1.169999999999999929e+01,1.933716728545365610e-02
1.172000000000000064e+01,-7.913109768422110779e-02
1.174000000000000021e+01,2.125599402859635820e-02
1.175999999999999979e+01,4.642101140092635969e-02
1.177999999999999936e+01,-5.958528130250421301e-02
1.180000000000000071e+01,7.331405178600500228e-02
1.182000000000000028e+01,2.390518062409486069e-02
1.183999999999999986e+01,1.397345038781861171e-01
1.185999999999999943e+01,3.161573894994207639e-03
1.188000000000000078e+01,-8.975381926449282899e-02
1.190000000000000036e+01,1.938188982408204641e-01
1.191999999999999993e+01,-6.654792647170386377e-02
1.193999999999999950e+01,2.756293064919940194e-01
1.196000000000000085e+01,-1.905932893513141713e-02
1.198000000000000043e+01,-7.545456228941187227e-02
1.200000000000000000e+01,1.462736360681169967e-01
1.201999999999999957e+01,1.122243789583562135e-01
1.203999999999999915e+01,1.354021331879394219e-01
1.206000000000000050e+01,2.970288081349859582e-02
1.208000000000000007e+01,2.388991603692490195e-01
1.209999999999999964e+01,9.297534977908111786e-02
1.212000000000000099e+01,-1.286850274100010405e-01
1.214000000000000057e+01,3.583218458531134409e-02
1.216000000000000014e+01,1.888801135272961951e-02
1.217999999999999972e+01,3.598299024336960861e-02
1.219999999999999929e+01,7.073811627120464574e-02
1.222000000000000064e+01,-3.186573665570816699e-02
1.224000000000000021e+01,1.337967492493344623e-01
1.225999999999999979e+01,5.846329390842115031e-02
1.228000000000000114e+01,1.314268549711285483e-01
1.230000000000000071e+01,4.147732015263775468e-02
1.232000000000000028e+01,-2.207606744048108260e-03
1.233999999999999986e+01,1.657686662459831040e-01
1.235999999999999943e+01,7.454814373670339001e-02
1.237999999999999901e+01,1.061268377543165969e-01
1.240000000000000036e+01,1.342010551362986248e-01
1.241999999999999993e+01,-5.289834030652214303e-02
1.243999999999999950e+01,1.035717252867841970e-01
1.246000000000000085e+01,-7.105046984133553400e-02
1.248000000000000043e+01,-1.007706815403294764e-01
1.250000000000000000e+01,1.673054230481188162e-02
1.251999999999999957e+01,-2.864724924417332008e-02
1.253999999999999915e+01,-1.949137906914064078e-01
1.256000000000000050e+01,-3.961408821547345027e-02
1.258000000000000007e+01,1.808289345422418176e-02
1.259999999999999964e+01,2.153122889348227931e-01
1.262000000000000099e+01,-1.162005915817303919e-01
1.264000000000000057e+01,-5.705160555127750110e-02
1.266000000000000014e+01,-9.128245249311990606e-02
1.267999999999999972e+01,-6.456032619846370849e-03
1.269999999999999929e+01,-6.387313400194170876e-02
1.272000000000000064e+01,1.969468570483206560e-01
1.274000000000000021e+01,1.343965008545925377e-01
1.275999999999999979e+01,-1.896241963552240326e-02
1.278000000000000114e+01,-1.325649870073052810e-03
1.280000000000000071e+01,2.324766826639308448e-01
1.282000000000000028e+01,-2.381608527506964487e-02
1.283999999999999986e+01,4.317289844807622491e-03
1.285999999999999943e+01,1.150939265786678350e-01
1.287999999999999901e+01,4.037246049884274379e-02
1.290000000000000036e+01,-5.434952554273682346e-02
1.291999999999999993e+01,7.415231340357940348e-02
1.293999999999999950e+01,1.821810827081201678e-01
1.296000000000000085e+01,-5.401701832822165122e-02
1.298000000000000043e+01,-5.470946102849343073e-02
1.300000000000000000e+01,-6.730444909426723521e-02
1.301999999999999957e+01,-8.408066108962462815e-03
1.303999999999999915e+01,-6.174568226341957400e-02
1.306000000000000050e+01,1.238600447047421005e-01
1.308000000000000007e+01,1.128827791645360956e-01
1.309999999999999964e+01,7.757419956937884609e-02
1.312000000000000099e+01,-1.320611181260736844e-01
1.314000000000000057e+01,5.065456513854980913e-02
1.316000000000000014e+01,6.420048077211954309e-04
1.317999999999999972e+01,-3.602811159741804714e-02
1.319999999999999929e+01,-1.796262314011008374e-02
1.322000000000000064e+01,5.257820202266874632e-02
1.324000000000000021e+01,-2.267546609751713588e-03
1.325999999999999979e+01,1.867393305431587838e-02
1.328000000000000114e+01,9.924472033718564901e-02
1.330000000000000071e+01,5.328938452170560447e-02
1.332000000000000028e+01,1.443763226335909033e-01
1.333999999999999986e+01,1.136211365841031523e-01
1.335999999999999943e+01,-5.726337552433882760e-02
1.337999999999999901e+01,1.260785355028675725e-01
1.340000000000000036e+01,3.290974407816765757e-01
1.341999999999999993e+01,1.099234703492223825e-01
1.343999999999999950e+01,1.698083676010809506e-01
1.346000000000000085e+01,1.485412440541930834e-01
1.348000000000000043e+01,1.364585684877480110e-01
1.350000000000000000e+01,5.504903549175616667e-02
1.351999999999999957e+01,-3.050226163153662781e-02
1.353999999999999915e+01,9.263050017038600148e-02
1.356000000000000050e+01,-4.239435020499739137e-02
1.358000000000000007e+01,5.296441858859018276e-02
1.359999999999999964e+01,4.767805279322719081e-02
1.362000000000000099e+01,1.848444794898464194e-01
1.364000000000000057e+01,1.951256006864213188e-01
1.366000000000000014e+01,6.789603552762435434e-02
1.367999999999999972e+01,9.142991456407697712e-03
1.369999999999999929e+01,5.999797404748580254e-02
1.372000000000000064e+01,1.513417126634503396e-01
1.374000000000000021e+01,-7.675000192695899393e-02
1.375999999999999979e+01,-7.590222484822127524e-02
1.378000000000000114e+01,7.393425837468649287e-02
1.380000000000000071e+01,-6.973486563023682805e-02
1.382000000000000028e+01,4.287970753243338512e-02
1.383999999999999986e+01,-5.632105186811685316e-02
1.385999999999999943e+01,7.207262163436446711e-02
1.387999999999999901e+01,4.025375736579924098e-03
1.390000000000000036e+01,2.636256624097769174e-01
1.391999999999999993e+01,-2.185033476199520902e-02
1.393999999999999950e+01,1.282495503421646477e-01
1.396000000000000085e+01,1.915369601304546879e-02
1.398000000000000043e+01,-4.850203207052322316e-03
1.400000000000000000e+01,-5.379979026045442897e-02
1.401999999999999957e+01,3.301381001496192513e-02
1.403999999999999915e+01,7.765591296260754284e-03
1.406000000000000050e+01,3.691366463233394964e-03
1.408000000000000007e+01,7.316050817863246902e-02
1.409999999999999964e+01,-1.340442760423847524e-01
1.412000000000000099e+01,5.362597797630376528e-02
1.414000000000000057e+01,-7.601295022415366538e-03
1.416000000000000014e+01,-3.484496863386928045e-02
1.417999999999999972e+01,1.356553035267120573e-02
1.419999999999999929e+01,-6.044874273593573571e-02
1.421999999999999886e+01,1.946519194035186695e-01
1.424000000000000021e+01,-1.773815650795554366e-01
1.425999999999999979e+01,1.350192425619760328e-01
1.428000000000000114e+01,1.324919139209080610e-01
1.430000000000000071e+01,2.285753760236834686e-02
1.432000000000000028e+01,8.364405553224983636e-02
1.433999999999999986e+01,8.709698453587168265e-02
1.435999999999999943e+01,1.407550156950240494e-01
1.437999999999999901e+01,1.450763398953723582e-02
1.440000000000000036e+01,6.390918458902426769e-02
1.441999999999999993e+01,-4.279769521389751794e-03
1.444000000000000128e+01,-1.577433485273526392e-01
1.446000000000000085e+01,2.826709539659014170e-01
1.448000000000000043e+01,-6.075732684217902829e-02
1.450000000000000000e+01,3.799330123040768892e-01
1.451999999999999957e+01,1.099303879288175967e-01
1.453999999999999915e+01,-1.025029399110682915e-01
1.456000000000000050e+01,-2.095704831909448729e-01
1.458000000000000007e+01,7.354478750451978741e-02
1.460000000000000142e+01,-3.418113876420292990e-02
1.462000000000000099e+01,9.015510088775853872e-03
1.464000000000000057e+01,6.322510929818427050e-02
1.466000000000000014e+01,-1.154522653874005961e-01
1.467999999999999972e+01,5.800334952446707659e-02
1.469999999999999929e+01,1.480955248294888171e-01
1.471999999999999886e+01,-2.622556175653081509e-02
1.474000000000000021e+01,-8.716744153655349436e-02
1.475999999999999979e+01,3.508054220276553975e-02
1.478000000000000114e+01,-1.035942029977130197e-01
1.480000000000000071e+01,1.696268309929289952e-01
1.482000000000000028e+01,-3.651392206261193374e-02
1.483999999999999986e+01,-3.509857870064718444e-02
1.485999999999999943e+01,-1.264092215989175982e-01
1.487999999999999901e+01,5.017729555346090581e-02
1.490000000000000036e+01,-6.938245174141514926e-02
1.491999999999999993e+01,1.171874456633368589e-01
1.494000000000000128e+01,-8.801552419158664708e-02
1.496000000000000085e+01,1.438346007716484465e-01
1.498000000000000043e+01,-1.500770039345845908e-01
1.500000000000000000e+01,-1.836008149545775292e-01
1.501999999999999957e+01,-3.134886281153093784e-02
1.503999999999999915e+01,4.342293436666157941e-02
1.506000000000000050e+01,-1.127307676705429458e-03
1.508000000000000007e+01,-1.151716991834609571e-01
1.510000000000000142e+01,2.087257128271105544e-01
1.512000000000000099e+01,4.736463849724249775e-02
1.514000000000000057e+01,6.919613862264954729e-02
1.516000000000000014e+01,-8.725378217066376285e-02
1.517999999999999972e+01,-1.172213814372119987e-02
1.519999999999999929e+01,-1.349909887205949510e-01
1.521999999999999886e+01,4.488091797406896198e-03
1.524000000000000021e+01,-1.232905955437781920e-01
1.525999999999999979e+01,1.327066954468813786e-01
1.528000000000000114e+01,-5.514345868475183099e-02
1.530000000000000071e+01,1.626119566169884623e-01
1.532000000000000028e+01,3.699659112637041641e-02
1.533999999999999986e+01,3.241955944833221220e-02
1.535999999999999943e+01,-1.212137032067219650e-01
1.537999999999999901e+01,1.416383043537579878e-01
1.540000000000000036e+01,4.023960793419561338e-02
1.541999999999999993e+01,4.638110633880149214e-02
1.544000000000000128e+01,1.166244041540188264e-01
1.546000000000000085e+01,1.715875338337190803e-01
1.548000000000000043e+01,-9.298885830291571397e-02
1.550000000000000000e+01,2.211162966417567696e-02
1.551999999999999957e+01,-4.352586787380062494e-02
1.553999999999999915e+01,-1.060311515587119419e-01
1.556000000000000050e+01,-8.565102965853041428e-02
1.558000000000000007e+01,-2.109920138319407168e-01
1.560000000000000142e+01,1.766397048517165946e-01
1.562000000000000099e+01,-7.799868662207885828e-02
1.564000000000000057e+01,1.946812761612579101e-01
1.566000000000000014e+01,-9.611582130769134868e-02
1.567999999999999972e+01,-7.043670418614089712e-02
1.569999999999999929e+01,8.257010013666216119e-03
1.571999999999999886e+01,-4.085593779095509498e-02
1.574000000000000021e+01,2.814149313212668257e-01
1.575999999999999979e+01,-4.155057854580504473e-02
1.578000000000000114e+01,-9.384711286398449148e-02
1.580000000000000071e+01,6.197966018226809537e-02
1.582000000000000028e+01,-2.642729493593699505e-02
1.583999999999999986e+01,-2.389740844190985352e-03
1.585999999999999943e+01,-1.596174684514471698e-01
1.587999999999999901e+01,-2.863844464682388860e-02
1.590000000000000036e+01,2.445240544621704037e-01
1.591999999999999993e+01,1.358917911379004528e-01
1.594000000000000128e+01,2.595902682365675007e-01
1.596000000000000085e+01,-1.045259091829089243e-01
1.598000000000000043e+01,4.950347229235369656e-02
1.600000000000000000e+01,3.352676667644794578e-02
1.601999999999999957e+01,-6.804722527451496916e-02
1.603999999999999915e+01,8.104054960010657199e-03
1.606000000000000227e+01,2.465718668817510340e-01
1.607999999999999829e+01,1.245537821157634145e-01
1.610000000000000142e+01,1.018226388398438265e-01
1.612000000000000099e+01,-4.860326759443134303e-02
1.614000000000000057e+01,1.349497236902446051e-01
1.616000000000000014e+01,1.012251028487227561e-01
1.617999999999999972e+01,1.229061869327614520e-01
1.619999999999999929e+01,2.491749254054750201e-02
1.621999999999999886e+01,-6.689063832344126215e-02
1.624000000000000199e+01,8.553050297826207682e-03
1.625999999999999801e+01,9.391349880742934364e-02
1.628000000000000114e+01,-1.424840428552685487e-02
1.630000000000000071e+01,7.427369242140156869e-02
1.632000000000000028e+01,4.382514726465005367e-02
1.633999999999999986e+01,3.165978047337928564e-02
1.635999999999999943e+01,1.981783268049447100e-01
1.637999999999999901e+01,1.315882213604238349e-01
1.639999999999999858e+01,3.727713897398216708e-02
1.642000000000000171e+01,1.803672570242678685e-01
1.644000000000000128e+01,-1.521226578844240562e-01
1.646000000000000085e+01,1.851988472802836849e-01
1.648000000000000043e+01,-9.428191487677453630e-02
1.650000000000000000e+01,-4.046771320293222202e-02
1.651999999999999957e+01,-1.824180468507510811e-02
1.653999999999999915e+01,1.987157616327830945e-02
1.656000000000000227e+01,3.205278271676600954e-01
1.657999999999999829e+01,2.870653150733760706e-01
1.660000000000000142e+01,1.614663786741978302e-01
1.662000000000000099e+01,9.247813284921291288e-02
1.664000000000000057e+01,1.314042348652173509e-01
1.666000000000000014e+01,1.156426320626904314e-01
1.667999999999999972e+01,1.629637716515503487e-01
1.669999999999999929e+01,1.199389977303666824e-02
1.671999999999999886e+01,1.233166819311835721e-01
1.674000000000000199e+01,3.374374008283415743e-02
