# 2Theta,Intensity
1.000000000000000000e+01,2.574170463393285480e-01
1.001999999999999957e+01,1.374734538891831392e-01
1.003999999999999915e+01,1.607524257020403469e-01
1.006000000000000050e+01,1.832762773580300375e-01
1.008000000000000007e+01,2.203232517306245863e-01
1.009999999999999964e+01,3.757436017257038685e-01
1.011999999999999922e+01,1.936729397675487907e-01
1.014000000000000057e+01,2.511674972609386214e-01
1.016000000000000014e+01,3.102119015764671084e-01
1.017999999999999972e+01,4.880174448100772500e-01
1.019999999999999929e+01,2.563141491808918482e-01
1.022000000000000064e+01,3.610140457534981029e-01
1.024000000000000021e+01,3.213133778860668421e-01
1.025999999999999979e+01,2.337031183297073045e-01
1.027999999999999936e+01,2.235499133762661739e-01
1.030000000000000071e+01,2.023368719875144051e-01
1.032000000000000028e+01,2.512327713906037374e-01
1.033999999999999986e+01,4.597877980985662916e-01
1.035999999999999943e+01,4.346512329799887553e-01
1.038000000000000078e+01,1.261673369836576741e-01
1.040000000000000036e+01,1.406091721422486895e-01
1.041999999999999993e+01,5.491777142821525626e-01
1.043999999999999950e+01,2.238122205287889632e-01
1.046000000000000085e+01,6.980828102574365701e-01
1.048000000000000043e+01,2.839047225681720632e-01
1.050000000000000000e+01,2.091698238324695702e-01
1.051999999999999957e+01,3.321834178263279314e-01
1.053999999999999915e+01,2.238729039962344403e-01
1.056000000000000050e+01,2.310667923161089099e-01
1.058000000000000007e+01,1.045428000608307345e-01
1.059999999999999964e+01,2.727694522832444513e-01
1.061999999999999922e+01,5.431075050283992178e-01
1.064000000000000057e+01,6.042015942762046093e-02
1.066000000000000014e+01,2.244120789799999849e-01
1.067999999999999972e+01,1.369108471437923691e-01
1.069999999999999929e+01,1.977123063613887843e-01
1.072000000000000064e+01,3.374271241306882052e-01
1.074000000000000021e+01,5.767746564908826645e-01
1.075999999999999979e+01,5.764069796068970186e-01
1.077999999999999936e+01,3.902216381448332383e-01
1.080000000000000071e+01,1.986734160768525714e-01
1.082000000000000028e+01,3.977846477462816943e-01
1.083999999999999986e+01,3.034115352737677962e-01
1.085999999999999943e+01,1.677348842314735355e-01
1.088000000000000078e+01,2.200821233325621906e-01
1.090000000000000036e+01,1.790433077907556403e-01
1.091999999999999993e+01,2.495322070417784477e-01
1.093999999999999950e+01,4.056209165468281919e-01
1.096000000000000085e+01,4.632916798970675432e-01
1.098000000000000043e+01,2.247384467398505503e-01
1.100000000000000000e+01,2.057713937645928304e-01
1.101999999999999957e+01,5.753345593600680541e-01
1.103999999999999915e+01,3.811584970812840756e-01
1.106000000000000050e+01,4.094818060724593756e-01
1.108000000000000007e+01,4.883309086042444402e-01
1.109999999999999964e+01,1.011361564932129475e-01
1.112000000000000099e+01,3.246586219091769365e-01
1.114000000000000057e+01,4.359224889419690552e-01
1.116000000000000014e+01,1.273791780237633064e-01
1.117999999999999972e+01,2.525477109720599134e-01
1.119999999999999929e+01,2.237393254618103844e-01
1.122000000000000064e+01,2.819242053809719040e-01
1.124000000000000021e+01,3.509084360143967518e-01
1.125999999999999979e+01,3.145843569756848757e-01
1.127999999999999936e+01,4.417352551873894306e-01
1.130000000000000071e+01,3.088714507389225816e-01
1.132000000000000028e+01,5.406220805191476186e-01
1.133999999999999986e+01,5.392834553840607503e-01
1.135999999999999943e+01,2.311126202607143021e-01
1.138000000000000078e+01,3.851309137873361599e-01
1.140000000000000036e+01,3.829195149441014800e-01
1.141999999999999993e+01,1.255905577119176553e-01
