# 2Theta,Intensity
1.000000000000000000e+01,4.023546784773534002e-01
1.001999999999999957e+01,1.778715089714806574e-01
1.003999999999999915e+01,4.518568932287626017e-01
1.006000000000000050e+01,2.182917187937895576e-01
1.008000000000000007e+01,2.200344533159073399e-02
1.009999999999999964e+01,3.827503898293177498e-01
1.011999999999999922e+01,2.913966252598740314e-01
1.014000000000000057e+01,2.658804514106692385e-01
1.016000000000000014e+01,6.788571857132212617e-02
1.017999999999999972e+01,1.459541845417630934e-01
1.019999999999999929e+01,2.553169027287686688e-01
1.022000000000000064e+01,2.519268866467581081e-01
1.024000000000000021e+01,2.546519128143958643e-01
1.025999999999999979e+01,3.645449362647842362e-01
1.027999999999999936e+01,2.593002131669015498e-01
1.030000000000000071e+01,3.021028613874130464e-01
1.032000000000000028e+01,3.973543281999018517e-01
1.033999999999999986e+01,2.291025458544981019e-01
1.035999999999999943e+01,2.006326568952003508e-02
1.038000000000000078e+01,1.654927778091617174e-01
1.040000000000000036e+01,3.377780778056490019e-01
1.041999999999999993e+01,6.719124205018983664e-02
1.043999999999999950e+01,4.110434600149563966e-01
1.046000000000000085e+01,2.034464487151539658e-01
1.048000000000000043e+01,2.452724158002112242e-01
1.050000000000000000e+01,1.851058352023011166e-01
1.051999999999999957e+01,3.316059767155498089e-03
1.053999999999999915e+01,3.033854027583479107e-01
1.056000000000000050e+01,2.566164579064438289e-01
1.058000000000000007e+01,2.226327939291491975e-01
1.059999999999999964e+01,3.946246419179673115e-01
1.061999999999999922e+01,3.048870089360661839e-01
1.064000000000000057e+01,3.379011247786912198e-01
1.066000000000000014e+01,9.909293854992146100e-02
1.067999999999999972e+01,3.396880546195729100e-01
1.069999999999999929e+01,2.006282602661896008e-01
1.072000000000000064e+01,2.550896269591150789e-01
1.074000000000000021e+01,9.755152110124017117e-02
1.075999999999999979e+01,3.122970647334243344e-01
1.077999999999999936e+01,3.205993642573559677e-01
1.080000000000000071e+01,3.046561362190930988e-01
1.082000000000000028e+01,3.275541286980285238e-02
1.083999999999999986e+01,9.273321737566490863e-02
1.085999999999999943e+01,2.465821431467408176e-01
1.088000000000000078e+01,2.677991666277558802e-01
1.090000000000000036e+01,4.325370918811165533e-01
1.091999999999999993e+01,2.548294494086406070e-01
1.093999999999999950e+01,1.392219659856598346e-01
1.096000000000000085e+01,2.753955006160617169e-01
1.098000000000000043e+01,9.708095872822196382e-02
1.100000000000000000e+01,3.480522592834718321e-01
1.101999999999999957e+01,3.942290867501767604e-01
1.103999999999999915e+01,3.076083797627233718e-01
1.106000000000000050e+01,5.643373247166598439e-02
1.108000000000000007e+01,2.298270377327107650e-01
1.109999999999999964e+01,3.107257151449218657e-01
1.112000000000000099e+01,2.271705821079976206e-01
1.114000000000000057e+01,1.497887984630286440e-01
1.116000000000000014e+01,3.599797873170388907e-01
1.117999999999999972e+01,4.806646902859622594e-01
1.119999999999999929e+01,1.149583064873245519e-01
1.122000000000000064e+01,3.982766282788734458e-01
1.124000000000000021e+01,4.424892599780752556e-01
1.125999999999999979e+01,1.666135460529438728e-01
1.127999999999999936e+01,2.409184408224470386e-01
1.130000000000000071e+01,5.774175844185201051e-02
1.132000000000000028e+01,4.771097165977849497e-01
1.133999999999999986e+01,2.606153909940014390e-01
1.135999999999999943e+01,-1.084171440893386823e-01
1.138000000000000078e+01,2.476256327468022433e-01
1.140000000000000036e+01,4.777984335831271245e-01
1.141999999999999993e+01,3.857645084913018940e-01
1.143999999999999950e+01,3.705463999001258335e-01
1.146000000000000085e+01,1.764671131206128063e-01
1.148000000000000043e+01,4.510562344114770750e-01
1.150000000000000000e+01,2.091920050949789278e-01
1.151999999999999957e+01,4.783973246668099533e-01
1.153999999999999915e+01,3.246680153543704539e-01
1.156000000000000050e+01,1.326998358601466921e-01
1.158000000000000007e+01,5.794193948864646559e-01
1.159999999999999964e+01,1.445853627745712078e-01
1.162000000000000099e+01,2.674816119081092070e-01
1.164000000000000057e+01,1.240483416221009189e-01
1.166000000000000014e+01,2.641637314405613779e-01
1.167999999999999972e+01,-4.891312421252781012e-02
1.169999999999999929e+01,2.010727987157809316e-01
1.172000000000000064e+01,1.302371100859150421e-01
1.174000000000000021e+01,1.128954372670744055e-01
1.175999999999999979e+01,4.091648849435360058e-02
1.177999999999999936e+01,3.430377495984414105e-01
1.180000000000000071e+01,3.244474306413899778e-01
1.182000000000000028e+01,1.017211483061431360e-01
1.183999999999999986e+01,2.243810408743298623e-01
1.185999999999999943e+01,2.364060282932491097e-01
1.188000000000000078e+01,1.972387641874100983e-01
1.190000000000000036e+01,-4.633488143876604050e-03
1.191999999999999993e+01,5.479854806162002268e-01
1.193999999999999950e+01,3.097310505541391867e-01
1.196000000000000085e+01,5.659684714922486037e-01
1.198000000000000043e+01,2.235663541810670729e-01
