# 2Theta,Intensity
1.000000000000000000e+01,-9.955011468737186286e-02
1.001999999999999957e+01,6.005059096667710386e-03
1.003999999999999915e+01,-1.261140001511798503e-01
1.006000000000000050e+01,-7.432001967023486866e-02
1.008000000000000007e+01,6.510785966945294156e-02
1.009999999999999964e+01,2.694280968863972947e-01
1.011999999999999922e+01,1.377755455945398333e-01
1.014000000000000057e+01,4.922460594762672476e-02
1.016000000000000014e+01,2.523442699753998264e-01
1.017999999999999972e+01,7.800363277499024195e-02
1.019999999999999929e+01,8.277447416150382486e-02
1.022000000000000064e+01,1.599610297487361887e-01
1.024000000000000021e+01,2.679548274398459995e-01
1.025999999999999979e+01,2.144371916987509730e-01
1.027999999999999936e+01,7.365065951951436929e-02
1.030000000000000071e+01,1.536082854508499240e-01
1.032000000000000028e+01,1.117333832730105225e-01
1.033999999999999986e+01,2.459160116644638627e-01
1.035999999999999943e+01,2.560560731358043074e-01
1.038000000000000078e+01,1.574269786706661012e-01
1.040000000000000036e+01,1.940706028881981904e-01
1.041999999999999993e+01,8.029519466968827734e-02
1.043999999999999950e+01,1.217312930150539624e-01
1.046000000000000085e+01,5.426272772288769780e-02
1.048000000000000043e+01,1.516448929728008155e-01
1.050000000000000000e+01,9.300890967658721753e-02
1.051999999999999957e+01,1.608298308940191435e-01
1.053999999999999915e+01,1.284915796294782142e-01
1.056000000000000050e+01,2.396627364365939150e-01
1.058000000000000007e+01,3.096120295788694077e-01
1.059999999999999964e+01,1.302270883702925097e-01
1.061999999999999922e+01,-9.785967223199898424e-02
1.064000000000000057e+01,1.720018315645316653e-01
1.066000000000000014e+01,1.412553048202672135e-01
1.067999999999999972e+01,-7.786908938448694993e-03
1.069999999999999929e+01,1.952230497648842905e-02
1.072000000000000064e+01,9.462862279240395746e-02
1.074000000000000021e+01,2.907258484691995770e-01
1.075999999999999979e+01,5.120327431071274027e-02
1.077999999999999936e+01,1.328258517353638202e-01
1.080000000000000071e+01,4.609485331721359380e-02
1.082000000000000028e+01,-1.221671965393423265e-01
1.083999999999999986e+01,2.588364262454994139e-02
1.085999999999999943e+01,2.078570024292815122e-01
1.088000000000000078e+01,5.425210626452538210e-02
1.090000000000000036e+01,1.262332662785405624e-01
1.091999999999999993e+01,2.412140748400309620e-01
1.093999999999999950e+01,3.923030568956011044e-02
1.096000000000000085e+01,1.578924041362262665e-01
1.098000000000000043e+01,-3.433015373522345370e-02
1.100000000000000000e+01,1.569433722974227785e-01
1.101999999999999957e+01,1.201588277272356425e-02
1.103999999999999915e+01,-9.767346174869380449e-02
1.106000000000000050e+01,1.051383656615901552e-01
1.108000000000000007e+01,1.854106176558487085e-01
1.109999999999999964e+01,1.976683716744984110e-01
1.112000000000000099e+01,1.105337570213860421e-01
1.114000000000000057e+01,2.041856951642733939e-02
