# 2Theta,Intensity
1.000000000000000000e+01,2.614885081915157561e-01
1.001999999999999957e+01,3.574932562229721222e-01
1.003999999999999915e+01,1.719337152550425574e-01
1.006000000000000050e+01,3.186544529835939610e-01
1.008000000000000007e+01,1.114008511437598326e-01
1.009999999999999964e+01,-5.772405185060308641e-02
1.011999999999999922e+01,2.628109659306288592e-01
1.014000000000000057e+01,4.529864969010383158e-01
1.016000000000000014e+01,2.590876076666584482e-01
1.017999999999999972e+01,1.135340910191034169e-01
1.019999999999999929e+01,1.022738537653154201e-01
1.022000000000000064e+01,3.273892379116081219e-01
1.024000000000000021e+01,6.072829031952111170e-03
1.025999999999999979e+01,2.451063625826563619e-01
1.027999999999999936e+01,1.763928821575110883e-01
1.030000000000000071e+01,5.381040552720277315e-02
1.032000000000000028e+01,1.973653258984933156e-01
1.033999999999999986e+01,3.018474665537344559e-01
1.035999999999999943e+01,3.809307768719753101e-02
1.038000000000000078e+01,1.404393452014847388e-01
1.040000000000000036e+01,7.477438363298272161e-02
1.041999999999999993e+01,2.924602028900036288e-01
1.043999999999999950e+01,9.067786903980959434e-02
1.046000000000000085e+01,1.187592308376774347e-01
1.048000000000000043e+01,2.004819841065705877e-01
1.050000000000000000e+01,1.995796879621941911e-01
1.051999999999999957e+01,3.103437538321440203e-01
1.053999999999999915e+01,1.234177036253752691e-01
1.056000000000000050e+01,2.978631032804386347e-01
1.058000000000000007e+01,2.414009025531540786e-01
1.059999999999999964e+01,2.059663392938026472e-01
1.061999999999999922e+01,3.123524974600403459e-01
1.064000000000000057e+01,2.948092936045675905e-01
1.066000000000000014e+01,2.037034267906576712e-01
1.067999999999999972e+01,3.116297045669520482e-01
1.069999999999999929e+01,1.267082494395004311e-01
1.072000000000000064e+01,2.464911552979487386e-01
1.074000000000000021e+01,1.565363050734490391e-01
1.075999999999999979e+01,4.358498732876086579e-01
1.077999999999999936e+01,1.231755663263833095e-01
1.080000000000000071e+01,1.162987278655909229e-01
1.082000000000000028e+01,3.978967536901899527e-01
1.083999999999999986e+01,3.030547299197008382e-01
1.085999999999999943e+01,2.830749344069861673e-01
1.088000000000000078e+01,3.635516322707239567e-01
1.090000000000000036e+01,9.926750942661091703e-02
1.091999999999999993e+01,1.315360610553432397e-01
1.093999999999999950e+01,3.880752898196766776e-02
1.096000000000000085e+01,1.178954559188093859e-01
1.098000000000000043e+01,3.416297629943099157e-01
1.100000000000000000e+01,3.272680972364049312e-01
1.101999999999999957e+01,2.335278094669668569e-01
1.103999999999999915e+01,5.270615522336567771e-02
1.106000000000000050e+01,7.377173988827158413e-02
1.108000000000000007e+01,1.416680598268109208e-02
1.109999999999999964e+01,3.053203466308570535e-01
1.112000000000000099e+01,3.252261641458145669e-01
1.114000000000000057e+01,3.899100583071207216e-01
1.116000000000000014e+01,1.620292796526272838e-01
1.117999999999999972e+01,9.710267151941534558e-02
1.119999999999999929e+01,1.656435661282300298e-01
1.122000000000000064e+01,2.303130350248065727e-01
