# 2Theta,Intensity
1.000000000000000000e+01,1.258071127804714917e-01
1.001999999999999957e+01,7.137085264478140734e-02
1.003999999999999915e+01,1.383424935486397278e-01
1.006000000000000050e+01,4.208503521306398709e-01
1.008000000000000007e+01,2.434393530241723280e-01
1.009999999999999964e+01,2.041460546879976801e-01
1.011999999999999922e+01,2.545286015270993296e-01
1.014000000000000057e+01,2.349617994766731166e-01
1.016000000000000014e+01,3.661222358413918770e-03
1.017999999999999972e+01,1.808117027528855503e-01
1.019999999999999929e+01,1.660383310849357086e-01
1.022000000000000064e+01,2.559830682659988144e-01
1.024000000000000021e+01,1.003845945961017311e-01
1.025999999999999979e+01,2.447243377744704462e-01
1.027999999999999936e+01,2.066347907291566921e-01
1.030000000000000071e+01,-2.674546390131791671e-02
1.032000000000000028e+01,2.645740987956101686e-01
1.033999999999999986e+01,1.809206362771613452e-01
1.035999999999999943e+01,2.806168599521743356e-01
1.038000000000000078e+01,1.170017116182952288e-01
1.040000000000000036e+01,2.155334934248359646e-01
1.041999999999999993e+01,3.447955069692331120e-01
1.043999999999999950e+01,3.588644943096393480e-01
1.046000000000000085e+01,4.283165106692621849e-01
1.048000000000000043e+01,2.358535681875151280e-02
1.050000000000000000e+01,2.631929230374724371e-01
1.051999999999999957e+01,2.707143216330656216e-02
1.053999999999999915e+01,1.173881258814560430e-01
1.056000000000000050e+01,5.251582507330552346e-02
1.058000000000000007e+01,1.885046945400851715e-01
1.059999999999999964e+01,1.240122070886456179e-01
1.061999999999999922e+01,1.422703835595173216e-01
1.064000000000000057e+01,-4.436940483685213737e-02
1.066000000000000014e+01,2.322171886188056089e-01
1.067999999999999972e+01,3.123481637856236892e-01
1.069999999999999929e+01,6.245761834514119981e-02
1.072000000000000064e+01,1.851857006456864574e-01
1.074000000000000021e+01,1.041783550809255304e-01
1.075999999999999979e+01,1.921182602319441157e-01
1.077999999999999936e+01,2.302825693123421724e-01
1.080000000000000071e+01,1.964451746672937760e-01
1.082000000000000028e+01,5.578814241346953529e-02
1.083999999999999986e+01,2.699327440734355377e-01
1.085999999999999943e+01,2.194638638947084552e-01
1.088000000000000078e+01,6.976798894198116274e-02
1.090000000000000036e+01,4.731222592917734560e-02
1.091999999999999993e+01,2.129718527126019667e-01
1.093999999999999950e+01,5.206636132132841377e-02
1.096000000000000085e+01,2.723507710329898246e-01
1.098000000000000043e+01,1.006179949741956153e-01
1.100000000000000000e+01,3.354407878699602330e-01
1.101999999999999957e+01,2.577106013638286175e-01
1.103999999999999915e+01,1.049913978487457544e-01
1.106000000000000050e+01,1.456707442867109237e-01
1.108000000000000007e+01,7.899843028719544247e-02
1.109999999999999964e+01,2.414348243776862635e-01
1.112000000000000099e+01,7.668028945965169041e-02
1.114000000000000057e+01,8.200598413641076168e-02
1.116000000000000014e+01,5.848153615739612454e-02
1.117999999999999972e+01,4.283260495303949367e-01
1.119999999999999929e+01,3.006930289617840146e-01
1.122000000000000064e+01,1.376230039714065045e-01
1.124000000000000021e+01,3.352104158059314165e-01
1.125999999999999979e+01,4.117935461305214928e-01
1.127999999999999936e+01,2.567099829486027551e-01
1.130000000000000071e+01,3.256445701763457934e-01
1.132000000000000028e+01,1.563157859659301263e-01
1.133999999999999986e+01,2.203666540265153684e-01
1.135999999999999943e+01,3.154966017618546920e-02
1.138000000000000078e+01,1.241021114248277435e-01
1.140000000000000036e+01,1.712674217237878382e-01
