# 2Theta,Intensity
1.000000000000000000e+01,1.015801478251492362e-01
1.001999999999999957e+01,1.512712943961763146e-01
1.003999999999999915e+01,-5.259563186976925347e-02
1.006000000000000050e+01,7.295659059988025830e-02
1.008000000000000007e+01,-5.644550016689035485e-03
1.009999999999999964e+01,1.416828599735942516e-02
1.011999999999999922e+01,4.016639582463639446e-02
1.014000000000000057e+01,2.516483451814501282e-01
1.016000000000000014e+01,1.712650221165410991e-01
1.017999999999999972e+01,8.312659625204459057e-02
1.019999999999999929e+01,-4.266349401287829191e-02
1.022000000000000064e+01,1.240035473062071902e-01
1.024000000000000021e+01,1.326768765842944175e-01
1.025999999999999979e+01,1.472725527837039777e-02
1.027999999999999936e+01,9.693192953826608449e-02
1.030000000000000071e+01,9.503932464310352324e-02
1.032000000000000028e+01,9.474930879233700587e-02
1.033999999999999986e+01,2.462699152786605450e-01
1.035999999999999943e+01,2.014143007807019381e-01
1.038000000000000078e+01,-1.474606984347623939e-01
1.040000000000000036e+01,-4.102751843447925706e-02
1.041999999999999993e+01,1.146478946439421498e-01
1.043999999999999950e+01,-5.476247750051071311e-02
1.046000000000000085e+01,1.017687876081082021e-01
1.048000000000000043e+01,-4.802535725969497155e-02
1.050000000000000000e+01,-9.115526311667614123e-02
1.051999999999999957e+01,6.098561816652323109e-02
1.053999999999999915e+01,1.513457986117605625e-01
1.056000000000000050e+01,7.150151211567994103e-02
1.058000000000000007e+01,4.810780707030944819e-02
1.059999999999999964e+01,1.032389114593232349e-01
1.061999999999999922e+01,2.042752479781579644e-01
1.064000000000000057e+01,-1.918032464383269409e-02
1.066000000000000014e+01,1.420728048465943194e-01
1.067999999999999972e+01,2.633995626501193232e-01
1.069999999999999929e+01,-1.413053725982083009e-01
1.072000000000000064e+01,-1.295797370869483829e-02
1.074000000000000021e+01,1.997557915682542928e-01
1.075999999999999979e+01,-3.981386558966263506e-02
1.077999999999999936e+01,3.150108488020199327e-02
1.080000000000000071e+01,1.335302656689600076e-01
1.082000000000000028e+01,8.645570795639965361e-03
1.083999999999999986e+01,1.812917709765680951e-02
1.085999999999999943e+01,4.090665109733883364e-02
1.088000000000000078e+01,9.950073770877423951e-02
1.090000000000000036e+01,-1.095539605916052289e-01
1.091999999999999993e+01,-9.821371421660103629e-02
1.093999999999999950e+01,1.244591019059510667e-01
1.096000000000000085e+01,-1.578085542885950820e-01
1.098000000000000043e+01,2.410128601350274707e-02
1.100000000000000000e+01,1.045152573109151689e-01
1.101999999999999957e+01,-4.993576487017314935e-02
1.103999999999999915e+01,8.336069808653985558e-03
1.106000000000000050e+01,9.545371411350511703e-02
1.108000000000000007e+01,-4.238924967166123048e-02
1.109999999999999964e+01,-1.743062474146430882e-02
1.112000000000000099e+01,4.238690862014195954e-02
1.114000000000000057e+01,1.166208161880950660e-02
1.116000000000000014e+01,6.873130727562430653e-02
1.117999999999999972e+01,-1.152344729315139468e-02
1.119999999999999929e+01,-4.577202694118117504e-02
1.122000000000000064e+01,2.204753570178077660e-01
1.124000000000000021e+01,2.148717791049658266e-01
1.125999999999999979e+01,2.468236842452827540e-01
1.127999999999999936e+01,-6.774217723067516364e-03
1.130000000000000071e+01,-1.299332024222868767e-02
1.132000000000000028e+01,2.095842115826766772e-01
1.133999999999999986e+01,3.579066776609097361e-02
1.135999999999999943e+01,3.636466180700556605e-02
1.138000000000000078e+01,1.126976096673315414e-01
1.140000000000000036e+01,-4.533386871557398140e-02
1.141999999999999993e+01,1.125756722702304785e-01
1.143999999999999950e+01,1.840937076321290944e-01
1.146000000000000085e+01,1.541491524912916994e-02
1.148000000000000043e+01,3.007695227059759557e-01
1.150000000000000000e+01,2.475374653310014050e-02
1.151999999999999957e+01,-4.319832154803544128e-02
1.153999999999999915e+01,1.595503147481928674e-01
1.156000000000000050e+01,-2.229063178367081746e-02
1.158000000000000007e+01,-2.756187103539187513e-02
1.159999999999999964e+01,1.511835901417172556e-01
1.162000000000000099e+01,3.467844882041065668e-01
1.164000000000000057e+01,1.089613641747133183e-01
1.166000000000000014e+01,2.628370117900820091e-01
1.167999999999999972e+01,5.510764824574392734e-02
1.169999999999999929e+01,1.774359523131320560e-01
1.172000000000000064e+01,4.032372062201886043e-02
1.174000000000000021e+01,1.643046544300717782e-02
1.175999999999999979e+01,8.807932963298148454e-02
1.177999999999999936e+01,1.701297095118407821e-01
1.180000000000000071e+01,1.025694965435375479e-02
1.182000000000000028e+01,7.140314871716924028e-02
1.183999999999999986e+01,6.456366988824782660e-02
1.185999999999999943e+01,1.160220406651307212e-01
1.188000000000000078e+01,2.945128574594359921e-02
1.190000000000000036e+01,-3.058018712372481684e-02
1.191999999999999993e+01,9.569176670897880377e-02
1.193999999999999950e+01,1.229303937103652933e-01
1.196000000000000085e+01,-5.169566978547854991e-02
1.198000000000000043e+01,1.397274214407512871e-01
1.200000000000000000e+01,9.544987524288786607e-02
1.201999999999999957e+01,4.752421258663556275e-02
1.203999999999999915e+01,5.069568482133073040e-03
1.206000000000000050e+01,2.268076004403358770e-01
1.208000000000000007e+01,-5.986762804179779351e-02
1.209999999999999964e+01,7.331034296888558170e-03
1.212000000000000099e+01,-5.430532559804863990e-02
1.214000000000000057e+01,7.898403089733278815e-02
1.216000000000000014e+01,1.607916880358725153e-01
1.217999999999999972e+01,-4.471110119837702623e-02
1.219999999999999929e+01,3.869617107565655190e-02
1.222000000000000064e+01,1.594789279355595391e-01
1.224000000000000021e+01,1.886312424958770384e-01
1.225999999999999979e+01,7.345934046018062769e-02
1.228000000000000114e+01,1.654355405209476798e-02
1.230000000000000071e+01,1.532642685655188075e-01
1.232000000000000028e+01,-4.522915165263947934e-02
1.233999999999999986e+01,9.302551653962091993e-02
1.235999999999999943e+01,-1.217484624028494083e-01
1.237999999999999901e+01,-3.810766142929456618e-02
1.240000000000000036e+01,7.533203634402388382e-02
1.241999999999999993e+01,-3.448056806929303969e-02
1.243999999999999950e+01,1.775464447415466343e-02
1.246000000000000085e+01,1.955413640391091279e-01
1.248000000000000043e+01,3.805061145018081431e-02
1.250000000000000000e+01,3.100737895674726685e-02
1.251999999999999957e+01,1.531455712069415831e-01
1.253999999999999915e+01,1.322061365869252603e-01
1.256000000000000050e+01,9.882436699225124067e-04
1.258000000000000007e+01,-6.972398641190431789e-02
1.259999999999999964e+01,1.371782084348132091e-01
1.262000000000000099e+01,-6.749857852547520853e-02
1.264000000000000057e+01,1.018547518142446096e-01
1.266000000000000014e+01,-6.644405062956029208e-03
1.267999999999999972e+01,1.035217355727529043e-01
1.269999999999999929e+01,6.575700641076147324e-02
1.272000000000000064e+01,2.195517201400999374e-01
1.274000000000000021e+01,9.339073595451756471e-02
1.275999999999999979e+01,-6.596441772362571232e-02
1.278000000000000114e+01,2.012384857250624492e-01
1.280000000000000071e+01,6.611409186352688871e-02
1.282000000000000028e+01,-9.918932532543667246e-02
1.283999999999999986e+01,5.997648238198813493e-03
1.285999999999999943e+01,1.342891434553931951e-01
1.287999999999999901e+01,4.143508294226756067e-02
1.290000000000000036e+01,1.488817983249738075e-01
1.291999999999999993e+01,3.026224720713870942e-01
1.293999999999999950e+01,1.751445552895598001e-01
1.296000000000000085e+01,1.208614100703418043e-01
1.298000000000000043e+01,-8.820663273797399451e-02
1.300000000000000000e+01,1.762017399201263324e-01
