# 2Theta,Intensity
1.000000000000000000e+01,-2.552183791814141220e-02
1.001999999999999957e+01,1.554058835528686344e-01
1.003999999999999915e+01,1.890354325599127305e-01
1.006000000000000050e+01,1.982414863212970391e-01
1.008000000000000007e+01,5.521423358439479789e-02
1.009999999999999964e+01,1.785166378077488458e-01
1.011999999999999922e+01,2.423235013233665247e-01
1.014000000000000057e+01,1.240356813772169886e-01
1.016000000000000014e+01,2.625780263434024375e-01
1.017999999999999972e+01,3.572096618155203296e-01
1.019999999999999929e+01,3.350996522047356985e-01
1.022000000000000064e+01,-5.383072241088474735e-02
1.024000000000000021e+01,2.433141789242200537e-01
1.025999999999999979e+01,9.408353834827958007e-02
1.027999999999999936e+01,2.226429980203978587e-01
1.030000000000000071e+01,1.125807244632054810e-01
1.032000000000000028e+01,1.568362371132824562e-01
1.033999999999999986e+01,2.703806693457499674e-02
1.035999999999999943e+01,1.551573600735830782e-01
1.038000000000000078e+01,1.801458092002417299e-01
1.040000000000000036e+01,2.204756606424886911e-01
1.041999999999999993e+01,3.750409982079488391e-01
1.043999999999999950e+01,2.929597280848745822e-01
1.046000000000000085e+01,6.017971125636243507e-02
1.048000000000000043e+01,1.935079714260564687e-01
1.050000000000000000e+01,1.511580385891796718e-01
1.051999999999999957e+01,1.951689169206472507e-01
1.053999999999999915e+01,1.809852136759113050e-01
1.056000000000000050e+01,2.277895384068220619e-01
1.058000000000000007e+01,6.680869823775682781e-02
1.059999999999999964e+01,4.157246760781491829e-02
1.061999999999999922e+01,1.730448140005428348e-01
1.064000000000000057e+01,3.736453484366800137e-01
1.066000000000000014e+01,2.558485167700206286e-01
1.067999999999999972e+01,1.503768310014189091e-01
1.069999999999999929e+01,1.003815603766304715e-01
1.072000000000000064e+01,6.182274217225890156e-02
1.074000000000000021e+01,1.792125850377037366e-01
1.075999999999999979e+01,2.422303237194317893e-01
1.077999999999999936e+01,8.059068319934657720e-02
1.080000000000000071e+01,3.082210573974444867e-01
1.082000000000000028e+01,1.303959872929859320e-01
1.083999999999999986e+01,2.567092568400998753e-01
1.085999999999999943e+01,2.160219248029465189e-01
1.088000000000000078e+01,2.430245710322317954e-01
1.090000000000000036e+01,3.353647408372316674e-01
1.091999999999999993e+01,2.541615769171306494e-01
1.093999999999999950e+01,-9.841353803562581659e-03
1.096000000000000085e+01,3.237749291641541238e-01
1.098000000000000043e+01,2.518402065772472609e-01
1.100000000000000000e+01,3.572727298243608129e-01
1.101999999999999957e+01,3.536542949653108114e-01
1.103999999999999915e+01,3.643815732700923515e-01
1.106000000000000050e+01,1.185436165011766463e-01
1.108000000000000007e+01,-2.846003588295732342e-02
1.109999999999999964e+01,8.684074465159444256e-02
1.112000000000000099e+01,1.408598672027326082e-01
1.114000000000000057e+01,2.898956730269754839e-02
1.116000000000000014e+01,1.426242357929456417e-01
1.117999999999999972e+01,8.778813758970394066e-02
1.119999999999999929e+01,1.235023948547389894e-01
1.122000000000000064e+01,2.653372433786649887e-01
1.124000000000000021e+01,2.280638486319513936e-01
1.125999999999999979e+01,2.738898809961179959e-01
1.127999999999999936e+01,2.581526386873097545e-01
1.130000000000000071e+01,1.508181643904246971e-01
1.132000000000000028e+01,2.846209498048142827e-01
1.133999999999999986e+01,-2.557099821670397871e-02
1.135999999999999943e+01,2.247812754122622547e-01
1.138000000000000078e+01,1.581194268112837975e-01
1.140000000000000036e+01,1.649922467761250344e-01
1.141999999999999993e+01,1.799737063825772865e-01
1.143999999999999950e+01,3.753625690599159959e-01
1.146000000000000085e+01,2.512391023246670629e-01
1.148000000000000043e+01,1.241775564675205723e-01
1.150000000000000000e+01,1.445642613327153825e-01
1.151999999999999957e+01,3.225252190894632998e-01
1.153999999999999915e+01,9.648437357973120576e-02
1.156000000000000050e+01,2.785311302199470762e-01
1.158000000000000007e+01,3.343763420709083833e-01
1.159999999999999964e+01,4.592243487197976426e-02
1.162000000000000099e+01,1.210063761435370838e-01
1.164000000000000057e+01,2.372525025964475689e-02
1.166000000000000014e+01,3.128895711795727230e-01
1.167999999999999972e+01,2.503723802998445991e-01
1.169999999999999929e+01,2.802615183544465705e-01
1.172000000000000064e+01,9.045269834782072860e-02
1.174000000000000021e+01,1.541170727641639759e-01
1.175999999999999979e+01,3.771892179712467152e-01
1.177999999999999936e+01,4.959458075701890511e-02
1.180000000000000071e+01,3.606534248069241388e-01
1.182000000000000028e+01,1.310515981472414326e-01
1.183999999999999986e+01,3.875165507097168560e-01
1.185999999999999943e+01,1.511793454027146044e-01
1.188000000000000078e+01,2.934874258964018656e-01
1.190000000000000036e+01,5.324542192401639576e-03
1.191999999999999993e+01,1.564362522782866693e-01
1.193999999999999950e+01,7.532223097968776537e-02
1.196000000000000085e+01,3.493388759076311856e-01
1.198000000000000043e+01,2.805402652438400701e-01
1.200000000000000000e+01,3.631899941858177799e-02
1.201999999999999957e+01,2.055973582591592574e-01
1.203999999999999915e+01,-5.678931017048826496e-02
1.206000000000000050e+01,2.079070070871108511e-01
1.208000000000000007e+01,1.038379886344614478e-01
1.209999999999999964e+01,1.568885294245087048e-01
1.212000000000000099e+01,5.973473985012191234e-02
1.214000000000000057e+01,3.857604539884280925e-02
1.216000000000000014e+01,1.372918545594324913e-01
1.217999999999999972e+01,1.532556129486005170e-01
1.219999999999999929e+01,1.525093284753571421e-01
1.222000000000000064e+01,1.933883946455038916e-01
1.224000000000000021e+01,2.269459490811790991e-01
1.225999999999999979e+01,1.312580829198121135e-01
1.228000000000000114e+01,1.923534768953241714e-01
1.230000000000000071e+01,2.048777826663823187e-01
1.232000000000000028e+01,2.745659123406005708e-01
1.233999999999999986e+01,2.631938267836307910e-01
1.235999999999999943e+01,1.323505204865471907e-01
1.237999999999999901e+01,2.096645913926018789e-01
1.240000000000000036e+01,3.875203457398398443e-01
1.241999999999999993e+01,7.465490881510433718e-02
1.243999999999999950e+01,1.516122542829225761e-01
1.246000000000000085e+01,-2.067272953939278124e-02
1.248000000000000043e+01,8.353937451024145977e-02
1.250000000000000000e+01,2.277854756613853782e-01
1.251999999999999957e+01,2.662495577499502178e-02
1.253999999999999915e+01,2.107743567427874665e-01
1.256000000000000050e+01,2.604030315615094016e-01
1.258000000000000007e+01,1.895789174042567249e-01
1.259999999999999964e+01,1.155159375147875658e-02
1.262000000000000099e+01,2.405639860826832011e-01
1.264000000000000057e+01,2.930594801542283911e-01
1.266000000000000014e+01,2.480209677023325898e-01
1.267999999999999972e+01,1.329159571318550837e-01
1.269999999999999929e+01,1.431616720250550590e-01
1.272000000000000064e+01,2.478554679093403490e-01
1.274000000000000021e+01,5.845238342648007013e-02
1.275999999999999979e+01,1.659317589422813766e-01
1.278000000000000114e+01,1.542281483742906911e-01
1.280000000000000071e+01,1.797826635270922957e-01
1.282000000000000028e+01,1.380923053692224289e-01
1.283999999999999986e+01,1.833644882861638070e-01
1.285999999999999943e+01,7.890961671760195195e-02
1.287999999999999901e+01,7.643887914870059475e-02
1.290000000000000036e+01,2.020325499145863846e-01
1.291999999999999993e+01,9.151626478342576865e-02
1.293999999999999950e+01,1.854354594792350652e-01
1.296000000000000085e+01,3.350843183085613353e-01
1.298000000000000043e+01,2.531267012635897706e-01
1.300000000000000000e+01,2.597589759103056117e-01
1.301999999999999957e+01,1.088069133829307061e-01
1.303999999999999915e+01,1.864287701939903730e-01
1.306000000000000050e+01,2.709629530695882860e-01
1.308000000000000007e+01,3.748133016076912183e-01
1.309999999999999964e+01,8.321258274472051464e-02
1.312000000000000099e+01,5.421491351074927273e-02
1.314000000000000057e+01,1.677388075379078747e-01
1.316000000000000014e+01,1.438143256650698809e-01
1.317999999999999972e+01,2.264016561425870877e-01
1.319999999999999929e+01,5.791556099742479341e-02
1.322000000000000064e+01,2.693872377663218409e-01
1.324000000000000021e+01,8.953468308920116414e-02
1.325999999999999979e+01,-1.276738846037588429e-02
1.328000000000000114e+01,1.290055615208109407e-01
1.330000000000000071e+01,2.406681083673339328e-01
1.332000000000000028e+01,1.166086852466052121e-01
1.333999999999999986e+01,1.020343025017992622e-01
1.335999999999999943e+01,2.019905314791019535e-01
1.337999999999999901e+01,3.214746879373053812e-01
1.340000000000000036e+01,3.208780510870858360e-01
1.341999999999999993e+01,1.783470371647344621e-01
1.343999999999999950e+01,2.569968876542528813e-01
1.346000000000000085e+01,9.052185183627511900e-02
1.348000000000000043e+01,7.934283219725257741e-02
1.350000000000000000e+01,1.065483297524308925e-01
1.351999999999999957e+01,1.892851396846352008e-01
1.353999999999999915e+01,2.173707366340314473e-01
1.356000000000000050e+01,2.239270297721724368e-01
1.358000000000000007e+01,1.795892179280929313e-01
1.359999999999999964e+01,2.380307338045441479e-01
1.362000000000000099e+01,1.611771536247714187e-01
1.364000000000000057e+01,3.099817774981179497e-01
1.366000000000000014e+01,1.545808681677666718e-01
1.367999999999999972e+01,2.584449105424129201e-01
1.369999999999999929e+01,1.585205312276243284e-01
1.372000000000000064e+01,3.842796406343170212e-01
1.374000000000000021e+01,-1.687942591692673522e-01
1.375999999999999979e+01,1.969447076736368929e-01
1.378000000000000114e+01,1.623188245516706263e-01
1.380000000000000071e+01,2.309689731674394453e-01
1.382000000000000028e+01,-7.254415960450268097e-02
1.383999999999999986e+01,2.781900304718510353e-01
1.385999999999999943e+01,1.307530112178329276e-02
1.387999999999999901e+01,5.027566206373076385e-01
1.390000000000000036e+01,1.739733253087266673e-01
