# 2Theta,Intensity
1.000000000000000000e+01,-1.114357627285486041e-01
1.001999999999999957e+01,7.205855979422365332e-02
1.003999999999999915e+01,5.443250988466887680e-02
1.006000000000000050e+01,1.360175199406378210e-01
1.008000000000000007e+01,-3.929342544021573180e-02
1.009999999999999964e+01,2.238189523688542404e-01
1.011999999999999922e+01,-5.283678281854727911e-03
1.014000000000000057e+01,2.060516337985421331e-01
1.016000000000000014e+01,-9.991507149335320317e-03
1.017999999999999972e+01,2.052934920065197996e-02
1.019999999999999929e+01,4.404679873946405061e-02
1.022000000000000064e+01,9.418364509808015150e-02
1.024000000000000021e+01,1.904107396161181520e-01
1.025999999999999979e+01,4.263642039944567225e-02
1.027999999999999936e+01,3.459303978553510128e-01
1.030000000000000071e+01,1.154265527550953491e-01
1.032000000000000028e+01,8.586194707475165722e-02
1.033999999999999986e+01,-1.811197889893920339e-03
1.035999999999999943e+01,2.101449474457316724e-01
1.038000000000000078e+01,1.854230128182875192e-01
1.040000000000000036e+01,1.441495352755466364e-01
1.041999999999999993e+01,-9.507452525365536755e-02
1.043999999999999950e+01,1.643753662352349931e-01
1.046000000000000085e+01,-2.122976232978524003e-02
1.048000000000000043e+01,8.413058023849109834e-02
1.050000000000000000e+01,-1.623755106710037532e-01
1.051999999999999957e+01,2.126519899522381386e-03
1.053999999999999915e+01,1.677593759855239841e-01
1.056000000000000050e+01,3.822272638714378085e-02
1.058000000000000007e+01,8.992070314057530600e-02
1.059999999999999964e+01,1.618499349951209865e-01
1.061999999999999922e+01,-1.404237530988977113e-02
1.064000000000000057e+01,7.988416290828297128e-02
1.066000000000000014e+01,8.669362711935291177e-02
1.067999999999999972e+01,1.655480971594769368e-01
1.069999999999999929e+01,-2.652354660727671357e-02
1.072000000000000064e+01,8.188219801148538535e-02
1.074000000000000021e+01,1.711131337262364882e-01
1.075999999999999979e+01,5.304225042141203633e-02
1.077999999999999936e+01,-5.768908740716469086e-02
1.080000000000000071e+01,1.574997133405106609e-01
1.082000000000000028e+01,2.284794666514410322e-01
1.083999999999999986e+01,2.117686032880128355e-01
1.085999999999999943e+01,1.277516965286910333e-01
1.088000000000000078e+01,1.505159597238880653e-01
1.090000000000000036e+01,4.722658789541350072e-02
1.091999999999999993e+01,1.882872881449720523e-02
1.093999999999999950e+01,6.168980751246833094e-02
1.096000000000000085e+01,9.045983871301908896e-02
1.098000000000000043e+01,1.372146745230100606e-01
1.100000000000000000e+01,-7.685915687131594787e-02
1.101999999999999957e+01,1.180552434490258484e-01
1.103999999999999915e+01,9.085305831550181954e-02
1.106000000000000050e+01,6.277635212850057184e-03
1.108000000000000007e+01,-7.636163783607818889e-02
1.109999999999999964e+01,1.327335853141175248e-01
1.112000000000000099e+01,3.164544137629066601e-03
1.114000000000000057e+01,2.792695839505858202e-01
1.116000000000000014e+01,-1.102257615444580258e-01
1.117999999999999972e+01,8.151663890715148131e-02
1.119999999999999929e+01,1.010854125051983965e-01
1.122000000000000064e+01,2.210471368278775772e-01
1.124000000000000021e+01,-3.907297396124995333e-03
1.125999999999999979e+01,2.995892652368608577e-01
1.127999999999999936e+01,6.981096347375105593e-02
1.130000000000000071e+01,1.659480502600722274e-01
1.132000000000000028e+01,4.075812948291973603e-01
1.133999999999999986e+01,-7.108703850184963646e-02
1.135999999999999943e+01,7.648242227762691581e-02
1.138000000000000078e+01,-9.062654130020156296e-02
1.140000000000000036e+01,2.037696541749896562e-01
1.141999999999999993e+01,-3.427149477487788365e-02
1.143999999999999950e+01,4.675998468771678379e-03
1.146000000000000085e+01,1.481448436492865950e-01
1.148000000000000043e+01,6.889450227371275715e-02
1.150000000000000000e+01,-1.648287813713981975e-02
1.151999999999999957e+01,1.267620967669092803e-02
1.153999999999999915e+01,5.831676325294479768e-02
1.156000000000000050e+01,-4.971566480662308052e-02
1.158000000000000007e+01,2.804282534843338670e-01
1.159999999999999964e+01,1.995956706868297625e-01
1.162000000000000099e+01,5.366664125822078607e-02
1.164000000000000057e+01,-2.935052769458973768e-02
1.166000000000000014e+01,2.770676534201956809e-01
1.167999999999999972e+01,1.747409028711663925e-01
1.169999999999999929e+01,2.990851556695706993e-03
1.172000000000000064e+01,9.450727049180707162e-02
1.174000000000000021e+01,-5.032534455528744899e-02
1.175999999999999979e+01,9.053267460232833352e-02
1.177999999999999936e+01,-3.565544453692946758e-02
1.180000000000000071e+01,6.915307702020552505e-02
1.182000000000000028e+01,1.152763705177506648e-01
1.183999999999999986e+01,3.233627989219653998e-01
1.185999999999999943e+01,1.932165137579380243e-01
1.188000000000000078e+01,1.980372873896271979e-01
1.190000000000000036e+01,-1.332992251561944119e-01
1.191999999999999993e+01,2.620795775871843092e-01
1.193999999999999950e+01,1.926925240251281535e-01
1.196000000000000085e+01,1.726341018827079465e-01
1.198000000000000043e+01,7.633091087569165989e-02
1.200000000000000000e+01,-3.022412023336903952e-02
1.201999999999999957e+01,2.885352757637003052e-01
1.203999999999999915e+01,2.753898034855484789e-01
1.206000000000000050e+01,1.446341426107511929e-01
1.208000000000000007e+01,2.552338991473574251e-02
1.209999999999999964e+01,3.485879134431275200e-02
1.212000000000000099e+01,1.753170711041548979e-01
1.214000000000000057e+01,1.055086266333576939e-01
1.216000000000000014e+01,2.563728763839648872e-01
1.217999999999999972e+01,-1.395059028809810531e-01
1.219999999999999929e+01,2.192985163245447233e-01
1.222000000000000064e+01,9.991013513852047001e-02
1.224000000000000021e+01,2.805525370597554136e-01
1.225999999999999979e+01,1.604990379596014372e-01
1.228000000000000114e+01,1.661001210540854200e-01
1.230000000000000071e+01,8.297281235257283893e-02
1.232000000000000028e+01,2.227919174778779723e-02
1.233999999999999986e+01,-4.479087042937213332e-04
1.235999999999999943e+01,9.313756908593795458e-02
1.237999999999999901e+01,-3.217701398102242039e-02
1.240000000000000036e+01,2.041556790356308798e-02
1.241999999999999993e+01,1.105983644110400954e-01
1.243999999999999950e+01,-1.259906611129407994e-01
1.246000000000000085e+01,5.789664046746894471e-02
1.248000000000000043e+01,8.521386277825908351e-02
1.250000000000000000e+01,2.140252867827995287e-01
1.251999999999999957e+01,-1.217921174968163989e-01
1.253999999999999915e+01,-3.086484973580343877e-02
1.256000000000000050e+01,1.851359596004607810e-01
1.258000000000000007e+01,6.902243371094771152e-02
1.259999999999999964e+01,8.812375159354068899e-02
1.262000000000000099e+01,1.005683670298254673e-01
1.264000000000000057e+01,1.606350321747555543e-01
1.266000000000000014e+01,5.604106310259967388e-02
1.267999999999999972e+01,1.886138725445360154e-01
1.269999999999999929e+01,1.368329133494632643e-01
1.272000000000000064e+01,4.677925043328669090e-03
1.274000000000000021e+01,-3.215181857469509574e-02
1.275999999999999979e+01,1.988523444618967365e-02
1.278000000000000114e+01,-2.978801258098183469e-02
1.280000000000000071e+01,8.444582778350284702e-02
1.282000000000000028e+01,2.432480593139320080e-01
1.283999999999999986e+01,1.186215912356620578e-01
1.285999999999999943e+01,-1.699306148462240706e-01
1.287999999999999901e+01,8.567597625166750719e-02
1.290000000000000036e+01,2.790992019833516968e-01
1.291999999999999993e+01,7.754371546507952961e-02
1.293999999999999950e+01,1.341864307755087915e-01
1.296000000000000085e+01,6.802006849193135973e-02
1.298000000000000043e+01,7.520706264717540168e-02
1.300000000000000000e+01,1.357442207787819786e-02
1.301999999999999957e+01,1.239891426167224198e-01
1.303999999999999915e+01,1.643603124478049682e-01
1.306000000000000050e+01,2.590898868523195397e-01
1.308000000000000007e+01,6.997815457309829179e-02
1.309999999999999964e+01,1.766668557209078172e-01
1.312000000000000099e+01,-8.835098212726236189e-02
1.314000000000000057e+01,7.491216781137650417e-03
1.316000000000000014e+01,-1.285726816288169580e-02
1.317999999999999972e+01,1.185266328340270209e-01
1.319999999999999929e+01,2.689992786424954749e-02
1.322000000000000064e+01,3.252241857778309653e-02
1.324000000000000021e+01,4.862432220675400041e-02
1.325999999999999979e+01,5.125784045527499028e-02
1.328000000000000114e+01,-4.014706413777984623e-02
1.330000000000000071e+01,3.625154411051034579e-03
1.332000000000000028e+01,-3.317913761272987816e-02
1.333999999999999986e+01,2.101689938331191276e-01
1.335999999999999943e+01,1.590405588352149513e-01
1.337999999999999901e+01,-8.346413932997194529e-02
1.340000000000000036e+01,1.476451652072059140e-01
1.341999999999999993e+01,6.158574575185619265e-02
1.343999999999999950e+01,1.119145472880020281e-01
1.346000000000000085e+01,2.940164900223034006e-01
