# 2Theta,Intensity
1.000000000000000000e+01,1.056111930482078465e-01
1.001999999999999957e+01,1.139330382895900329e-01
1.003999999999999915e+01,2.668247164003028082e-01
1.006000000000000050e+01,6.395514334952494273e-02
1.008000000000000007e+01,4.732153639152335972e-02
1.009999999999999964e+01,3.468864455533373636e-01
1.011999999999999922e+01,2.875379859154172241e-02
1.014000000000000057e+01,6.653166414508418502e-02
1.016000000000000014e+01,1.016642798614182108e-01
1.017999999999999972e+01,1.432378084398464591e-01
1.019999999999999929e+01,5.827475225096716283e-02
1.022000000000000064e+01,6.897234876273335147e-02
1.024000000000000021e+01,1.607565873233777753e-01
1.025999999999999979e+01,9.145744305015532372e-02
1.027999999999999936e+01,2.075899733386550594e-01
1.030000000000000071e+01,2.193800921086355715e-01
1.032000000000000028e+01,2.347793758385695317e-01
1.033999999999999986e+01,2.212104936220843920e-01
1.035999999999999943e+01,1.943695303781471304e-02
1.038000000000000078e+01,-4.014124427907489467e-02
1.040000000000000036e+01,7.856789174038346368e-02
1.041999999999999993e+01,1.946612985748102376e-01
1.043999999999999950e+01,3.060454983652693625e-02
1.046000000000000085e+01,3.033645408823375245e-02
1.048000000000000043e+01,3.271808692794501983e-02
1.050000000000000000e+01,1.354597561829381513e-01
1.051999999999999957e+01,1.741542195912053059e-01
1.053999999999999915e+01,5.408556378318948865e-02
1.056000000000000050e+01,1.282061228989532509e-01
1.058000000000000007e+01,-8.605503494275476561e-02
1.059999999999999964e+01,2.053974576350376391e-01
1.061999999999999922e+01,3.814880394800005542e-02
1.064000000000000057e+01,1.102339135898520034e-01
1.066000000000000014e+01,4.887213874879227371e-02
1.067999999999999972e+01,2.344706787286250649e-01
1.069999999999999929e+01,6.105091807998635350e-02
1.072000000000000064e+01,4.309726850174296908e-01
1.074000000000000021e+01,2.626602864541576210e-01
1.075999999999999979e+01,-1.924672979127134073e-02
1.077999999999999936e+01,6.625075584017903196e-02
1.080000000000000071e+01,2.171480034741123111e-01
1.082000000000000028e+01,2.021183618921846559e-01
1.083999999999999986e+01,1.143059561661270568e-01
1.085999999999999943e+01,2.584723834550739507e-01
1.088000000000000078e+01,8.055121270936643763e-02
1.090000000000000036e+01,8.938487308453590963e-02
1.091999999999999993e+01,1.487476263609525950e-02
1.093999999999999950e+01,1.689812637733208445e-01
1.096000000000000085e+01,3.657956954392698606e-02
1.098000000000000043e+01,2.003635995342514797e-01
1.100000000000000000e+01,2.544259981859614203e-02
1.101999999999999957e+01,-2.503466996226151250e-02
1.103999999999999915e+01,-7.097610219219889494e-02
1.106000000000000050e+01,3.164537942903771772e-01
1.108000000000000007e+01,3.742768881780098589e-01
1.109999999999999964e+01,1.432806643532507640e-01
1.112000000000000099e+01,3.779116986533357508e-02
1.114000000000000057e+01,-2.900846146593927949e-02
1.116000000000000014e+01,4.003419973389562569e-01
1.117999999999999972e+01,2.451165184907767164e-02
1.119999999999999929e+01,2.411077538069899551e-01
1.122000000000000064e+01,4.054197320184989572e-01
1.124000000000000021e+01,7.222922977278023460e-02
1.125999999999999979e+01,-5.294571794637607798e-02
1.127999999999999936e+01,-1.689442226541162245e-02
1.130000000000000071e+01,3.100274878452510263e-01
1.132000000000000028e+01,1.293785881430430940e-01
