# 2Theta,Intensity
1.000000000000000000e+01,-3.682413571942588781e-02
1.001999999999999957e+01,-1.440588563241048947e-01
1.003999999999999915e+01,-3.978358503560734671e-02
1.006000000000000050e+01,9.938712753060313654e-02
1.008000000000000007e+01,-1.255103234349214669e-01
1.009999999999999964e+01,3.104532857144851402e-02
1.011999999999999922e+01,4.692225403307012654e-02
1.014000000000000057e+01,-5.957318749615377745e-02
1.016000000000000014e+01,1.308263181747578441e-01
1.017999999999999972e+01,1.179951308482422440e-01
1.019999999999999929e+01,1.066670551090689867e-01
1.022000000000000064e+01,-1.209748233786669402e-01
1.024000000000000021e+01,-4.943067680220579463e-02
1.025999999999999979e+01,-4.260676016423109447e-02
1.027999999999999936e+01,2.770028373897662904e-02
1.030000000000000071e+01,2.342575306454482489e-02
1.032000000000000028e+01,-9.459496820263255112e-02
1.033999999999999986e+01,-6.037412408186462742e-02
1.035999999999999943e+01,-5.450766840733871355e-02
1.038000000000000078e+01,8.416054246130476313e-02
1.040000000000000036e+01,-1.372810353244844142e-02
1.041999999999999993e+01,-2.168934193688189585e-02
1.043999999999999950e+01,-3.872755531487680203e-02
1.046000000000000085e+01,-1.838857164661290150e-02
1.048000000000000043e+01,1.400942348455434527e-01
1.050000000000000000e+01,1.467592178849239093e-01
1.051999999999999957e+01,5.903632232213621572e-02
1.053999999999999915e+01,-9.387632243304908086e-02
1.056000000000000050e+01,6.913230935073910732e-02
1.058000000000000007e+01,4.361219073417570147e-02
1.059999999999999964e+01,6.562064159797929841e-02
1.061999999999999922e+01,-4.392455803230395361e-02
1.064000000000000057e+01,-4.111932702347955576e-02
1.066000000000000014e+01,8.805686291170498892e-02
1.067999999999999972e+01,-7.540517763491602632e-02
1.069999999999999929e+01,2.337768272260555905e-02
1.072000000000000064e+01,-8.277073334836475282e-02
1.074000000000000021e+01,5.397465719548044660e-02
1.075999999999999979e+01,9.569661967923895340e-02
1.077999999999999936e+01,1.305727088029658700e-01
1.080000000000000071e+01,2.486734898898263213e-01
1.082000000000000028e+01,8.873234359907250512e-02
1.083999999999999986e+01,-1.865553580105146214e-02
1.085999999999999943e+01,8.830656649058571395e-02
1.088000000000000078e+01,-1.073374506702776988e-02
1.090000000000000036e+01,-1.473218120294578493e-01
1.091999999999999993e+01,2.719394745640700273e-01
1.093999999999999950e+01,3.383371613831085388e-03
1.096000000000000085e+01,-5.988727657190035664e-02
1.098000000000000043e+01,5.462708990469205411e-02
1.100000000000000000e+01,-2.088845079675151484e-02
1.101999999999999957e+01,-4.899975594585354033e-02
1.103999999999999915e+01,4.945244496575710441e-02
1.106000000000000050e+01,-2.696784052425080236e-02
1.108000000000000007e+01,1.572206119771563659e-01
1.109999999999999964e+01,2.243156660552165019e-02
1.112000000000000099e+01,1.652578360825917858e-01
1.114000000000000057e+01,1.795863592511576512e-01
1.116000000000000014e+01,-7.528326205046947939e-02
1.117999999999999972e+01,1.333016440515681633e-01
1.119999999999999929e+01,4.996274798336538397e-02
1.122000000000000064e+01,-4.467859016703722846e-02
1.124000000000000021e+01,-3.446772515764395112e-02
1.125999999999999979e+01,8.751959642934335759e-02
1.127999999999999936e+01,-4.222078598146354611e-02
1.130000000000000071e+01,-1.823241355393175750e-02
1.132000000000000028e+01,1.227699664796897960e-01
1.133999999999999986e+01,-6.324809407765967506e-02
1.135999999999999943e+01,-1.110244081137019001e-01
1.138000000000000078e+01,1.276285078567887810e-01
1.140000000000000036e+01,7.228868491309098365e-02
1.141999999999999993e+01,7.601705205046914438e-02
1.143999999999999950e+01,-7.572793482141319810e-02
1.146000000000000085e+01,5.521794131466280231e-02
1.148000000000000043e+01,-2.097152421206320283e-01
1.150000000000000000e+01,1.296333494816248322e-01
1.151999999999999957e+01,-2.802678818673175545e-02
1.153999999999999915e+01,-1.082967335201741738e-01
1.156000000000000050e+01,-2.671562057977921664e-02
1.158000000000000007e+01,-1.199697802434824233e-02
1.159999999999999964e+01,1.942600387762718761e-01
1.162000000000000099e+01,-8.721298407422958809e-03
1.164000000000000057e+01,1.495900837169950315e-01
