# 2Theta,Intensity
1.000000000000000000e+01,5.296631872035192368e-01
1.001999999999999957e+01,2.670581079963919025e-01
1.003999999999999915e+01,3.680884044351389051e-01
1.006000000000000050e+01,2.584431848456208991e-01
1.008000000000000007e+01,3.381502081934382176e-01
1.009999999999999964e+01,5.835142197297956690e-01
1.011999999999999922e+01,4.901517971322081335e-01
1.014000000000000057e+01,1.973837015138553974e-01
1.016000000000000014e+01,3.981663455854538292e-01
1.017999999999999972e+01,4.852156217971421714e-01
1.019999999999999929e+01,2.625164030266485815e-01
1.022000000000000064e+01,3.893229022788656235e-01
1.024000000000000021e+01,5.336842734184877868e-01
1.025999999999999979e+01,3.357596262537989040e-01
1.027999999999999936e+01,5.643312194487237754e-01
1.030000000000000071e+01,5.187141533785165626e-01
1.032000000000000028e+01,3.786595385696487348e-01
1.033999999999999986e+01,3.503756331284358927e-01
1.035999999999999943e+01,4.502442606884257126e-01
1.038000000000000078e+01,3.949745654527475058e-01
1.040000000000000036e+01,3.083356523392875026e-01
1.041999999999999993e+01,5.977551735082478057e-01
1.043999999999999950e+01,5.051036953190544132e-01
1.046000000000000085e+01,4.092654916737146764e-01
1.048000000000000043e+01,3.974352474624128773e-01
1.050000000000000000e+01,1.412602077651624877e-01
1.051999999999999957e+01,4.826494883946912950e-01
1.053999999999999915e+01,2.238075810034486912e-01
1.056000000000000050e+01,5.032223124918636659e-01
1.058000000000000007e+01,3.871041883802557315e-01
1.059999999999999964e+01,4.065996979799458844e-01
1.061999999999999922e+01,3.765546109597716073e-01
1.064000000000000057e+01,5.341603753632366836e-01
1.066000000000000014e+01,3.269660086339797322e-01
1.067999999999999972e+01,5.418068549104174680e-01
1.069999999999999929e+01,3.232500898297387404e-01
1.072000000000000064e+01,5.616733234376649619e-01
1.074000000000000021e+01,4.080341543850536934e-01
1.075999999999999979e+01,4.797182826498396224e-01
1.077999999999999936e+01,4.605357081063872760e-01
1.080000000000000071e+01,2.505611484800195909e-01
1.082000000000000028e+01,5.278775549107368459e-01
1.083999999999999986e+01,4.908457540872353531e-01
1.085999999999999943e+01,7.244368148897440962e-01
1.088000000000000078e+01,4.387589618121617852e-01
1.090000000000000036e+01,3.655605519488547839e-01
1.091999999999999993e+01,2.982972449364937328e-01
1.093999999999999950e+01,5.516879758560123692e-01
1.096000000000000085e+01,5.320094170154563429e-01
1.098000000000000043e+01,4.710641843132758466e-01
