# 2Theta,Intensity
1.000000000000000000e+01,1.015407543096952248e+00
1.001999999999999957e+01,1.197389646913709083e+00
1.003999999999999915e+01,1.097588375523002924e+00
1.006000000000000050e+01,1.063126110999344842e+00
1.008000000000000007e+01,1.232877706282847319e+00
1.009999999999999964e+01,1.053353559517821836e+00
1.011999999999999922e+01,7.755402205735418830e-01
1.014000000000000057e+01,1.011256777953410957e+00
1.016000000000000014e+01,9.236211606320805512e-01
1.017999999999999972e+01,9.913465187584319382e-01
1.019999999999999929e+01,9.612740544646589669e-01
1.022000000000000064e+01,9.795946424099396532e-01
1.024000000000000021e+01,1.185455097851090711e+00
1.025999999999999979e+01,6.452210983446362569e-01
1.027999999999999936e+01,9.978099777662561287e-01
1.030000000000000071e+01,9.783716456542674855e-01
1.032000000000000028e+01,1.102680753108230993e+00
1.033999999999999986e+01,1.164937245303999669e+00
1.035999999999999943e+01,1.103328742909706506e+00
1.038000000000000078e+01,1.020679918203445391e+00
1.040000000000000036e+01,1.137164392283450676e+00
1.041999999999999993e+01,7.893083153642082017e-01
1.043999999999999950e+01,6.228746577420706254e-01
1.046000000000000085e+01,1.299696874412919145e+00
1.048000000000000043e+01,1.084754299641998543e+00
1.050000000000000000e+01,7.475044012930156523e-01
1.051999999999999957e+01,1.180951328295460012e+00
1.053999999999999915e+01,1.054717507774672214e+00
1.056000000000000050e+01,1.112714248207525181e+00
1.058000000000000007e+01,9.225829049714816543e-01
1.059999999999999964e+01,1.050316664843837788e+00
1.061999999999999922e+01,9.929691233410430362e-01
1.064000000000000057e+01,9.808589173209212309e-01
1.066000000000000014e+01,9.696467926443750329e-01
1.067999999999999972e+01,1.236087330126351747e+00
1.069999999999999929e+01,8.013860298651933611e-01
1.072000000000000064e+01,1.138482357261805689e+00
1.074000000000000021e+01,1.286186227844453356e+00
1.075999999999999979e+01,1.009553841665240981e+00
1.077999999999999936e+01,1.189984161821376230e+00
1.080000000000000071e+01,9.356486476946022091e-01
1.082000000000000028e+01,7.770297584737766439e-01
1.083999999999999986e+01,1.069630868786449751e+00
1.085999999999999943e+01,8.051972713243593649e-01
1.088000000000000078e+01,1.090520582762066537e+00
1.090000000000000036e+01,1.069432803805562493e+00
1.091999999999999993e+01,1.350764189152569683e+00
1.093999999999999950e+01,7.139440584648429899e-01
1.096000000000000085e+01,1.317714354590073578e+00
1.098000000000000043e+01,1.140916021441679584e+00
1.100000000000000000e+01,8.724879069986346547e-01
1.101999999999999957e+01,1.071233015914986764e+00
1.103999999999999915e+01,1.099621505925802323e+00
1.106000000000000050e+01,7.422457584870707503e-01
1.108000000000000007e+01,9.105495676693831086e-01
1.109999999999999964e+01,1.175260892839010474e+00
1.112000000000000099e+01,9.824880327396472435e-01
1.114000000000000057e+01,9.383024281758193252e-01
1.116000000000000014e+01,1.559233446422112035e+00
1.117999999999999972e+01,1.076996678720203438e+00
1.119999999999999929e+01,8.905310348808821441e-01
1.122000000000000064e+01,1.034305956675305227e+00
1.124000000000000021e+01,8.073288074729949582e-01
1.125999999999999979e+01,1.095647934710361815e+00
1.127999999999999936e+01,1.200195646073302536e+00
1.130000000000000071e+01,1.118304634145553811e+00
