# 2Theta,Intensity
1.000000000000000000e+01,-2.181517356958387679e-02
1.001999999999999957e+01,1.737719417214992068e-01
1.003999999999999915e+01,2.606116972314024283e-01
1.006000000000000050e+01,8.273270524154294203e-02
1.008000000000000007e+01,-1.295430771564332895e-01
1.009999999999999964e+01,1.290353943951596249e-01
1.011999999999999922e+01,1.414538084702512133e-01
1.014000000000000057e+01,6.134659944108362961e-02
1.016000000000000014e+01,6.419762125848994805e-02
1.017999999999999972e+01,1.251725082544180023e-01
1.019999999999999929e+01,1.322670022336949192e-01
1.022000000000000064e+01,3.334430626911037421e-01
1.024000000000000021e+01,6.176755935605954262e-02
1.025999999999999979e+01,2.206267688958797601e-02
1.027999999999999936e+01,2.555582878403572233e-01
1.030000000000000071e+01,7.984383108559664488e-02
1.032000000000000028e+01,1.276883258853800385e-01
1.033999999999999986e+01,2.398449655494005739e-01
1.035999999999999943e+01,1.068429403856846482e-01
1.038000000000000078e+01,8.260952075543998019e-02
1.040000000000000036e+01,2.465375906821525021e-01
1.041999999999999993e+01,1.257476098735354764e-01
1.043999999999999950e+01,1.189858749053868403e-01
1.046000000000000085e+01,-7.276071623715071879e-02
1.048000000000000043e+01,-1.598445349486146000e-02
1.050000000000000000e+01,4.837491477239660997e-02
1.051999999999999957e+01,1.394620569775661123e-01
1.053999999999999915e+01,2.183396041517841335e-01
1.056000000000000050e+01,1.642780808207464083e-01
1.058000000000000007e+01,2.764186352093333521e-01
1.059999999999999964e+01,1.477351191592099489e-01
1.061999999999999922e+01,1.849418152234118262e-01
1.064000000000000057e+01,-1.400494078723264757e-01
1.066000000000000014e+01,1.717103032833421639e-01
1.067999999999999972e+01,-4.441312663536990668e-02
1.069999999999999929e+01,1.215835500336612807e-01
1.072000000000000064e+01,1.948041373196975345e-01
1.074000000000000021e+01,9.314876178601574908e-02
1.075999999999999979e+01,9.966441996676843329e-02
1.077999999999999936e+01,1.567444298585159712e-01
1.080000000000000071e+01,5.494570290704834520e-02
1.082000000000000028e+01,2.923513456457391690e-01
1.083999999999999986e+01,1.859002653735060961e-01
1.085999999999999943e+01,1.646488239949504273e-01
1.088000000000000078e+01,1.550446499250412447e-01
1.090000000000000036e+01,-6.488304784726743601e-02
1.091999999999999993e+01,1.771069181880668975e-01
1.093999999999999950e+01,1.904657688398544158e-01
1.096000000000000085e+01,3.497365504065059749e-01
1.098000000000000043e+01,-9.327225655725773779e-02
1.100000000000000000e+01,3.208015343286158561e-01
1.101999999999999957e+01,3.582148678034052791e-01
1.103999999999999915e+01,2.939330918492306585e-02
1.106000000000000050e+01,1.905083711176666084e-01
1.108000000000000007e+01,2.735530926672818941e-01
1.109999999999999964e+01,8.672598346090475141e-02
1.112000000000000099e+01,-1.731892328646509466e-02
1.114000000000000057e+01,-2.377054432244215393e-02
1.116000000000000014e+01,2.522350742064970452e-01
1.117999999999999972e+01,2.980009841964736950e-01
1.119999999999999929e+01,1.601766069366667433e-01
1.122000000000000064e+01,8.700791810982634600e-02
1.124000000000000021e+01,-1.213029640734461789e-01
1.125999999999999979e+01,1.581171052588577208e-01
1.127999999999999936e+01,9.278579651507756765e-02
1.130000000000000071e+01,1.626563209430809398e-01
1.132000000000000028e+01,1.555157216849929191e-01
1.133999999999999986e+01,1.086292635207777441e-01
1.135999999999999943e+01,1.503121305847649955e-02
