# 2Theta,Intensity
1.000000000000000000e+01,1.337001502600676517e+00
1.001999999999999957e+01,1.097762265085348021e+00
1.003999999999999915e+01,1.166367953771843435e+00
1.006000000000000050e+01,9.863097797205129247e-01
1.008000000000000007e+01,8.607588806104818913e-01
1.009999999999999964e+01,1.103052144052352634e+00
1.011999999999999922e+01,8.788900713512718399e-01
1.014000000000000057e+01,1.043054039756986517e+00
1.016000000000000014e+01,6.570246934563073182e-01
1.017999999999999972e+01,1.207482489468236553e+00
1.019999999999999929e+01,8.664559015554282873e-01
1.022000000000000064e+01,8.499962084010863617e-01
1.024000000000000021e+01,1.174989453115928617e+00
1.025999999999999979e+01,9.445631951559687600e-01
1.027999999999999936e+01,1.110462591723478054e+00
1.030000000000000071e+01,1.338042635197610686e+00
1.032000000000000028e+01,6.768422498964645762e-01
1.033999999999999986e+01,8.976308675852844310e-01
1.035999999999999943e+01,1.238875660498708564e+00
1.038000000000000078e+01,8.803102647604770237e-01
1.040000000000000036e+01,1.113159102521366517e+00
1.041999999999999993e+01,1.075859995148939152e+00
1.043999999999999950e+01,1.007843679150525862e+00
1.046000000000000085e+01,8.731772043390321203e-01
1.048000000000000043e+01,1.260390033401976861e+00
1.050000000000000000e+01,1.131720901567633497e+00
1.051999999999999957e+01,1.147649957390295627e+00
1.053999999999999915e+01,9.320825870749952502e-01
1.056000000000000050e+01,1.074806836872695959e+00
1.058000000000000007e+01,9.720738912995829928e-01
1.059999999999999964e+01,9.411017559608134686e-01
1.061999999999999922e+01,1.196838298262498546e+00
1.064000000000000057e+01,1.164631752766724482e+00
1.066000000000000014e+01,1.185738751019731474e+00
1.067999999999999972e+01,1.156465608870620887e+00
1.069999999999999929e+01,1.304871012989514245e+00
1.072000000000000064e+01,1.072515591510179611e+00
1.074000000000000021e+01,9.715731944464252035e-01
1.075999999999999979e+01,1.269752396852479759e+00
1.077999999999999936e+01,8.717414528186282485e-01
1.080000000000000071e+01,8.924706944323848035e-01
1.082000000000000028e+01,9.269889840136831261e-01
1.083999999999999986e+01,6.417018552375017837e-01
1.085999999999999943e+01,1.029292778495788596e+00
1.088000000000000078e+01,9.978766744377219888e-01
1.090000000000000036e+01,7.604448119853915999e-01
1.091999999999999993e+01,7.053154706218262016e-01
1.093999999999999950e+01,1.211365029718085573e+00
1.096000000000000085e+01,1.265946973337957804e+00
1.098000000000000043e+01,5.405042372283089813e-01
1.100000000000000000e+01,1.401715328628150514e+00
1.101999999999999957e+01,1.039433714082852678e+00
1.103999999999999915e+01,1.103234948731175669e+00
1.106000000000000050e+01,1.109709190212781360e+00
1.108000000000000007e+01,9.608544352379299047e-01
1.109999999999999964e+01,8.267733774572127992e-01
1.112000000000000099e+01,8.921468874761050438e-01
1.114000000000000057e+01,1.094053879975500410e+00
1.116000000000000014e+01,8.061068032699623132e-01
1.117999999999999972e+01,1.013019886460841956e+00
1.119999999999999929e+01,1.164745797785807113e+00
1.122000000000000064e+01,1.060997613499545800e+00
1.124000000000000021e+01,1.018570854084527522e+00
1.125999999999999979e+01,9.037469998229017420e-01
1.127999999999999936e+01,1.183427355854049345e+00
1.130000000000000071e+01,9.691190169304577662e-01
1.132000000000000028e+01,1.339789651734303311e+00
1.133999999999999986e+01,9.000710630386925537e-01
1.135999999999999943e+01,1.017333174566717791e+00
1.138000000000000078e+01,8.462281334104260200e-01
1.140000000000000036e+01,9.347523097753209775e-01
1.141999999999999993e+01,1.016717865427201106e+00
1.143999999999999950e+01,1.136201050475109442e+00
1.146000000000000085e+01,1.016630373682165356e+00
1.148000000000000043e+01,9.444375940099324351e-01
1.150000000000000000e+01,8.619513378993786112e-01
1.151999999999999957e+01,1.010274836994457193e+00
1.153999999999999915e+01,7.431828896417499442e-01
1.156000000000000050e+01,1.174855827006561659e+00
1.158000000000000007e+01,8.634306890458725015e-01
1.159999999999999964e+01,6.502725973529660530e-01
1.162000000000000099e+01,1.324199072385716436e+00
1.164000000000000057e+01,1.161873106599824901e+00
1.166000000000000014e+01,1.215433101308845520e+00
1.167999999999999972e+01,6.266908693424413368e-01
1.169999999999999929e+01,8.786260788961806067e-01
1.172000000000000064e+01,7.615184242483074017e-01
1.174000000000000021e+01,8.914576246049361608e-01
1.175999999999999979e+01,1.054598405996240107e+00
1.177999999999999936e+01,1.177661268407666162e+00
1.180000000000000071e+01,1.058461754010158851e+00
1.182000000000000028e+01,1.103957003877173770e+00
1.183999999999999986e+01,8.605937322568972814e-01
1.185999999999999943e+01,9.590924361595946079e-01
1.188000000000000078e+01,7.633910083981321204e-01
1.190000000000000036e+01,7.754986108901884556e-01
1.191999999999999993e+01,1.300392623287325078e+00
1.193999999999999950e+01,7.596985377197789102e-01
1.196000000000000085e+01,1.047366395043085374e+00
1.198000000000000043e+01,8.446399213797565197e-01
1.200000000000000000e+01,6.222046870600038693e-01
1.201999999999999957e+01,9.982209370424429684e-01
1.203999999999999915e+01,1.116050211682792614e+00
1.206000000000000050e+01,1.092986737741412862e+00
1.208000000000000007e+01,1.040344384948901801e+00
1.209999999999999964e+01,8.636829122363302025e-01
1.212000000000000099e+01,1.004390899126729630e+00
1.214000000000000057e+01,8.246914654686212653e-01
1.216000000000000014e+01,9.227292636101317447e-01
1.217999999999999972e+01,1.363954581835436608e+00
1.219999999999999929e+01,1.180416797020955366e+00
1.222000000000000064e+01,1.004207925349891450e+00
1.224000000000000021e+01,1.155270982697053084e+00
1.225999999999999979e+01,1.230899639481578767e+00
1.228000000000000114e+01,8.960240420312518550e-01
1.230000000000000071e+01,1.264268823989620039e+00
1.232000000000000028e+01,1.100818816912696674e+00
1.233999999999999986e+01,1.301207466153975645e+00
1.235999999999999943e+01,8.750572282614730302e-01
1.237999999999999901e+01,1.079864657600539735e+00
1.240000000000000036e+01,9.369538845163052354e-01
1.241999999999999993e+01,1.011767328089558271e+00
1.243999999999999950e+01,1.017887495588772895e+00
1.246000000000000085e+01,1.198235132094543465e+00
1.248000000000000043e+01,1.066214706430932191e+00
1.250000000000000000e+01,1.254007881569953575e+00
1.251999999999999957e+01,1.180922350040200630e+00
1.253999999999999915e+01,8.367812672675920549e-01
1.256000000000000050e+01,1.335813583476931132e+00
1.258000000000000007e+01,1.023752121924132563e+00
1.259999999999999964e+01,9.118025309508398513e-01
1.262000000000000099e+01,8.497465543708075941e-01
1.264000000000000057e+01,9.808419367107259479e-01
1.266000000000000014e+01,1.364354345961579673e+00
1.267999999999999972e+01,9.251339551098534120e-01
1.269999999999999929e+01,8.347526928353322662e-01
1.272000000000000064e+01,8.804781512821469036e-01
1.274000000000000021e+01,9.579710342493154007e-01
1.275999999999999979e+01,8.145072774106371094e-01
