# 2Theta,Intensity
1.000000000000000000e+01,5.527033768857513019e-02
1.001999999999999957e+01,5.082352080206511968e-02
1.003999999999999915e+01,6.218607753348961986e-02
1.006000000000000050e+01,-6.613714470951842506e-02
1.008000000000000007e+01,1.496306667596604412e-01
1.009999999999999964e+01,-5.481719143120305365e-02
1.011999999999999922e+01,2.472010558635342331e-02
1.014000000000000057e+01,1.380260985174545929e-01
1.016000000000000014e+01,2.393543582905206801e-01
1.017999999999999972e+01,7.585364376632015848e-02
1.019999999999999929e+01,8.191356698123765379e-02
1.022000000000000064e+01,1.429207204951167542e-01
1.024000000000000021e+01,-1.282394985893270216e-02
1.025999999999999979e+01,-4.081041880343473649e-02
1.027999999999999936e+01,2.283605666160969105e-01
1.030000000000000071e+01,-7.456783931717467229e-02
1.032000000000000028e+01,-1.543797338379800932e-01
1.033999999999999986e+01,-1.208505683270294645e-01
1.035999999999999943e+01,1.270749854655483157e-03
1.038000000000000078e+01,3.963971725866805712e-02
1.040000000000000036e+01,1.024872102931515816e-01
1.041999999999999993e+01,2.746576963208957264e-02
1.043999999999999950e+01,4.954723429075581775e-02
1.046000000000000085e+01,1.101037801539256067e-01
1.048000000000000043e+01,2.948756330837918882e-01
1.050000000000000000e+01,-9.791601441227731906e-02
1.051999999999999957e+01,3.004982672655517190e-02
1.053999999999999915e+01,-5.018033503806960255e-02
1.056000000000000050e+01,1.049365153881035538e-03
1.058000000000000007e+01,-5.881176790486762965e-03
1.059999999999999964e+01,-5.021735599625877511e-02
1.061999999999999922e+01,-5.924948414119197981e-02
1.064000000000000057e+01,7.527749495231296495e-02
1.066000000000000014e+01,9.213271191900476720e-02
1.067999999999999972e+01,1.201081640106225895e-01
1.069999999999999929e+01,-8.851152956892584245e-02
1.072000000000000064e+01,8.365949873840174827e-03
1.074000000000000021e+01,-2.743473348719193683e-01
1.075999999999999979e+01,4.197385835749892907e-02
1.077999999999999936e+01,2.508402244749026733e-01
1.080000000000000071e+01,-7.173128795134210700e-02
1.082000000000000028e+01,2.846215278086665357e-02
1.083999999999999986e+01,1.902001026680227025e-01
1.085999999999999943e+01,9.224578236006908405e-02
1.088000000000000078e+01,-7.080075495930780727e-02
1.090000000000000036e+01,9.245195568373214268e-04
1.091999999999999993e+01,1.458766619411241139e-01
1.093999999999999950e+01,-1.528290522517706911e-02
1.096000000000000085e+01,-3.849815286101532924e-02
1.098000000000000043e+01,-1.115399858789333509e-01
1.100000000000000000e+01,-8.197961379507250068e-02
1.101999999999999957e+01,1.596132155200700488e-03
1.103999999999999915e+01,1.495366670742644677e-01
1.106000000000000050e+01,3.474721668809636899e-02
1.108000000000000007e+01,-1.886810262403243801e-02
1.109999999999999964e+01,1.246058453824441525e-01
1.112000000000000099e+01,4.220125798080893303e-02
1.114000000000000057e+01,7.998589412705170432e-02
1.116000000000000014e+01,4.041173716700299789e-02
